report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2010-10-02,1755300000.0,1121100000.0,373600000.0,,922700000.0,,,370300000.0,222594669.0,405200000.0,173300000.0,800000.0,100000.0,6300000.0,-2100000.0,0.0,227500000.0,35700000.0,23300000.0,12400000.0,0.0,,,1.8311,0.0,800000.0,0.00010837758751490192,5.697031846408021e-05,0.00024679170779861795,0.42769002961500496,0.0019743336623889436,0.0004557625477126417,0.0008670207001192153,0.03060217176702863,0.0019743336623889436,0.0,3.0008029978586723,,,,,,,,,,,,1.232329,60.43,8.1,7.5139,12802.772,2.8813,10.2941
2011-01-01,1830700000.0,1212200000.0,414000000.0,,957200000.0,,,408600000.0,,878700000.0,387100000.0,34400000.0,23700000.0,12700000.0,3100000.0,0.1,228200000.0,96400000.0,51600000.0,44800000.0,0.0,,245.4744,2.0381,0.1,34400000.0,0.024759715837860425,0.012945867700879445,0.026971662683509732,0.4405371571639923,0.03914874246045294,0.01879062653629759,0.03593815294609277,0.050984408785706155,0.03914874246045294,0.0,2.9280193236714975,,,,,,,,,,,,1.232329,60.43,8.1,7.5139,12802.772,2.8813,10.2941
2011-04-02,1914000000.0,1262700000.0,406400000.0,,1036800000.0,281100000.0,,407800000.0,,1332700000.0,586800000.0,47000000.0,,18900000.0,-29000000.0,0.27,231100000.0,149300000.0,85800000.0,63500000.0,281100000.0,,65.8129,2.4361,0.27,47000000.0,,,,0.44030914684475125,0.03526675170706085,0.024555903866248695,0.0356627968738144,0.04764763262549711,0.03526675170706085,0.2711226851851852,3.1070374015748032,,,,,,,,,,,,1.232329,60.43,8.1,7.5139,12802.772,2.8813,10.2941
2011-07-02,1950700000.0,1304100000.0,418600000.0,,1065400000.0,,,395400000.0,,-812100000.0,-356300000.0,-16800000.0,47800000.0,-12500000.0,2000000.0,-0.06,-454200000.0,-76100000.0,-44000000.0,-120100000.0,0.0,3.1122,52.8985,2.0931,-0.06,-16800000.0,0.044865778111507416,0.024504024196442303,-0.058859746336658046,0.4387390715429134,0.020687107499076467,-0.008612293023017378,-0.01576872536136662,0.14788819110946927,0.020687107499076467,0.0,3.1153846153846154,1804500000.0,,65400000.0,790900000.0,600000.0,65400000.0,25400000.0,0.31,0.31,0.0,2.574803149606299,1.232329,60.43,8.1,7.5139,12802.772,2.8813,10.2941
2011-10-01,1894100000.0,1267000000.0,366000000.0,1894100000.0,1065100000.0,,,366900000.0,,420800000.0,182600000.0,3200000.0,-5800000.0,6600000.0,3400000.0,-0.03,228400000.0,22900000.0,21200000.0,1700000.0,0.0,,30.8918,1.1148,-0.03,3200000.0,-0.005445498075298094,-0.0030621403304999734,-0.013783269961977186,0.43393536121673004,0.0076045627376425855,0.001689456734068951,0.0030044127311989483,0.004039923954372623,0.0076045627376425855,0.0,3.4617486338797816,1820100000.0,,67800000.0,800200000.0,-10100000.0,67800000.0,25700000.0,0.28,0.28,0.0,2.6381322957198443,1.232329,60.43,8.1,7.5139,12802.772,2.8813,10.2941
2011-12-31,1915500000.0,1302900000.0,382600000.0,1915500000.0,1064600000.0,,,415200000.0,,833600000.0,357600000.0,1600000.0,-16000000.0,13200000.0,6400000.0,-0.07,228900000.0,68600000.0,40800000.0,27800000.0,0.0,,76.9826,1.3938,-0.07,1600000.0,-0.015029118917903438,-0.00835291046724093,-0.019193857965451054,0.4289827255278311,0.0019193857965451055,0.000835291046724093,0.0015029118917903438,0.03334932821497121,0.0019193857965451055,0.0,3.4053842132775745,1775000000.0,,35000000.0,770700000.0,-27100000.0,35000000.0,26200000.0,0.10999999999999999,0.10999999999999999,0.0,1.3358778625954197,1.232329,60.43,8.1,7.5139,12802.772,2.8813,10.2941
2012-03-31,1920000000.0,1316200000.0,377100000.0,1920000000.0,1071200000.0,,,414000000.0,,1242800000.0,527300000.0,-6000000.0,-33400000.0,20100000.0,9500000.0,-0.15,229500000.0,81800000.0,56900000.0,24900000.0,0.0,,,1.9723,-0.15,-6000000.0,-0.031179985063480208,-0.017395833333333333,-0.02687479884132604,0.4242838751206952,-0.00482780817508851,-0.003125,-0.005601194921583271,0.020035403926617314,-0.00482780817508851,0.0,3.49032086979581,1685100000.0,-7400000.0,-18000000.0,711200000.0,-65700000.0,-18000000.0,27400000.0,-0.31000000000000005,-0.31000000000000005,-0.0,-0.656934306569343,1.232329,60.43,8.1,7.5139,12802.772,2.8813,10.2941
2012-06-30,1869500000.0,1310200000.0,654100000.0,1869500000.0,1038800000.0,,,401100000.0,,-815100000.0,-357500000.0,-27900000.0,-400000.0,-12600000.0,-7300000.0,0.010000000000000009,-456800000.0,-54200000.0,-46700000.0,-100900000.0,0.0,2.0031,,1.5201,0.010000000000000009,-27900000.0,-0.0003850596842510589,-0.00021396095212623697,0.000490737332842596,0.43859649122807015,0.03422892896577107,-0.014923776410805029,-0.02685791297651136,0.12378849220954484,0.03422892896577107,0.0,2.0030576364470263,1682100000.0,-55600000.0,-29100000.0,710000000.0,-46500000.0,-29100000.0,27300000.0,-0.24000000000000002,-0.24000000000000002,-0.0,-1.065934065934066,1.232329,60.43,8.1,7.5139,12802.772,2.8813,10.2941
2012-09-29,1823300000.0,1262600000.0,590700000.0,1823300000.0,1042400000.0,,,332600000.0,,420900000.0,172600000.0,100000.0,-11600000.0,6100000.0,3400000.0,-0.05,,43100000.0,17800000.0,25300000.0,0.0,,,1.6428,-0.05,100000.0,-0.011128165771297006,-0.006362090714638293,-0.027559990496555,0.41007365169874077,0.00023758612497030174,5.4845609608950804e-05,9.593246354566385e-05,0.060109289617486336,0.00023758612497030174,0.0,2.137464025732182,1682200000.0,-61400000.0,-32200000.0,700000000.0,-22900000.0,-32200000.0,26800000.0,-0.26,-0.26,-0.0,-1.2014925373134329,1.232329,60.43,8.1,7.5139,12802.772,2.8813,10.2941
2012-12-29,1812900000.0,1276700000.0,555200000.0,1812900000.0,1065200000.0,,,305500000.0,,850300000.0,361600000.0,15000000.0,-7500000.0,11200000.0,7500000.0,-0.03,233600000.0,102500000.0,33300000.0,69200000.0,0.0,,,1.8715,-0.03,15000000.0,-0.007040931280510703,-0.004137018037398643,-0.008820416323650476,0.425261672350935,0.01764083264730095,0.008274036074797287,0.014081862561021405,0.0813830412795484,0.01764083264730095,0.0,2.2995317002881843,1698900000.0,-52900000.0,-18800000.0,704000000.0,18500000.0,-18800000.0,24800000.0,-0.22000000000000003,-0.22000000000000003,-0.0,-0.7580645161290323,1.232329,60.43,8.1,7.5139,12802.772,2.8813,10.2941
