report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,4403000000.0,2090300000.0,692000000.0,2304500000.0,2019500000.0,,32100000.0,563500000.0,98550032.0,,,47200000.0,18200000.0,13200000.0,0.18,-72000000.0,34600000.0,32100000.0,,120.9127,1.7037,0.18,81800000.0,0.00901213171577123,0.004133545310015898,,,,0.010719963661140131,0.023006434002729576,,0.015895023520673433,3.020664739884393,,,,,,,,,1.0244782,168.1425,39.23,2.39902,20078.926,49.6634,8.7813,4.377
2010-06-30,,,,,,,,,,,,,,,,-193400000.0,,0.0,,46.4238,1.2568,,,,,,,,,,,,,,,,,,,,,1.0244782,168.1425,39.23,2.39902,20078.926,49.6634,8.7813,4.377
2010-09-30,,,,,,,,,,,,,,,,-63900000.0,,0.0,,49.0232,1.1968,,,,,,,,,,,,,,,,,,,,,1.0244782,168.1425,39.23,2.39902,20078.926,49.6634,8.7813,4.377
2010-12-31,4493600000.0,2115100000.0,791000000.0,2364200000.0,2040800000.0,,141400000.0,432300000.0,,,,138200000.0,52500000.0,33800000.0,0.54,356400000.0,106900000.0,141400000.0,2.674,76.9434,1.3439,0.54,245100000.0,0.025725205801646413,0.011683282891223072,,,,0.03075485134413388,0.06333058381449913,,0.06928655429243434,2.6739570164348927,,,,,,,,,1.0244782,168.1425,39.23,2.39902,20078.926,49.6634,8.7813,4.377
2011-03-31,5192500000.0,2787100000.0,915400000.0,2989400000.0,2110500000.0,,139400000.0,816300000.0,,,,116700000.0,56300000.0,35100000.0,0.54,-50300000.0,37400000.0,139400000.0,,61.579,1.5311,0.54,154100000.0,0.026676143094053542,0.01084256138661531,,,,0.02247472315840154,0.05186897195430908,,0.06605069888651978,3.0446799213458595,,,,,,,,,1.0244782,168.1425,39.23,2.39902,20078.926,49.6634,8.7813,4.377
2011-06-30,6049000000.0,2691100000.0,998800000.0,3269000000.0,2690700000.0,1496500000.0,154200000.0,367800000.0,,,,240400000.0,120300000.0,69400000.0,1.13,-72000000.0,80600000.0,1650700000.0,,49.3828,1.4407,1.13,321000000.0,0.04470955513435165,0.019887584724747893,,,,0.039742106133245164,0.05537384253927304,,0.6134834801352808,2.6943331998398077,,,,,,,,,1.0244782,168.1425,39.23,2.39902,20078.926,49.6634,8.7813,4.377
2011-09-30,6127000000.0,2689500000.0,978500000.0,3285700000.0,2748700000.0,1483400000.0,144900000.0,431500000.0,,,,359500000.0,182600000.0,100600000.0,1.68,107500000.0,127200000.0,1628300000.0,,19.8963,0.7916,1.68,486700000.0,0.0664314039364063,0.029802513464991024,,,,0.0586747184592786,0.08213388165410099,,0.5923891294066286,2.7485947879407258,,411700000.0,854800000.0,,1206900000.0,3.8899999999999997,3.8899999999999997,1.3491590024028504,1.0244782,168.1425,39.23,2.39902,20078.926,49.6634,8.7813,4.377
2011-12-31,6046900000.0,2569500000.0,861800000.0,3475300000.0,2475300000.0,1482000000.0,27300000.0,380600000.0,,,,-285500000.0,-144900000.0,-88800000.0,-1.3799999999999997,311600000.0,-70800000.0,1509300000.0,2.9816,24.9199,1.0304,-1.3799999999999997,-356300000.0,-0.05853835898678948,-0.02396269162711472,,,,-0.04721427508310043,-0.07165085579481002,,0.6097442734214035,2.981550243676027,,214300000.0,431100000.0,,605500000.0,1.9700000000000002,1.9700000000000002,2.4926507018992567,1.0244782,168.1425,39.23,2.39902,20078.926,49.6634,8.7813,4.377
2012-03-31,6078700000.0,2574700000.0,875000000.0,3464800000.0,2515000000.0,1481500000.0,28400000.0,250300000.0,,,,103600000.0,56200000.0,25800000.0,0.5,-18200000.0,48000000.0,1509900000.0,,20.895,0.8432,0.5,151600000.0,0.02234592445328032,0.009245397864675013,,,,0.017043117771892016,0.025739769932172227,,0.6003578528827038,2.9425142857142856,,214200000.0,418000000.0,,603000000.0,1.9300000000000002,1.9300000000000002,2.5039800995024875,1.0244782,168.1425,39.23,2.39902,20078.926,49.6634,8.7813,4.377
2012-06-30,6080000000.0,2527500000.0,823500000.0,3404500000.0,2575500000.0,1474100000.0,27300000.0,210300000.0,,,,211800000.0,112600000.0,56800000.0,1.0,59800000.0,96200000.0,1501400000.0,,16.4551,0.6642,1.0,308000000.0,0.04371966608425548,0.018519736842105262,,,,0.034835526315789477,0.05195123745983468,,0.5829547660648418,3.069216757741348,,206500000.0,389400000.0,,590000000.0,1.8000000000000003,1.8000000000000003,2.5447457627118646,1.0244782,168.1425,39.23,2.39902,20078.926,49.6634,8.7813,4.377
