report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,cash,revenue,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2018-09-30,6421547.0,5060310.0,2679754.0,16800311.0,-10378764.0,4982505.0,,-4387489.0,-8258582.0,,,,-3699282.0,25381.0,3709.0,-3724663.0,0.0,,,,-4383780.0,0.795719220516046,-1.2860735894325774,,,-0.6832448629590346,0.42273713902734467,,,-0.0,1.888348706635012,,,,,,,,,1.7366627,2.7,0.27,0.37084,131.51123,3.3005,3.2002
2018-12-31,67162643.0,67099128.0,2027977.0,2227507.0,64935136.0,28508534.0,,-8615587.0,-13250475.0,,,,-7526250.0,34858.0,6102.0,-7561108.0,0.0,33.0542,,,-8609485.0,-0.20405709167991887,-0.19728936218308146,,,-0.12827945142063574,-0.13267989459512336,,,0.0,33.08673027356819,,,,,,,,,1.7366627,2.7,0.27,0.37084,131.51123,3.3005,3.2002
2019-03-31,62727000.0,62629000.0,3052000.0,3233000.0,59494000.0,21394000.0,,-6348000.0,-5950000.0,,-0.34,,-4464000.0,11000.0,5000.0,-4475000.0,0.0,33.0542,,-0.34,-6343000.0,-0.10001008505059333,-0.09485548487891976,,,-0.10120044000191306,-0.10669983527750697,,,0.0,20.520642201834864,,,,,,,,,1.7366627,2.7,0.27,0.37084,131.51123,3.3005,3.2002
2019-06-30,57888000.0,57796000.0,3662000.0,3825000.0,54063000.0,22661000.0,,-12787000.0,-12019000.0,,,,-9220000.0,56000.0,11000.0,-9276000.0,0.0,,,,-12776000.0,-0.2223147069160054,-0.2076250690989497,,,-0.2208920674405749,-0.23652035588110168,,,0.0,15.782632441288913,,-39478057.0,-32138076.0,-25036771.0,-32112265.0,,,-0.0,1.7366627,2.7,0.27,0.37084,131.51123,3.3005,3.2002
2019-09-30,62995000.0,62909000.0,4274000.0,14036000.0,48959000.0,27657000.0,,-19111000.0,-18033000.0,,,,-13916000.0,56000.0,17000.0,-13972000.0,0.0,,,,-19094000.0,-0.36832860148287344,-0.2862608143503453,,,-0.303373283593936,-0.39034702506178637,,,0.0,14.718998596162844,,-49252475.0,-46861587.0,-35284108.0,-46822485.0,,,-0.0,1.7366627,2.7,0.27,0.37084,131.51123,3.3005,3.2002
2019-12-31,55539000.0,55431000.0,3883000.0,13691000.0,41848000.0,13219000.0,,11519000.0,10402000.0,,,,4651000.0,-49000.0,-10000.0,4602000.0,0.0,14.2861,,,11509000.0,0.24856623972471803,0.18729181296026215,,,0.20740380633428762,0.2752580768495508,,,0.0,14.275302601081638,,-25600000.0,-26727000.0,-23121000.0,-26704000.0,,,-0.0,1.7366627,2.7,0.27,0.37084,131.51123,3.3005,3.2002
2020-03-31,49911000.0,49822000.0,3711000.0,13565000.0,36346000.0,20614000.0,,-7452000.0,-7837000.0,,,,-6370000.0,15000.0,8000.0,-6385000.0,0.0,14.2861,,,-7444000.0,-0.215622076707203,-0.157019494700567,,,-0.14930576426038347,-0.20502943927804984,,,0.0,13.425491781191054,,-27487000.0,-27831000.0,-25031000.0,-27805000.0,,,-0.0,1.7366627,2.7,0.27,0.37084,131.51123,3.3005,3.2002
2020-06-30,44259000.0,44178000.0,3387000.0,13287000.0,30972000.0,24083000.0,,-14062000.0,-14298000.0,,,,-11450000.0,15000.0,15000.0,-11465000.0,0.0,,,,-14047000.0,-0.4616427741185587,-0.32305293838541316,,,-0.31772068957726113,-0.4540229885057471,,,0.0,13.043401240035429,,-29766000.0,-29106000.0,-27220000.0,-29076000.0,,,-0.0,1.7366627,2.7,0.27,0.37084,131.51123,3.3005,3.2002
2020-09-30,92385000.0,92160000.0,5145000.0,14259000.0,78126000.0,49249000.0,,-20578000.0,-20895000.0,,,,-16371000.0,172000.0,28000.0,-16543000.0,0.0,,,,-20550000.0,-0.26745257660701943,-0.22617308004546194,,,-0.22274178708664827,-0.26339502854363467,,,0.0,17.91253644314869,,-32628000.0,-30573000.0,-29791000.0,-30532000.0,,,-0.0,1.7366627,2.7,0.27,0.37084,131.51123,3.3005,3.2002
2020-12-31,85428000.0,85174000.0,7245000.0,15574000.0,69854000.0,23982000.0,,12544000.0,13217000.0,,-1.46,,9567000.0,0.0,-6000.0,9567000.0,0.0,11.7476,,-1.46,12538000.0,0.18920892146476936,0.15471508170623216,,,0.14683710258931498,0.17957454118590202,,,0.0,11.756245686680469,,-29813000.0,-29548000.0,-24826000.0,-29503000.0,,,-0.0,1.7366627,2.7,0.27,0.37084,131.51123,3.3005,3.2002
2021-03-31,106838000.0,106615000.0,7417000.0,14958000.0,91880000.0,50861000.0,,-8695000.0,-8991000.0,,,,-7944000.0,,17000.0,,0.0,11.7476,,,-8678000.0,-0.09785589899869394,-0.08415545030794287,,,-0.08138490050356614,-0.0946343056160209,,,0.0,14.374410138870163,,-30967000.0,-30791000.0,,-30737000.0,,,-0.0,1.7366627,2.7,0.27,0.37084,131.51123,3.3005,3.2002
2021-06-30,99837000.0,99566000.0,4980000.0,15064000.0,84773000.0,73525000.0,,-17538000.0,-18149000.0,,,,-14938000.0,23000.0,34000.0,-14961000.0,0.0,,,,-17504000.0,-0.2140893916695174,-0.1817863116880515,,,-0.17566633612788846,-0.20688190815471907,,,0.0,19.993172690763053,,-34818000.0,-34267000.0,,-34194000.0,,,-0.0,1.7366627,2.7,0.27,0.37084,131.51123,3.3005,3.2002
2021-09-30,92470000.0,92170000.0,7778000.0,16668000.0,75802000.0,77155000.0,,-27399000.0,-28431000.0,,,,-21948000.0,57000.0,53000.0,-22005000.0,0.0,,,,-27346000.0,-0.3750692593862959,-0.30746187952849574,,,-0.29630150319022386,-0.3614548428801351,,,0.0,11.850089997428645,,-42354000.0,-41088000.0,,-40990000.0,,,-0.0,1.7366627,2.7,0.27,0.37084,131.51123,3.3005,3.2002
2021-12-31,85405000.0,83370000.0,8915000.0,18900000.0,66505000.0,50366000.0,,15846000.0,16519000.0,,,,12749000.0,-23000.0,-32000.0,12726000.0,0.0,9.3464,,,15814000.0,0.24838733929779716,0.1934195890170365,,,0.18553948832035594,0.23826779941357792,,,0.0,9.351654514862592,,-39052000.0,-37786000.0,,-37714000.0,,,-0.0,1.7366627,2.7,0.27,0.37084,131.51123,3.3005,3.2002
2022-03-31,74235000.0,72085000.0,13113000.0,21605000.0,52630000.0,26244000.0,,-37329000.0,-37417000.0,,-1.17,,-12134000.0,223000.0,25000.0,-12357000.0,0.0,9.3464,,-1.17,-37304000.0,-0.7109443283298499,-0.5040344850811612,,,-0.5028490604162457,-0.709272278168345,,,0.0,5.4972165027072375,,-67478000.0,-66420000.0,-36597000.0,-66340000.0,,,-0.0,1.7366627,2.7,0.27,0.37084,131.51123,3.3005,3.2002
2022-06-30,62472000.0,60482000.0,15188000.0,22205000.0,40267000.0,23808000.0,,-50881000.0,-51546000.0,,-1.56,33085917.0,-23393000.0,277000.0,56000.0,-23670000.0,0.0,,,-1.56,-50825000.0,-1.28010529714158,-0.8251056473300038,,,-0.8144608784735562,-1.2635905331909505,,,0.0,3.982222807479589,,-100875000.0,-99763000.0,-45306000.0,-99661000.0,,,-0.0,1.7366627,2.7,0.27,0.37084,131.51123,3.3005,3.2002
2022-09-30,48631000.0,46776000.0,14930000.0,20471000.0,28160000.0,25729000.0,,-64118000.0,-65201000.0,,-1.0,33512611.0,-36458000.0,277000.0,86000.0,-36735000.0,0.0,,,-1.0,-64032000.0,-2.3153764204545455,-1.340729164524686,,,-1.3184594188891858,-2.2769176136363636,,,0.0,3.1330207635632954,,-137645000.0,-136482000.0,-60036000.0,-136347000.0,,,-0.0,1.7366627,2.7,0.27,0.37084,131.51123,3.3005,3.2002
2022-12-31,78421000.0,76735000.0,32038000.0,46479000.0,31942000.0,59107000.0,15759000.0,90252000.0,91736000.0,,2.73,-32870583.0,63252000.0,-498000.0,-49000.0,62754000.0,0.0,2.3951,,2.73,90203000.0,2.871955419197295,1.1697887045561774,5.821181547052478,5.7270131353512275,1.1508652019229544,2.82549621188404,3.982105463544641,5.723903801002602,0.0,2.3951245396092142,,-62428000.0,-62076000.0,-10008000.0,-61958000.0,-1.0,-1.0,-0.0,1.7366627,2.7,0.27,0.37084,131.51123,3.3005,3.2002
2023-03-31,71790000.0,70220000.0,32020000.0,42521000.0,29269000.0,24503000.0,8879000.0,-4108000.0,-3940000.0,100000.0,0.0,34414149.0,-7995000.0,,31000.0,,0.0,2.3951,,0.0,-4077000.0,-0.13461341350917352,-0.054882295584343224,-0.4437436648271202,-0.46266471449487556,-0.05722245438083298,-0.1403532747958591,,-0.45917333032999214,0.0,2.193004372267333,,-28951000.0,-28855000.0,,-28731000.0,0.16999999999999993,0.16999999999999993,-0.0,1.7366627,2.7,0.27,0.37084,131.51123,3.3005,3.2002
2023-06-30,58764000.0,57356000.0,25218000.0,31783000.0,26981000.0,25624000.0,18003000.0,-7699000.0,-7283000.0,68000.0,0.0,34432057.0,-14210000.0,,62000.0,,0.0,,,0.0,-7637000.0,-0.26993069196842223,-0.12393642366074467,-0.40454368716325056,-0.4276509470643782,-0.13101558777482814,-0.2853489492605908,,-0.4242070765983447,0.0,2.274407169482116,,15312000.0,14327000.0,,14457000.0,1.73,1.73,0.0,1.7366627,2.7,0.27,0.37084,131.51123,3.3005,3.2002
2023-09-30,55225000.0,53911000.0,28199000.0,31117000.0,24108000.0,34382000.0,26873000.0,-11322000.0,-10993000.0,600000.0,0.0,34582574.0,-16119000.0,15000.0,93000.0,-16134000.0,0.0,,0.5878,0.0,-11229000.0,-0.45598971295835405,-0.19905839746491624,-0.40907230305511105,-0.42131507461020357,-0.2050158442734269,-0.4696366351418616,-0.6003795631302795,-0.4178543519517732,0.0,1.911805383169616,69514000.0,69520000.0,67123000.0,,67260000.0,2.73,2.73,0.0,1.7366627,2.7,0.27,0.37084,131.51123,3.3005,3.2002
2024-06-30,42861000.0,41887000.0,20169000.0,20428000.0,22433000.0,11057000.0,24542000.0,-2892000.0,-2266000.0,0.0,0.0,35273394.0,-8070000.0,81000.0,,-8151000.0,0.0,,0.5607,0.0,-2892000.0,-0.10101190210850088,-0.052868575161568794,-0.09233151332409746,-0.11783880694319941,-0.06747392734653881,-0.12891722016671867,-0.33212452122891367,-0.11783880694319941,0.0,2.0768010312856364,78297000.0,-24482000.0,-26021000.0,,-25835000.0,0.0,0.0,-0.0,1.7366627,2.7,0.27,0.37084,131.51123,3.3005,3.2002
2024-09-30,34457000.0,33646000.0,11057000.0,11280000.0,23177000.0,15448000.0,36703000.0,-3571000.0,-2273000.0,0.0,0.0,35324092.0,-15727000.0,81000.0,,-15808000.0,0.0,,0.6419,0.0,-3571000.0,-0.09807136385209475,-0.06596627680877616,-0.0619295425442062,-0.09729449908726807,-0.10363641640305309,-0.154075160719679,-0.43070048769855324,-0.09729449908726807,0.0,3.04295921135932,106121000.0,-22815000.0,-25484000.0,,-25329000.0,0.0,0.0,-0.0,1.7366627,2.7,0.27,0.37084,131.51123,3.3005,3.2002
2024-12-31,25604000.0,24978000.0,6356000.0,6543000.0,19061000.0,18085000.0,41095000.0,-8269000.0,-8067000.0,400000.0,0.0,35357641.0,-19026000.0,85000.0,,-19111000.0,0.0,3.9298,0.6451,0.0,-8269000.0,-0.4232201878180578,-0.3150679581315419,-0.1963012531938192,-0.20121669302834894,-0.3229573504139978,-0.43381774303551757,-0.46504440929553476,-0.20121669302834894,0.0,3.9298300818124607,129213000.0,-23599000.0,-26054000.0,-59204000.0,-25961000.0,0.0,0.0,-0.0,1.7366627,2.7,0.27,0.37084,131.51123,3.3005,3.2002
2025-03-31,16729000.0,16216000.0,6002000.0,6151000.0,10578000.0,14500000.0,,-8870000.0,-8654000.0,,0.0,35586861.0,-8169000.0,4000.0,,-8173000.0,0.0,3.9298,0.6451,0.0,-8870000.0,-0.8181130648515788,-0.5173052782593102,,,-0.5302169884631478,-0.8385328039326905,,,0.0,2.7017660779740087,,-21260000.0,-23602000.0,-51243000.0,-23602000.0,0.0,0.0,-0.0,1.7366627,2.7,0.27,0.37084,131.51123,3.3005,3.2002
2025-06-30,12399000.0,11952000.0,7234000.0,7343000.0,5056000.0,11500000.0,,-15098000.0,-14393000.0,,0.0,35653455.0,-11182000.0,4000.0,,-11186000.0,0.0,,,0.0,-15098000.0,-2.8467167721518987,-1.160819420921042,,,-1.2176788450681506,-2.986155063291139,,,0.0,1.6521979541056124,,-33387000.0,-35808000.0,-54278000.0,-35808000.0,0.0,0.0,-0.0,1.7366627,2.7,0.27,0.37084,131.51123,3.3005,3.2002
2025-09-30,34506000.0,33579000.0,3094000.0,3567000.0,30939000.0,33100000.0,,-19672000.0,-18623000.0,,0.0,45651900.0,-19613000.0,4000.0,,-19617000.0,0.0,,,0.0,-19672000.0,-0.6019263712466466,-0.539703240016229,,,-0.5701037500724512,-0.6358317980542357,,,0.0,10.852941176470589,,-49737000.0,-51909000.0,-58087000.0,-51909000.0,0.0,0.0,-0.0,1.7366627,2.7,0.27,0.37084,131.51123,3.3005,3.2002
2025-12-31,31887000.0,31038000.0,2934000.0,3290000.0,28597000.0,30300000.0,,20006000.0,19272000.0,0.0,0.0,-59588035.0,16218000.0,36000.0,,16182000.0,0.0,10.5787,,0.0,20006000.0,0.6739168444242403,0.6043842318186095,,,0.6274030169034402,0.6995838724341714,,,0.0,10.578732106339467,,-22398000.0,-23634000.0,-22794000.0,-23634000.0,0.0,0.0,-0.0,1.7366627,2.7,0.27,0.37084,131.51123,3.3005,3.2002
