report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,shares_outstanding,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2012-12-28,9528000000.0,652000000.0,619000000.0,4264000000.0,5264000000.0,2525000000.0,382000000.0,,809000000.0,186000000.0,105000000.0,24000000.0,63000000.0,0.44,236000000.0,409000000.0,,227000000.0,,2525000000.0,,,,0.44,413000000.0,0.0199468085106383,0.01102015113350126,0.12978986402966625,0.22991347342398022,0.01952141057934509,0.023879830530234947,,0.5105067985166872,0.47967325227963525,1.0533117932148628,,,,,,,,,1.0406895,8.935,6.25,9.80855,5066.796,8.502,1.6339,0.9879
2013-12-27,9875000000.0,536000000.0,667000000.0,6624000000.0,3251000000.0,4434000000.0,80000000.0,,839000000.0,165000000.0,77000000.0,47000000.0,43000000.0,0.39,198000000.0,335000000.0,,249000000.0,,4434000000.0,,,,0.39,414000000.0,0.023685019993848047,0.00779746835443038,0.09177592371871275,0.1966626936829559,0.016708860759493672,0.02147039687703318,,0.4934445768772348,1.363888034450938,0.8035982008995503,,,,,,,,,1.0406895,8.935,6.25,9.80855,5066.796,8.502,1.6339,0.9879
2018-03-31,17858924000.0,621632000.0,979210000.0,13135288000.0,4723636000.0,,258195000.0,,,71385000.0,-157437000.0,,-8000000.0,,,504574000.0,33246000.0,483676000.0,471328000.0,0.0,0.5089,,,,555061000.0,-0.03332962150343507,-0.008815592697521978,,,0.00399716130714258,0.015112299084857513,,,0.0,0.6348301181564731,,,,,,,,,1.0406895,8.935,6.25,9.80855,5066.796,8.502,1.6339,0.9879
2018-06-30,17815632000.0,1450872000.0,1671279000.0,13153790000.0,4661842000.0,,344288000.0,,,145306000.0,-224142000.0,,-12000000.0,,,962762000.0,65212000.0,971996000.0,897550000.0,0.0,,,,,1117302000.0,-0.048080136564044855,-0.012581198354344096,,,0.008156095725371966,0.031169224525412917,,,0.0,0.8681207626015764,,-199579000.0,567691000.0,,2499363000.0,,,0.0,1.0406895,8.935,6.25,9.80855,5066.796,8.502,1.6339,0.9879
2018-09-30,16967584000.0,626723000.0,1009800000.0,12531590000.0,4435994000.0,,256917000.0,,,267153000.0,-459686000.0,,-20000000.0,,,1405964000.0,94151000.0,1446768000.0,1311813000.0,0.0,,,,,1713921000.0,-0.10362638001764655,-0.027092012628315263,,,0.015744905108470365,0.06022393177267598,,,0.0,0.6206407209348386,,-764265000.0,648844000.0,,3800284000.0,,,0.0,1.0406895,8.935,6.25,9.80855,5066.796,8.502,1.6339,0.9879
2018-12-31,17208608000.0,854017000.0,1012490000.0,12983803000.0,4224805000.0,9944112000.0,363177000.0,,,-206004000.0,232110000.0,,16537000.0,-0.81,747710000.0,-1085693000.0,-65810000.0,-971511000.0,-1151503000.0,9944112000.0,0.8439,,0.9924,-0.81,-1177515000.0,0.054939813790222274,0.01348801715978422,,,-0.011970985683444006,-0.014539149322421748,,,2.3537446106980084,0.8434819109324536,,-609155000.0,277840000.0,1529188000.0,2208769000.0,,,4.502105924159566,1.0406895,8.935,6.25,9.80855,5066.796,8.502,1.6339,0.9879
2019-03-31,17033697000.0,606545000.0,1382169000.0,12885666000.0,4148031000.0,9347601000.0,95680000.0,,1243060000.0,90436000.0,-66470000.0,,22361000.0,-0.09,,509262000.0,37707000.0,495878000.0,471555000.0,9347601000.0,,,1.0477,-0.09,586314000.0,-0.016024470405356178,-0.0039022650220912115,-0.05347288143774234,0.07275272311875533,0.00530924085358569,0.006701131151175432,0.3793501520441491,0.471669911347803,2.25350316812965,0.4388356271917544,,-518188000.0,296891000.0,1529415000.0,2240022000.0,,,4.172995175940236,1.0406895,8.935,6.25,9.80855,5066.796,8.502,1.6339,0.9879
2019-06-30,16977169000.0,582475000.0,1390978000.0,13087310000.0,3889859000.0,,43052000.0,,,183573000.0,-170527000.0,,-45000000.0,,,979172000.0,84461000.0,996742000.0,894711000.0,0.0,,,0.9622,,1180315000.0,-0.043838864082219944,-0.010044489749733893,,,0.010812933534442638,0.04719271315489842,,,0.0,0.4187521297964454,,-464573000.0,335158000.0,1526576000.0,2303035000.0,,,0.0,1.0406895,8.935,6.25,9.80855,5066.796,8.502,1.6339,0.9879
2019-09-30,16947089000.0,1319167000.0,1474017000.0,13235905000.0,3711184000.0,,155774000.0,,,132339000.0,-352157000.0,,-82000000.0,,,1459249000.0,120140000.0,1502574000.0,1339109000.0,0.0,,,0.9254,,1634913000.0,-0.09489074106807963,-0.020779792919008097,,,0.007808951732064427,0.03565950920245399,,,0.0,0.8949469375183597,,-357044000.0,200344000.0,1553872000.0,2224027000.0,,,0.0,1.0406895,8.935,6.25,9.80855,5066.796,8.502,1.6339,0.9879
2019-12-31,16083652000.0,625483000.0,1119728000.0,12899283000.0,3184369000.0,9634226000.0,48736000.0,753622044.0,,-209904000.0,165004000.0,,202681000.0,-0.48,747238000.0,-1074566000.0,-83462000.0,-1006112000.0,-1158028000.0,9634226000.0,0.558,,1.1503,-0.48,-1216016000.0,0.051816859164248864,0.01025911279353719,,,-0.013050767325729256,-0.016374961530495346,,,3.025474120618559,0.5586026249231957,,-424150000.0,196444000.0,1547347000.0,2185526000.0,,,4.408195555669436,1.0406895,8.935,6.25,9.80855,5066.796,8.502,1.6339,0.9879
2020-03-31,16262743000.0,718956000.0,1248057000.0,13367917000.0,2894826000.0,,118141000.0,,,-89356000.0,-300293000.0,,-78000000.0,,,250229000.0,34571000.0,489024000.0,215658000.0,0.0,,,0.625,,399668000.0,-0.1037343867990684,-0.018465089191903237,,,-0.0054945220495706045,-0.030867485645078494,,,0.0,0.5760602280184318,,-657973000.0,16652000.0,1291450000.0,1998880000.0,,,0.0,1.0406895,8.935,6.25,9.80855,5066.796,8.502,1.6339,0.9879
2020-06-30,15958240000.0,651110000.0,1236862000.0,13164125000.0,2794115000.0,,45473000.0,,,-38934000.0,-407034000.0,,-106000000.0,,,629007000.0,76245000.0,966893000.0,552762000.0,0.0,,,1.1449,,927959000.0,-0.1456754643241241,-0.025506196172008944,,,-0.002439742728521441,-0.01393428688511389,,,0.0,0.5264208941660428,,-894480000.0,-205855000.0,949501000.0,1746524000.0,,,0.0,1.0406895,8.935,6.25,9.80855,5066.796,8.502,1.6339,0.9879
2020-09-30,16366067000.0,1179911000.0,1249448000.0,13227591000.0,3138476000.0,,489433000.0,,,23952000.0,-520132000.0,,-133000000.0,-1.12,760203000.0,993269000.0,112317000.0,1440239000.0,880952000.0,0.0,,,1.1734,-1.12,1464191000.0,-0.1657275696866887,-0.03178112371164068,,,0.0014635159443010957,0.007631729540069766,,,0.0,0.9443458231154878,,-1062455000.0,-314242000.0,491344000.0,1575802000.0,,,0.0,1.0406895,8.935,6.25,9.80855,5066.796,8.502,1.6339,0.9879
2020-12-31,16116936000.0,967394000.0,1296092000.0,13077600000.0,3039336000.0,9447780000.0,204998000.0,771013638.0,5314787000.0,144978000.0,595266000.0,,463726000.0,,,-505756000.0,-65942000.0,-982389000.0,-571698000.0,9447780000.0,0.7461,,1.205,,-837411000.0,0.19585396283925174,0.03693419146170215,0.11200185444872955,0.02727823335159057,0.008995382248834394,0.011610206872427548,-0.10756743402887077,-0.15756247616320276,3.108501330553779,0.7463930029658389,,-632193000.0,40640000.0,1077674000.0,1954407000.0,,,4.834090340445977,1.0406895,8.935,6.25,9.80855,5066.796,8.502,1.6339,0.9879
2021-03-31,16011648000.0,867821000.0,1314956000.0,13033738000.0,2977910000.0,,122554000.0,,,-16380000.0,-47894000.0,,-15000000.0,,,359334000.0,41505000.0,469809000.0,317829000.0,0.0,,,1.3131,,453429000.0,-0.016083091832862644,-0.0029911974082867674,,,-0.0010230052521764156,-0.0055005020299471775,,,0.0,0.6599620063332917,,-379794000.0,113616000.0,1179845000.0,2008168000.0,,,0.0,1.0406895,8.935,6.25,9.80855,5066.796,8.502,1.6339,0.9879
