report_date,total_assets,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-06-30,14119984000.0,6681364000.0,3351338000.0,5989310000.0,429078000.0,,,14067000.0,130478000.0,,-0.01,156793067.0,229496000.0,193334000.0,5989310000.0,,,5.3285,-0.01,,0.004197428012334178,0.0009962475878159635,,,,,,1.7871399423155767,,,,,,,,,,1.4256394,143.95,85.35,3.58321,126724.945,38.0758,2.3063,14.4167
2010-09-30,14247452000.0,6849414000.0,3331283000.0,6133814000.0,352872000.0,,,36011000.0,194728000.0,,0.03,160186801.0,421672000.0,290874000.0,6133814000.0,,,5.523,0.03,,0.010809949199752767,0.0025275396611267754,,,,,,1.8412767693408216,,,,,,,,,,1.4256394,143.95,85.35,3.58321,126724.945,38.0758,2.3063,14.4167
2010-12-31,14745790000.0,7341546000.0,3320723000.0,6662598000.0,396848000.0,,,54393000.0,260676000.0,,0.06,161988053.0,505520000.0,393272000.0,6662598000.0,0.6318,,6.0362,0.06,,0.016379866673612947,0.003688713863414575,,,,,,2.006369697201483,,,,,,,,,,1.4256394,143.95,85.35,3.58321,126724.945,38.0758,2.3063,14.4167
2011-03-31,7420763000.0,3720670000.0,,3426051000.0,203626000.0,,,12128000.0,34942000.0,,0.05,168099995.0,61727000.0,54986000.0,3426051000.0,,,6.8024,0.05,,,0.0016343332889084316,,,,,,,,116599000.0,,,620824000.0,0.13,0.13,,,1.4256394,143.95,85.35,3.58321,126724.945,38.0758,2.3063,14.4167
2011-09-30,28586304000.0,13984338000.0,13932830000.0,,216749000.0,,82339000.0,-118231000.0,339579000.0,9960000.0,-0.42,340923000.0,104947000.0,405580000.0,0.0,,,8.9432,-0.42,487919000.0,-0.008485785012807879,-0.0041359316685360935,,,0.002880365366575546,0.005909711092434201,,0.0,,-15699000.0,,,829925000.0,-0.27999999999999997,-0.27999999999999997,,,1.4256394,143.95,85.35,3.58321,126724.945,38.0758,2.3063,14.4167
2011-12-31,27723912000.0,13268438000.0,13661639000.0,,176072000.0,,127430000.0,-153414000.0,468738000.0,1776000.0,-0.51,370534000.0,207064000.0,603884000.0,0.0,0.514,,9.2516,-0.51,731314000.0,-0.011229545737520951,-0.0055336346472316025,,,0.004596393178567296,0.009327577752566877,,0.0,,-205124000.0,,,1103935000.0,-0.8200000000000001,-0.8200000000000001,,,1.4256394,143.95,85.35,3.58321,126724.945,38.0758,2.3063,14.4167
2012-03-31,28867953000.0,14317293000.0,13717655000.0,,343736000.0,,90879000.0,212979000.0,133447000.0,12124000.0,0.44,476107000.0,71435000.0,191825000.0,0.0,,167.0684,9.8069,0.44,282704000.0,0.015525904391093083,0.007377696645134485,,,0.003148092973547518,0.006624966147639666,,0.0,,-46538000.0,,,976706000.0,-0.44,-0.44,,,1.4256394,143.95,85.35,3.58321,126724.945,38.0758,2.3063,14.4167
2012-06-30,28415563000.0,14245996000.0,13466971000.0,,293631000.0,,197407000.0,214909000.0,261328000.0,20199000.0,0.42,464696000.0,160105000.0,379602000.0,0.0,,62.6486,8.1401,0.42,577009000.0,0.015958228468747723,0.0075630737986785625,,,0.006947143718391221,0.014658604373618982,,0.0,,156243000.0,498055000.0,2078946000.0,1203092000.0,-0.07000000000000006,-0.07000000000000006,0.0,0.4139791470643974,1.4256394,143.95,85.35,3.58321,126724.945,38.0758,2.3063,14.4167
2012-09-30,28576422000.0,14401901000.0,13481749000.0,,158188000.0,,,,,,,,373348000.0,577898000.0,0.0,,111.008,8.3118,,,,,,,,,,0.0,,,,,,,,,,1.4256394,143.95,85.35,3.58321,126724.945,38.0758,2.3063,14.4167
2012-12-31,27310145000.0,13536809000.0,13069017000.0,,100810000.0,,,,,,,,-141396000.0,-381866000.0,0.0,0.4458,,8.5871,,,,,,,,,,0.0,,,,,,,,,,1.4256394,143.95,85.35,3.58321,126724.945,38.0758,2.3063,14.4167
