report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,roe,roa,net_margin,fcf_margin,debt_equity,revenue_ttm,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-04-30,41014100000.0,35354700000.0,5650900000.0,17375800000.0,,3614900000.0,11965700000.0,790700000.0,425700000.0,558300000.0,1.85,428200000.0,416600000.0,311200000.0,463400000.0,105400000.0,17375800000.0,,25.7251,1.0962,1.85,0.1399246137783362,0.019278735849378628,0.06608054689654597,0.0088085109939243,3.0748730290750146,,,,,,,1.0132877,674.1899,404.42,1.34948,154412.22,32.0757,4.8122,3.3004
2010-07-31,41810300000.0,35684500000.0,6115200000.0,16374200000.0,,3753700000.0,18802600000.0,1407700000.0,618900000.0,866400000.0,3.28,428400000.0,1088100000.0,457500000.0,692900000.0,630600000.0,16374200000.0,,24.0281,1.1796,3.28,0.23019688644688643,0.033668737129367646,0.07486730558539777,0.033537914969206384,2.6776229722658296,,,,,,,1.0132877,674.1899,404.42,1.34948,154412.22,32.0757,4.8122,3.3004
2010-10-31,43266800000.0,36963400000.0,6290300000.0,16814500000.0,,3790600000.0,26004600000.0,1865000000.0,811400000.0,1161600000.0,4.35,428600000.0,2282200000.0,761700000.0,914800000.0,1520500000.0,16814500000.0,2.2393,17.3509,1.2443,4.35,0.2964882438039521,0.043104643745319735,0.0717180806472701,0.05847042446336417,2.67308395466035,,,,,,,1.0132877,674.1899,404.42,1.34948,154412.22,32.0757,4.8122,3.3004
2011-01-31,42895800000.0,36309100000.0,6578600000.0,16705900000.0,,3438000000.0,6119200000.0,513700000.0,202500000.0,232200000.0,1.2,427500000.0,-900300000.0,214900000.0,219000000.0,-1115200000.0,16705900000.0,,17.9229,1.4025,1.2,0.07808652296841273,0.01197553140400692,0.08394888220682442,-0.1822460452346712,2.539430881950567,62892100000.0,4577100000.0,1141300000.0,2058500000.0,10.68,10.68,1.0132877,674.1899,404.42,1.34948,154412.22,32.0757,4.8122,3.3004
2011-04-30,46585500000.0,39151900000.0,7423300000.0,16192200000.0,,3949800000.0,15028900000.0,1418100000.0,394800000.0,671000000.0,3.32,427000000.0,-665300000.0,441000000.0,448700000.0,-1106300000.0,16192200000.0,,16.4014,1.4062,3.32,0.19103363733110612,0.030440802395595195,0.09435820319517729,-0.0736115084936356,2.1812670914552825,65955300000.0,5204500000.0,-70400000.0,2027600000.0,12.149999999999999,12.149999999999999,1.0132877,674.1899,404.42,1.34948,154412.22,32.0757,4.8122,3.3004
2011-07-31,47135100000.0,39595100000.0,7527600000.0,15892500000.0,,3618300000.0,23400800000.0,2130300000.0,579100000.0,1040700000.0,5.01,425200000.0,636100000.0,681500000.0,677900000.0,-45400000.0,15892500000.0,,12.5929,1.0647,5.01,0.28299856527977046,0.045195618551779886,0.09103534921883012,-0.0019401046118081432,2.1112306711302407,70553500000.0,5927100000.0,-746400000.0,1987800000.0,13.879999999999999,13.879999999999999,1.0132877,674.1899,404.42,1.34948,154412.22,32.0757,4.8122,3.3004
2011-10-31,48207400000.0,41392500000.0,6800300000.0,16959900000.0,,3647200000.0,-12536400000.0,-1262200000.0,-417000000.0,-520300000.0,-2.8999999999999995,-857300000.0,3255800000.0,-280800000.0,-430700000.0,2975000000.0,16959900000.0,2.0642,11.2207,0.9814,-2.8999999999999995,-0.1856094584062468,-0.026182702240734827,0.10068281165246801,-0.2373089563191985,2.4939929120774083,32012500000.0,2799900000.0,708100000.0,759400000.0,6.630000000000001,6.630000000000001,1.0132877,674.1899,404.42,1.34948,154412.22,32.0757,4.8122,3.3004
2012-01-31,24242200000.0,17463000000.0,6763400000.0,3133500000.0,,2356600000.0,6766500000.0,532900000.0,192100000.0,266200000.0,1.3,408400000.0,-1155600000.0,268500000.0,158900000.0,-1424100000.0,3133500000.0,,12.2796,1.0599,1.3,0.07879173196912795,0.021982328336537113,0.07875563437523092,-0.2104633119042341,0.4633024810006801,32659800000.0,2819100000.0,399200000.0,749000000.0,6.7299999999999995,6.7299999999999995,1.0132877,674.1899,404.42,1.34948,154412.22,32.0757,4.8122,3.3004
2012-04-30,51405300000.0,44009300000.0,7378900000.0,18719400000.0,,3019800000.0,16775100000.0,1589100000.0,387800000.0,807400000.0,3.91,406600000.0,81700000.0,511600000.0,325800000.0,-429900000.0,18719400000.0,,11.0257,0.9703,3.91,0.21535730257897517,0.030913154869245,0.09472968864567126,-0.025627268987964306,2.5368821911124964,34406000000.0,2990100000.0,1075600000.0,742000000.0,7.32,7.32,1.0132877,674.1899,404.42,1.34948,154412.22,32.0757,4.8122,3.3004
2012-07-31,27280300000.0,19865700000.0,7395800000.0,5357200000.0,,2914700000.0,26365500000.0,2377100000.0,582800000.0,1234100000.0,5.88,404000000.0,-1135400000.0,808400000.0,742700000.0,-1943800000.0,5357200000.0,,9.8756,0.8602,5.88,0.32141215284350577,0.0871361385322009,0.09015948872579697,-0.07372513322334111,0.7243570675248113,37370700000.0,3236900000.0,-822800000.0,745700000.0,8.190000000000001,8.190000000000001,1.0132877,674.1899,404.42,1.34948,154412.22,32.0757,4.8122,3.3004
2012-10-31,28312200000.0,21450200000.0,6842100000.0,5444900000.0,,3907900000.0,-15839000000.0,-1434400000.0,-931600000.0,-900100000.0,,,3377000000.0,-269300000.0,-223200000.0,3107700000.0,5444900000.0,2.1763,10.9192,0.9255,,-0.20964323818710628,-0.05066367149144185,0.09056127280762674,-0.19620556853336701,0.7957936890720685,34068100000.0,3064700000.0,-690100000.0,231100000.0,,,1.0132877,674.1899,404.42,1.34948,154412.22,32.0757,4.8122,3.3004
2013-01-31,28476200000.0,20990700000.0,7483700000.0,5464900000.0,,3176500000.0,7421400000.0,649700000.0,180100000.0,289000000.0,1.65,393000000.0,-1249400000.0,294000000.0,277100000.0,-1543400000.0,5464900000.0,,11.5171,0.9954,1.65,0.08681534535056189,0.02281554420884809,0.08754412914005444,-0.20796615193898726,0.7302403891123375,34723000000.0,3181500000.0,-809400000.0,219100000.0,,,1.0132877,674.1899,404.42,1.34948,154412.22,32.0757,4.8122,3.3004
2013-04-30,58155100000.0,49888300000.0,8264900000.0,21752900000.0,,3651400000.0,18335000000.0,1733900000.0,371100000.0,955300000.0,4.0,393000000.0,,503600000.0,554400000.0,,21752900000.0,,10.7968,0.9187,4.0,0.2097908020665707,0.02981509790198968,0.09456776656667576,,2.6319616692276977,36282900000.0,3326300000.0,,202400000.0,,,1.0132877,674.1899,404.42,1.34948,154412.22,32.0757,4.8122,3.3004
