report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,gross_profit_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,4542200000.0,2436500000.0,1115700000.0,,1419300000.0,904800000.0,,817200000.0,2232000000.0,899900000.0,,213600000.0,30500000.0,41200000.0,1.48,144100000.0,,30500000.0,,904800000.0,,29.203,1.8615,1.48,,0.15049672373705347,0.04702567037999207,0.0956989247311828,0.40318100358422937,,,,,,0.6374973578524625,2.1838307788832125,,,,,,,,1.5732901,438.72,215.0,0.85179,41012.918,41.4272,10.7551,4.7879
2010-06-30,4614500000.0,2518600000.0,1226700000.0,,1376000000.0,904800000.0,,826000000.0,3500100000.0,1407200000.0,,333000000.0,45300000.0,77300000.0,2.31,144100000.0,,54200000.0,,904800000.0,,19.2475,1.5223,2.31,,0.24200581395348839,0.07216383140101852,0.09514013885317563,0.4020456558384046,,,,,,0.6575581395348837,2.0531507295997393,,,,,,,,1.5732901,438.72,215.0,0.85179,41012.918,41.4272,10.7551,4.7879
2010-09-30,4748300000.0,2586600000.0,1222300000.0,,1460400000.0,904900000.0,,813400000.0,4857000000.0,1936400000.0,,464300000.0,60500000.0,103800000.0,3.22,144000000.0,,99400000.0,,904900000.0,2.1162,18.8684,1.8029,3.22,,0.3179265954533005,0.097782364214561,0.0955939880584723,0.3986823141857113,,,,,,0.619624760339633,2.116174425263847,,,,,,,,1.5732901,438.72,215.0,0.85179,41012.918,41.4272,10.7551,4.7879
2010-12-31,4778900000.0,2631700000.0,1120100000.0,,1586100000.0,904900000.0,,769300000.0,1365800000.0,543900000.0,,150100000.0,14800000.0,36600000.0,1.04,144500000.0,,20300000.0,,904900000.0,,18.9874,1.98,1.04,,0.09463463842128492,0.03140890163008224,0.10989896031629814,0.3982281446771123,,,,,,0.5705188827942753,2.349522364074636,11954900000.0,1161000000.0,4787400000.0,,151100000.0,8.05,8.05,1.5732901,438.72,215.0,0.85179,41012.918,41.4272,10.7551,4.7879
2011-03-31,5111100000.0,2947800000.0,1177100000.0,,1856900000.0,904900000.0,,1020300000.0,2829900000.0,1120400000.0,,316500000.0,30200000.0,73800000.0,2.17,145400000.0,,42900000.0,,904900000.0,,24.0852,2.5039,2.17,,0.1704453659324681,0.061924047660973175,0.11184140782359801,0.39591505000176686,,,,,,0.4873175722979159,2.504290204740464,12552800000.0,1263900000.0,5007900000.0,,150800000.0,8.74,8.74,1.5732901,438.72,215.0,0.85179,41012.918,41.4272,10.7551,4.7879
2011-06-30,5327700000.0,3095700000.0,1339300000.0,5327700000.0,1897100000.0,905000000.0,,1021800000.0,4346100000.0,1727200000.0,,496000000.0,44900000.0,116200000.0,3.4,145500000.0,462500000.0,76000000.0,386500000.0,905000000.0,,19.8101,2.1787,3.4,,0.26145168942069474,0.09309833511646677,0.11412530774717562,0.3974137732679874,,,,0.0889303053312165,,0.4770439091244531,2.311431344732323,13398800000.0,1426900000.0,5327900000.0,,150400000.0,9.83,9.83,1.5732901,438.72,215.0,0.85179,41012.918,41.4272,10.7551,4.7879
2011-09-30,5284900000.0,3075100000.0,1329900000.0,5284900000.0,1748000000.0,905000000.0,,988900000.0,-2541400000.0,-1001100000.0,,-264800000.0,-30400000.0,-56100000.0,-1.8099999999999996,-290200000.0,181200000.0,-19100000.0,162100000.0,905000000.0,2.3123,11.4929,1.3365,-1.8099999999999996,,-0.15148741418764303,-0.05010501617816799,0.10419453844337767,0.39391673880538286,,,,-0.06378374124498308,,0.5177345537757437,2.3122791187307317,6000400000.0,697800000.0,2390400000.0,,59500000.0,4.8,4.8,1.5732901,438.72,215.0,0.85179,41012.918,41.4272,10.7551,4.7879
2011-12-31,5279100000.0,3114000000.0,1512800000.0,5279100000.0,1854800000.0,905000000.0,,884000000.0,1473900000.0,618700000.0,,183300000.0,15000000.0,59600000.0,1.27,143900000.0,-189000000.0,31600000.0,-220600000.0,905000000.0,,14.738,1.7637,1.27,,0.09882467112357128,0.034721827584247314,0.12436393242418074,0.41977067643666466,,,,-0.14967094104077616,,0.48792322622385165,2.058434690639873,6108500000.0,731000000.0,2465200000.0,,59700000.0,5.03,5.03,1.5732901,438.72,215.0,0.85179,41012.918,41.4272,10.7551,4.7879
2012-03-31,5434600000.0,3270600000.0,1481700000.0,5434600000.0,2030600000.0,905000000.0,,811800000.0,3035000000.0,1237000000.0,,351100000.0,30000000.0,115100000.0,2.43,144300000.0,64500000.0,62500000.0,2000000.0,905000000.0,,15.6132,1.8427,2.43,,0.1729045602285039,0.06460457071357598,0.11568369028006589,0.40757825370675455,,,,0.0006589785831960461,,0.4456810794838964,2.2073294189107107,6313600000.0,765600000.0,2581800000.0,330000000.0,59500000.0,5.290000000000001,5.290000000000001,1.5732901,438.72,215.0,0.85179,41012.918,41.4272,10.7551,4.7879
2012-06-30,5382400000.0,3261600000.0,1556400000.0,5382400000.0,1922500000.0,905000000.0,,805600000.0,4595400000.0,1868500000.0,,541800000.0,45200000.0,169200000.0,3.76,144000000.0,328600000.0,94900000.0,233700000.0,905000000.0,,12.2356,1.4558,3.76,,0.28182054616384916,0.10066141498216409,0.11790050920485703,0.40660225442834136,,,,0.05085520302911607,,0.47074122236671,2.095605242868157,6562900000.0,811400000.0,2723100000.0,177200000.0,59800000.0,5.65,5.65,1.5732901,438.72,215.0,0.85179,41012.918,41.4272,10.7551,4.7879
