report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-04-02,4650822000.0,2710330000.0,1352706000.0,,2806694000.0,561000.0,,839057000.0,,5064759000.0,,235485000.0,149937000.0,1317000.0,84340000.0,1.2,117167000.0,23372000.0,33265000.0,93795000.0,561000.0,,17.7474,0.5571,1.2,268750000.0,0.053421213712645556,0.03223881713813171,0.02960397523356985,,0.04649480853876759,0.05063298487880207,0.08388443515106395,0.018519143753927877,0.053062741978443594,0.0001998792885865007,2.0036356754534985,,,,,,,,,,,,0.7807064,168.44,105.1462,1.0354,15035.564,34.7262,4.8361,1.2135
2010-07-02,4660776000.0,2773201000.0,1366698000.0,,2812000000.0,517000.0,,941680000.0,,7572484000.0,,280568000.0,168980000.0,9491000.0,102339000.0,1.35,236185000.0,41229000.0,48202000.0,194956000.0,517000.0,,17.8462,0.4375,1.35,328770000.0,0.06009246088193457,0.03625576513438964,0.02231500258039502,,0.03705098617573837,0.06019770098369885,0.09975690813602194,0.025745316860359163,0.04341640074775992,0.00018385490753911805,2.0291249420135244,,,,,,,,,,,,0.7807064,168.44,105.1462,1.0354,15035.564,34.7262,4.8361,1.2135
2010-10-01,4683917000.0,2767042000.0,1239453000.0,,2859048000.0,509000.0,,938842000.0,,9915517000.0,,400083000.0,245974000.0,9874000.0,145647000.0,1.96,196970000.0,49075000.0,64447000.0,147895000.0,509000.0,2.2333,19.9462,0.4947,1.96,464530000.0,0.08603353284030209,0.05251459408866553,0.024806976781946922,,0.04034918199424196,0.08541632996485633,0.13991083234221244,0.014915510709123891,0.04684879265498713,0.0001780312887366704,2.232470291330127,,,,,,,,,,,,0.7807064,168.44,105.1462,1.0354,15035.564,34.7262,4.8361,1.2135
2010-12-31,4906636000.0,2837209000.0,1254925000.0,,2947359000.0,11837000.0,,1039683000.0,,2356175000.0,,103619000.0,65823000.0,827000.0,37026000.0,0.52,140273000.0,6664000.0,14199000.0,133609000.0,11837000.0,,24.1704,0.5906,0.52,117818000.0,0.022332874956868167,0.013415097431315467,0.027936379937822955,,0.04397763324031534,0.021118134705733215,0.03501593000260882,0.05670588984264751,0.05000392585440385,0.00401613783729773,2.260859413909198,24908935000.0,630714000.0,1019755000.0,,570255000.0,1179868000.0,21509000.0,5.03,5.03,0.010032478209426817,47.41061881073039,0.7807064,168.44,105.1462,1.0354,15035.564,34.7262,4.8361,1.2135
2011-04-01,5637613000.0,2933514000.0,1486324000.0,,3040809000.0,379696000.0,,747911000.0,,4914191000.0,,231634000.0,146073000.0,3547000.0,82166000.0,1.15,77027000.0,17378000.0,28408000.0,59649000.0,379696000.0,,26.9055,0.6671,1.15,260042000.0,0.04803754527166948,0.025910434079104046,0.029724729869066952,,0.04713573404045549,0.041087247386438194,0.06771924028761835,0.012138111847911488,0.05291654312988649,0.12486677065215211,1.9736706128677193,24758367000.0,626850000.0,1015904000.0,,536109000.0,1171160000.0,23739000.0,4.9799999999999995,4.9799999999999995,0.32420506164828033,42.79472597834786,0.7807064,168.44,105.1462,1.0354,15035.564,34.7262,4.8361,1.2135
2011-07-01,6039317000.0,3124726000.0,2129815000.0,,3141843000.0,2455000.0,,773819000.0,,7658369000.0,,371014000.0,236749000.0,6115000.0,131531000.0,1.86,159943000.0,,42650000.0,,2455000.0,,17.5184,0.5497,1.86,413664000.0,0.07535354249082465,0.039201287165419534,0.030913762447330496,,0.048445563278551866,0.06143310576344974,0.1179958133739232,,0.05401463418646973,0.0007813885034993792,1.4671349389500965,24844252000.0,694619000.0,1106350000.0,,,1256054000.0,20363000.0,5.49,5.49,0.0019545338018906832,54.33138535579237,0.7807064,168.44,105.1462,1.0354,15035.564,34.7262,4.8361,1.2135
2011-09-30,6049428000.0,3157353000.0,2058045000.0,6049428000.0,3312988000.0,2042000.0,,905633000.0,,-4547071000.0,,-187349000.0,-117616000.0,-1690000.0,-69283000.0,-0.9300000000000002,-140753000.0,,-27637000.0,,2042000.0,1.534,12.4393,0.3967,-0.9300000000000002,-214986000.0,-0.03550148687529203,-0.019442499356964,0.025866321418777056,,0.04120212769934756,-0.03096970490433145,-0.056515023996766243,,0.047280106248615866,0.000616362027269643,1.5341515856067287,10381664000.0,331029000.0,518918000.0,,,576538000.0,8799000.0,2.6,2.6,0.003541830720611651,58.97465621093306,0.7807064,168.44,105.1462,1.0354,15035.564,34.7262,4.8361,1.2135
2011-12-30,6126275000.0,3158521000.0,2023345000.0,6126275000.0,3439179000.0,0.0,,959237000.0,,2631768000.0,,141952000.0,89710000.0,3662000.0,48118000.0,0.7,146182000.0,,13861000.0,,0.0,,14.6544,0.4881,0.7,155813000.0,0.026084713822688496,0.01464348237713782,0.03408735116469233,,0.05393788510233425,0.02317101338088806,0.04127496707789853,,0.059204686735304934,0.0,1.5610392691310677,10657257000.0,354916000.0,557251000.0,,,614533000.0,11634000.0,2.7800000000000002,2.7800000000000002,0.0,47.898487192711016,0.7807064,168.44,105.1462,1.0354,15035.564,34.7262,4.8361,1.2135
2012-03-30,6331770000.0,3265222000.0,1828971000.0,6331770000.0,3545414000.0,285385000.0,,921507000.0,,5334619000.0,,275090000.0,173643000.0,6158000.0,92987000.0,1.35,122036000.0,,28488000.0,,285385000.0,,15.8987,0.5278,1.35,303578000.0,0.04897679086278781,0.027424085208401443,0.03255021586358838,,0.0515669441435274,0.04344598745690383,0.07181008452805798,,0.05690715681850944,0.08049412565077026,1.7852781700748672,11077685000.0,382486000.0,600707000.0,,,658069000.0,14245000.0,2.98,2.98,0.4336703294031477,42.16967356967357,0.7807064,168.44,105.1462,1.0354,15035.564,34.7262,4.8361,1.2135
2012-06-29,6482567000.0,3305469000.0,1571176000.0,6482567000.0,3656686000.0,510645000.0,,898588000.0,,8107493000.0,,428456000.0,271543000.0,9148000.0,143368000.0,2.11,141695000.0,,43023000.0,,510645000.0,,13.3542,0.451,2.11,471479000.0,0.0742593156754504,0.04188819028017759,0.03349284421213808,,0.05284691580985639,0.06609357064878774,0.10281304748770856,,0.05815348838414045,0.13964693714472612,2.103818413723224,11526809000.0,417280000.0,658149000.0,,,715884000.0,17278000.0,3.2299999999999995,3.2299999999999995,0.7133069044705567,38.091735154531776,0.7807064,168.44,105.1462,1.0354,15035.564,34.7262,4.8361,1.2135
