report_date,total_assets,total_liabilities,total_equity,long_term_debt,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,863697000000.0,760038000000.0,75001000000.0,,16330000000.0,,1451000000.0,1734000000.0,-91000000.0,,135724939.0,3195000000.0,0.0,,,0.2825,,,0.019346408714550473,0.0016799873103646302,0.08885486834047765,,,,,0.0,,,,,,,,,,0.6170431,88.07,71.245,4.46677,40046.133,12.9348,1.1221,1.4957
2010-06-30,850531000000.0,745884000000.0,75470000000.0,,39893000000.0,,-799000000.0,3885000000.0,-112000000.0,,135807313.0,9771000000.0,0.0,,,0.2943,,,-0.010586988207234662,-0.000939413143083556,-0.020028576441982304,,,,,0.0,,,,,,,,,,0.6170431,88.07,71.245,4.46677,40046.133,12.9348,1.1221,1.4957
2010-09-30,871965000000.0,761225000000.0,80842000000.0,,55614000000.0,,-3268000000.0,5334000000.0,1044000000.0,,135855328.0,15115000000.0,0.0,,,0.3355,,,-0.04042453180277578,-0.003747856852052548,-0.05876218218434207,,,,,0.0,,,,,,,,,,0.6170431,88.07,71.245,4.46677,40046.133,12.9348,1.1221,1.4957
2010-12-31,683443000000.0,569770000000.0,85319000000.0,,-34536000000.0,,10402000000.0,-3094000000.0,5018000000.0,,-270738300.0,-11171000000.0,0.0,0.0373,3.5616,0.514,,,0.12191891606793329,0.015219996400577663,-0.3011929580727357,,,,,0.0,77301000000.0,7786000000.0,,,7859000000.0,,,,,0.6170431,88.07,71.245,4.46677,40046.133,12.9348,1.1221,1.4957
2011-03-31,611247000000.0,513800000000.0,85026000000.0,,17436000000.0,,269000000.0,1061000000.0,-200000000.0,,1557748353.0,,0.0,,6.0778,0.8556,,,0.0031637381506833206,0.0004400839595122757,0.015427850424409268,,,,,0.0,78407000000.0,6604000000.0,,,7186000000.0,,,,,0.6170431,88.07,71.245,4.46677,40046.133,12.9348,1.1221,1.4957
2011-06-30,616798000000.0,511593000000.0,92681000000.0,,34112000000.0,,2109000000.0,2029000000.0,-488000000.0,,1698001301.0,-3464000000.0,0.0,,4.8021,0.775,,,0.02275547307430865,0.0034192717875220087,0.06182575046904315,,,,,0.0,72626000000.0,9512000000.0,,,5330000000.0,,,,,0.6170431,88.07,71.245,4.46677,40046.133,12.9348,1.1221,1.4957
2011-09-30,544257000000.0,448047000000.0,86031000000.0,,46828000000.0,-3932000000.0,-2000000000.0,2974000000.0,-1122000000.0,,1765905779.0,-1083000000.0,0.0,,4.1215,0.6445,,-3932000000.0,-0.023247434064465135,-0.003674734546363207,-0.04270949004868882,-0.08396685743572221,-0.007224528118150065,-0.04570445537073845,-0.08396685743572221,0.0,63840000000.0,10780000000.0,,,2970000000.0,,,,,0.6170431,88.07,71.245,4.46677,40046.133,12.9348,1.1221,1.4957
2011-12-31,555773000000.0,441444000000.0,104951000000.0,,-34139000000.0,2867000000.0,17420000000.0,-2193000000.0,-16226000000.0,,-3222196936.0,4582000000.0,0.0,,2.2168,0.7511,,2867000000.0,0.1659822202742232,0.03134373206327044,-0.5102668502299423,-0.08398019859984182,0.005158580931423441,0.027317510076130765,-0.08398019859984182,0.0,64237000000.0,17798000000.0,,,3871000000.0,,,,,0.6170431,88.07,71.245,4.46677,40046.133,12.9348,1.1221,1.4957
2012-03-31,554403000000.0,449938000000.0,103451000000.0,,18443000000.0,4584000000.0,3208000000.0,953000000.0,1148000000.0,,1876002775.0,-111000000.0,0.0,,2.4809,0.9141,,4584000000.0,0.03100985007394805,0.005786404474723261,0.17394133275497478,0.2485495852084802,0.008268353526225507,0.04431083314806043,0.2485495852084802,0.0,65244000000.0,20737000000.0,,,3763000000.0,,,,,0.6170431,88.07,71.245,4.46677,40046.133,12.9348,1.1221,1.4957
2012-06-30,555383000000.0,449742000000.0,104709000000.0,,35566000000.0,6335000000.0,5540000000.0,1907000000.0,555000000.0,,1816358625.0,1632000000.0,0.0,,2.4804,0.9407,,6335000000.0,0.05290853699299965,0.009975098265521272,0.15576674351909126,0.17811955238148794,0.01140654287221611,0.06050100755426945,0.17811955238148794,0.0,66698000000.0,24168000000.0,9854000000.0,9854000000.0,3641000000.0,,,0.0,2.7063993408404285,0.6170431,88.07,71.245,4.46677,40046.133,12.9348,1.1221,1.4957
2012-09-30,550723000000.0,448150000000.0,101666000000.0,,53214000000.0,8930000000.0,7396000000.0,2895000000.0,1290000000.0,,1757984154.0,2839000000.0,0.0,,1.7005,0.7628,,8930000000.0,0.07274801801979029,0.013429618882814047,0.1389859811327846,0.16781298154620963,0.01621504821843286,0.08783664155174788,0.16781298154620963,0.0,73084000000.0,33564000000.0,22716000000.0,22716000000.0,3562000000.0,,,0.0,6.377316114542392,0.6170431,88.07,71.245,4.46677,40046.133,12.9348,1.1221,1.4957
2012-12-31,548633000000.0,449630000000.0,98002000000.0,,-41567000000.0,-10527000000.0,-12706000000.0,-3436000000.0,-1423000000.0,,-3763118913.0,-684000000.0,0.0,,15.1581,0.7253,,-10527000000.0,-0.12965041529764698,-0.0231593797675313,0.3056751750186446,0.2532537830490533,-0.019187690131654493,-0.10741617518009837,0.2532537830490533,0.0,65656000000.0,3438000000.0,9322000000.0,9322000000.0,2319000000.0,,,0.0,4.019836136265631,0.6170431,88.07,71.245,4.46677,40046.133,12.9348,1.1221,1.4957
2013-03-31,548880000000.0,448309000000.0,99520000000.0,,15888000000.0,2832000000.0,2206000000.0,577000000.0,694000000.0,1.49,1476678931.0,-149000000.0,0.0,,23.1694,0.796,1.49,2832000000.0,0.022166398713826366,0.004019093426614196,0.13884692849949648,0.1782477341389728,0.005159597726278968,0.02845659163987138,0.1782477341389728,0.0,63101000000.0,2436000000.0,7570000000.0,7570000000.0,1943000000.0,,,0.0,3.8960370560988165,0.6170431,88.07,71.245,4.46677,40046.133,12.9348,1.1221,1.4957
2013-06-30,537438000000.0,439203000000.0,97463000000.0,,33203000000.0,,4937000000.0,1112000000.0,1116000000.0,3.0,1479462612.0,1674000000.0,0.0,,23.4809,0.9121,3.0,,0.05065512040466639,0.009186175893777515,0.14869138330873716,,,,,0.0,60738000000.0,1833000000.0,,,1148000000.0,,,,,0.6170431,88.07,71.245,4.46677,40046.133,12.9348,1.1221,1.4957
2013-09-30,540744000000.0,441229000000.0,98793000000.0,,48029000000.0,,7107000000.0,1628000000.0,123000000.0,4.0,1481410873.0,3948000000.0,0.0,,22.7993,0.9947,4.0,,0.07193829522334579,0.013143002973680706,0.14797309958566698,,,,,0.0,55553000000.0,1544000000.0,,,-119000000.0,,,,,0.6170431,88.07,71.245,4.46677,40046.133,12.9348,1.1221,1.4957
2013-12-31,541329000000.0,440218000000.0,100470000000.0,,-28442000000.0,6536000000.0,-5165000000.0,-1175000000.0,-1573000000.0,-2.3600000000000003,-2956345619.0,392000000.0,0.0,,8.2268,1.0822,-2.3600000000000003,6536000000.0,-0.0514083806111277,-0.009541332535297388,0.18159763729695522,-0.2298009985233106,0.012073988276999754,0.06505424504827312,-0.2298009985233106,0.0,68678000000.0,9085000000.0,,,2142000000.0,6.13,6.13,,,0.6170431,88.07,71.245,4.46677,40046.133,12.9348,1.1221,1.4957
2014-03-31,547111000000.0,442691000000.0,103833000000.0,,16112000000.0,,1609000000.0,479000000.0,614000000.0,1.0,1472510813.0,763000000.0,0.0,,8.5375,1.0614,1.0,,0.015496036905415426,0.0029409023031889323,0.09986345580933466,,,,,0.0,68902000000.0,8488000000.0,,,2044000000.0,5.64,5.64,,,0.6170431,88.07,71.245,4.46677,40046.133,12.9348,1.1221,1.4957
2014-06-30,529109000000.0,420528000000.0,108161000000.0,,32217000000.0,,4682000000.0,942000000.0,2088000000.0,3.0,1468364283.0,1641000000.0,0.0,,8.942,1.1962,3.0,,0.043287321677869105,0.008848838330098335,0.14532700127262005,,,,,0.0,67916000000.0,8233000000.0,,,1874000000.0,5.64,5.64,,,0.6170431,88.07,71.245,4.46677,40046.133,12.9348,1.1221,1.4957
2014-09-30,527190000000.0,418207000000.0,108581000000.0,,48871000000.0,,6874000000.0,1372000000.0,2908000000.0,4.0,1459483233.0,4357000000.0,0.0,,8.7077,1.1554,4.0,,0.06330757683204244,0.013038942316811776,0.1406560127683084,,,,,0.0,68758000000.0,8000000000.0,,,1618000000.0,5.64,5.64,,,0.6170431,88.07,71.245,4.46677,40046.133,12.9348,1.1221,1.4957
2014-12-31,515581000000.0,408309000000.0,106898000000.0,,-32794000000.0,,-5636000000.0,-1075000000.0,-2683000000.0,-3.0,-2952804677.0,-1754000000.0,0.0,,10.2356,1.191,-3.0,,-0.05272315665400662,-0.010931357051559308,0.1718607062267488,,,,,0.0,64406000000.0,7529000000.0,,,1718000000.0,5.0,5.0,,,0.6170431,88.07,71.245,4.46677,40046.133,12.9348,1.1221,1.4957
2015-03-31,520701000000.0,412334000000.0,107979000000.0,,15975000000.0,,2468000000.0,340000000.0,1300000000.0,1.0,1386263549.0,388000000.0,0.0,,8.8441,1.1491,1.0,,0.02285629613165523,0.004739764279308087,0.15449139280125196,,,,,0.0,64269000000.0,8388000000.0,,,1579000000.0,5.0,5.0,,,0.6170431,88.07,71.245,4.46677,40046.133,12.9348,1.1221,1.4957
2015-09-30,501985000000.0,402366000000.0,98999000000.0,30719000000.0,44496000000.0,,4037000000.0,977000000.0,2142000000.0,2.0,1357108784.0,2234000000.0,30719000000.0,,15.6689,1.2131,2.0,,0.04077818967868362,0.008042072970307878,0.09072725638259618,,,,,0.310296063596602,76548000000.0,7743000000.0,,,1614000000.0,4.0,4.0,,,0.6170431,88.07,71.245,4.46677,40046.133,12.9348,1.1221,1.4957
2015-12-31,496943000000.0,406733000000.0,89658000000.0,29350000000.0,58327000000.0,,2196000000.0,1281000000.0,1059000000.0,1.0,1334464883.0,2877000000.0,29350000000.0,,34.9079,1.3011,1.0,,0.024493073679983938,0.0044190178752895205,0.03764980197850052,,,,,0.3273550603404046,86004000000.0,3065000000.0,,,1523000000.0,1.0,1.0,,,0.6170431,88.07,71.245,4.46677,40046.133,12.9348,1.1221,1.4957
2016-03-31,502777000000.0,413696000000.0,88518000000.0,31952000000.0,11779000000.0,,-183000000.0,306000000.0,-58000000.0,0.0,1156548459.0,-968000000.0,31952000000.0,,,1.1177,0.0,,-0.002067376126889446,-0.0003639784636130929,-0.015536123609814077,,,,,0.3609661311823584,130577000000.0,8518000000.0,,,2904000000.0,4.0,4.0,,,0.6170431,88.07,71.245,4.46677,40046.133,12.9348,1.1221,1.4957
2016-06-30,510349000000.0,419812000000.0,89946000000.0,33329000000.0,26503000000.0,,1730000000.0,626000000.0,866000000.0,1.0,1163089748.0,571000000.0,33329000000.0,,,1.1002,1.0,,0.019233762479710047,0.0033898371506557276,0.06527562917405577,,,,,0.37054454895159317,141105000000.0,7780000000.0,,,3190000000.0,4.0,4.0,,,0.6170431,88.07,71.245,4.46677,40046.133,12.9348,1.1221,1.4957
2016-09-30,514568000000.0,425403000000.0,88663000000.0,32277000000.0,39357000000.0,,2192000000.0,955000000.0,1170000000.0,1.0,1142700207.0,1753000000.0,32277000000.0,,181.0057,1.1841,1.0,,0.024722826883818504,0.004259884019216119,0.05569530197931753,,,,,0.36404137013184756,135966000000.0,5935000000.0,,,3168000000.0,3.0,3.0,,,0.6170431,88.07,71.245,4.46677,40046.133,12.9348,1.1221,1.4957
