report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,shares_outstanding,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,eps,ebitda,roe,roa,roi,roic,debt_equity,current_ratio,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap
2011-09-30,172553000000.0,,,152353000000.0,20200000000.0,13544000000.0,5500000000.0,537001000000.0,,573000000.0,867000000.0,136000000.0,0.81,524888000.0,3739000000.0,78000000.0,,3661000000.0,13544000000.0,,0.81,,0.028366336633663367,0.003320718851599219,,,0.6704950495049505,,,,,,,,,,0.36321574,33.99,2.94,0.0518,48.797802
2011-12-31,176859000000.0,,,156793000000.0,20066000000.0,10908000000.0,4509000000.0,536967000000.0,,647000000.0,1116000000.0,79000000.0,0.94,528000000.0,4628000000.0,131000000.0,,4497000000.0,10908000000.0,,0.94,,0.032243596132761884,0.00365828145584901,,,0.5436060998704276,,,,,,,,,,0.36321574,33.99,2.94,0.0518,48.797802
2012-03-31,178226000000.0,,,157985000000.0,20241000000.0,11894000000.0,5981000000.0,538056000000.0,,250000000.0,223000000.0,69000000.0,0.46,536407000.0,102000000.0,48000000.0,,54000000.0,11894000000.0,,0.46,,0.012351168420532582,0.0014027134088180175,,,0.5876191887752581,,,,,,,,,,0.36321574,33.99,2.94,0.0518,48.797802
2012-06-30,178257000000.0,,,157689000000.0,20568000000.0,13076000000.0,6739000000.0,538398000000.0,,525000000.0,441000000.0,160000000.0,0.96,536951000.0,1792000000.0,112000000.0,,1680000000.0,13076000000.0,,0.96,,0.025525087514585765,0.0029451858833033206,,,0.6357448463632828,,1995000000.0,,9892000000.0,,2647000000.0,3.17,3.17,,0.36321574,33.99,2.94,0.0518,48.797802
2012-09-30,173181000000.0,,,152782000000.0,20399000000.0,10765000000.0,5607000000.0,538821000.0,,1602000000.0,615000000.0,710000000.0,2.94,537538000.0,946000000.0,168000000.0,,778000000.0,10765000000.0,,2.94,,0.07853326143438404,0.009250437403641277,,,0.5277219471542722,,3024000000.0,,7009000000.0,,2395000000.0,5.3,5.3,,0.36321574,33.99,2.94,0.0518,48.797802
2012-12-31,173442000000.0,,,152457000000.0,20985000000.0,9357000000.0,8257000000.0,538959000.0,,-419000000.0,-514000000.0,-166000000.0,-0.7699999999999996,-1072835000.0,-830000000.0,-122000000.0,,-952000000.0,9357000000.0,,-0.7699999999999996,,-0.019966642840123897,-0.0024157931758166996,,,0.44588992137240885,,1958000000.0,,1560000000.0,,765000000.0,3.59,3.59,,0.36321574,33.99,2.94,0.0518,48.797802
2013-03-31,172435000000.0,,,151241000000.0,21194000000.0,9331000000.0,5962000000.0,540187000.0,,352000000.0,138000000.0,151000000.0,0.63,539862000.0,621000000.0,28000000.0,,593000000.0,9331000000.0,,0.63,,0.01660847409644239,0.0020413489140835676,,,0.44026611305086344,,2060000000.0,,2099000000.0,,680000000.0,3.7600000000000002,3.7600000000000002,,0.36321574,33.99,2.94,0.0518,48.797802
2013-12-31,175335000000.0,,,153913000000.0,21422000000.0,10700000000.0,5263000000.0,536097000.0,,1344000000.0,535000000.0,273000000.0,2.41,539093000.0,4208000000.0,200000000.0,,4008000000.0,10700000000.0,,2.41,,0.06273924003361031,0.00766532637522457,,,0.4994865091961535,,2879000000.0,,4427000000.0,,774000000.0,5.210000000000001,5.210000000000001,,0.36321574,33.99,2.94,0.0518,48.797802
2019-03-31,220425000000.0,,,195602000000.0,24823000000.0,17395000000.0,5932000000.0,443713000.0,,580000000.0,443000000.0,104000000.0,1.24,446662000.0,-823000000.0,81000000.0,,-904000000.0,17395000000.0,,1.24,,0.02336542722475124,0.0026312804808891915,,,0.700761390645772,,1857000000.0,,2745000000.0,,602000000.0,3.5100000000000007,3.5100000000000007,,0.36321574,33.99,2.94,0.0518,48.797802
2023-12-31,71345291.0,28351017.0,71213298.0,75535798.0,-28533250.0,,,,,-19775602.0,,1579608.0,-3.64,10865886.0,-2661093.0,,,,0.0,0.3981,-3.64,,0.6930721877108286,-0.2771816012356022,,,-0.0,0.3981140853777057,2256224398.0,,,,,0.6399999999999997,0.6399999999999997,,0.36321574,33.99,2.94,0.0518,48.797802
