report_date,total_assets,total_liabilities,total_equity,cash,revenue,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,roe,roa,net_margin,debt_equity,revenue_ttm,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2010-06-30,7738306000.0,4445791000.0,2963708000.0,596718000.0,363996000.0,-6797000.0,107649000.0,-2590000.0,-0.08,110271000.0,72786000.0,125268000.0,0.0,,6.9198,43.2772,-0.08,-0.002293410821848846,-0.0008783576147027527,-0.018673282123979385,0.0,,,,,,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2010-09-30,7699522000.0,4468023000.0,2917066000.0,486426000.0,554674000.0,1632000.0,159311000.0,-5252000.0,,116992000.0,126825000.0,191718000.0,0.0,,8.2134,,,0.0005594662582197317,0.00021196121005953355,0.002942268792119335,0.0,,,,,,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2010-12-31,7645010000.0,4445648000.0,2890279000.0,445645000.0,758559000.0,25190000.0,212818000.0,-9202000.0,0.19,120346000.0,200435000.0,260252000.0,0.0,0.5696,9.0427,266.7583,0.19,0.008715421590787602,0.003294959718823128,0.03320770038981806,0.0,,,,,,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2011-03-31,7498278000.0,4360624000.0,2825761000.0,188025000.0,191069000.0,34000.0,51997000.0,-2478000.0,,130574000.0,41548000.0,68003000.0,0.0,,9.5422,,,1.2032157001246743e-05,4.534374425701475e-06,0.00017794618697957284,0.0,1868298000.0,20059000.0,531775000.0,,,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2011-06-30,7449780000.0,4397655000.0,2769045000.0,73229000.0,380992000.0,-19182000.0,101029000.0,-4246000.0,-0.15,131136000.0,89860000.0,137352000.0,0.0,,10.3065,597.6937,-0.15,-0.006927298039576822,-0.0025748411362483186,-0.05034751385855871,0.0,1885294000.0,7674000.0,525155000.0,,,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2011-09-30,7629104000.0,4642564000.0,2719731000.0,139420000.0,583674000.0,-6241000.0,150182000.0,-5811000.0,-0.06,131459000.0,180485000.0,208832000.0,0.0,,8.0705,352.3035,-0.06,-0.0022947122344084765,-0.0008180515038201078,-0.010692612657065417,0.0,1914294000.0,-199000.0,516026000.0,,,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2011-12-31,7938549000.0,4773898000.0,2813337000.0,67248000.0,-364485000.0,182255000.0,-107923000.0,6425000.0,1.39,-261541000.0,-74608000.0,-131544000.0,0.0,0.1432,9.5934,46.7067,1.39,0.06478249850622232,0.022958225741253217,-0.5000342949641274,0.0,791250000.0,156866000.0,195285000.0,,,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2012-03-31,8069835000.0,4997711000.0,2724722000.0,229260000.0,214729000.0,-14068000.0,44019000.0,1850000.0,-0.11,132273000.0,86221000.0,81002000.0,0.0,,9.8177,53.7602,-0.11,-0.005163095537820005,-0.0017432822356343097,-0.06551513768517526,0.0,814910000.0,142764000.0,187307000.0,1.0699999999999998,1.0699999999999998,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2012-06-30,7731053000.0,4593275000.0,2796258000.0,89797000.0,414485000.0,119286000.0,85821000.0,-1225000.0,0.9,132611000.0,144598000.0,156843000.0,0.0,,9.9832,26.7277,0.9,0.04265915376907281,0.01542946348964365,0.28779328564363005,0.0,848403000.0,281232000.0,172099000.0,2.12,2.12,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2012-09-30,7609856000.0,4324148000.0,2938030000.0,76553000.0,630160000.0,163179000.0,128443000.0,-2159000.0,1.22,133187000.0,256179000.0,234410000.0,0.0,,9.4219,23.1403,1.22,0.055540276988322104,0.02144311272118684,0.258948521010537,0.0,894889000.0,450652000.0,150360000.0,3.4,3.4,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
