report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,short_term_debt,cash,revenue,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-06-30,582407000.0,146310000.0,237470000.0,306837000.0,275570000.0,,19286000.0,,,,27148000.0,0.46,99295000.0,59037000.0,4522000.0,17967000.0,54515000.0,0.0,,23.3553,1.8713,0.46,,,,,,,,,,0.0,0.6161199309386449,,,,,,,,,0.81757855,66.14,49.728,2.77041,26022.28,49.4058,21.1649,6.9189
2010-09-30,607625000.0,150861000.0,255656000.0,321184000.0,286441000.0,,20250000.0,,,,42604000.0,0.71,99029000.0,92419000.0,6790000.0,27043000.0,85629000.0,0.0,,25.3779,2.0639,0.71,,,,,,,,,,0.0,0.5900937196858278,,,,,,,,,0.81757855,66.14,49.728,2.77041,26022.28,49.4058,21.1649,6.9189
2010-12-31,619014000.0,151021000.0,246441000.0,321044000.0,297970000.0,,20913000.0,,,,53543000.0,0.61,148231000.0,124053000.0,13036000.0,36408000.0,111017000.0,0.0,0.6128,32.2907,2.5564,0.61,,,,,,,,,,0.0,0.6128079337447908,,,,,,,,,0.81757855,66.14,49.728,2.77041,26022.28,49.4058,21.1649,6.9189
2011-03-31,614205000.0,147244000.0,241916000.0,312985000.0,301220000.0,,23340000.0,,,,11215000.0,0.13,147570000.0,32954000.0,3345000.0,9200000.0,29609000.0,0.0,,32.9274,2.5934,0.13,,,,,,,,,,0.0,0.608657550554738,,,,280770000.0,,1.91,1.91,,0.81757855,66.14,49.728,2.77041,26022.28,49.4058,21.1649,6.9189
2011-06-30,637132000.0,169476000.0,249249000.0,323949000.0,313183000.0,,25820000.0,,,,29722000.0,0.34,147441000.0,74340000.0,7600000.0,18488000.0,66740000.0,0.0,,31.8282,2.5527,0.34,,,,,,,,,,0.0,0.6799465594646318,,,,292995000.0,,1.79,1.79,,0.81757855,66.14,49.728,2.77041,26022.28,49.4058,21.1649,6.9189
2011-09-30,632423000.0,171880000.0,235913000.0,305925000.0,326498000.0,,30219000.0,,,79116000.0,47327000.0,0.54,147161000.0,115106000.0,13381000.0,27825000.0,101725000.0,0.0,,27.9611,2.2985,0.54,,0.24231695140552162,0.12509981452287472,,,,,,,0.0,0.7285736691068317,,,,309091000.0,,1.62,1.62,,0.81757855,66.14,49.728,2.77041,26022.28,49.4058,21.1649,6.9189
2011-12-31,645650000.0,175822000.0,225851000.0,321653000.0,323997000.0,,46275000.0,,,21595000.0,-27879000.0,-0.32000000000000006,-295226000.0,-67753000.0,-5674000.0,-18010000.0,-73427000.0,0.0,0.7782,32.3962,2.7073,-0.32000000000000006,,0.06665185171467637,0.033446913962673276,,,,,,,0.0,0.7784867014093363,,,,124647000.0,,0.6900000000000002,0.6900000000000002,,0.81757855,66.14,49.728,2.77041,26022.28,49.4058,21.1649,6.9189
2012-03-31,662806000.0,190575000.0,228583000.0,326551000.0,336255000.0,,59684000.0,,,23080000.0,13661000.0,0.16,146714000.0,37089000.0,3714000.0,9767000.0,33375000.0,0.0,,29.4904,2.5369,0.16,,0.0686383845593374,0.034821652187819664,,,,,,,0.0,0.8337234177519763,,,,128413000.0,,0.7200000000000001,0.7200000000000001,,0.81757855,66.14,49.728,2.77041,26022.28,49.4058,21.1649,6.9189
2012-06-30,680774000.0,210309000.0,240740000.0,336467000.0,344307000.0,,62060000.0,,,33127000.0,20051000.0,0.23,146428000.0,,,,,0.0,,30.7301,2.6623,0.23,,0.09621355360187275,0.04866078904305981,,,,,,,0.0,0.8735939187505193,,156918000.0,,,,0.6100000000000001,0.6100000000000001,,0.81757855,66.14,49.728,2.77041,26022.28,49.4058,21.1649,6.9189
2012-09-30,706029000.0,241678000.0,240601000.0,337369000.0,368660000.0,,93713000.0,,,32211000.0,19486000.0,0.22,146061000.0,,,,,0.0,,30.4491,2.6716,0.22,,0.08737318938859653,0.04562277186914419,,,,,,,0.0,1.0044762906222335,,110013000.0,,,,0.29000000000000004,0.29000000000000004,,0.81757855,66.14,49.728,2.77041,26022.28,49.4058,21.1649,6.9189
