report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda
2011-10-01,4267799000.0,2414258000.0,367449000.0,4267799000.0,2492414000.0,,602952000.0,1170672000.0,746976000.0,343134000.0,280660000.0,46065000.0,1.03,273009000.0,437278000.0,31417000.0,405861000.0,0.0,,12.0978,3.085,1.03,343134000.0,0.11260569070788401,0.06576223481939988,0.23974264354148728,0.6380745418016319,0.2931085735372504,0.08040069365965923,0.13767134994427088,0.3466906187215548,0.2931085735372504,0.0,6.570321323503398,,,,,,,,,
2011-12-31,4345100000.0,2352554000.0,382437000.0,4345100000.0,2560976000.0,,661325000.0,1681763000.0,1083262000.0,480259000.0,407674000.0,48989000.0,1.5,271713000.0,618248000.0,50401000.0,567847000.0,0.0,,14.9952,3.7513,1.5,480259000.0,0.15918696621912895,0.09382384755241537,0.24240871038309203,0.6441228639231569,0.2855687751484603,0.11052887160249476,0.1875296761859541,0.3376498353216238,0.2855687751484603,0.0,6.151481158988278,,,,,,,,,
2012-03-31,4464122000.0,2450309000.0,342776000.0,4464122000.0,2707685000.0,,788822000.0,2240736000.0,1454658000.0,627773000.0,530079000.0,66972000.0,1.95,272157000.0,826739000.0,70071000.0,756668000.0,0.0,7.1479,18.1373,4.2907,1.95,627773000.0,0.19576834085205627,0.11874205050847625,0.23656468231866673,0.6491875883638233,0.2801637497679334,0.1406263090480054,0.23184860868232457,0.33768725990031845,0.2801637497679334,0.0,7.148426377576026,,,,,,,,,
2012-06-30,4493231000.0,2302180000.0,360160000.0,4493231000.0,2704080000.0,,526189000.0,582784000.0,384373000.0,164577000.0,129831000.0,25074000.0,0.47,273820000.0,162946000.0,8342000.0,154604000.0,0.0,,17.3326,3.9679,0.47,164577000.0,0.048013002573888346,0.028894797529884397,0.22277722106303535,0.6595462469800132,0.2823979381726334,0.03662776296166389,0.06086247448300346,0.265285251482539,0.2823979381726334,0.0,6.39210350955131,5675955000.0,1348244000.0,1615743000.0,3669269000.0,1884980000.0,1615743000.0,4.95,4.95,0.0
2012-09-29,4548634000.0,2250058000.0,342656000.0,4548634000.0,2751691000.0,,595119000.0,1126717000.0,740593000.0,312663000.0,253268000.0,39720000.0,0.93,272182000.0,360316000.0,15978000.0,344338000.0,0.0,,17.5162,4.0075,0.93,312663000.0,0.09204085778526731,0.05568001294454555,0.22478404071297406,0.6573017004269928,0.2774991413105509,0.06873777929813654,0.11362576684664084,0.30561179071585853,0.2774991413105509,0.0,6.566521525961898,5632000000.0,1320852000.0,1585272000.0,3662886000.0,1823457000.0,1585272000.0,4.85,4.85,0.0
2012-12-29,4612907000.0,2263571000.0,335542000.0,4612907000.0,2816125000.0,,623137000.0,1636484000.0,1079867000.0,433505000.0,356916000.0,51765000.0,1.31,271861000.0,482884000.0,24053000.0,458831000.0,0.0,,19.5262,4.2619,1.31,433505000.0,0.12674011274357494,0.07737333529594245,0.21809929091882352,0.6598701851041623,0.26490023733809803,0.09397653150171899,0.15393670380398597,0.2803760990024956,0.26490023733809803,0.0,6.746013911820278,5586721000.0,1270094000.0,1538518000.0,3659491000.0,1714441000.0,1538518000.0,4.66,4.66,0.0
2013-03-30,4729451000.0,2297639000.0,386788000.0,4729451000.0,2963296000.0,,623558000.0,-1177333000.0,-773387000.0,-330013000.0,-252479000.0,-57089000.0,-0.9199999999999999,-545290000.0,-349609000.0,-18108000.0,-367717000.0,0.0,5.94,20.2048,4.5409,-0.9199999999999999,-330013000.0,-0.0852020857855577,-0.05338442030586637,0.21444994746601004,0.6568974113526079,0.2803055720004451,-0.06977828927712751,-0.11136686986382731,0.31233049612981206,0.2803055720004451,0.0,5.940305800593607,2168652000.0,487536000.0,580732000.0,1431446000.0,590056000.0,580732000.0,1.79,1.79,0.0
2013-12-28,5001801000.0,2947826000.0,1432077000.0,5001801000.0,2921728000.0,,631879000.0,1764708000.0,1221400000.0,559410000.0,474361000.0,59315000.0,1.66,285380000.0,615542000.0,30717000.0,584825000.0,0.0,,20.241,5.3315,1.66,559410000.0,0.1623563179050206,0.09483803933823037,0.2688042441015737,0.6921258361156634,0.3169986196016565,0.11184171461439589,0.19146546153509156,0.3314004356528106,0.3169986196016565,0.0,2.0584270259210924,3350576000.0,832066000.0,975565000.0,2268473000.0,1020277000.0,975565000.0,2.98,2.98,0.0
2019-03-30,5151348000.0,3891978000.0,475036000.0,5151348000.0,2861509000.0,1234807000.0,1544490000.0,3059040000.0,2103172000.0,956799000.0,889750000.0,78582000.0,3.47,256434000.0,1091215000.0,89045000.0,1002170000.0,1234807000.0,8.1937,36.9146,10.7358,3.47,956799000.0,0.3109373411021947,0.17272178078436945,0.2908592238087766,0.6875268057952821,0.3127775380511533,0.18573759722697825,0.2335754858756014,0.3276093153407605,0.3127775380511533,0.43152301809989063,8.193016950294293,5282899000.0,1468548000.0,1619701000.0,3631052000.0,1678109000.0,1619701000.0,5.52,5.52,0.762367251733499
2021-04-03,5519201000.0,3746262000.0,624555000.0,5519201000.0,2886961000.0,1492688000.0,,3147599000.0,2152995000.0,753139000.0,646508000.0,83170000.0,2.62,247229000.0,1093221000.0,49665000.0,1043556000.0,1492688000.0,5.9979,49.697,10.2075,2.62,753139000.0,0.22394067671852858,0.11713796978946771,0.2053971932256936,0.6840118452191655,0.239274126087853,0.13645797643535723,0.17196332400153527,0.3315403264520036,0.239274126087853,0.517044740126382,5.998289982467517,6794014000.0,1758140000.0,1939335000.0,4704180000.0,2262834000.0,1939335000.0,6.83,6.83,0.7696906413796482
