report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,9286000000.0,3640000000.0,1516000000.0,6583000000.0,2518000000.0,4100000000.0,1378000000.0,1852000000.0,492000000.0,78000000.0,-7000000.0,58000000.0,18000000.0,-0.02,-120000000.0,,4100000000.0,,,0.713,-0.02,78000000.0,-0.0027799841143764893,-0.0007538229592935602,-0.003779697624190065,0.265658747300216,0.042116630669546434,0.008399741546413956,0.011786038077969175,0.042116630669546434,1.6282764098490865,2.401055408970976,,,,,,,,,,,1.3002229,79.19,56.55,2.72977,12037.246,14.8792,73.7123,1.5918
2010-06-30,9191000000.0,3678000000.0,1618000000.0,6583000000.0,2447000000.0,4038000000.0,1384000000.0,3900000000.0,1038000000.0,197000000.0,-4000000.0,125000000.0,22000000.0,-0.02,67000000.0,,4038000000.0,,,0.4897,-0.02,197000000.0,-0.0016346546791990192,-0.0004352083560004352,-0.0010256410256410256,0.26615384615384613,0.050512820512820515,0.021434011533021435,0.03037779491133385,0.050512820512820515,1.65018389865141,2.273176761433869,,,,,,,,,,,1.3002229,79.19,56.55,2.72977,12037.246,14.8792,73.7123,1.5918
2010-09-30,9253000000.0,3733000000.0,1558000000.0,6553000000.0,2505000000.0,4036000000.0,1537000000.0,5857000000.0,1532000000.0,299000000.0,-9000000.0,188000000.0,53000000.0,-0.03,236000000.0,,4036000000.0,,,0.509,-0.03,299000000.0,-0.003592814371257485,-0.0009726575164811412,-0.001536622844459621,0.26156735530134884,0.05105002561038074,0.032313844158651246,0.04571166488304541,0.05105002561038074,1.6111776447105788,2.39602053915276,,,,,,,,,,,1.3002229,79.19,56.55,2.72977,12037.246,14.8792,73.7123,1.5918
2010-12-31,8140000000.0,3464000000.0,1487000000.0,6558000000.0,1384000000.0,4032000000.0,1715000000.0,-4017000000.0,-1222000000.0,-1073000000.0,-1023000000.0,-120000000.0,132000000.0,-2.93,282000000.0,,4032000000.0,2.3295,,0.6063,-2.93,-1073000000.0,-0.7391618497109826,-0.12567567567567567,0.2546676624346527,0.3042071197411003,0.2671147622603933,-0.1318181818181818,-0.19811669128508125,0.2671147622603933,2.913294797687861,2.3295225285810357,7592000000.0,-1043000000.0,-499000000.0,1840000000.0,-499000000.0,251000000.0,-3.0,-3.0,-8.080160320641282,-1.9880478087649402,1.3002229,79.19,56.55,2.72977,12037.246,14.8792,73.7123,1.5918
2011-03-31,8246000000.0,3595000000.0,1626000000.0,6696000000.0,1326000000.0,4030000000.0,1505000000.0,1772000000.0,425000000.0,21000000.0,-46000000.0,63000000.0,13000000.0,-0.13,-160000000.0,,4030000000.0,,,0.6759,-0.13,21000000.0,-0.03469079939668175,-0.005578462284744118,-0.025959367945823927,0.23984198645598195,0.011851015801354402,0.0025466893039049238,0.00392083644510829,0.011851015801354402,3.0392156862745097,2.210947109471095,7512000000.0,-1082000000.0,-556000000.0,1773000000.0,-556000000.0,256000000.0,-3.11,-3.11,-7.248201438848921,-2.171875,1.3002229,79.19,56.55,2.72977,12037.246,14.8792,73.7123,1.5918
2011-06-30,8418000000.0,3831000000.0,1800000000.0,6881000000.0,1315000000.0,4027000000.0,1611000000.0,3794000000.0,957000000.0,112000000.0,-38000000.0,127000000.0,51000000.0,-0.11,-31000000.0,,4027000000.0,,,0.5872,-0.11,112000000.0,-0.028897338403041824,-0.004514136374435733,-0.010015814443858724,0.2522403795466526,0.02952029520295203,0.013304822998336897,0.020965930363159864,0.02952029520295203,3.062357414448669,2.1283333333333334,7406000000.0,-1116000000.0,-641000000.0,1692000000.0,-641000000.0,258000000.0,-3.2,-3.2,-6.282371294851794,-2.4844961240310077,1.3002229,79.19,56.55,2.72977,12037.246,14.8792,73.7123,1.5918
2011-09-30,8212000000.0,3711000000.0,2485000000.0,6725000000.0,1267000000.0,3224000000.0,1610000000.0,5800000000.0,1452000000.0,214000000.0,-2000000.0,190000000.0,63000000.0,-0.01,95000000.0,,3224000000.0,,,0.3367,-0.01,214000000.0,-0.0015785319652722968,-0.00024354603019970775,-0.0003448275862068965,0.2503448275862069,0.03689655172413793,0.02605942523136873,0.04765085727009575,0.03689655172413793,2.5445935280189422,1.4933601609657947,7349000000.0,-1109000000.0,-726000000.0,1612000000.0,-726000000.0,260000000.0,-3.18,-3.18,-4.440771349862259,-2.792307692307692,1.3002229,79.19,56.55,2.72977,12037.246,14.8792,73.7123,1.5918
2011-12-31,7297000000.0,3429000000.0,2363000000.0,6555000000.0,527000000.0,3222000000.0,1656000000.0,-3899000000.0,-1050000000.0,-642000000.0,-489000000.0,-126000000.0,-176000000.0,-1.41,335000000.0,,3222000000.0,1.4511,,0.5117,-1.41,-642000000.0,-0.9278937381404174,-0.06701384130464574,0.1254167735316748,0.26929982046678635,0.16465760451397796,-0.08798136220364533,-0.1712456655108029,0.16465760451397796,6.1138519924098675,1.4511214557765553,7467000000.0,-575000000.0,-295000000.0,1784000000.0,-295000000.0,254000000.0,-1.66,-1.66,-10.922033898305084,-1.1614173228346456,1.3002229,79.19,56.55,2.72977,12037.246,14.8792,73.7123,1.5918
2012-03-31,7750000000.0,3901000000.0,2378000000.0,6958000000.0,559000000.0,3622000000.0,1788000000.0,1875000000.0,485000000.0,102000000.0,33000000.0,64000000.0,4000000.0,0.09,-167000000.0,,3622000000.0,,,0.6282,0.09,102000000.0,0.059033989266547404,0.0042580645161290325,0.0176,0.25866666666666666,0.0544,0.013161290322580645,0.024396077493422628,0.0544,6.479427549194991,1.6404541631623213,7570000000.0,-496000000.0,-214000000.0,1844000000.0,-214000000.0,255000000.0,-1.4399999999999997,-1.4399999999999997,-16.925233644859812,-0.8392156862745098,1.3002229,79.19,56.55,2.72977,12037.246,14.8792,73.7123,1.5918
2012-06-30,7759000000.0,3990000000.0,2551000000.0,7140000000.0,429000000.0,3622000000.0,1853000000.0,3879000000.0,1010000000.0,149000000.0,-42000000.0,132000000.0,34000000.0,-0.12,-4000000.0,,3622000000.0,,,0.6623,-0.12,149000000.0,-0.0979020979020979,-0.005413068694419384,-0.01082753286929621,0.26037638566640886,0.038411961845836555,0.019203505606392578,0.0367810417180943,0.038411961845836555,8.442890442890443,1.564092512740102,7655000000.0,-500000000.0,-177000000.0,1897000000.0,-177000000.0,260000000.0,-1.45,-1.45,-20.463276836158194,-0.6807692307692308,1.3002229,79.19,56.55,2.72977,12037.246,14.8792,73.7123,1.5918
