report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-06-30,1641900000.0,918900000.0,,,1117800000.0,177500000.0,320300000.0,705700000.0,506700000.0,,,,26700000.0,0.88,118900000.0,61000000.0,23700000.0,27700000.0,37300000.0,177500000.0,,28.0502,4.6062,0.88,,,,,0.7180104860422276,,,,0.05285532095791413,,0.15879405976024333,,,,,,,,,,,,0.8876006,87.89,65.94,4.88099,47979.887,44.6948,4.7855,7.9076
2010-09-30,1725400000.0,992400000.0,382200000.0,,1233500000.0,,361000000.0,1054600000.0,759800000.0,,,,44900000.0,1.29,118900000.0,157400000.0,40100000.0,41100000.0,117300000.0,0.0,,37.8494,5.4236,1.29,,,,,0.720462734686137,,,,0.11122700549971554,,0.0,2.596546310832025,,,,,,,,,,,0.8876006,87.89,65.94,4.88099,47979.887,44.6948,4.7855,7.9076
2010-12-31,1767200000.0,1032600000.0,337800000.0,,1308200000.0,,396100000.0,1447000000.0,1038700000.0,,,2400000.0,50200000.0,1.83,119200000.0,251400000.0,61800000.0,56500000.0,189600000.0,0.0,3.0568,42.3404,6.3789,1.83,,,,,0.71782999308915,,,,0.1310297166551486,,0.0,3.0568383658969807,,,,,,,,,,,0.8876006,87.89,65.94,4.88099,47979.887,44.6948,4.7855,7.9076
2011-03-31,1931100000.0,1150300000.0,445200000.0,,1357800000.0,,433800000.0,404500000.0,287700000.0,,,,20700000.0,0.53,120500000.0,14900000.0,13900000.0,14500000.0,1000000.0,0.0,,42.6498,6.6106,0.53,,,,,0.711248454882571,,,,0.002472187886279357,,0.0,2.583782569631626,3611800000.0,,,2592900000.0,345200000.0,,,4.53,4.53,,0.8876006,87.89,65.94,4.88099,47979.887,44.6948,4.7855,7.9076
2011-06-30,2002400000.0,1216800000.0,313300000.0,,1385200000.0,,468200000.0,835700000.0,591100000.0,,,,35400000.0,1.01,120200000.0,74200000.0,31100000.0,29300000.0,43100000.0,0.0,,42.5797,6.3397,1.01,,,,,0.7073112360895059,,,,0.051573531171473015,,0.0,3.883817427385892,3741800000.0,,,2677300000.0,351000000.0,,,4.66,4.66,,0.8876006,87.89,65.94,4.88099,47979.887,44.6948,4.7855,7.9076
2011-09-30,1982900000.0,1181900000.0,302000000.0,1982900000.0,1354600000.0,,451100000.0,1248400000.0,878200000.0,,173600000.0,,41400000.0,1.45,119800000.0,171400000.0,50600000.0,43200000.0,120800000.0,0.0,,34.3708,4.9939,1.45,,0.12815591318470398,0.0875485400171466,0.13905799423261775,0.7034604293495674,,,,0.09676385773790452,,0.0,3.9135761589403972,3935600000.0,,,2795700000.0,354500000.0,,,4.82,4.82,,0.8876006,87.89,65.94,4.88099,47979.887,44.6948,4.7855,7.9076
2011-12-31,1980500000.0,1168500000.0,335200000.0,1980500000.0,1337900000.0,,171200000.0,-810000000.0,-568200000.0,,63100000.0,3100000.0,-50600000.0,-1.0100000000000002,-241100000.0,54000000.0,-12700000.0,-29000000.0,41300000.0,0.0,3.486,34.6997,4.893,-1.0100000000000002,,0.04716346513192316,0.03186064125220904,-0.07790123456790124,0.7014814814814815,,,,-0.05098765432098765,,0.0,3.485978520286396,1678600000.0,,,1188800000.0,206200000.0,,,1.9799999999999998,1.9799999999999998,,0.8876006,87.89,65.94,4.88099,47979.887,44.6948,4.7855,7.9076
2012-03-31,2004200000.0,1188000000.0,,2004200000.0,1390300000.0,,213300000.0,459200000.0,331900000.0,,65100000.0,,20500000.0,0.55,118000000.0,-30700000.0,18000000.0,13800000.0,-48700000.0,0.0,,35.2023,4.8316,0.55,,0.04682442638279508,0.03248178824468616,0.14176829268292682,0.7227787456445993,,,,-0.10605400696864112,,0.0,,1733300000.0,,,1233000000.0,156500000.0,,,1.9999999999999998,1.9999999999999998,,0.8876006,87.89,65.94,4.88099,47979.887,44.6948,4.7855,7.9076
2012-06-30,2075100000.0,1278800000.0,,2075100000.0,1434600000.0,,304300000.0,941200000.0,684100000.0,,132900000.0,,42600000.0,1.12,118200000.0,116100000.0,39200000.0,27800000.0,76900000.0,0.0,,48.2322,6.6937,1.12,,0.09263906315349227,0.06404510625993928,0.1412027199320017,0.7268380790480238,,,,0.08170420739481513,,0.0,,1838800000.0,434700000.0,,1326000000.0,190300000.0,,,2.11,2.11,,0.8876006,87.89,65.94,4.88099,47979.887,44.6948,4.7855,7.9076
2012-09-30,2195800000.0,1387700000.0,,2195800000.0,1536300000.0,,305800000.0,1389100000.0,1020300000.0,,202100000.0,,66800000.0,1.71,118400000.0,247400000.0,64900000.0,42200000.0,182500000.0,0.0,,47.023,6.8546,1.71,,0.13154982750764824,0.0920393478458876,0.1454898855373983,0.7345043553379886,,,,0.1313800302354042,,0.0,,1979500000.0,463200000.0,,1468100000.0,252000000.0,,,2.37,2.37,,0.8876006,87.89,65.94,4.88099,47979.887,44.6948,4.7855,7.9076
