report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2016-11-27,2400200000.0,936000000.0,605100000.0,2503700000.0,-758600000.0,,,69400000.0,,379500000.0,250500000.0,166800000.0,84900000.0,1.0,,,127800000.0,52100000.0,,0.0,,,,1.0,302600000.0,-0.21987872396519906,0.069494208815932,,,,0.10436630280809933,-0.33021355127867125,,,-0.0,1.546851760039663,,,,,,,,,0.47992492,67.07,39.69,3.29265,5644.078,14.3871,4.1059,0.8718
2017-02-26,2432200000.0,912100000.0,575200000.0,,-701600000.0,,92500000.0,37500000.0,,586500000.0,395700000.0,251000000.0,129000000.0,1.0,,,204500000.0,79600000.0,,92500000.0,,,,1.0,475300000.0,-0.3577537058152794,0.1031987501027876,,,,0.16269221281144644,-0.6496470201937284,,,-0.13184150513112886,1.5857093184979139,,,,,,,,,0.47992492,67.07,39.69,3.29265,5644.078,14.3871,4.1059,0.8718
2017-05-28,2485600000.0,858200000.0,555400000.0,,-647200000.0,,22000000.0,57100000.0,,786500000.0,518300000.0,326900000.0,170200000.0,2.0,,446900000.0,287400000.0,109100000.0,159500000.0,22000000.0,1.5452,,,2.0,627400000.0,-0.5050988875154512,0.13151754103636948,,,,0.20852108142903122,-0.8290147152911068,,,-0.033992583436341164,1.545192653943104,,,,,,,,,0.47992492,67.07,39.69,3.29265,5644.078,14.3871,4.1059,0.8718
2017-08-27,2527800000.0,838400000.0,516900000.0,,-575700000.0,,32300000.0,69800000.0,,196700000.0,137600000.0,83400000.0,44100000.0,0.0,,143500000.0,104400000.0,31000000.0,39100000.0,32300000.0,,19.8372,2.0442,0.0,168600000.0,-0.14486711829077645,0.03299311654403038,,,,0.05443468628847219,-0.25322046374677953,,,-0.056105610561056105,1.6219771715999227,828100000.0,1302100000.0,1949200000.0,,1573900000.0,4.0,4.0,0.02052226952157062,0.47992492,67.07,39.69,3.29265,5644.078,14.3871,4.1059,0.8718
2017-11-26,2714900000.0,1004300000.0,646500000.0,,-531400000.0,,88200000.0,71100000.0,,405900000.0,277400000.0,160000000.0,85600000.0,1.0,,182200000.0,154000000.0,66600000.0,28200000.0,88200000.0,,24.6767,2.4356,1.0,344000000.0,-0.301091456529921,0.05893403071936351,,,,0.10217687575969649,-0.6259025270758123,,,-0.16597666541211892,1.5534416086620262,821300000.0,1329000000.0,1975600000.0,,1615300000.0,4.0,4.0,0.05460286014981737,0.47992492,67.07,39.69,3.29265,5644.078,14.3871,4.1059,0.8718
2018-02-25,2753900000.0,998200000.0,579300000.0,,-392200000.0,,31600000.0,49400000.0,,649800000.0,446600000.0,316800000.0,93100000.0,2.0,,310200000.0,204400000.0,104100000.0,105800000.0,31600000.0,,20.3381,2.3927,2.0,550700000.0,-0.8077511473737888,0.11503685682123534,,,,0.16217001343549148,-1.2384914032168608,,,-0.08057113717491075,1.723114103228034,887100000.0,1379900000.0,2038900000.0,332600000.0,1690700000.0,5.0,5.0,0.01869048323179748,0.47992492,67.07,39.69,3.29265,5644.078,14.3871,4.1059,0.8718
2018-05-27,2752600000.0,930400000.0,518700000.0,,-334800000.0,,9600000.0,55600000.0,,-372900000.0,-281500000.0,-143400000.0,-101600000.0,-1.0,,-154700000.0,-156000000.0,-58400000.0,-310700000.0,9600000.0,1.7937,22.6503,2.7574,-1.0,-339900000.0,0.4283154121863799,-0.052096199956404854,,,,-0.10226694761316574,0.8656211562115621,,,-0.02867383512544803,1.7937150568729516,416800000.0,580100000.0,879500000.0,-137600000.0,723400000.0,2.0,2.0,0.013270666298037047,0.47992492,67.07,39.69,3.29265,5644.078,14.3871,4.1059,0.8718
2018-08-26,2854300000.0,984800000.0,518300000.0,,-245400000.0,,8800000.0,150500000.0,,230600000.0,152600000.0,107800000.0,34300000.0,0.0,,227900000.0,87000000.0,38600000.0,140900000.0,8800000.0,,22.6074,2.8327,0.0,191200000.0,-0.4392828035859821,0.037767578740847144,,,,0.0534631958799005,-0.6449704142011834,,,-0.035859820700896494,1.90005788153579,441200000.0,595100000.0,913400000.0,-35800000.0,746000000.0,2.0,2.0,0.011796246648793566,0.47992492,67.07,39.69,3.29265,5644.078,14.3871,4.1059,0.8718
2018-11-25,3052500000.0,1134600000.0,696800000.0,,-167100000.0,,13100000.0,121600000.0,,479600000.0,326600000.0,226800000.0,68300000.0,1.47,,316800000.0,170400000.0,77200000.0,146400000.0,13100000.0,,24.3395,3.2625,1.47,403800000.0,-1.3572710951526032,0.0742997542997543,,,,0.10699426699426699,-2.120779220779221,,,-0.07839616995810891,1.628300803673938,508000000.0,644300000.0,987100000.0,82400000.0,805800000.0,2.4699999999999998,2.4699999999999998,0.016257135765698684,0.47992492,67.07,39.69,3.29265,5644.078,14.3871,4.1059,0.8718
2019-02-24,3111200000.0,1068000000.0,666600000.0,3111200000.0,-56200000.0,2288600000.0,98700000.0,17200000.0,2753100000.0,753000000.0,520400000.0,368200000.0,107900000.0,2.42,,444400000.0,244200000.0,117500000.0,200200000.0,2387300000.0,,21.7422,2.7728,2.42,637900000.0,-6.551601423487544,0.11834661866803806,0.13374014747012458,0.27350986161054813,0.18902328284479314,0.16726664952429932,0.22324224614988633,0.07271802695143656,0.23170244451708982,-42.47864768683274,1.6021602160216022,559400000.0,718100000.0,1090300000.0,176800000.0,893000000.0,2.8899999999999997,2.8899999999999997,2.6733482642777155,0.47992492,67.07,39.69,3.29265,5644.078,14.3871,4.1059,0.8718
