report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2011-09-30,38666730000.0,35222949000.0,34928700000.0,35655598000.0,2973810000.0,370000000.0,,497303000.0,1000276000.0,,598525000.0,382900000.0,24821000.0,184153000.0,5.17,74057000.0,540785000.0,19447000.0,99063000.0,521338000.0,370000000.0,,18.5684,6.7594,5.17,697588000.0,0.12875738530706402,0.00990256998716985,0.38279434875974233,,0.5983598526806602,0.01547906947393793,0.1789949189696783,0.5211941504144856,0.6973955188368011,0.12441951570544184,1.0084242757388624,,,,,,,,,,,1.048419,189.35,143.17,3.4547,92555.69,27.9203,3.1937,7.3224
2011-12-31,36147864000.0,32605391000.0,31800314000.0,32985523000.0,3121525000.0,837500000.0,,822949000.0,1327491000.0,,793333000.0,509673000.0,36097000.0,237498000.0,6.9,73895000.0,712770000.0,57258000.0,132252000.0,655512000.0,837500000.0,1.0253,16.902,6.4893,6.9,925585000.0,0.16327692393942064,0.014099671283481646,0.3839370662399971,,0.5976183642676297,0.021946884607068347,0.20038595361231618,0.4937976980634897,0.6972438984520423,0.2682983477627121,1.0253166368105673,,,,,,,,,,,1.048419,189.35,143.17,3.4547,92555.69,27.9203,3.1937,7.3224
2012-03-31,36124101000.0,32506784000.0,31550501000.0,32716204000.0,3372636000.0,825000000.0,,968385000.0,365194000.0,,225182000.0,147865000.0,10068000.0,65296000.0,2.02,73252000.0,185644000.0,6541000.0,31983000.0,179103000.0,825000000.0,,19.0746,7.423,2.02,257165000.0,0.043842561130225735,0.004093250652798253,0.40489438490227114,,0.61660925425938,0.006233566892086809,0.053644956351622676,0.4904324824613767,0.704187363428753,0.24461578421151883,1.030309597936337,,,,,,,,,,,1.048419,189.35,143.17,3.4547,92555.69,27.9203,3.1937,7.3224
2012-06-30,39504768000.0,36058454000.0,34955549000.0,36097441000.0,3375748000.0,812500000.0,,1082018000.0,716407000.0,,440598000.0,291022000.0,19667000.0,126562000.0,3.97,73303000.0,365569000.0,15620000.0,64091000.0,349949000.0,812500000.0,,17.9511,7.1372,3.97,504689000.0,0.08620963413145769,0.007366756336855338,0.4062243947923457,,0.615010741101078,0.011153033476870437,0.10519864153221108,0.4884779182782971,0.704472457695137,0.2406873972820246,1.031551642916551,3409368000.0,1331460000.0,2057638000.0,1705902000.0,2385027000.0,90653000.0,18.060000000000002,18.060000000000002,0.3406670029312037,22.697958148103208,1.048419,189.35,143.17,3.4547,92555.69,27.9203,3.1937,7.3224
2012-09-30,37540084000.0,34034495000.0,32810342000.0,33934125000.0,3575859000.0,800000000.0,,1241176000.0,1039594000.0,,634649000.0,422104000.0,29112000.0,177114000.0,5.76,73339000.0,572714000.0,23745000.0,96955000.0,548969000.0,800000000.0,,17.4879,7.0227,5.76,731604000.0,0.11804268568755089,0.011244087786271336,0.4060277377514684,,0.610477744196292,0.016905902501443523,0.14503415215161183,0.5280609545649552,0.7037401139290915,0.2237224678042395,1.0373099737881428,3448686000.0,1370664000.0,2093762000.0,1733533000.0,2419043000.0,94944000.0,18.65,18.65,0.33070929288979156,22.05259942703067,1.048419,189.35,143.17,3.4547,92555.69,27.9203,3.1937,7.3224
2012-12-31,37214842000.0,33750087000.0,32245697000.0,33538284000.0,3643377000.0,969500000.0,,1612195000.0,-758230000.0,,-473414000.0,-309415000.0,-19945000.0,-141017000.0,-4.23,-146528000.0,-390973000.0,-13529000.0,-62527000.0,-404502000.0,969500000.0,1.0467,16.3229,6.6057,-4.23,-535941000.0,-0.08492533163600692,-0.008314290303852426,0.408075386096567,,0.6243672764200836,-0.012721107347439498,-0.10262879326719529,0.5334819250095617,0.7068317001437558,0.2660992809692766,1.0466539768081304,1362965000.0,551576000.0,827015000.0,673519000.0,957517000.0,38902000.0,7.52,7.52,1.012514660314125,21.258932702688806,1.048419,189.35,143.17,3.4547,92555.69,27.9203,3.1937,7.3224
2013-06-30,10.0,10.0,,,10.0,,,10.0,,,,,,,,,,,,,0.0,,23.5711,9.4513,,,,,,,,,,,,0.0,,,,,,,,,,,,1.048419,189.35,143.17,3.4547,92555.69,27.9203,3.1937,7.3224
2013-09-30,1329010.0,10.0,1329000.0,1329000.0,10.0,,,10.0,,,,,,,,,1329000.0,,,,0.0,,23.6212,9.5392,,,,,,,,,,,,0.0,7.524454477050414e-06,,,,,,,,,,,1.048419,189.35,143.17,3.4547,92555.69,27.9203,3.1937,7.3224
2013-12-31,64818000000.0,44259000000.0,44342000000.0,51881000000.0,12583000000.0,5058000000.0,,961000000.0,1795000000.0,,790000000.0,254000000.0,56000000.0,230000000.0,3.21,79000000.0,735000000.0,136000000.0,161000000.0,599000000.0,5058000000.0,0.9988,101.8657,15.078,3.21,951000000.0,0.020185965191130893,0.003918664568484063,0.1415041782729805,,0.4401114206128134,0.01218797247678114,0.04478204183436313,0.33370473537604456,0.5298050139275766,0.40197091313677186,0.9981281854675026,,,,,,,,,,,1.048419,189.35,143.17,3.4547,92555.69,27.9203,3.1937,7.3224
2014-03-31,65921000000.0,45254000000.0,45403000000.0,52685000000.0,12915000000.0,3584000000.0,,964000000.0,1198000000.0,,409000000.0,262000000.0,27000000.0,107000000.0,2.0,116000000.0,519000000.0,31000000.0,88000000.0,488000000.0,3584000000.0,,59.9887,9.3812,2.0,497000000.0,0.020286488579171508,0.003974454271021374,0.21869782971619364,,0.34140233722871455,0.006204396171174588,0.024789381174616643,0.4073455759599332,0.41485809682804675,0.2775067750677507,0.9967182785278506,,,,,,,,,,,1.048419,189.35,143.17,3.4547,92555.69,27.9203,3.1937,7.3224
