report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,eps,roe,roa,net_margin,fcf_margin,debt_equity,current_ratio,revenue_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm
2011-09-30,3539300000.0,1900200000.0,507400000.0,3539300000.0,1849000000.0,908900000.0,,767000000.0,2144500000.0,214200000.0,27100000.0,154600000.0,2.4,549400000.0,49900000.0,84400000.0,499500000.0,908900000.0,2.4,0.11584640346133045,0.06052044189529003,0.09988342270925624,0.2329214269060387,0.49156300703082745,3.7449743791880175,,,,,
2011-12-31,3931100000.0,1685900000.0,904100000.0,3931100000.0,1782200000.0,908700000.0,304500000.0,596400000.0,2896400000.0,328000000.0,36400000.0,182800000.0,3.69,721500000.0,71400000.0,115100000.0,650100000.0,1213200000.0,3.69,0.1840421950398384,0.08343720587113022,0.11324402706808452,0.22445104267366386,0.680731679946134,1.8647273531688973,,,,,
2012-03-31,3954000000.0,1746200000.0,827700000.0,3954000000.0,1872000000.0,908700000.0,330500000.0,674600000.0,730000000.0,,9500000.0,52700000.0,1.6,165700000.0,19600000.0,33400000.0,146100000.0,1239200000.0,1.6,,,,0.20013698630136986,0.661965811965812,2.1097015826990457,,,,,
2012-06-30,3916600000.0,1745200000.0,735700000.0,3916600000.0,1921500000.0,910400000.0,303500000.0,714000000.0,1472600000.0,,19200000.0,104300000.0,3.14,233700000.0,42300000.0,67800000.0,191400000.0,1213900000.0,3.14,,,,0.12997419530082846,0.6317460317460317,2.3721625662634227,7243500000.0,1487100000.0,92200000.0,10.83,10.83
2012-09-30,3932500000.0,1785400000.0,784700000.0,3932500000.0,1897800000.0,911400000.0,381500000.0,809100000.0,2195500000.0,,28900000.0,153200000.0,4.64,427200000.0,55500000.0,101400000.0,371700000.0,1292900000.0,4.64,,,,0.1693008426326577,0.6812625144904626,2.2752644322671083,7294500000.0,1359300000.0,94000000.0,13.07,13.07
2012-12-31,4151300000.0,1847200000.0,447600000.0,4151300000.0,1925700000.0,1409600000.0,,896300000.0,-1440000000.0,530100000.0,-18000000.0,-107900000.0,-3.219999999999999,-165400000.0,-44800000.0,-66300000.0,-210200000.0,1409600000.0,-3.219999999999999,0.27527652282286963,0.1276949389347915,-0.368125,0.14597222222222223,0.7319935607830919,4.126899016979446,2958100000.0,499000000.0,39600000.0,6.160000000000001,6.160000000000001
2013-03-31,4077100000.0,1795900000.0,415600000.0,4077100000.0,1898600000.0,1408600000.0,,879300000.0,740300000.0,,11400000.0,36900000.0,1.08,141000000.0,13200000.0,35400000.0,127800000.0,1408600000.0,1.08,,,,0.17263271646629744,0.7419150953334036,4.321222329162657,2968400000.0,480700000.0,41500000.0,5.640000000000001,5.640000000000001
2013-12-31,5041100000.0,2090400000.0,586500000.0,5041100000.0,2088200000.0,1405700000.0,,1066900000.0,3049500000.0,,45000000.0,523600000.0,8.39,1123300000.0,69100000.0,146400000.0,1054200000.0,1405700000.0,8.39,,,,0.3456960157402853,0.6731634900871564,3.5641943734015347,4545300000.0,1343500000.0,67300000.0,10.89,10.89
