report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2011-06-30,635235000.0,454412000.0,246289000.0,347715000.0,287520000.0,,78019000.0,196289000.0,146315000.0,36224000.0,28081000.0,,9497000.0,0.17,163393000.0,74244000.0,,3336000.0,,0.0,,71.6937,11.1385,0.17,39560000.0,0.09766624930439621,0.04420568765889789,0.14305946843684567,0.7454060084874853,0.1845442179643281,0.0570245657119019,0.12598775737340012,,0.2015395666593645,0.0,1.845035710080434,,,,,,,,,,,0.97636974,109.33,70.12,6.92013,61065.926,32.9481,47.7197,8.9808
2011-09-30,670987000.0,503926000.0,251667000.0,354120000.0,316867000.0,,66630000.0,312715000.0,231602000.0,62384000.0,45998000.0,,18704000.0,0.28,163554000.0,110283000.0,,5114000.0,,0.0,,41.393,6.3304,0.28,67498000.0,0.14516500613822203,0.06855274394287818,0.1470924004285052,0.7406168556033449,0.19949154981372816,0.09297348532832976,0.19687755430511855,,0.21584509857218234,0.0,2.002352314765146,,,,,,,,,,,0.97636974,109.33,70.12,6.92013,61065.926,32.9481,47.7197,8.9808
2012-03-31,788444000.0,551500000.0,270961000.0,390117000.0,398327000.0,,74783000.0,117247000.0,86204000.0,18715000.0,14173000.0,,5556000.0,0.09,165751000.0,48518000.0,,2082000.0,,0.0,,70.4499,9.7121,0.09,20797000.0,0.0355813188661577,0.017975912049555835,0.12088155773708496,0.7352341637739132,0.15962028879203732,0.023736625556158714,0.0469840106244367,,0.17737767277627572,0.0,2.035348260450766,,,,,,,,,,,0.97636974,109.33,70.12,6.92013,61065.926,32.9481,47.7197,8.9808
2012-06-30,851245000.0,544511000.0,294977000.0,424601000.0,426644000.0,,81226000.0,246209000.0,178039000.0,39666000.0,28123000.0,,13833000.0,0.17,165808000.0,92803000.0,,5077000.0,,0.0,,59.3979,7.6824,0.17,44743000.0,0.06591678307910108,0.03303749214385988,0.1142240941639014,0.7231214131083754,0.1611070269567725,0.04659763052940105,0.09297212664422798,,0.1817277191329318,0.0,1.8459439210514719,872460000.0,116375000.0,156989000.0,642160000.0,172598000.0,,0.7100000000000001,0.7100000000000001,0.0,,0.97636974,109.33,70.12,6.92013,61065.926,32.9481,47.7197,8.9808
2012-09-30,913268000.0,514652000.0,298694000.0,434799000.0,478469000.0,,75466000.0,382477000.0,276499000.0,65435000.0,45329000.0,,23397000.0,0.27,166127000.0,133573000.0,,8076000.0,,0.0,,59.8873,7.3557,0.27,73511000.0,0.09473759010510607,0.049633842420844704,0.11851431589350471,0.7229166721136173,0.17108218271948378,0.07164928586132438,0.13675912128058454,,0.19219717786951895,0.0,1.7230074926178631,1058648000.0,133623000.0,186200000.0,772344000.0,206549000.0,,0.81,0.81,0.0,,0.97636974,109.33,70.12,6.92013,61065.926,32.9481,47.7197,8.9808
2012-12-31,975497000.0,569274000.0,319304000.0,464563000.0,510934000.0,,122975000.0,-212294000.0,-154523000.0,-23341000.0,-20789000.0,,-4626000.0,-0.13,-331357000.0,-91028000.0,,-3671000.0,,0.0,1.7829,50.3009,6.3,-0.13,-27012000.0,-0.0406882297909319,-0.021311188040557788,0.09792551838488134,0.7278726671502728,0.1099465835115453,-0.023927290396587586,-0.0456830040670615,,0.12723864075291813,0.0,1.7828589682559568,533639000.0,66836000.0,100475000.0,386219000.0,112039000.0,,0.4,0.4,0.0,,0.97636974,109.33,70.12,6.92013,61065.926,32.9481,47.7197,8.9808
2013-03-31,1032729000.0,613660000.0,331728000.0,485020000.0,547709000.0,,97384000.0,135820000.0,96692000.0,15391000.0,12249000.0,,4726000.0,0.0,167823000.0,38111000.0,,3536000.0,,0.0,,57.2121,6.7252,0.0,18927000.0,0.022364065589574024,0.011860807627170343,0.09018553968487704,0.7119128257988514,0.11331909880724489,0.014903232116073046,0.028100688504296988,,0.13935355617729347,0.0,1.8498890657406069,552212000.0,64912000.0,97151000.0,396707000.0,110169000.0,,0.31000000000000005,0.31000000000000005,0.0,,0.97636974,109.33,70.12,6.92013,61065.926,32.9481,47.7197,8.9808
2013-06-30,1085746000.0,672400000.0,360481000.0,518561000.0,567185000.0,,123468000.0,283248000.0,200412000.0,29168000.0,21228000.0,,10761000.0,0.0,168033000.0,75332000.0,,7322000.0,,0.0,,46.7668,4.9121,0.0,36490000.0,0.037426941826740834,0.019551534152555016,0.0749449245890527,0.7075495678698526,0.10297689657120263,0.02686447843234053,0.051425901601770144,,0.128827034965825,0.0,1.8652855490303233,589251000.0,58017000.0,86653000.0,419080000.0,101916000.0,,0.14,0.14,0.0,,0.97636974,109.33,70.12,6.92013,61065.926,32.9481,47.7197,8.9808
2013-09-30,1128142000.0,705967000.0,367326000.0,528189000.0,599953000.0,,144546000.0,437947000.0,311181000.0,47447000.0,32257000.0,,18142000.0,0.0,168054000.0,100716000.0,,11511000.0,,0.0,,61.2678,5.5915,0.0,58958000.0,0.05376587832713563,0.02859303172827534,0.07365503131657483,0.7105448832849637,0.10833959360379224,0.04205764877116533,0.07908452828804922,,0.1346235960059094,0.0,1.9219086043460032,644721000.0,44945000.0,68665000.0,453762000.0,87363000.0,,-0.13,-0.13,0.0,,0.97636974,109.33,70.12,6.92013,61065.926,32.9481,47.7197,8.9808
2013-12-31,1168464000.0,735546000.0,413061000.0,582704000.0,585760000.0,,115873000.0,-241718000.0,-173631000.0,-19916000.0,-21461000.0,,-1961000.0,0.26,-335727000.0,-66775000.0,,-6746000.0,,0.0,1.7807,70.6297,5.0821,0.26,-26662000.0,-0.03663787216607484,-0.018366847416779634,0.08878527871321126,0.7183205222614782,0.08239353295989542,-0.017044598721056018,-0.03400027314941273,,0.1103020875565742,0.0,1.7807200389288749,615297000.0,44273000.0,72090000.0,434654000.0,87713000.0,,0.26,0.26,0.0,,0.97636974,109.33,70.12,6.92013,61065.926,32.9481,47.7197,8.9808
2014-03-31,1200031000.0,781460000.0,394866000.0,589937000.0,610094000.0,,172968000.0,168949000.0,118206000.0,12815000.0,8393000.0,,5366000.0,0.0,168114000.0,60902000.0,,4422000.0,,0.0,,88.7661,5.5329,0.0,17237000.0,0.013756896478247614,0.006993985988695292,0.04967771339279901,0.6996549254508757,0.07585129240184908,0.010678890795321121,0.021004959891426568,,0.10202487141089915,0.0,1.9790511211398296,648426000.0,40417000.0,69514000.0,456168000.0,86023000.0,,0.26,0.26,0.0,,0.97636974,109.33,70.12,6.92013,61065.926,32.9481,47.7197,8.9808
2014-06-30,1265112000.0,806949000.0,426088000.0,639893000.0,625219000.0,,203947000.0,353047000.0,244547000.0,23957000.0,14474000.0,,11172000.0,0.0,168015000.0,104700000.0,,10914000.0,,0.0,,109.2231,5.9816,0.0,34871000.0,0.023150288139036083,0.011440884285343907,0.0409973742872762,0.6926754794687393,0.0678578206301144,0.018936663315184742,0.038317773452182353,,0.09877155166309301,0.0,1.893855259946302,718225000.0,33663000.0,64303000.0,500303000.0,84404000.0,,0.26,0.26,0.0,,0.97636974,109.33,70.12,6.92013,61065.926,32.9481,47.7197,8.9808
2014-09-30,1312601000.0,896440000.0,434496000.0,663375000.0,649226000.0,,258096000.0,546395000.0,381010000.0,39408000.0,18530000.0,,22901000.0,0.0,168735000.0,161218000.0,,16519000.0,,0.0,,135.4587,5.7171,0.0,55927000.0,0.028541678860674095,0.014117008900648407,0.033913194666861886,0.6973160442536992,0.07212364681228782,0.03002283252869684,0.060699971966618714,,0.1023563539197833,0.0,2.0631720430107525,826673000.0,19936000.0,56264000.0,570132000.0,81373000.0,,0.26,0.26,0.0,,0.97636974,109.33,70.12,6.92013,61065.926,32.9481,47.7197,8.9808
2014-12-31,1424774000.0,1046865000.0,496456000.0,748808000.0,675966000.0,,283254000.0,-298027000.0,-204408000.0,-16856000.0,-16054000.0,,-3233000.0,0.0,-335575000.0,-130238000.0,,-9827000.0,,0.0,2.0251,199.4428,6.5612,0.0,-26683000.0,-0.023749715222363254,-0.011267751938202128,0.053867602599764454,0.6858707432548058,0.05655863394927305,-0.011830648229122654,-0.024936165428438708,,0.08953215648246636,0.0,2.1086762975973703,770364000.0,25343000.0,59324000.0,539355000.0,81352000.0,,0.0,0.0,0.0,,0.97636974,109.33,70.12,6.92013,61065.926,32.9481,47.7197,8.9808
2015-03-31,1498303000.0,1111803000.0,518633000.0,778556000.0,719747000.0,,386352000.0,212886000.0,149284000.0,898000.0,1560000.0,,83000.0,0.0,173720000.0,64619000.0,,6353000.0,,0.0,,318.8466,7.2477,0.0,7251000.0,0.002167428276880626,0.001041177919286019,0.007327865618218202,0.7012391608654397,0.0042182200802307335,0.000599344725332593,0.0012476606363069245,,0.03406048307544883,0.0,2.143718197646505,814301000.0,18510000.0,47407000.0,570433000.0,71366000.0,,0.0,0.0,0.0,,0.97636974,109.33,70.12,6.92013,61065.926,32.9481,47.7197,8.9808
2015-06-30,1604876000.0,1195510000.0,565299000.0,854049000.0,750827000.0,,481393000.0,452671000.0,319571000.0,3850000.0,2352000.0,,2777000.0,0.0,174983000.0,148924000.0,,13382000.0,,0.0,,530.0688,8.0553,0.0,17232000.0,0.0031325458461136852,0.0014655337857878115,0.0051958265495249305,0.7059674686472074,0.008505073220948548,0.002398939232688382,0.005127679212388473,,0.03806738227100919,0.0,2.1148277283349164,913925000.0,6388000.0,27300000.0,645457000.0,53727000.0,,0.0,0.0,0.0,,0.97636974,109.33,70.12,6.92013,61065.926,32.9481,47.7197,8.9808
