report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,cash,shares_outstanding,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2011-06-30,1618909000.0,755272000.0,541988000.0,,713030000.0,101200000.0,,,127574000.0,110379000.0,69049000.0,,31937000.0,0.83,83464.0,2454000.0,5916000.0,-3462000.0,0.0,,,,0.83,110379000.0,0.096838842685441,0.04265156349121538,,,0.06818110221142758,0.1548027432225853,,,0.0,1.393521627785117,,,,,,,,,,,0.9986797,278.3,175.09,0.36905,21790.324,22.193,6.2168,5.7988
2011-09-30,1739543000.0,786933000.0,604117000.0,1739543000.0,761824000.0,137284000.0,,,198349000.0,172102000.0,109563000.0,,50534000.0,1.31,83526.0,70517000.0,8408000.0,62109000.0,0.0,,16.6277,4.346,1.31,172102000.0,0.14381668206829923,0.06298378367191843,,,0.09893518010190033,0.2259078212290503,,,0.0,1.3026168771943183,,,,,,,,,,,0.9986797,278.3,175.09,0.36905,21790.324,22.193,6.2168,5.7988
2011-12-31,2324492000.0,1122925000.0,1121747000.0,2324492000.0,811436000.0,285159000.0,,519591000.0,,226334000.0,147335000.0,,63542000.0,1.76,83654.0,279625000.0,13454000.0,266171000.0,0.0,0.9973,16.9834,4.8146,1.76,226334000.0,0.18157316165415388,0.06338374147985883,0.2835595689686696,0.4356003087043463,0.09736923164287078,0.2789301928926003,0.5122702279292751,0.4356003087043463,0.0,1.0010501476714446,,,,,,,,,,,0.9986797,278.3,175.09,0.36905,21790.324,22.193,6.2168,5.7988
2012-03-31,2560916000.0,1306780000.0,1269682000.0,2560916000.0,883041000.0,287119000.0,,146165000.0,,64475000.0,42079000.0,,18245000.0,0.49,85164.0,-113934000.0,3563000.0,-117497000.0,0.0,,20.5106,5.8079,0.49,64475000.0,0.04765237401207872,0.016431230075488613,0.2878869770464886,0.4411110731023159,0.02517653839485559,0.07301472978038392,-0.8038654944754217,0.4411110731023159,0.0,1.0292183397102581,,368026000.0,573290000.0,207321000.0,573290000.0,,4.390000000000001,4.390000000000001,0.0,,0.9986797,278.3,175.09,0.36905,21790.324,22.193,6.2168,5.7988
2012-06-30,2504689000.0,1198317000.0,1135207000.0,2504689000.0,941920000.0,255579000.0,,317985000.0,,145923000.0,96480000.0,,42540000.0,1.13,85451000.0,-36798000.0,8431000.0,-45229000.0,0.0,,16.6128,4.902,1.13,145923000.0,0.10242908102598947,0.038519752352487675,0.3034105382329355,0.4588990046700316,0.05825992767964406,0.1549208000679463,-0.14223626900639968,0.4588990046700316,0.0,1.0555933851711625,,395457000.0,608834000.0,165554000.0,608834000.0,,4.6899999999999995,4.6899999999999995,0.0,,0.9986797,278.3,175.09,0.36905,21790.324,22.193,6.2168,5.7988
2012-09-30,2842121000.0,1317969000.0,1355401000.0,2842121000.0,1035068000.0,300061000.0,,504917000.0,,231757000.0,156128000.0,9627000.0,65483000.0,1.82,85681000.0,33131000.0,13634000.0,19497000.0,0.0,,19.1415,5.7534,1.82,231757000.0,0.15083839902305934,0.05493362175642768,0.3092151779401367,0.4590001921107826,0.08154367811926375,0.22390509609030518,0.03861426729541687,0.4590001921107826,0.0,0.9723830807266631,1488658000.0,442022000.0,668489000.0,122942000.0,668489000.0,,5.2,5.2,0.0,,0.9986797,278.3,175.09,0.36905,21790.324,22.193,6.2168,5.7988
2012-12-31,2721870000.0,1195354000.0,1142222000.0,2721870000.0,913822000.0,283649000.0,,-261533000.0,,-117227000.0,-78488000.0,3390000.0,-31677000.0,-0.9199999999999999,-171131428.0,253061000.0,-6517000.0,246544000.0,0.0,1.0464,20.1095,6.1451,-0.9199999999999999,-117227000.0,-0.08588981223914505,-0.028836057563366362,0.300107443420142,0.44823024245506304,-0.04306855213511299,-0.12828209432471532,-0.942687920835994,0.44823024245506304,0.0,1.0465163514623252,707534000.0,216199000.0,324928000.0,103315000.0,324928000.0,,2.5200000000000005,2.5200000000000005,0.0,,0.9986797,278.3,175.09,0.36905,21790.324,22.193,6.2168,5.7988
2013-03-31,2890384000.0,1318066000.0,1239829000.0,,983013000.0,224613000.0,,193651000.0,,94253000.0,64662000.0,3448000.0,25851000.0,0.0,83960000.0,-13690000.0,4762000.0,-18452000.0,0.0,,26.2117,8.2905,0.0,94253000.0,0.06577939457565668,0.022371421928712585,0.33390997206314454,0.4867157928438273,0.03260916196602251,0.09588174317125002,-0.0952848164997857,0.4867157928438273,0.0,1.0631030569538218,755020000.0,238782000.0,354706000.0,202360000.0,354706000.0,,2.0300000000000002,2.0300000000000002,0.0,,0.9986797,278.3,175.09,0.36905,21790.324,22.193,6.2168,5.7988
2013-06-30,3013089000.0,1405818000.0,1300576000.0,,1050014000.0,292905000.0,,414520000.0,,203327000.0,137761000.0,7204000.0,58076000.0,1.0,84212000.0,82712000.0,10108000.0,72604000.0,0.0,,26.2995,8.422,1.0,203327000.0,0.13119920305824495,0.04572085325060096,0.3323386085110489,0.49051191739843675,0.0674812459904105,0.19364218000902844,0.175151983016501,0.49051191739843675,0.0,1.0809195310385553,851555000.0,280063000.0,412110000.0,320193000.0,412110000.0,23669000.0,1.9000000000000001,1.9000000000000001,0.0,17.41138197642486,0.9986797,278.3,175.09,0.36905,21790.324,22.193,6.2168,5.7988
2013-09-30,3475105000.0,1490524000.0,1596960000.0,,1173902000.0,345689000.0,,639670000.0,,314582000.0,216381000.0,10960000.0,87111000.0,2.0,84446000.0,208011000.0,15348000.0,192663000.0,0.0,,32.5539,10.6851,2.0,314582000.0,0.1843262895880576,0.06226603224938527,0.338269732830991,0.49178795316334983,0.0905244589731821,0.2679797802542291,0.3011912392327294,0.49178795316334983,0.0,0.9333508666466286,986308000.0,340316000.0,494935000.0,493359000.0,494935000.0,25002000.0,2.08,2.08,0.0,19.795816334693225,0.9986797,278.3,175.09,0.36905,21790.324,22.193,6.2168,5.7988
