report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2014-03-31,3356209000.0,2505380000.0,261251000.0,419363000.0,2936846000.0,144989000.0,70453000.0,-129371000.0,-132362000.0,,1222000.0,0.0,570205000.0,,39951000.0,0.0,11.4444,,,0.0,-89420000.0,-0.045069438438379135,-0.03943794918612041,-1.87872766241324,-1.8362738279420323,-0.038546765115044984,-0.04405099892878278,-1.2692149376179864,0.0,9.589934583982453,,,,,,,,,,0.54774,65.98,31.95,19.38074,41093.7,4.7295,7.8593
2014-06-30,3584817000.0,2463886000.0,370375000.0,538224000.0,3046593000.0,126495000.0,57300000.0,-279282000.0,-277004000.0,,-4377000.0,0.0,587760000.0,,85582000.0,0.0,,,,0.0,-193700000.0,-0.09092254856490513,-0.07727144788701906,-4.834275741710297,-4.874031413612565,-0.07790690570815749,-0.09167026905136327,-3.380453752181501,0.0,6.652409044886939,,,,,,,,,,0.54774,65.98,31.95,19.38074,41093.7,4.7295,7.8593
2014-09-30,5448654000.0,4173885000.0,442476000.0,1923616000.0,3525038000.0,153451000.0,94800000.0,-440713000.0,-452468000.0,,-4218000.0,0.0,596722000.0,,145737000.0,0.0,,27.1995,,0.0,-294976000.0,-0.12835833259102455,-0.08304216050422729,-4.772869198312236,-4.6488713080168775,-0.08088474694851241,-0.1250236167666845,-3.1115611814345994,0.0,9.433020096005206,,,,,,,,,,0.54774,65.98,31.95,19.38074,41093.7,4.7295,7.8593
2014-12-31,5583082000.0,4255853000.0,393794000.0,1956679000.0,-1572446000.0,209015000.0,-82253000.0,310500000.0,284014000.0,,6842000.0,0.0,-1149697000.0,,-63105000.0,0.0,10.802,16.2212,,0.0,247395000.0,-0.18061923907084887,0.05087046903484491,-3.452931807958372,-3.774938300122792,0.05561444377854382,-0.19746306073467706,-3.0077322407693337,-0.0,10.807307881785908,140300000.0,-577820000.0,-538866000.0,-330701000.0,,0.0,0.0,-0.0,,0.54774,65.98,31.95,19.38074,41093.7,4.7295,7.8593
2015-03-31,5643417000.0,4194091000.0,394295000.0,1956320000.0,3687097000.0,319258000.0,147011000.0,-146616000.0,-162442000.0,,632000.0,0.0,640464000.0,,67864000.0,0.0,,20.4241,,0.0,-78752000.0,-0.044056882691179536,-0.02878433403025153,-1.104964934596731,-0.9973131262286495,-0.025980004667385027,-0.0397646169872938,-0.5356878056744053,0.0,10.636936811270749,216858000.0,-607900000.0,-556111000.0,-320033000.0,,0.0,0.0,-0.0,,0.54774,65.98,31.95,19.38074,41093.7,4.7295,7.8593
2015-06-30,6230334000.0,4270427000.0,424841000.0,1999150000.0,4231184000.0,392914000.0,328203000.0,-277620000.0,-299105000.0,48756000.0,-18841000.0,0.0,648143000.0,,143913000.0,0.0,,13.3333,,0.0,-133707000.0,-0.07069061520368766,-0.04800785961073676,-0.911341456354756,-0.845878922496138,-0.04455940885352214,-0.06561284028300353,-0.4073911573020356,0.0,10.051824094190533,487761000.0,-630001000.0,-554449000.0,-260040000.0,,0.0,0.0,-0.0,,0.54774,65.98,31.95,19.38074,41093.7,4.7295,7.8593
2015-09-30,6289064000.0,4263559000.0,427778000.0,2014901000.0,4274163000.0,328988000.0,527584000.0,-382857000.0,-430795000.0,73995000.0,-15679000.0,0.0,655721000.0,,225377000.0,0.0,,9.1712,,0.0,-157480000.0,-0.1007904939516813,-0.06849906440767656,-0.8165429580881907,-0.725679702189604,-0.06087662647414623,-0.08957473077184937,-0.2984927518651058,0.0,9.966756121165652,920545000.0,-608328000.0,-496593000.0,-122544000.0,,0.0,0.0,-0.0,,0.54774,65.98,31.95,19.38074,41093.7,4.7295,7.8593
2015-12-31,6442439000.0,4381792000.0,506039000.0,2074392000.0,-2093477000.0,469408000.0,-228006000.0,357057000.0,371311000.0,-24573000.0,21614000.0,0.0,-1281904000.0,,-124331000.0,0.0,8.6601,7.1251,,0.0,232726000.0,-0.17736569353281645,0.057635159603373814,-1.62851416190802,-1.5659982632035998,0.055422643505045215,-0.17055692515370363,-1.0207012096172907,-0.0,8.65900059086355,774792000.0,-521031000.0,-450036000.0,-137213000.0,,0.0,0.0,-0.0,,0.54774,65.98,31.95,19.38074,41093.7,4.7295,7.8593
2016-03-31,6476168000.0,4388909000.0,422765000.0,1998682000.0,4477486000.0,509793000.0,204254000.0,-59116000.0,-79731000.0,24893000.0,2028000.0,0.0,691564000.0,,88621000.0,0.0,,4.8758,,0.0,29505000.0,-0.017807090854108757,-0.012311447139728308,-0.39035220852468006,-0.28942395252969344,-0.009128237562706835,-0.013202944688157596,0.14445249542236627,0.0,10.38143886083285,832035000.0,-438320000.0,-362536000.0,-28956000.0,123071000.0,0.0,0.0,-0.0,-2.9457467640630206,0.54774,65.98,31.95,19.38074,41093.7,4.7295,7.8593
2016-06-30,6616814000.0,4382039000.0,449638000.0,2059961000.0,4556853000.0,411454000.0,445536000.0,-145492000.0,-186948000.0,49827000.0,4669000.0,0.0,694959000.0,,181904000.0,0.0,,4.7933,,0.0,36412000.0,-0.04102568153943083,-0.028253476673214633,-0.41960245636716226,-0.3265549809667457,-0.021988225753361058,-0.03192817499269781,0.08172628025569202,0.0,9.745704322143592,949368000.0,-326163000.0,-230408000.0,141163000.0,124142000.0,0.0,0.0,0.0,-1.8560036087706013,0.54774,65.98,31.95,19.38074,41093.7,4.7295,7.8593
