report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2016-09-30,6742946000.0,4478413000.0,470598000.0,2113614000.0,4629332000.0,1011957000.0,1812413000.0,-223581000.0,-289819000.0,74687000.0,11231000.0,0.0,698104000.0,,282782000.0,0.0,,6.466,,0.0,59201000.0,-0.0626049287456592,-0.04298106495291524,-0.15990781350608277,-0.12336095580863743,-0.03315776220067609,-0.048296600891878136,0.03266418857070657,0.0,9.516430159074199,2234197000.0,-185187000.0,-71132000.0,357844000.0,124834000.0,0.0,0.0,0.0,-0.5698127112805806,0.54774,65.98,31.95,19.38074,41093.7,4.7295,7.8593
2016-12-31,6870365000.0,4652196000.0,584021000.0,2265430000.0,4604935000.0,988598000.0,67416000.0,60981000.0,99625000.0,-49439000.0,-1889000.0,0.0,-1382492000.0,,-151135000.0,0.0,7.9658,4.6462,,0.0,-90154000.0,0.02163439874829938,0.014500685189214838,1.4777649222736442,0.9045478818084728,0.008875947638880903,0.013242532196437083,-1.3372789842173964,0.0,7.965802599564057,2529619000.0,-456873000.0,-367208000.0,34964000.0,99968000.0,0.0,0.0,0.0,-3.6732554417413574,0.54774,65.98,31.95,19.38074,41093.7,4.7295,7.8593
2017-03-31,6892742000.0,4695332000.0,488992000.0,2202366000.0,4690376000.0,1191566000.0,548251000.0,-40278000.0,-61559000.0,25409000.0,3194000.0,0.0,722048000.0,,102792000.0,0.0,,4.3931,,0.0,62514000.0,-0.013124534152485856,-0.008930988567394514,-0.11228251293659292,-0.07346635026657498,-0.005843538028842513,-0.008587371246995976,0.11402441582413894,0.0,9.602063019435901,2873616000.0,-438701000.0,-348370000.0,67973000.0,100484000.0,0.0,0.0,0.0,-3.4669201066836512,0.54774,65.98,31.95,19.38074,41093.7,4.7295,7.8593
2017-06-30,6963098000.0,4840102000.0,494578000.0,2234202000.0,4728896000.0,1288323000.0,1122106000.0,-78637000.0,-178047000.0,51805000.0,6607000.0,0.0,726083000.0,,205855000.0,0.0,,5.3191,,0.0,127218000.0,-0.03765085973554927,-0.025570083890819863,-0.1586721753559824,-0.07007983203012906,-0.011293392682395107,-0.016629039843549107,0.11337431579547744,0.0,9.786326929220467,3550186000.0,-429800000.0,-281515000.0,158779000.0,102462000.0,0.0,0.0,0.0,-2.747506392613847,0.54774,65.98,31.95,19.38074,41093.7,4.7295,7.8593
2017-09-30,7075789000.0,5002422000.0,481202000.0,2246383000.0,4829406000.0,1586558000.0,1711739000.0,-71358000.0,-199142000.0,78537000.0,10171000.0,0.0,729626000.0,,303347000.0,0.0,,5.1917,,0.0,231989000.0,-0.04123529891667837,-0.02814414053330307,-0.11633899794302753,-0.04168743015144248,-0.01008481174325577,-0.014775730182966601,0.1355282551837634,0.0,10.395679984704968,3449512000.0,-339123000.0,-129292000.0,331567000.0,106312000.0,0.0,0.0,0.0,-1.2161562194296034,0.54774,65.98,31.95,19.38074,41093.7,4.7295,7.8593
2017-12-31,7412477000.0,5321884000.0,583278000.0,2365259000.0,5047218000.0,1638413000.0,-938797000.0,229013000.0,330685000.0,-50514000.0,-7327000.0,0.0,-1445055000.0,,-216127000.0,0.0,9.1286,7.4511,,0.0,12886000.0,0.0655182716498475,0.04461194280940096,-0.352243349733755,-0.24394304626026714,0.03089561019885795,0.045374105101067555,-0.013726077096539507,0.0,9.124095199887533,2443299000.0,-108063000.0,38740000.0,434607000.0,105237000.0,0.0,0.0,0.0,0.36812147818732954,0.54774,65.98,31.95,19.38074,41093.7,4.7295,7.8593
2018-03-31,7539441000.0,5409235000.0,528654000.0,2329005000.0,5210436000.0,1601028000.0,664871000.0,74925000.0,60997000.0,27015000.0,2885000.0,0.0,765861000.0,,96846000.0,0.0,,8.2438,1455.4621,0.0,171771000.0,0.011706697865591286,0.008090387603006642,0.0917426087165781,0.11269103329818868,0.009937739415959353,0.014379794704320329,0.25835237211428985,0.0,10.23208941954473,2559919000.0,14493000.0,153943000.0,543864000.0,106843000.0,0.0,0.0,0.0,1.440833746712466,0.54774,65.98,31.95,19.38074,41093.7,4.7295,7.8593
2018-06-30,8861230000.0,6540504000.0,594419000.0,3290326000.0,5570904000.0,2544641000.0,1375412000.0,154549000.0,161114000.0,56997000.0,-31365000.0,0.0,769222000.0,563813000.0,202828000.0,0.0,,12.5547,146.4946,0.0,357377000.0,0.02892062042354347,0.018181900255382154,0.11713871916196747,0.11236560390632043,0.017441032452605337,0.027742176135147904,0.2598326901321204,0.0,11.003187986925047,2813225000.0,353654000.0,387129000.0,774023000.0,112035000.0,0.0,0.0,0.0,3.4554291069754988,0.54774,65.98,31.95,19.38074,41093.7,4.7295,7.8593
2018-09-30,9746192000.0,6719760000.0,1457646000.0,3293620000.0,6452572000.0,1928929000.0,2133523000.0,246417000.0,950293000.0,95333000.0,-733286000.0,1.0,771511000.0,1007712000.0,314775000.0,0.0,,7.4883,20.6017,1.0,561192000.0,0.1472735213183208,0.09750403029203611,0.4454102439954948,0.11549770028258426,0.025283413255146214,0.03818895782952906,0.26303536451212384,0.0,4.610008191289243,3235009000.0,1503089000.0,704904000.0,1103226000.0,128831000.0,1.0,1.0,0.0,5.471540234881356,0.54774,65.98,31.95,19.38074,41093.7,4.7295,7.8593
2018-12-31,10162572000.0,7111036000.0,1516311000.0,3356978000.0,6805594000.0,1894444000.0,-1131447000.0,-22566000.0,33192000.0,-46739000.0,-20286000.0,0.0,-1533908000.0,-231814000.0,-188951000.0,0.0,4.6906,7.1914,18.1472,0.0,-211517000.0,0.004877164285733177,0.003266102321341487,-0.029335885817011315,0.019944372118181408,-0.0022205008732041455,-0.00331580167726726,0.18694379851641305,0.0,4.689694924062412,3042359000.0,1205596000.0,453325000.0,878823000.0,132606000.0,1.0,1.0,0.0,3.4185858860081746,0.54774,65.98,31.95,19.38074,41093.7,4.7295,7.8593
2019-03-31,11145231000.0,7255785000.0,1621679000.0,4056412000.0,7088819000.0,2247661000.0,786890000.0,93658000.0,190804000.0,37260000.0,-94301000.0,0.25,777689000.0,351693000.0,113474000.0,0.0,,8.1152,19.2294,0.25,207132000.0,0.02691619012983686,0.017119788723984276,0.24247861835834741,0.1190229892361067,0.008403414877627928,0.013212073830633848,0.2632286596601812,0.0,4.474242436388459,3164378000.0,1335403000.0,472058000.0,914184000.0,142851000.0,1.25,1.25,0.0,3.3045480955681095,0.54774,65.98,31.95,19.38074,41093.7,4.7295,7.8593
2019-06-30,12521607000.0,7512783000.0,1733738000.0,4176793000.0,8344814000.0,2183111000.0,1628271000.0,169344000.0,1310364000.0,75577000.0,-1130000000.0,1.68,781378000.0,690666000.0,229090000.0,0.0,,8.4159,11.7764,1.68,398434000.0,0.15702734656518408,0.1046482292568358,0.8047579303445188,0.10400234359022546,0.013524142707880866,0.020293322295739605,0.24469759640747762,0.0,4.333286228945781,3417237000.0,2484653000.0,486853000.0,955241000.0,161431000.0,2.9299999999999997,2.9299999999999997,0.0,3.0158581685054298,0.54774,65.98,31.95,19.38074,41093.7,4.7295,7.8593
2019-09-30,11600925000.0,6624451000.0,762627000.0,3185283000.0,8415642000.0,1869444000.0,2451988000.0,213489000.0,1346886000.0,111803000.0,-1110000000.0,1.72,784443000.0,1026185000.0,349076000.0,0.0,,9.4764,19.8779,1.72,562565000.0,0.16004554376243665,0.11610160396692505,0.5493036670652548,0.08706771811281296,0.018402756676730518,0.025368118082969786,0.22943219950505467,0.0,8.686357813190458,3735702000.0,2881246000.0,453925000.0,956614000.0,177901000.0,3.65,3.65,0.0,2.5515595752693914,0.54774,65.98,31.95,19.38074,41093.7,4.7295,7.8593
2019-12-31,12703389000.0,7620075000.0,832476000.0,3999003000.0,8704386000.0,1799082000.0,-1407820000.0,-110118000.0,-1382395000.0,-86460000.0,1258781000.0,-1.7799999999999998,-1557979000.0,-765180000.0,-226091000.0,0.0,9.1587,7.1928,16.9763,-1.7799999999999998,-336209000.0,-0.15881591188626057,-0.10882096108369192,0.981940162804904,0.07821880638149764,-0.008668395496666283,-0.01265086359910969,0.23881533150544815,0.0,9.153507128133423,3459329000.0,1465659000.0,366373000.0,831922000.0,138180000.0,1.87,1.87,0.0,2.651418439716312,0.54774,65.98,31.95,19.38074,41093.7,4.7295,7.8593
2020-03-31,13540725000.0,8467579000.0,710020000.0,4745098000.0,8795627000.0,3463349000.0,807637000.0,-7443000.0,-8396000.0,33270000.0,-7100000.0,-0.01,780688000.0,246767000.0,120649000.0,0.0,,5.521,15.1702,-0.01,113206000.0,-0.0009545652629425964,-0.0006200554253926581,-0.010395759481053988,-0.009215773918233068,-0.0005496751466409664,-0.0008462159661841049,0.14016940779087636,0.0,11.925831666713613,3480076000.0,1266459000.0,265272000.0,737996000.0,134190000.0,1.61,1.61,0.0,1.9768388106416275,0.54774,65.98,31.95,19.38074,41093.7,4.7295,7.8593
2020-06-30,12547587000.0,8495287000.0,841107000.0,4889532000.0,7658055000.0,3112454000.0,1491075000.0,-281373000.0,-1386401000.0,73098000.0,1080000000.0,-1.77,783303000.0,447783000.0,244486000.0,0.0,,7.0362,,-1.77,-36887000.0,-0.1810382662438439,-0.11049144349427503,-0.9297996411984641,-0.18870479352145264,-0.02242447093612501,-0.036742097046835,-0.02473852757238905,0.0,10.100126381066856,3342880000.0,-1430306000.0,-185445000.0,302675000.0,131711000.0,-1.8399999999999999,-1.8399999999999999,0.0,-1.407968962349386,0.54774,65.98,31.95,19.38074,41093.7,4.7295,7.8593
2020-09-30,13088792000.0,8589579000.0,1935103000.0,5276704000.0,7812088000.0,2201073000.0,2427308000.0,-225266000.0,-1357742000.0,112712000.0,1080000000.0,-1.73,785788000.0,662570000.0,366469000.0,0.0,,10.2481,,-1.73,141203000.0,-0.17380014152426343,-0.10373317873796145,-0.5593612347505962,-0.09280486860340756,-0.01721060278137203,-0.028835568672549515,0.05817267524352081,0.0,4.438822636314449,3318200000.0,-4134934000.0,-624200000.0,-118687000.0,132620000.0,-5.289999999999999,-5.289999999999999,-0.0,-4.706680741969537,0.54774,65.98,31.95,19.38074,41093.7,4.7295,7.8593
2020-12-31,13379090000.0,8637108000.0,1952826000.0,5409008000.0,7970082000.0,1988429000.0,-1009671000.0,540740000.0,1616913000.0,-66202000.0,-1068213000.0,2.07,-1561918000.0,-364250000.0,-236427000.0,0.0,4.4224,11.5893,,2.07,304313000.0,0.20287281862344703,0.12085373519424714,-1.6014256128976667,-0.535560593500259,0.04041679964780863,0.0678462279309046,-0.3013981782184494,0.0,4.422876385300073,3716349000.0,-1135626000.0,26658000.0,521835000.0,152878000.0,-1.4400000000000004,-1.4400000000000004,0.0,0.17437433770719135,0.54774,65.98,31.95,19.38074,41093.7,4.7295,7.8593
2021-03-31,14984075000.0,9863742000.0,2036693000.0,7247425000.0,7736650000.0,4248702000.0,1036018000.0,52182000.0,68005000.0,13185000.0,-18000000.0,0.08,872187000.0,390184000.0,131052000.0,0.0,,12.8749,,0.08,183234000.0,0.008789980159371304,0.004538485024934806,0.06564075141551595,0.05036785075162787,0.0034824972512484086,0.006744779717319511,0.17686372244497683,0.0,4.843018559989159,3944730000.0,-1059225000.0,86283000.0,591863000.0,132793000.0,-1.35,-1.35,0.0,0.6497556347096609,0.54774,65.98,31.95,19.38074,41093.7,4.7295,7.8593
2021-06-30,15323225000.0,9728141000.0,2257919000.0,7607097000.0,7716128000.0,4125595000.0,2226445000.0,82434000.0,133654000.0,27078000.0,-2400000.0,0.16,870622000.0,772151000.0,265864000.0,0.0,,12.3369,142.8515,0.16,348298000.0,0.017321381915903936,0.008722315308950955,0.06003022756007896,0.03702494335139651,0.005379676928322856,0.010683337549610374,0.15643683091205937,0.0,4.308454377681396,4680100000.0,460830000.0,450090000.0,977048000.0,86773000.0,0.5799999999999998,0.5799999999999998,0.0,5.186982125776451,0.54774,65.98,31.95,19.38074,41093.7,4.7295,7.8593
2021-09-30,14589345000.0,8649234000.0,2114981000.0,7416714000.0,7172631000.0,3473865000.0,3510262000.0,-660114000.0,-403103000.0,40362000.0,-192700000.0,-0.51,796775000.0,1161131000.0,399312000.0,0.0,,10.041,,-0.51,-260802000.0,-0.056200158630773,-0.027629958713019674,-0.11483558777094131,-0.18805262968974965,-0.045246308179016946,-0.09203233792453563,-0.0742970182852448,0.0,4.089509078332146,5763054000.0,1415469000.0,15242000.0,575043000.0,14423000.0,1.7999999999999996,1.7999999999999996,0.0,1.056784302849615,0.54774,65.98,31.95,19.38074,41093.7,4.7295,7.8593
2021-12-31,14059516000.0,7918370000.0,1343867000.0,6752317000.0,7307199000.0,2186549000.0,-1695243000.0,32759000.0,-19965000.0,-29439000.0,23396000.0,-0.010000000000000009,-1742011000.0,-1690777000.0,-251380000.0,0.0,5.8922,6.8064,,-0.010000000000000009,-218621000.0,-0.0027322370719615,-0.0014200346583765756,0.011777072667458293,-0.019324073303945217,0.002330023309479501,0.0044831131600494255,0.1289614527238868,0.0,5.892227430244213,5077482000.0,-221409000.0,-492739000.0,52109000.0,51186000.0,-0.2799999999999998,-0.2799999999999998,0.0,-9.62644082366272,0.54774,65.98,31.95,19.38074,41093.7,4.7295,7.8593
2022-03-31,13550957000.0,7476068000.0,1136707000.0,7646041000.0,5904916000.0,2283308000.0,1200984000.0,-127833000.0,513286000.0,15444000.0,315400000.0,0.61,838590000.0,126091000.0,160283000.0,0.0,,5.6353,131.9629,0.61,32450000.0,0.08692519927463828,0.037878210372891005,0.42738787527560734,-0.10644021902040326,-0.009433503478757994,-0.02164857213887547,0.027019510667918974,0.0,6.576952548018091,5242448000.0,223872000.0,-672754000.0,-98675000.0,53445000.0,0.25000000000000017,0.25000000000000017,-0.0,-12.587781831789691,0.54774,65.98,31.95,19.38074,41093.7,4.7295,7.8593
2022-06-30,13579287000.0,7273581000.0,1017263000.0,7646806000.0,5932481000.0,2680596000.0,2377644000.0,-471595000.0,243279000.0,38786000.0,249500000.0,0.3,835661000.0,155787000.0,333571000.0,0.0,,5.4646,,0.3,-138024000.0,0.04100796951562087,0.017915447254336695,0.10231935478986762,-0.19834550504617177,-0.03472899571236693,-0.07949372277804177,-0.058050742667951974,0.0,7.150147995159561,5393647000.0,333497000.0,-1226783000.0,-584997000.0,65153000.0,0.3900000000000002,0.3900000000000002,-0.0,-18.82926342608936,0.54774,65.98,31.95,19.38074,41093.7,4.7295,7.8593
