report_date,total_assets,total_liabilities,total_equity,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-06-30,10185090000.0,8212357000.0,1972733000.0,2395568000.0,-777125000.0,,-125540000.0,46117000.0,-7850000.0,-0.82,152344.0,-183791000.0,,,0.0,,0.8589,-0.82,,-0.06363760326410112,-0.012325860645315849,0.16154415312851858,,,,,,0.0,,,,,,,0.72407997,29.97,24.59,2.40477,5553.7344,7.5218,1.2701,4.5761
2010-09-30,9986763000.0,8003318000.0,1983445000.0,2166101000.0,1159450000.0,,-177068000.0,72819000.0,-33996000.0,-1.05,168429000.0,-453408000.0,,,0.0,,1.1733,-1.05,,-0.08927295690074592,-0.017730269557813677,-0.1527172366208116,,,,,,0.0,,,,,,,0.72407997,29.97,24.59,2.40477,5553.7344,7.5218,1.2701,4.5761
2010-12-31,9333642000.0,7664587000.0,1669055000.0,1304154000.0,1520525000.0,,-363735000.0,98589000.0,4335000.0,-2.06,176406.0,-875430000.0,,,0.0,,1.3348,-2.06,,-0.217928708161205,-0.038970318338757796,-0.23921671790993243,,,,,,0.0,,,,,,,0.72407997,29.97,24.59,2.40477,5553.7344,7.5218,1.2701,4.5761
2011-03-31,8847972000.0,7239665000.0,1608307000.0,1112334000.0,353113000.0,,-33661000.0,26042000.0,1769000.0,-0.17,200744.0,-420933000.0,,,0.0,,1.187,-0.17,,-0.020929461850256202,-0.0038043746069720834,-0.09532642525197317,,,,,,0.0,2255963000.0,-700004000.0,,243567000.0,-4.1,-4.1,0.72407997,29.97,24.59,2.40477,5553.7344,7.5218,1.2701,4.5761
2011-12-31,7216230000.0,6019415000.0,1196815000.0,995799000.0,1504279000.0,,-485892000.0,,1593000.0,-2.42,201019000.0,-1883851000.0,,,0.0,,0.4799,-2.42,,-0.40598755864523756,-0.06733321970059158,-0.323006569924861,,,,,,0.0,4537367000.0,-1060356000.0,,,-5.699999999999999,-5.699999999999999,0.72407997,29.97,24.59,2.40477,5553.7344,7.5218,1.2701,4.5761
2012-03-31,6812114000.0,5680562000.0,1131552000.0,902606000.0,379683000.0,,-19555000.0,,1363000.0,-0.1,201528000.0,-423615000.0,,,0.0,,0.6714,-0.1,,-0.017281574333305055,-0.0028706213665831196,-0.051503491070182233,,,,,,0.0,3757600000.0,-902843000.0,,,-4.749999999999999,-4.749999999999999,0.72407997,29.97,24.59,2.40477,5553.7344,7.5218,1.2701,4.5761
2012-06-30,6318636000.0,5451413000.0,867223000.0,563145000.0,700773000.0,,-293446000.0,,-1528000.0,-1.45,201770000.0,-854108000.0,,,0.0,,0.4011,-1.45,,-0.33837432817164675,-0.04644135221588963,-0.4187461560305548,,,,,,0.0,2937848000.0,-832554000.0,,,-4.14,-4.14,0.72407997,29.97,24.59,2.40477,5553.7344,7.5218,1.2701,4.5761
2012-09-30,6008890000.0,5340914000.0,667976000.0,730404000.0,1006992000.0,,-540388000.0,,-4500000.0,-2.68,201851000.0,-1172522000.0,,,0.0,,0.2514,-2.68,,-0.8089931374779932,-0.0899314182819123,-0.5366358421913977,,,,,,0.0,3591727000.0,-1339281000.0,,,-6.6499999999999995,-6.6499999999999995,0.72407997,29.97,24.59,2.40477,5553.7344,7.5218,1.2701,4.5761
2012-12-31,5574324000.0,5377384000.0,196940000.0,1027625000.0,-709084000.0,,-73690000.0,,3100000.0,-0.35999999999999943,-403257000.0,881645000.0,,,0.0,,0.3893,-0.35999999999999943,,-0.37417487559662843,-0.013219540163076277,0.1039228074529957,,,,,,0.0,1378364000.0,-927079000.0,,,-4.589999999999999,-4.589999999999999,0.72407997,29.97,24.59,2.40477,5553.7344,7.5218,1.2701,4.5761
2013-03-31,6508498000.0,5730816000.0,777682000.0,1635810000.0,269185000.0,,-72930000.0,,1139000.0,-0.31,232348000.0,-251709000.0,,,0.0,,1.3323,-0.31,,-0.09377869103309579,-0.01120535029741117,-0.2709289150584171,,,,,,0.0,1267866000.0,-980454000.0,,,-4.799999999999999,-4.799999999999999,0.72407997,29.97,24.59,2.40477,5553.7344,7.5218,1.2701,4.5761
