report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,revenue,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,roe,roa,net_margin,fcf_margin,debt_equity,revenue_ttm,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-06-30,,,,,,1739782000.0,247725000.0,37749000.0,125684000.0,2.98,,,,0.0,,8.8468,1.2352,2.98,,,0.14238852913755862,,,,,,,,,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2010-09-30,,,,,,2520461000.0,362256000.0,56539000.0,189749000.0,4.39,,,,0.0,,9.0327,1.2935,4.39,,,0.14372608820370558,,,,,,,,,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2010-12-31,16159762000.0,12143521000.0,4016241000.0,789643000.0,198875000.0,3367632000.0,517064000.0,75529000.0,256274000.0,6.3,1028593000.0,9181000.0,1019412000.0,988518000.0,0.15,9.5783,1.4181,6.3,0.1287432701374245,0.03199700589649773,0.15353934159076763,0.30270884704742085,0.24613015005822608,,,,,,,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2011-03-31,16325247000.0,12366082000.0,3959165000.0,789871000.0,200435000.0,829272000.0,105533000.0,19460000.0,49680000.0,1.33,300047000.0,761000.0,299286000.0,990306000.0,,10.7841,1.5358,1.33,0.026655367987946953,0.006464404489561475,0.12725981342671644,0.3609020924377044,0.2501300147884718,8457147000.0,1232578000.0,,189277000.0,15.0,15.0,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2011-06-30,16218212000.0,12438113000.0,3780099000.0,790101000.0,199855000.0,1706606000.0,254473000.0,38871000.0,119268000.0,2.2,452733000.0,1399000.0,451334000.0,989956000.0,,9.865,1.4366,2.2,0.06731913635066171,0.015690570575843995,0.1491105738524299,0.26446291645523334,0.26188626276719207,8423971000.0,1239326000.0,,190399000.0,14.219999999999999,14.219999999999999,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2011-09-30,16971380000.0,12788327000.0,4183053000.0,790335000.0,225672000.0,2543847000.0,391528000.0,58381000.0,181179000.0,3.49,684482000.0,2927000.0,681555000.0,1016007000.0,,7.1632,1.0793,3.49,0.0935986228240474,0.023069897674791326,0.15391177220957078,0.2679229529134417,0.24288647550007136,8447357000.0,1268598000.0,2451587000.0,192241000.0,13.32,13.32,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2011-12-31,17156391000.0,12927483000.0,4228908000.0,790571000.0,224842000.0,-1702324000.0,-233649000.0,-38804000.0,-112801000.0,-2.3000000000000007,-577798000.0,299000.0,-578097000.0,1015413000.0,0.1522,8.9697,1.3202,-2.3000000000000007,-0.055250433445229834,-0.013618773318934034,0.13725295537159787,0.33959281546873565,0.24011234105825902,3377401000.0,517885000.0,854078000.0,77908000.0,4.720000000000001,4.720000000000001,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2012-03-31,16734412000.0,12900258000.0,3834154000.0,790817000.0,224884000.0,897923000.0,118677000.0,19671000.0,51558000.0,1.17,284047000.0,479000.0,283568000.0,1015701000.0,,9.7069,1.4527,1.17,0.03095259084533381,0.0070917938437275235,0.1321683485109525,0.3158043618439443,0.2649087647496684,3446052000.0,531029000.0,838360000.0,78119000.0,4.5600000000000005,4.5600000000000005,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2012-06-30,17185003000.0,13187342000.0,3997661000.0,791066000.0,319829000.0,1783718000.0,247665000.0,39320000.0,108950000.0,2.48,447131000.0,2681000.0,444450000.0,1110895000.0,,9.6404,1.4006,2.48,0.06195247671075661,0.01441169373086522,0.13884762053194508,0.24917055274432393,0.277886243981168,3523164000.0,524221000.0,831476000.0,78568000.0,4.84,4.84,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2012-09-30,17939864000.0,13630971000.0,4308893000.0,965295000.0,319710000.0,2660818000.0,378337000.0,59163000.0,167069000.0,3.84,697668000.0,3856000.0,693812000.0,1285005000.0,,9.7664,1.4008,3.84,0.08780375841312374,0.02108917882543591,0.14218822933398675,0.2607513929926812,0.29822160819495863,3640135000.0,511030000.0,843733000.0,79350000.0,5.1899999999999995,5.1899999999999995,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
