report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-04-03,12802702000.0,5461786000.0,1541156000.0,5293360000.0,7305636000.0,3080200000.0,9075000.0,1659589000.0,3654842000.0,,30964000.0,22842000.0,0.1,316228000.0,-3037000.0,54216000.0,-57253000.0,3089275000.0,,,1.2285,0.1,,0.004238371580516741,0.002418551958797448,0.008472048860114883,,,,-0.01566497265818878,,0.422861883619715,3.543954018931244,,,,,,,,,1.8112406,196.895,97.59,1.56921,39282.08,22.5241,1.783,1.2089
2010-07-03,12688180000.0,5186933000.0,1511957000.0,5233073000.0,7246393000.0,3080200000.0,2599000.0,801504000.0,7850808000.0,,121956000.0,72197000.0,0.38,316349000.0,-293759000.0,163219000.0,-456978000.0,3082799000.0,,77.9283,0.8478,0.38,,0.01682989040202484,0.009611780412951267,0.01553419724441102,,,,-0.05820776664007068,,0.42542531159985386,3.4306088069964953,,,,,,,,,1.8112406,196.895,97.59,1.56921,39282.08,22.5241,1.783,1.2089
2010-10-02,13260925000.0,5761113000.0,1478265000.0,5830576000.0,7227317000.0,3680200000.0,3092000.0,1850093000.0,11990877000.0,,145451000.0,80179000.0,0.46,316483000.0,216241000.0,238330000.0,-22089000.0,3683292000.0,,59.5592,0.8153,0.46,,0.020125172314982172,0.010968390214106482,0.012130138604540769,,,,-0.0018421504949137583,,0.5096347648788617,3.8972126107294702,,,,,,,,,1.8112406,196.895,97.59,1.56921,39282.08,22.5241,1.783,1.2089
2010-12-31,13921910000.0,5861175000.0,1504438000.0,6591216000.0,7120070000.0,4280200000.0,13328000.0,1325406000.0,-7651900000.0,,-164279000.0,-114426000.0,-0.52,,953959000.0,-110471000.0,843488000.0,4293528000.0,3.8959,103.1769,0.8732,-0.52,,-0.023072666420414407,-0.011800033185101757,0.021469046903383474,,,,-0.11023249127667638,,0.6030176669611395,3.8959232617096884,15844627000.0,134092000.0,,307168000.0,,0.41999999999999993,0.41999999999999993,,1.8112406,196.895,97.59,1.56921,39282.08,22.5241,1.783,1.2089
2011-04-02,14344446000.0,6295610000.0,1787626000.0,6890855000.0,7251374000.0,4280200000.0,16965000.0,1152944000.0,4833934000.0,,159841000.0,85133000.0,0.5,316874000.0,47495000.0,96036000.0,-48541000.0,4297165000.0,,56.3329,0.8702,0.5,,0.022042856981311403,0.011143058435299627,0.03306644236350765,,,,-0.010041717574133201,,0.5926001058558006,3.521771332482298,17023719000.0,262969000.0,,315880000.0,,0.82,0.82,,1.8112406,196.895,97.59,1.56921,39282.08,22.5241,1.783,1.2089
2011-07-02,14733549000.0,6716495000.0,2002685000.0,7058158000.0,7464948000.0,4280200000.0,14673000.0,1189544000.0,9941743000.0,,459614000.0,240842000.0,1.44,316948000.0,292722000.0,212893000.0,79829000.0,4294873000.0,,27.6098,0.7262,1.44,,0.06156961843538629,0.031195063728365786,0.04623072634245323,,,,0.00802967849802595,,0.5753386359824609,3.3537450972069998,19114654000.0,600627000.0,,852687000.0,,1.88,1.88,,1.8112406,196.895,97.59,1.56921,39282.08,22.5241,1.783,1.2089
2011-10-01,14807265000.0,6893896000.0,2358085000.0,7128084000.0,7462736000.0,3930200000.0,7624000.0,1101437000.0,15193887000.0,1027757000.0,641132000.0,324946000.0,2.02,317061000.0,673144000.0,318252000.0,354892000.0,3937824000.0,,15.5127,0.5129,2.02,1027757000.0,0.08591111892474824,0.04329847544431737,0.04219670713623183,0.0676427960797655,0.06940896917830539,0.0901496944009768,0.02335755162586111,0.0676427960797655,0.527664920747565,2.9235146315760456,22317664000.0,1096308000.0,,1229668000.0,,3.44,3.44,,1.8112406,196.895,97.59,1.56921,39282.08,22.5241,1.783,1.2089
2011-12-31,14570350000.0,6708081000.0,2396059000.0,6863770000.0,7474885000.0,3630200000.0,1826000.0,1200645000.0,-9946000000.0,224055000.0,-482399000.0,-260093000.0,-1.5099999999999998,,19251000.0,-186679000.0,-167428000.0,3632026000.0,2.7996,16.4906,0.6409,-1.5099999999999998,224055000.0,-0.06453597613876334,-0.03310826438623643,0.04850180977277298,-0.02252714659159461,0.015377461763101093,0.020172575435240276,0.01683370199075005,-0.02252714659159461,0.4858972412284604,2.7996309773674186,20023564000.0,778188000.0,,218752000.0,,2.45,2.45,,1.8112406,196.895,97.59,1.56921,39282.08,22.5241,1.783,1.2089
2012-03-31,14814465000.0,6859485000.0,2549047000.0,7018763000.0,7585584000.0,3630200000.0,8040000.0,1179814000.0,5072594000.0,225062000.0,145104000.0,61650000.0,0.46,317779000.0,207651000.0,167329000.0,40322000.0,3638240000.0,,18.0609,0.6805,0.46,225062000.0,0.019128916112457525,0.009794751278564565,0.028605482717520857,0.04436822659175956,0.01519204372213239,0.020052167603483446,0.007948990201068724,0.04436822659175956,0.4796255634371724,2.6909998128712416,20262224000.0,763451000.0,,307615000.0,,2.41,2.41,,1.8112406,196.895,97.59,1.56921,39282.08,22.5241,1.783,1.2089
2012-06-30,14766566000.0,6486344000.0,2757288000.0,6984007000.0,7558164000.0,3380200000.0,7109000.0,1111989000.0,10176793000.0,441255000.0,257403000.0,138276000.0,0.81,317910000.0,446486000.0,383448000.0,63038000.0,3387309000.0,,20.8725,0.5934,0.81,441255000.0,0.03405628668549664,0.01743147323487397,0.025293135077032618,0.04335894421749563,0.02988203215290542,0.04031392704545523,0.006194289301158036,0.04335894421749563,0.44816558624554853,2.3524361619098184,20497274000.0,561240000.0,1918129000.0,290824000.0,1918129000.0,1.7800000000000002,1.7800000000000002,1.7659443134429436,1.8112406,196.895,97.59,1.56921,39282.08,22.5241,1.783,1.2089
