report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2014-03-31,1977900000.0,913900000.0,461500000.0,2006200000.0,-60400000.0,1264400000.0,70500000.0,205400000.0,472500000.0,66800000.0,35600000.0,13100000.0,16300000.0,0.0,97400000.0,-900000.0,1334900000.0,1.9303,,,0.0,66800000.0,-0.5894039735099338,0.01799888770918651,0.07534391534391534,0.14137566137566138,0.033773193791394915,0.05241271086700667,0.14137566137566138,-22.100993377483444,1.980281690140845,,,,,,,,,,1.0253819,183.11,116.57,0.86698,12151.685,18.8749,6.6251,2.9877
2014-06-30,1968100000.0,887600000.0,437400000.0,1979300000.0,-42200000.0,1256900000.0,30700000.0,193200000.0,998100000.0,157100000.0,79100000.0,25600000.0,39400000.0,0.0,97400000.0,63800000.0,1287600000.0,,,,0.0,157100000.0,-1.8744075829383886,0.040191047202886035,0.07925057609457971,0.15739905821060013,0.07982317971647782,0.12614421069535892,0.15739905821060013,-30.511848341232227,2.0292638317329676,,,,,,,,,,1.0253819,183.11,116.57,0.86698,12151.685,18.8749,6.6251,2.9877
2014-09-30,1992200000.0,934000000.0,464200000.0,1986200000.0,-30700000.0,1249200000.0,30300000.0,251400000.0,1544800000.0,262700000.0,139400000.0,38300000.0,66600000.0,1.0,97300000.0,172000000.0,1279500000.0,,30.4142,2.1917,1.0,262700000.0,-4.54071661237785,0.06997289428772212,0.09023821853961678,0.17005437597099948,0.13186427065555667,0.2103619474695708,0.17005437597099948,-41.67752442996743,2.012063765618268,,,,,,,,,,1.0253819,183.11,116.57,0.86698,12151.685,18.8749,6.6251,2.9877
2014-12-31,2015900000.0,973800000.0,531300000.0,1997400000.0,-4800000.0,1215000000.0,49600000.0,290500000.0,-897100000.0,-160300000.0,-78900000.0,-23200000.0,-38100000.0,0.0,,21000000.0,1264600000.0,1.8811,30.2341,2.5063,0.0,-160300000.0,16.4375,-0.03913884617292524,0.08795006130866125,0.17868687994649426,-0.07951783322585446,-0.12724241943165582,0.17868687994649426,-263.4583333333333,1.8328627893845286,2118300000.0,175200000.0,326300000.0,326300000.0,53800000.0,1.0,1.0,3.8755746245786087,6.065055762081784,1.0253819,183.11,116.57,0.86698,12151.685,18.8749,6.6251,2.9877
2015-03-31,1927400000.0,903700000.0,482100000.0,1925900000.0,-19800000.0,1202700000.0,49400000.0,229600000.0,458700000.0,71000000.0,45400000.0,11600000.0,12400000.0,0.0,96900000.0,4400000.0,1252100000.0,,31.711,2.7828,0.0,71000000.0,-2.292929292929293,0.02355504825153056,0.09897536516241552,0.15478526269893175,0.036837189996886996,0.05761584029862858,0.15478526269893175,-63.23737373737374,1.8745073636175067,2104500000.0,185000000.0,330500000.0,330500000.0,52300000.0,1.0,1.0,3.7885022692889563,6.319311663479923,1.0253819,183.11,116.57,0.86698,12151.685,18.8749,6.6251,2.9877
2015-06-30,1989600000.0,923200000.0,479000000.0,1916900000.0,47300000.0,1190500000.0,61800000.0,201000000.0,978200000.0,166700000.0,109300000.0,22900000.0,31400000.0,1.0,96900000.0,33200000.0,1252300000.0,,27.9456,2.7421,1.0,166700000.0,2.3107822410147993,0.05493566546039405,0.11173584134123901,0.17041504804743407,0.08378568556493768,0.12827023699599877,0.17041504804743407,26.47568710359408,1.927348643006263,2084600000.0,215200000.0,340100000.0,340100000.0,49600000.0,2.0,2.0,3.6821523081446634,6.856854838709677,1.0253819,183.11,116.57,0.86698,12151.685,18.8749,6.6251,2.9877
2015-09-30,2409000000.0,875700000.0,517200000.0,2381000000.0,14500000.0,1575900000.0,59000000.0,175200000.0,1522700000.0,277100000.0,82000000.0,36600000.0,50800000.0,0.0,96900000.0,125500000.0,1634900000.0,,46.8976,2.6355,0.0,277100000.0,5.655172413793103,0.034039020340390205,0.05385171077690944,0.18197937873514153,0.11502698215026982,0.16800048502485754,0.18197937873514153,112.75172413793103,1.693155452436195,2062500000.0,157800000.0,354500000.0,354500000.0,47900000.0,1.0,1.0,4.611847672778562,7.400835073068894,1.0253819,183.11,116.57,0.86698,12151.685,18.8749,6.6251,2.9877
2015-12-31,2285300000.0,735100000.0,447100000.0,2255600000.0,25600000.0,1479800000.0,65600000.0,199700000.0,-891500000.0,-156200000.0,-82800000.0,-18200000.0,-40000000.0,0.0,,93900000.0,1545400000.0,1.6442,41.0819,3.0572,0.0,-156200000.0,-3.234375,-0.036231566971513585,0.0928771733034212,0.1752103196859226,-0.06834988841727563,-0.09942711648631444,0.1752103196859226,60.3671875,1.644151196600313,2068100000.0,153900000.0,358600000.0,358600000.0,52900000.0,1.0,1.0,4.309537088678193,6.77882797731569,1.0253819,183.11,116.57,0.86698,12151.685,18.8749,6.6251,2.9877
2016-03-31,2270000000.0,710400000.0,406100000.0,2192300000.0,73700000.0,1446900000.0,49100000.0,125500000.0,502300000.0,82500000.0,57700000.0,16300000.0,16200000.0,0.0,96900000.0,-800000.0,1496000000.0,,36.8374,2.8993,0.0,82500000.0,0.7829036635006784,0.025418502202643172,0.11487159068285885,0.16424447541309975,0.03634361233480176,0.05255781359495445,0.16424447541309975,20.29850746268657,1.7493228268899286,2111700000.0,166200000.0,370100000.0,370100000.0,57600000.0,1.0,1.0,4.042150770062145,6.425347222222222,1.0253819,183.11,116.57,0.86698,12151.685,18.8749,6.6251,2.9877
2016-06-30,2345500000.0,827900000.0,469700000.0,2202700000.0,139200000.0,1437100000.0,48600000.0,169100000.0,1087200000.0,206800000.0,152700000.0,32800000.0,37200000.0,1.0,96800000.0,101200000.0,1485700000.0,,33.6887,3.053,1.0,206800000.0,1.0969827586206897,0.06510338946919633,0.14045253863134657,0.19021339220014716,0.0881688339373268,0.12726937042279524,0.19021339220014716,10.673132183908047,1.7626144347455823,2220700000.0,209600000.0,410200000.0,410200000.0,67500000.0,1.0,1.0,3.621891760117016,6.077037037037037,1.0253819,183.11,116.57,0.86698,12151.685,18.8749,6.6251,2.9877
