report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2010-03-31,8371700000.0,2536700000.0,1898600000.0,,1477000000.0,3184900000.0,283100000.0,521400000.0,,310800000.0,,85300000.0,55600000.0,34200000.0,0.5,170671000.0,24500000.0,96800000.0,,-72300000.0,3468000000.0,,0.8778,29.038,0.5,,0.05775220040622884,0.010189089432253903,,,,,,,,2.348002708192282,1.3360897503423574,,,,,,,,,,,0.821717,16.91,9.227,2.40921,1576.9467,1.752,0.2454
2010-06-30,8358200000.0,2728000000.0,1919000000.0,,1538300000.0,3227800000.0,272700000.0,682300000.0,,707700000.0,,226400000.0,115600000.0,88900000.0,1.34,168554604.0,174600000.0,236500000.0,,-61900000.0,3500500000.0,,0.6613,22.3446,1.34,,0.14717545342260938,0.027087171879112727,,,,,,,,2.275563934213092,1.4215737363210006,,,,,,,,,,,0.821717,16.91,9.227,2.40921,1576.9467,1.752,0.2454
2010-09-30,9883200000.0,2965600000.0,2155900000.0,,1938200000.0,4005700000.0,339300000.0,700200000.0,,1084800000.0,,365100000.0,176600000.0,146200000.0,2.18,167557821.0,405000000.0,391600000.0,,13400000.0,4345000000.0,,0.6905,22.2894,2.18,,0.18837065318336602,0.03694147644487615,,,,,,,,2.2417707150964814,1.3755740062155017,,,,,,,,,,,0.821717,16.91,9.227,2.40921,1576.9467,1.752,0.2454
2010-12-31,9754000000.0,2738000000.0,2079000000.0,,1815000000.0,3924000000.0,257000000.0,640000000.0,,-753300000.0,,-723800000.0,-98800000.0,-140300000.0,-4.300000000000001,,-12100000.0,-224900000.0,,-237000000.0,4181000000.0,1.317,0.7577,,-4.300000000000001,,-0.3987878787878788,-0.07420545417264712,,,,,,,,2.303581267217631,1.316979316979317,-47000000.0,,1350000000.0,-357800000.0,,249000000.0,-0.28000000000000025,-0.28000000000000025,,,0.821717,16.91,9.227,2.40921,1576.9467,1.752,0.2454
2011-03-31,9976000000.0,2785000000.0,2077000000.0,,1980000000.0,3991000000.0,372000000.0,430000000.0,,333000000.0,,72000000.0,76000000.0,28000000.0,0.44,166114000.0,-85000000.0,73000000.0,,-158000000.0,4363000000.0,,0.7275,,0.44,,0.03636363636363636,0.007217321571772253,,,,,,,,2.2035353535353535,1.34087626384208,-60300000.0,,1372200000.0,-443500000.0,,269400000.0,-0.34000000000000025,-0.34000000000000025,,,0.821717,16.91,9.227,2.40921,1576.9467,1.752,0.2454
2011-06-30,10144000000.0,2751000000.0,2192000000.0,,2133000000.0,3969000000.0,371000000.0,260000000.0,,688000000.0,,145000000.0,176000000.0,60000000.0,0.87,166193000.0,94000000.0,153000000.0,,-59000000.0,4340000000.0,,0.5973,,0.87,,0.06797937177684013,0.01429416403785489,,,,,,,,2.03469292076887,1.2550182481751824,-141700000.0,,1352500000.0,-440600000.0,,329800000.0,-0.8100000000000004,-0.8100000000000004,,,0.821717,16.91,9.227,2.40921,1576.9467,1.752,0.2454
2011-09-30,9552000000.0,2639000000.0,2113000000.0,9552000000.0,1940000000.0,3743000000.0,345000000.0,256000000.0,,1075000000.0,363000000.0,261000000.0,246000000.0,85000000.0,1.57,166017000.0,280000000.0,204000000.0,,76000000.0,4088000000.0,,0.3417,,1.57,363000000.0,0.1345360824742268,0.027324120603015076,,,,0.03800251256281407,0.060218978102189784,,,2.107216494845361,1.2489351632749646,-245800000.0,,1342700000.0,-378000000.0,,399200000.0,-1.4200000000000006,-1.4200000000000006,,,0.821717,16.91,9.227,2.40921,1576.9467,1.752,0.2454
2011-12-31,8926000000.0,2694000000.0,2245000000.0,8926000000.0,839000000.0,3627000000.0,330000000.0,400000000.0,,-717000000.0,-769000000.0,-988000000.0,-184000000.0,-88000000.0,-5.99,,214000000.0,-145000000.0,,69000000.0,3957000000.0,1.2218,0.4518,,-5.99,-769000000.0,-1.1775923718712753,-0.11068787810889537,,,,-0.08615281200985885,-0.16034195162635528,,,4.716328963051252,1.2,-510000000.0,,1379000000.0,-72000000.0,,314000000.0,-3.1100000000000003,-3.1100000000000003,,,0.821717,16.91,9.227,2.40921,1576.9467,1.752,0.2454
2012-03-31,9161000000.0,2865000000.0,2116000000.0,9161000000.0,1131000000.0,3724000000.0,406000000.0,299000000.0,,378000000.0,170000000.0,121000000.0,64000000.0,44000000.0,0.72,166206000.0,-95000000.0,73000000.0,,-168000000.0,4130000000.0,,0.5224,,0.72,170000000.0,0.10698496905393456,0.0132081650474839,,,,0.018556926099770766,0.03231324843185706,,,3.651635720601238,1.3539697542533082,-461000000.0,,1424000000.0,-82000000.0,,302000000.0,-2.83,-2.83,,,0.821717,16.91,9.227,2.40921,1576.9467,1.752,0.2454
2012-06-30,8834000000.0,2847000000.0,2114000000.0,8834000000.0,1102000000.0,3567000000.0,452000000.0,336000000.0,,754000000.0,349000000.0,254000000.0,126000000.0,85000000.0,1.52,166062000.0,4000000.0,124000000.0,,-120000000.0,4019000000.0,,0.4397,,1.52,349000000.0,0.23049001814882034,0.0287525469775866,,,,0.03950645234321938,0.06815075180628784,,,3.647005444646098,1.346736045411542,-352000000.0,113000000.0,1490000000.0,-143000000.0,113000000.0,252000000.0,-2.1800000000000006,-2.1800000000000006,35.56637168141593,0.44841269841269843,0.821717,16.91,9.227,2.40921,1576.9467,1.752,0.2454
