report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,34173000000.0,13078000000.0,9580000000.0,27808000000.0,4876000000.0,14809000000.0,1050000000.0,850000000.0,15587000000.0,4124000000.0,2715000000.0,1703000000.0,738000000.0,0.9,1974000000.0,150000000.0,223000000.0,1824000000.0,15859000000.0,,14.8104,3.7514,0.9,2938000000.0,0.3492616899097621,0.04983466479384309,0.10925771476230192,0.2645794572400077,0.17418361455058703,0.07944868756035467,0.13093802748975164,0.11702059408481427,0.1884904086738949,3.2524610336341264,1.3651356993736952,,,,,,,,,,0.4353455,191.3,142.11,5.58676,258626.73,22.7905,592.31,6.3626
2010-09-30,36879000000.0,15482000000.0,13713000000.0,30757000000.0,4532000000.0,13595000000.0,2416000000.0,3507000000.0,49906000000.0,12959000000.0,8457000000.0,5507000000.0,2109000000.0,2.96,7856000000.0,483000000.0,677000000.0,7373000000.0,16011000000.0,,14.6076,3.8187,2.96,9134000000.0,1.21513680494263,0.14932617478781962,0.11034745321203863,0.25966817617120186,0.1694585821344127,0.22931749776295451,0.4116730759869542,0.14773774696429287,0.18302408528032701,3.5328773168578995,1.1290016772405747,,,,,,,,,,0.4353455,191.3,142.11,5.58676,258626.73,22.7905,592.31,6.3626
2010-12-31,35050000000.0,13756000000.0,12804000000.0,29929000000.0,3506000000.0,13370000000.0,1747000000.0,1703000000.0,67713000000.0,17495000000.0,11200000000.0,7259000000.0,2826000000.0,3.92,9437000000.0,713000000.0,932000000.0,8724000000.0,15117000000.0,1.0744,14.6296,3.9031,3.92,12132000000.0,2.0704506560182545,0.20710413694721827,0.10720245743062631,0.2583698846602573,0.16540398446384003,0.3195435092724679,0.6014068624818772,0.12883788932701254,0.1791679588852953,4.311751283513976,1.0743517650734145,,,,,,,,,,0.4353455,191.3,142.11,5.58676,258626.73,22.7905,592.31,6.3626
2011-03-31,35554000000.0,13393000000.0,14343000000.0,30042000000.0,3992000000.0,11885000000.0,1730000000.0,1322000000.0,16530000000.0,4496000000.0,3007000000.0,1919000000.0,807000000.0,1.06,2395000000.0,159000000.0,239000000.0,2236000000.0,13615000000.0,,15.7195,4.2724,1.06,3246000000.0,0.4807114228456914,0.053974236372841315,0.11609195402298851,0.2719903206291591,0.18191167574107683,0.08457557518141419,0.17078434713466234,0.1352692075015124,0.19637023593466424,3.410571142284569,0.9337655999442237,149736000000.0,16388000000.0,25379000000.0,39074000000.0,20157000000.0,27450000000.0,8.84,8.84,0.49599271402550094,0.4353455,191.3,142.11,5.58676,258626.73,22.7905,592.31,6.3626
2011-06-30,36794000000.0,14333000000.0,14763000000.0,31614000000.0,3669000000.0,13037000000.0,570000000.0,2178000000.0,36764000000.0,9925000000.0,6719000000.0,4328000000.0,1826000000.0,2.42,6515000000.0,345000000.0,488000000.0,6170000000.0,13607000000.0,,15.0271,4.1353,2.42,7207000000.0,1.1796129735622785,0.11762787410990923,0.11772386029811772,0.26996518333152,0.18276030899793275,0.18261129531988912,0.3889210465385506,0.16782722228266783,0.19603416385594605,3.708639956391387,0.9708731287678656,170913000000.0,19013000000.0,29383000000.0,44875000000.0,24503000000.0,31719000000.0,10.36,10.36,0.42898578139285604,0.4353455,191.3,142.11,5.58676,258626.73,22.7905,592.31,6.3626
2011-09-30,36220000000.0,15090000000.0,16050000000.0,32566000000.0,2130000000.0,12870000000.0,2563000000.0,3391000000.0,57470000000.0,15440000000.0,10396000000.0,6705000000.0,2850000000.0,3.76,9568000000.0,568000000.0,743000000.0,9000000000.0,15433000000.0,,12.9562,3.5969,3.76,11139000000.0,3.147887323943662,0.18511871893981227,0.11666956673046806,0.26866191056203237,0.18089437967635288,0.28702374378796247,0.5919262085065193,0.15660344527579606,0.19382286410301028,7.245539906103287,0.9401869158878504,178477000000.0,20211000000.0,31322000000.0,47356000000.0,26130000000.0,33724000000.0,11.16,11.16,0.4576266160597794,0.4353455,191.3,142.11,5.58676,258626.73,22.7905,592.31,6.3626
2011-12-31,35488000000.0,14859000000.0,14794000000.0,33725000000.0,229000000.0,14828000000.0,1511000000.0,2550000000.0,-34418000000.0,-9442000000.0,-6790000000.0,-4361000000.0,-1830000000.0,-2.3900000000000006,-7949000000.0,-175000000.0,-477000000.0,-8124000000.0,16339000000.0,1.0044,15.7885,4.3618,-2.3900000000000006,-7267000000.0,-19.04366812227074,-0.12288660955816051,0.12670695566273463,0.2743331977453658,0.19728049276541346,-0.19133228133453561,-0.4098261709319169,0.23603928177116626,0.21113952001859493,71.34934497816595,1.0043936731107206,76346000000.0,8591000000.0,13332000000.0,20419000000.0,9282000000.0,14325000000.0,4.85,4.85,1.1405933682373472,0.4353455,191.3,142.11,5.58676,258626.73,22.7905,592.31,6.3626
2012-03-31,36399000000.0,15338000000.0,15283000000.0,34784000000.0,112000000.0,15346000000.0,4085000000.0,3576000000.0,18022000000.0,5006000000.0,3403000000.0,2161000000.0,958000000.0,1.25,1898000000.0,227000000.0,227000000.0,1671000000.0,19431000000.0,,17.3567,4.8281,1.25,3630000000.0,19.294642857142858,0.05936976290557433,0.11990900011097548,0.27777161247364335,0.18882476972589057,0.09349157943899558,0.174128844087397,0.09272000887803795,0.20142048607257795,173.49107142857142,1.0035987698750246,77838000000.0,8833000000.0,13728000000.0,20929000000.0,8717000000.0,14709000000.0,5.039999999999999,5.039999999999999,1.3210279420762798,0.4353455,191.3,142.11,5.58676,258626.73,22.7905,592.31,6.3626
2012-06-30,35798000000.0,15561000000.0,16830000000.0,35652000000.0,-1366000000.0,14824000000.0,2694000000.0,3846000000.0,38059000000.0,10460000000.0,7007000000.0,4478000000.0,1946000000.0,2.6,5378000000.0,476000000.0,449000000.0,4902000000.0,17518000000.0,,17.3659,4.8035,2.6,7456000000.0,-3.278184480234261,0.12509078719481534,0.11765942352662971,0.2748364381618014,0.1841088835755012,0.19573719202190065,0.4338162456661714,0.12880002101999527,0.19590635592106992,-12.824304538799414,0.9245989304812834,79133000000.0,8983000000.0,14016000000.0,21464000000.0,7449000000.0,14958000000.0,5.219999999999999,5.219999999999999,1.1711458751169943,0.4353455,191.3,142.11,5.58676,258626.73,22.7905,592.31,6.3626
2012-09-30,38309000000.0,17600000000.0,16726000000.0,38193000000.0,-1481000000.0,17520000000.0,2141000000.0,4817000000.0,57651000000.0,15796000000.0,10630000000.0,6705000000.0,3034000000.0,3.92,7771000000.0,719000000.0,665000000.0,7052000000.0,19661000000.0,,17.7991,4.9075,3.92,11295000000.0,-4.527346387575962,0.17502414576209246,0.11630327314357079,0.27399351268841826,0.18438535324625765,0.2774804876138766,0.5847084708470847,0.12232224939723509,0.1959202789197065,-13.275489534098583,1.0522539758459883,79314000000.0,8983000000.0,14250000000.0,21820000000.0,5501000000.0,15114000000.0,5.379999999999999,5.379999999999999,1.300846896916766,0.4353455,191.3,142.11,5.58676,258626.73,22.7905,592.31,6.3626
2012-12-31,37670000000.0,16590000000.0,17016000000.0,39523000000.0,-3476000000.0,17639000000.0,2419000000.0,2983000000.0,-36339000000.0,-10258000000.0,-7194000000.0,-4544000000.0,-2105000000.0,-2.5999999999999996,-5626000000.0,-366000000.0,-443000000.0,-5992000000.0,20058000000.0,0.975,15.8778,4.4531,-2.5999999999999996,-7637000000.0,1.3072497123130034,-0.12062649323068755,0.125044717796307,0.28228624893365256,0.19796912408156525,-0.1909742500663658,-0.4338439271499216,0.16489171413632736,0.21015988332094995,-5.770425776754891,0.9749647390691114,77393000000.0,8800000000.0,13846000000.0,21004000000.0,7633000000.0,14744000000.0,5.17,5.17,1.3604177970699947,0.4353455,191.3,142.11,5.58676,258626.73,22.7905,592.31,6.3626
2013-03-31,37418000000.0,16661000000.0,14509000000.0,40150000000.0,-4314000000.0,,1539000000.0,3981000000.0,18527000000.0,5095000000.0,3387000000.0,2125000000.0,933000000.0,1.0,1363000000.0,240000000.0,222000000.0,1123000000.0,1539000000.0,,17.3851,4.8349,1.0,3609000000.0,-0.49258229021789524,0.05679084932385483,0.1146974685593998,0.27500404814594914,0.18281427106385276,0.09051793254583355,-1.2205405405405405,0.060614238678685164,0.1947967830733524,-0.3567454798331015,1.1483217313391687,77898000000.0,8764000000.0,13830000000.0,21093000000.0,7085000000.0,14723000000.0,4.92,4.92,0.10453032669972152,0.4353455,191.3,142.11,5.58676,258626.73,22.7905,592.31,6.3626
