report_date,total_assets,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,24977276000.0,19487656000.0,4436420000.0,,3326642000.0,925071000.0,426916000.0,9373000.0,263959000.0,202000.0,0.03,448389000.0,0.0,,114.8949,6.4132,0.03,426916000.0,0.0021127395512597997,0.00037526109732702637,0.010132195258526102,0.46149538792157574,0.017092176104391846,0.0962298429815031,0.46149538792157574,0.0,,,,,,,,,,1.4177611,205.115,136.34,2.21395,61307.426,13.2482,11.7108,9.6327
2010-06-30,23924616000.0,18516118000.0,4589417000.0,,2293242000.0,1858637000.0,842383000.0,161877000.0,525422000.0,-308000.0,0.56,777161000.0,0.0,,62.6923,6.2032,0.56,842383000.0,0.03527180031799246,0.00676612740618282,0.08709446761255694,0.45322620823754184,0.03520988591833616,0.18354902158596614,0.45322620823754184,0.0,,,,,,,,,,1.4177611,205.115,136.34,2.21395,61307.426,13.2482,11.7108,9.6327
2010-09-30,24788287000.0,19094738000.0,4805056000.0,,1011574000.0,2837912000.0,1240177000.0,392501000.0,774686000.0,-557000.0,1.35,1285472000.0,0.0,,54.7065,7.0261,1.35,1240177000.0,0.08168500013319303,0.015834131660650855,0.13830626178683483,0.43700333202720876,0.05003076654711961,0.2580983447435368,0.43700333202720876,0.0,,,,,,,,,,1.4177611,205.115,136.34,2.21395,61307.426,13.2482,11.7108,9.6327
2010-12-31,24857429000.0,19138208000.0,4830780000.0,,796718000.0,-1663990000.0,-765237000.0,46673000.0,-536976000.0,2397000.0,0.15999999999999992,-755812000.0,0.0,1.1018,47.2321,7.364,0.15999999999999992,-765237000.0,0.009661586741685609,0.0018776278109856011,-0.028048846447394516,0.4598807685142339,-0.030785042169888126,-0.15840857998087265,0.4598807685142339,0.0,3957630000.0,610424000.0,1744239000.0,1744239000.0,1027091000.0,2.1,2.1,0.0,1.6982321916947962,1.4177611,205.115,136.34,2.21395,61307.426,13.2482,11.7108,9.6327
2011-03-31,24569273000.0,18918987000.0,4788915000.0,,636050000.0,1019874000.0,450890000.0,179412000.0,248119000.0,1142000.0,0.61,452305000.0,0.0,,40.1779,7.7561,0.61,450890000.0,0.03746401846764873,0.007302291769072695,0.17591584842833527,0.44210363240949374,0.01835178436089664,0.0941528509067294,0.44210363240949374,0.0,4052433000.0,780463000.0,1768213000.0,1768213000.0,1011251000.0,2.68,2.68,0.0,1.7485401744967373,1.4177611,205.115,136.34,2.21395,61307.426,13.2482,11.7108,9.6327
2011-06-30,24534022000.0,18874760000.0,4795207000.0,,789713000.0,2060735000.0,918462000.0,384532000.0,492634000.0,1846000.0,1.31,898048000.0,0.0,,40.7983,8.2035,1.31,918462000.0,0.08019090729555575,0.015673418732566557,0.18659944146142032,0.44569631709074675,0.03743625892240579,0.1915375081826499,0.44569631709074675,0.0,4254531000.0,1003118000.0,1844292000.0,1844292000.0,978463000.0,3.43,3.43,0.0,1.8848868071659326,1.4177611,205.115,136.34,2.21395,61307.426,13.2482,11.7108,9.6327
2011-09-30,25575208000.0,19891840000.0,4641324000.0,,575817000.0,3135094000.0,1402060000.0,658532000.0,737018000.0,2706000.0,2.24,1499141000.0,0.0,,36.7274,7.5943,2.24,1402060000.0,0.14188451398781898,0.02574884239455648,0.2100517560239023,0.44721466086822276,0.054821059519828734,0.3020819059389088,0.44721466086822276,0.0,4551713000.0,1269149000.0,2006175000.0,2006175000.0,940795000.0,4.32,4.32,0.0,2.1324252361035083,1.4177611,205.115,136.34,2.21395,61307.426,13.2482,11.7108,9.6327
2011-12-31,26216925000.0,20404692000.0,4649666000.0,,798650000.0,-1909271000.0,-836270000.0,-201014000.0,-494245000.0,-2111000.0,-0.6800000000000002,,0.0,0.9116,37.1002,8.8287,-0.6800000000000002,-836270000.0,-0.04323192246496845,-0.0076673370351404676,0.10528311591177994,0.43800487201659694,-0.031898096363322546,-0.17985592943665202,0.43800487201659694,0.0,4306432000.0,1021462000.0,1935142000.0,1935142000.0,983526000.0,3.48,3.48,0.0,1.9675555094628916,1.4177611,205.115,136.34,2.21395,61307.426,13.2482,11.7108,9.6327
2012-03-31,32417465000.0,24861544000.0,6077906000.0,,880549000.0,1118969000.0,515609000.0,645410000.0,258079000.0,891000.0,2.18,572954000.0,0.0,,29.8747,10.1094,2.18,515609000.0,0.10618953303983313,0.01990932973938585,0.5767898842595282,0.4607893516263632,0.015905284389140236,0.08483332911038768,0.4607893516263632,0.0,4405527000.0,1487460000.0,1999861000.0,1999861000.0,993486000.0,5.050000000000001,5.050000000000001,0.0,2.0129735094404952,1.4177611,205.115,136.34,2.21395,61307.426,13.2482,11.7108,9.6327
2012-06-30,31986583000.0,24592505000.0,5945181000.0,,638499000.0,2307035000.0,1036963000.0,860855000.0,546636000.0,1883000.0,2.87,1199190000.0,0.0,,31.9431,10.5322,2.87,1036963000.0,0.14479878745491517,0.02691300286748353,0.3731434503594441,0.4494786598382773,0.0324186862973141,0.17442076195829867,0.4494786598382773,0.0,4651827000.0,1963783000.0,2118362000.0,2118362000.0,1047488000.0,6.61,6.61,0.0,2.022325792753712,1.4177611,205.115,136.34,2.21395,61307.426,13.2482,11.7108,9.6327
