report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-06-30,4282208000.0,888235000.0,299569000.0,2532011000.0,1750197000.0,511342000.0,544743000.0,88209000.0,11925000.0,63290000.0,11119000.0,0.28,42721000.0,156718000.0,292105000.0,-135387000.0,0.0,,76.5043,3.6484,0.28,88209000.0,0.006813518706751297,0.002784778319969511,0.021891056883704792,0.16192773472995522,0.020598952689827303,0.05039946931688261,-0.2485337122276009,0.16192773472995522,0.0,2.9650431119374834,,,,,,,,,,,1.0253031,992.9,701.41,0.63444,95657.07,70.8571,5.3387,10.3783
2010-09-30,4480891000.0,891811000.0,311025000.0,2626918000.0,1853973000.0,389149000.0,875090000.0,140235000.0,23121000.0,101653000.0,15756000.0,0.52,44082000.0,269981000.0,436046000.0,-166065000.0,0.0,,115.3804,4.2122,0.52,140235000.0,0.012471055403719471,0.0051599112765742345,0.026421282382383525,0.1602520883566262,0.03129623103976419,0.07564026013323819,-0.18976905232604646,0.1602520883566262,0.0,2.867328992846234,,,,,,,,,,,1.0253031,992.9,701.41,0.63444,95657.07,70.8571,5.3387,10.3783
2010-12-31,4448009000.0,778048000.0,318115000.0,2567494000.0,1880515000.0,442841000.0,1220334000.0,194711000.0,36881000.0,140475000.0,12999000.0,0.82,44810000.0,392872000.0,14861000.0,378011000.0,0.0,2.4465,101.2873,3.063,0.82,194711000.0,0.01961218070581729,0.008291574949601047,0.0302220539622759,0.15955549874050876,0.043774866462725236,0.10354131713918793,0.30976027874336043,0.15955549874050876,0.0,2.4458073338258175,,,,,,,,,,,1.0253031,992.9,701.41,0.63444,95657.07,70.8571,5.3387,10.3783
2011-03-31,4652513000.0,694990000.0,343274000.0,2665116000.0,1987397000.0,304466000.0,363029000.0,71305000.0,25145000.0,37361000.0,11125000.0,0.53,47219000.0,117770000.0,14951000.0,102819000.0,0.0,,89.2092,3.1951,0.53,71305000.0,0.012652228014835485,0.005404606069880944,0.06926443892912136,0.1964168151855637,0.015326125902281197,0.03587858892813062,0.28322530706913224,0.1964168151855637,0.0,2.0245925994977774,3003196000.0,97072000.0,494460000.0,179378000.0,494460000.0,342779000.0,2.15,2.15,0.0,1.4425037706510608,1.0253031,992.9,701.41,0.63444,95657.07,70.8571,5.3387,10.3783
2011-06-30,4969191000.0,649088000.0,620451000.0,2835942000.0,2064199000.0,297872000.0,757929000.0,146171000.0,55875000.0,75038000.0,19234000.0,1.18,50454000.0,258118000.0,23993000.0,234125000.0,0.0,,58.8054,3.3582,1.18,146171000.0,0.027068611117435866,0.01124428503553194,0.07372062554672007,0.19285579519981422,0.029415452132952827,0.07081245558204417,0.3089009656577331,0.19285579519981422,0.0,1.0461551355385035,3216382000.0,141022000.0,552422000.0,548890000.0,552422000.0,354527000.0,3.05,3.05,0.0,1.5581944393515867,1.0253031,992.9,701.41,0.63444,95657.07,70.8571,5.3387,10.3783
2011-09-30,5730687000.0,1330298000.0,656156000.0,3639808000.0,2024507000.0,370523000.0,1175530000.0,224287000.0,76194000.0,126152000.0,24582000.0,1.37,47694000.0,399988000.0,,,0.0,,53.1073,2.8211,1.37,224287000.0,0.03763582936487747,0.013295788096610407,0.06481672096841425,0.19079649179519026,0.03913789044838777,0.1107859839457211,,0.19079649179519026,0.0,2.0274111644182176,3516822000.0,194095000.0,636474000.0,,636474000.0,379026000.0,3.9000000000000004,3.9000000000000004,0.0,1.6792357252536765,1.0253031,992.9,701.41,0.63444,95657.07,70.8571,5.3387,10.3783
2011-12-31,5785324000.0,1235757000.0,725254000.0,3765511000.0,1952212000.0,278823000.0,-689646000.0,-134600000.0,-63210000.0,-57248000.0,-16590000.0,-1.36,-97469000.0,-188267000.0,,,0.0,1.7048,58.6768,3.0578,-1.36,-134600000.0,-0.032378655596830674,-0.0109259222128268,0.09165571902106298,0.19517259579552407,-0.023265766964823405,-0.06894742988978655,,0.19517259579552407,0.0,1.703895462830953,1606842000.0,94004000.0,307163000.0,,307163000.0,181303000.0,1.7200000000000002,1.7200000000000002,0.0,1.6941970072199577,1.0253031,992.9,701.41,0.63444,95657.07,70.8571,5.3387,10.3783
2012-03-31,5884345000.0,1174023000.0,718083000.0,3754795000.0,2060479000.0,632944000.0,452200000.0,101098000.0,34523000.0,52818000.0,14006000.0,0.71,51061000.0,125993000.0,145490000.0,-19497000.0,0.0,,82.4793,4.5591,0.71,101098000.0,0.016754841956651827,0.005866923166469675,0.07634453781512605,0.22356921716054842,0.0171808417079556,0.04906529015825932,-0.043115877930119416,0.22356921716054842,0.0,1.6349405291588854,1696013000.0,103382000.0,336956000.0,,336956000.0,196760000.0,1.9,1.9,0.0,1.7125228705021345,1.0253031,992.9,701.41,0.63444,95657.07,70.8571,5.3387,10.3783
2012-06-30,5724688000.0,1009592000.0,491159000.0,3581213000.0,2067621000.0,654096000.0,918464000.0,203764000.0,70970000.0,99605000.0,31364000.0,1.44,51633000.0,320775000.0,341974000.0,-21199000.0,0.0,,90.7798,4.9262,1.44,203764000.0,0.0343244724250721,0.012397182169578498,0.0772703121733677,0.22185300675911088,0.035593904855600864,0.09854997603525985,-0.02308092641627761,0.22185300675911088,0.0,2.055529879326247,1856548000.0,118477000.0,394549000.0,,394549000.0,221327000.0,2.16,2.16,0.0,1.782651913232457,1.0253031,992.9,701.41,0.63444,95657.07,70.8571,5.3387,10.3783
2012-09-30,5990970000.0,725186000.0,612459000.0,3679130000.0,2233649000.0,239687000.0,1389224000.0,298711000.0,99808000.0,149812000.0,44489000.0,2.03,51724000.0,422927000.0,554092000.0,-131165000.0,0.0,,89.028,5.48,2.03,298711000.0,0.04468383349398227,0.01665973957472663,0.07184442537704502,0.2150200399647573,0.049860206277113725,0.1337322918685971,-0.0944160193028626,0.2150200399647573,0.0,1.1840564021428372,2070242000.0,142091000.0,468973000.0,,468973000.0,244987000.0,2.82,2.82,0.0,1.9142770840901762,1.0253031,992.9,701.41,0.63444,95657.07,70.8571,5.3387,10.3783
