report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,34078000000.0,2854000000.0,4886000000.0,34078000000.0,8546000000.0,11847000000.0,886000000.0,310000000.0,3299000000.0,416000000.0,155000000.0,-213000000.0,111000000.0,0.51,306000000.0,506000000.0,,12733000000.0,,11.4467,1.1176,0.51,416000000.0,0.01813714018254154,0.0045483889899642,0.04698393452561382,0.1260988178235829,0.01220728916016198,0.01954979087363128,0.1260988178235829,1.48993681254388,0.5841178878428163,,,,,,,,,,0.57298785,52.29,37.58,4.34777,29653.742,29.0723,2.0673,2.02
2010-06-30,,,,,,,,,,,,,,,,,,0.0,,12.0397,1.0484,,,,,,,,,,,,,,,,,,,,,0.57298785,52.29,37.58,4.34777,29653.742,29.0723,2.0673,2.02
2010-09-30,34707000000.0,3391000000.0,4972000000.0,34707000000.0,8717000000.0,12104000000.0,1000000000.0,632000000.0,,1357000000.0,599000000.0,628000000.0,364000000.0,1.96,305000000.0,2073000000.0,,13104000000.0,,14.0363,1.1677,1.96,1357000000.0,0.06871630147986693,0.017258766243120983,,,0.0390987408880053,0.062187800742404105,,1.5032694734426981,0.6820193081255028,,,,,,,,,,0.57298785,52.29,37.58,4.34777,29653.742,29.0723,2.0673,2.02
2010-12-31,34805000000.0,3698000000.0,4698000000.0,,8545000000.0,,700000000.0,1019000000.0,,32000000.0,30000000.0,430000000.0,7000000.0,0.10000000000000009,-306000000.0,497000000.0,,700000000.0,0.7861,15.2089,1.1498,0.10000000000000009,32000000.0,0.003510825043885313,0.00086194512282718,,,0.0009194081310156586,0.0034613304488912925,,0.08191925102399064,0.7871434653043848,,,,,,,,,,0.57298785,52.29,37.58,4.34777,29653.742,29.0723,2.0673,2.02
2011-03-31,47866000000.0,4646000000.0,5162000000.0,47866000000.0,12729000000.0,17535000000.0,486000000.0,1101000000.0,,315000000.0,50000000.0,231000000.0,78000000.0,0.15,343000000.0,491000000.0,,18021000000.0,,24.2748,1.6151,0.15,315000000.0,0.0039280383376541755,0.0010445827936322234,,,0.006580871599883006,0.01024390243902439,,1.415743577657318,0.9000387446726075,,,,,,,,,,0.57298785,52.29,37.58,4.34777,29653.742,29.0723,2.0673,2.02
2011-06-30,47596000000.0,4118000000.0,5544000000.0,47596000000.0,12998000000.0,16491000000.0,656000000.0,476000000.0,,801000000.0,231000000.0,496000000.0,179000000.0,0.61,382000000.0,1031000000.0,,17147000000.0,,32.0005,1.8801,0.61,801000000.0,0.017771964917679642,0.004853349020926128,,,0.01682914530632826,0.026571570741416486,,1.3192029543006616,0.7427849927849928,,910000000.0,2505000000.0,2505000000.0,1785000000.0,2.8200000000000003,2.8200000000000003,6.845109780439122,1.403361344537815,0.57298785,52.29,37.58,4.34777,29653.742,29.0723,2.0673,2.02
2011-09-30,46661000000.0,3591000000.0,4863000000.0,46661000000.0,13046000000.0,15823000000.0,0.0,291000000.0,,1823000000.0,742000000.0,763000000.0,490000000.0,1.88,394000000.0,2229000000.0,,15823000000.0,,20.1958,1.8587,1.88,1823000000.0,0.05687567070366396,0.015901930948758063,,,0.03906902981076273,0.06314732065537428,,1.2128621799785375,0.7384330660086367,,1053000000.0,2971000000.0,2971000000.0,1920000000.0,2.74,2.74,5.325816223493773,1.5473958333333333,0.57298785,52.29,37.58,4.34777,29653.742,29.0723,2.0673,2.02
2011-12-31,47326000000.0,3355000000.0,4855000000.0,47326000000.0,13280000000.0,15716000000.0,0.0,202000000.0,,-1241000000.0,-138000000.0,-482000000.0,-173000000.0,-0.4299999999999997,-718000000.0,-688000000.0,,15716000000.0,0.691,20.2303,1.7215,-0.4299999999999997,-1241000000.0,-0.01039156626506024,-0.0029159447238304528,,,-0.02622237248024342,-0.04279900675955304,,1.183433734939759,0.6910401647785788,,885000000.0,1698000000.0,1698000000.0,1008000000.0,2.21,2.21,9.255594817432273,1.6845238095238095,0.57298785,52.29,37.58,4.34777,29653.742,29.0723,2.0673,2.02
2012-03-31,47691000000.0,3477000000.0,5773000000.0,47691000000.0,13323000000.0,15527000000.0,1075000000.0,74000000.0,,746000000.0,306000000.0,246000000.0,222000000.0,0.73,420000000.0,-413000000.0,,16602000000.0,,16.8168,1.8056,0.73,746000000.0,0.022967800045034903,0.006416304963200604,,,0.015642364387410623,0.024928989139515457,,1.246115739698266,0.6022865061493158,,1141000000.0,2129000000.0,2129000000.0,1023000000.0,2.79,2.79,7.798027242837013,2.081133919843597,0.57298785,52.29,37.58,4.34777,29653.742,29.0723,2.0673,2.02
2012-06-30,48048000000.0,3608000000.0,6082000000.0,48048000000.0,13497000000.0,15159000000.0,1890000000.0,94000000.0,7947000000.0,1303000000.0,493000000.0,520000000.0,349000000.0,1.18,419000000.0,62000000.0,,17049000000.0,,18.5833,2.0181,1.18,1303000000.0,0.03652663554864044,0.01026057276057276,0.06203598842330439,0.16396124323644143,0.02711871461871462,0.04265697636351732,0.16396124323644143,1.263169593242943,0.5932259125287734,,1403000000.0,2631000000.0,2631000000.0,1047000000.0,3.36,3.36,6.480045610034208,2.512893982808023,0.57298785,52.29,37.58,4.34777,29653.742,29.0723,2.0673,2.02
