report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2014-03-31,26393000000.0,2295000000.0,1986000000.0,21946000000.0,4536000000.0,,435000000.0,2363000000.0,338000000.0,123000000.0,153000000.0,83000000.0,,147000000.0,43000000.0,153000000.0,104000000.0,0.0,1.1125,,,,491000000.0,0.027116402116402115,0.004660326601750464,0.052052475666525606,0.14303851036817605,0.012806425946273634,0.07451499118165784,0.044011849344054166,0.20778671180702496,0.0,1.1555891238670695,,,,,,,,,,,1.1435028,333.86,196.04,2.06855,67540.13,46.3556,38.6456,5.6101
2014-06-30,26497000000.0,2417000000.0,2120000000.0,21750000000.0,4834000000.0,,545000000.0,5030000000.0,773000000.0,332000000.0,311000000.0,204000000.0,,512000000.0,110000000.0,311000000.0,402000000.0,0.0,,,,,1084000000.0,0.06868018204385602,0.012529720345699514,0.06600397614314116,0.1536779324055666,0.02917311393742688,0.15990897807199006,0.07992047713717694,0.215506958250497,0.0,1.1400943396226415,,,,,,,,,,,1.1435028,333.86,196.04,2.06855,67540.13,46.3556,38.6456,5.6101
2014-09-30,26324000000.0,2414000000.0,2140000000.0,21574000000.0,4790000000.0,,543000000.0,7674000000.0,1218000000.0,515000000.0,467000000.0,331000000.0,,899000000.0,184000000.0,470000000.0,715000000.0,0.0,,44.8264,2.3506,,1688000000.0,0.10751565762004175,0.019563896064427898,0.06710972113630441,0.15871774824081314,0.04626956389606443,0.25427974947807935,0.09317174876205368,0.21996351316132395,0.0,1.12803738317757,,,,,,,,,,,1.1435028,333.86,196.04,2.06855,67540.13,46.3556,38.6456,5.6101
2014-12-31,26125000000.0,2499000000.0,2257000000.0,21411000000.0,4752000000.0,,566000000.0,-4565000000.0,-656000000.0,-297000000.0,-313000000.0,-153000000.0,,-192000000.0,-69000000.0,-306000000.0,-261000000.0,0.0,1.1072,38.1704,2.4461,,-962000000.0,-0.0625,-0.01136842105263158,0.06506024096385542,0.14370208105147864,-0.02511004784688995,-0.13804713804713806,0.05717415115005477,0.21073384446878424,0.0,1.107221976074435,10502000000.0,673000000.0,1673000000.0,960000000.0,2301000000.0,618000000.0,,,0.0,2.707119741100324,1.1435028,333.86,196.04,2.06855,67540.13,46.3556,38.6456,5.6101
2015-03-31,25905000000.0,2489000000.0,2298000000.0,21283000000.0,4662000000.0,,547000000.0,2599000000.0,490000000.0,150000000.0,144000000.0,163000000.0,,286000000.0,88000000.0,175000000.0,198000000.0,0.0,,41.783,2.7238,,665000000.0,0.032175032175032175,0.005790387955993051,0.057714505579068875,0.18853405155829164,0.018915267322910635,0.10510510510510511,0.07618314736437092,0.2558676414005387,0.0,1.0831157528285467,10738000000.0,700000000.0,1825000000.0,1054000000.0,2475000000.0,609000000.0,,,0.0,2.9967159277504103,1.1435028,333.86,196.04,2.06855,67540.13,46.3556,38.6456,5.6101
2015-06-30,26051000000.0,2501000000.0,2426000000.0,20982000000.0,5105000000.0,,511000000.0,5521000000.0,917000000.0,311000000.0,293000000.0,308000000.0,0.0,648000000.0,159000000.0,348000000.0,489000000.0,0.0,,41.7242,2.4747,0.0,1265000000.0,0.060920666013712044,0.011938121377298376,0.05633037493207752,0.1660930990762543,0.03520018425396338,0.17962781586679727,0.08857091106683572,0.22912515848578155,0.0,1.0309150865622423,11229000000.0,679000000.0,1969000000.0,1141000000.0,2656000000.0,591000000.0,,,0.0,3.3316412859560067,1.1435028,333.86,196.04,2.06855,67540.13,46.3556,38.6456,5.6101
2015-09-30,25932000000.0,2646000000.0,2558000000.0,20752000000.0,5214000000.0,,628000000.0,8416000000.0,1580000000.0,590000000.0,431000000.0,555000000.0,0.0,991000000.0,214000000.0,519000000.0,777000000.0,0.0,,30.2836,2.0146,0.0,2099000000.0,0.11315688530878404,0.02275181243251581,0.07010456273764258,0.18773764258555134,0.060928582446398274,0.30303030303030304,0.09232414448669202,0.24940589353612166,0.0,1.034401876465989,11971000000.0,754000000.0,2331000000.0,1203000000.0,3067000000.0,555000000.0,,,0.0,4.2,1.1435028,333.86,196.04,2.06855,67540.13,46.3556,38.6456,5.6101
2015-12-31,25716000000.0,2585000000.0,2467000000.0,19765000000.0,5985000000.0,,609000000.0,-5264000000.0,-916000000.0,353000000.0,-293000000.0,-946000000.0,1.0,-531000000.0,-151000000.0,-350000000.0,-682000000.0,0.0,1.0581,15.0509,2.9625,1.0,-1266000000.0,0.05898078529657477,0.01372686265360087,-0.06705927051671733,0.17401215805471124,-0.035619847565717844,-0.15304928989139516,0.1295592705167173,0.2405015197568389,0.0,1.0478313741386298,11272000000.0,1404000000.0,2071000000.0,782000000.0,2763000000.0,575000000.0,,,0.0,3.6017391304347828,1.1435028,333.86,196.04,2.06855,67540.13,46.3556,38.6456,5.6101
2016-03-31,25721000000.0,2738000000.0,2545000000.0,19516000000.0,6237000000.0,,692000000.0,2750000000.0,409000000.0,309000000.0,139000000.0,-46000000.0,0.0,312000000.0,84000000.0,169000000.0,228000000.0,0.0,,14.2606,3.5606,0.0,578000000.0,0.04954304954304954,0.012013529800552078,0.11236363636363636,0.14872727272727274,0.015901403522413593,0.06557639890973224,0.0829090909090909,0.2101818181818182,0.0,1.075834970530452,11423000000.0,1563000000.0,1990000000.0,812000000.0,2676000000.0,570000000.0,1.0,1.0,0.0,3.491228070175439,1.1435028,333.86,196.04,2.06855,67540.13,46.3556,38.6456,5.6101
2016-06-30,25853000000.0,2930000000.0,2663000000.0,19507000000.0,6375000000.0,,810000000.0,5801000000.0,962000000.0,548000000.0,286000000.0,110000000.0,0.0,655000000.0,169000000.0,340000000.0,486000000.0,0.0,,13.589,4.217,0.0,1302000000.0,0.08596078431372549,0.021196766332727345,0.09446647129805207,0.16583347698672643,0.037210381773875374,0.15090196078431373,0.08377865885192208,0.22444406136872952,0.0,1.1002628614344725,11703000000.0,1800000000.0,2035000000.0,809000000.0,2713000000.0,563000000.0,1.0,1.0,0.0,3.6145648312611014,1.1435028,333.86,196.04,2.06855,67540.13,46.3556,38.6456,5.6101
