report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2010-07-31,8419104000.0,1700628000.0,454236000.0,,5395108000.0,1300000000.0,,522773000.0,,408435000.0,165167000.0,102881000.0,16539000.0,46873000.0,0.86,-27238000.0,26946000.0,-54184000.0,1300000000.0,,1.5505,14.2959,0.86,165167000.0,0.0190693124215493,0.012219946445607513,,,,0.019618120883172364,0.024669803683525345,,,0.24095903177471145,3.743930467862521,,,,,,,,,,,0.2480896,120.76,93.3,1.87299,10181.685,2.0342,1.1406
2010-10-31,8553350000.0,1854186000.0,476919000.0,,5504009000.0,1300000000.0,,487463000.0,,903105000.0,405203000.0,252607000.0,35044000.0,118874000.0,2.11,19546000.0,62073000.0,-42527000.0,1300000000.0,,1.6622,15.035,2.11,405203000.0,0.04589509210468224,0.029533106911327142,,,,0.04737360215588044,0.05955356614019764,,,0.23619147425085968,3.887842589622137,,,,,,,,,,,0.2480896,120.76,93.3,1.87299,10181.685,2.0342,1.1406
2011-01-31,8358748000.0,1689060000.0,422757000.0,,5363301000.0,1300000000.0,,549583000.0,,1377519000.0,618165000.0,384602000.0,53176000.0,182658000.0,3.23,394380000.0,111133000.0,283247000.0,1300000000.0,,1.572,14.6487,3.23,618165000.0,0.07170994132158534,0.046011914703015334,,,,0.07395425726436543,0.09277158573505834,,,0.24238803677063808,3.9953448434916514,,,,,,,,,,,0.2480896,120.76,93.3,1.87299,10181.685,2.0342,1.1406
2011-04-30,8324585000.0,1636999000.0,482676000.0,,5292363000.0,1304039000.0,,319845000.0,,-890542000.0,-404263000.0,-260608000.0,-35165000.0,-110723000.0,-2.1499999999999995,4874000.0,-20072000.0,-15198000.0,1304039000.0,3.3892,1.8082,18.1977,-2.1499999999999995,-404263000.0,-0.049242276087260076,-0.03130582485493271,,,,-0.04856254095549508,-0.06128537951446864,,,0.24640014299850557,3.391506932186394,479482000.0,784272000.0,1798517000.0,171338000.0,784272000.0,69594000.0,4.050000000000001,4.050000000000001,1.6627381826713181,11.269247348909389,0.2480896,120.76,93.3,1.87299,10181.685,2.0342,1.1406
2011-07-31,8782023000.0,1739772000.0,875234000.0,,5348254000.0,1318489000.0,,102475000.0,,431084000.0,180703000.0,111523000.0,15422000.0,55303000.0,0.98,-58238000.0,67632000.0,-125870000.0,1318489000.0,,1.7848,18.1641,0.98,180703000.0,0.02085222579181916,0.012699010239440275,,,,0.020576466265232966,0.027105139646151053,,,0.246526997408874,1.9877792681728543,488124000.0,799808000.0,1821166000.0,99652000.0,799808000.0,68477000.0,4.17,4.17,1.6485068916539969,11.679950932429866,0.2480896,120.76,93.3,1.87299,10181.685,2.0342,1.1406
2011-10-31,9215420000.0,2193707000.0,544921000.0,9215420000.0,5363349000.0,2071852000.0,,496288000.0,,929753000.0,392317000.0,238770000.0,34870000.0,121257000.0,2.09,59934000.0,135707000.0,-75773000.0,2071852000.0,,1.6854,18.8315,2.09,392317000.0,0.044518825830651705,0.02590983373519601,,,,0.042571798138337696,0.05276481429352078,,,0.38629818794189974,4.025734005479693,474287000.0,786922000.0,1847814000.0,66406000.0,786922000.0,68303000.0,4.15,4.15,2.632855607036021,11.521045927704494,0.2480896,120.76,93.3,1.87299,10181.685,2.0342,1.1406
2012-01-31,9235874000.0,1805993000.0,494335000.0,9235874000.0,5384140000.0,2071202000.0,,370428000.0,,1395438000.0,592683000.0,355614000.0,58469000.0,181648000.0,3.12,469239000.0,196891000.0,272348000.0,2071202000.0,,1.667,19.8292,3.12,592683000.0,0.06604843113292003,0.038503556891313157,,,,0.0641718369046611,0.07949776147090235,,,0.38468576225729645,3.653378781595477,445299000.0,761440000.0,1865733000.0,55507000.0,761440000.0,73596000.0,4.040000000000001,4.040000000000001,2.7201118932548853,10.34621446817762,0.2480896,120.76,93.3,1.87299,10181.685,2.0342,1.1406
2012-04-30,9115226000.0,1643465000.0,616972000.0,9115226000.0,5163386000.0,2020543000.0,,229708000.0,,-911052000.0,-387420000.0,-246163000.0,-27465000.0,-116794000.0,-2.13,259994000.0,-125986000.0,134008000.0,2020543000.0,2.6629,1.6143,19.4083,-2.13,-387420000.0,-0.04767472352444694,-0.027005693550549378,,,,-0.04250251173146996,-0.05392870670074829,,,0.39132131512151136,2.663759457479432,459744000.0,778283000.0,1845223000.0,204713000.0,778283000.0,81296000.0,4.0600000000000005,4.0600000000000005,2.5961546121398,9.573447648100768,0.2480896,120.76,93.3,1.87299,10181.685,2.0342,1.1406
2012-07-31,9262110000.0,1800328000.0,710469000.0,9262110000.0,5223453000.0,2019875000.0,,311474000.0,,469773000.0,190525000.0,110863000.0,23882000.0,56402000.0,1.0,176719000.0,46282000.0,130437000.0,2019875000.0,,1.4863,18.4784,1.0,190525000.0,0.02122408299643933,0.0119695188245443,,,,0.02057036679547101,0.026303516836459706,,,0.3866934382294624,2.5339993722456575,459084000.0,788105000.0,1883912000.0,461020000.0,788105000.0,89756000.0,4.08,4.08,2.5629516371549474,8.78052720709479,0.2480896,120.76,93.3,1.87299,10181.685,2.0342,1.1406
2012-10-31,9188753000.0,1736062000.0,706066000.0,9188753000.0,5152747000.0,2019196000.0,,203555000.0,,1011684000.0,438067000.0,259710000.0,48148000.0,131773000.0,2.36,359618000.0,98458000.0,261160000.0,2019196000.0,,1.6102,19.504,2.36,438067000.0,0.05040224175570817,0.02826390044438021,,,,0.04767426004377308,0.06108065833763598,,,0.3918678716420581,2.458781473686596,480024000.0,833855000.0,1965843000.0,797953000.0,833855000.0,103034000.0,4.35,4.35,2.4215193289001085,8.093008133237571,0.2480896,120.76,93.3,1.87299,10181.685,2.0342,1.1406
