report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,cash,revenue,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,roe,roa,net_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2021-06-30,18088582000.0,17900887000.0,12240276000.0,17893607000.0,-1984764000.0,5077752000.0,1087507000.0,-1946468000.0,49286000.0,-8.41,231459227.0,399121000.0,8694000.0,0.0,,,,-8.41,0.9807050107720615,-0.10760755044259412,-1.7898441113482488,-0.0,1.4624577909844516,,,,,2.4547784,153.8599,29.66,27.91521,54434.79,28.9085,11.1267,12.1696
2021-09-30,19317368000.0,18849696000.0,11798418000.0,11932786000.0,7384582000.0,6166705000.0,1452430000.0,-3263165000.0,-958000.0,-8.85,368518894.0,-609141000.0,15734000.0,0.0,,,,-8.85,-0.44188892478951414,-0.16892389273735428,-2.2466934723188037,0.0,1.5976460572934439,,,,,2.4547784,153.8599,29.66,27.91521,54434.79,28.9085,11.1267,12.1696
2021-12-31,19769179000.0,19283542000.0,12347342000.0,12476087000.0,7293092000.0,6253477000.0,1815143000.0,-3686432000.0,2000000.0,-7.49,492381190.0,-884773000.0,25495000.0,0.0,1.5618,,,-7.49,-0.5054690109489912,-0.18647370232218546,-2.0309319981951837,0.0,1.5617565302718592,,,,,2.4547784,153.8599,29.66,27.91521,54434.79,28.9085,11.1267,12.1696
2022-03-31,18872000000.0,18355000000.0,11581000000.0,11741000000.0,7131000000.0,6191000000.0,299000000.0,-392000000.0,1000000.0,-0.45,867769168.0,437000000.0,12000000.0,0.0,1.5618,,,-0.45,-0.05497125227878278,-0.020771513353115726,-1.3110367892976589,0.0,1.5849235817286935,4654080000.0,-9288065000.0,-25.2,-25.2,2.4547784,153.8599,29.66,27.91521,54434.79,28.9085,11.1267,12.1696
2022-06-30,24548000000.0,24045000000.0,17399000000.0,17531000000.0,7017000000.0,5962000000.0,617000000.0,-687000000.0,2000000.0,-0.79,871343295.0,-826000000.0,29000000.0,0.0,,,5.3689,-0.79,-0.09790508764429243,-0.027985986638422684,-1.113452188006483,0.0,1.3819759756307834,4183573000.0,-8028597000.0,-17.58,-17.58,2.4547784,153.8599,29.66,27.91521,54434.79,28.9085,11.1267,12.1696
2022-09-30,24601000000.0,24145000000.0,17509000000.0,17647000000.0,6954000000.0,6187000000.0,978000000.0,-862000000.0,3000000.0,-0.99,875055571.0,-1033000000.0,44000000.0,0.0,,,6.6648,-0.99,-0.12395743457003164,-0.03503922604772164,-0.8813905930470347,0.0,1.37900508310012,3709143000.0,-5627432000.0,-9.72,-9.72,2.4547784,153.8599,29.66,27.91521,54434.79,28.9085,11.1267,12.1696
2022-12-31,23337000000.0,22917000000.0,16253000000.0,16381000000.0,6956000000.0,6339000000.0,-536000000.0,913000000.0,-5000000.0,1.06,-1735538010.0,570000000.0,-24000000.0,0.0,1.41,,5.2768,1.06,0.13125359401955147,0.039122423619145565,-1.703358208955224,0.0,1.410016612317726,1358000000.0,-1028000000.0,-1.17,-1.17,2.4547784,153.8599,29.66,27.91521,54434.79,28.9085,11.1267,12.1696
2023-03-31,27785000000.0,27188000000.0,20617000000.0,20739000000.0,7046000000.0,5459000000.0,441000000.0,-511000000.0,2000000.0,-0.57,896924695.0,828000000.0,20000000.0,0.0,,,5.8297,-0.57,-0.07252341754186772,-0.018391218283246354,-1.1587301587301588,0.0,1.3187175631760197,1500000000.0,-1147000000.0,-1.29,-1.29,2.4547784,153.8599,29.66,27.91521,54434.79,28.9085,11.1267,12.1696
2023-06-30,28660000000.0,28106000000.0,21356000000.0,21473000000.0,7187000000.0,5829000000.0,927000000.0,-486000000.0,-1000000.0,0.0,900977045.0,1198000000.0,35000000.0,0.0,,,5.4429,0.0,-0.06762209545011827,-0.016957431960921143,-0.5242718446601942,0.0,1.3160704251732533,1810000000.0,-946000000.0,-0.4999999999999999,-0.4999999999999999,2.4547784,153.8599,29.66,27.91521,54434.79,28.9085,11.1267,12.1696
2023-09-30,26318000000.0,25739000000.0,19648000000.0,19744000000.0,6574000000.0,4889000000.0,1394000000.0,-571000000.0,9000000.0,-0.64,898999464.0,221000000.0,54000000.0,0.0,,,4.7309,-0.64,-0.08685731670216003,-0.02169617752108823,-0.4096126255380201,0.0,1.3100061074918568,2226000000.0,-655000000.0,-0.1499999999999999,-0.1499999999999999,2.4547784,153.8599,29.66,27.91521,54434.79,28.9085,11.1267,12.1696
2023-12-31,32332000000.0,31790000000.0,25545000000.0,25636000000.0,6696000000.0,4835000000.0,-897000000.0,1027000000.0,-2000000.0,0.6,-1806043545.0,-1066000000.0,-38000000.0,0.0,1.5763,,5.9074,0.6,0.1533751493428913,0.03176419646170976,-1.144927536231884,0.0,1.2444705421804658,1865000000.0,-541000000.0,-0.61,-0.61,2.4547784,153.8599,29.66,27.91521,54434.79,28.9085,11.1267,12.1696
2024-03-31,46088000000.0,45545000000.0,39113000000.0,39203000000.0,6885000000.0,4717000000.0,618000000.0,157000000.0,5000000.0,0.0,895779155.0,-623000000.0,17000000.0,0.0,,133.6612,8.3129,0.0,0.02280319535221496,0.003406526644679743,0.2540453074433657,0.0,1.1644466034310843,2042000000.0,127000000.0,-0.040000000000000036,-0.040000000000000036,2.4547784,153.8599,29.66,27.91521,54434.79,28.9085,11.1267,12.1696
2024-12-31,26187000000.0,25103000000.0,18104000000.0,18215000000.0,7972000000.0,4332000000.0,2951000000.0,1411000000.0,-347000000.0,1.0,906171504.0,-157000000.0,77000000.0,0.0,1.3866,23.343,11.1613,1.0,0.17699448068238835,0.05388169702524153,0.47814300237207724,0.0,1.386599646486964,4066000000.0,2024000000.0,0.96,0.96,2.4547784,153.8599,29.66,27.91521,54434.79,28.9085,11.1267,12.1696
2025-03-31,27517000000.0,26215000000.0,19431000000.0,19564000000.0,7953000000.0,4416000000.0,927000000.0,336000000.0,35000000.0,0.0,909241619.0,642000000.0,20000000.0,0.0,,23.1547,11.2933,0.0,0.042248208223311955,0.012210633426609005,0.36245954692556637,0.0,1.3491328289846123,3599000000.0,2931000000.0,1.6,1.6,2.4547784,153.8599,29.66,27.91521,54434.79,28.9085,11.1267,12.1696
2025-06-30,35324000000.0,33833000000.0,27122000000.0,27252000000.0,8072000000.0,4162000000.0,1916000000.0,722000000.0,91000000.0,0.0,911013005.0,4151000000.0,41000000.0,0.0,,46.5122,23.3148,0.0,0.08944499504459862,0.020439361340731516,0.3768267223382046,0.0,1.2474375046088046,6412000000.0,2626000000.0,1.0,1.0,2.4547784,153.8599,29.66,27.91521,54434.79,28.9085,11.1267,12.1696
2025-09-30,41452000000.0,39979000000.0,32762000000.0,32885000000.0,8567000000.0,4331000000.0,3190000000.0,1278000000.0,169000000.0,1.0,918606063.0,2575000000.0,63000000.0,0.0,,58.6469,30.6069,1.0,0.14917707482199136,0.030830840490205538,0.4006269592476489,0.0,1.2202856968439044,8984000000.0,3747000000.0,2.0,2.0,2.4547784,153.8599,29.66,27.91521,54434.79,28.9085,11.1267,12.1696
2025-12-31,38137000000.0,36305000000.0,28771000000.0,28986000000.0,9151000000.0,4261000000.0,-1560000000.0,-453000000.0,-70000000.0,1.0,-1820078841.0,-5730000000.0,-38000000.0,0.0,1.2619,54.0086,22.736,1.0,-0.04950278658070156,-0.011878228492015627,0.2903846153846154,0.0,1.261860901602308,4473000000.0,1883000000.0,2.0,2.0,2.4547784,153.8599,29.66,27.91521,54434.79,28.9085,11.1267,12.1696
