report_date,total_assets,total_liabilities,total_equity,cash,revenue,operating_income,net_income,interest_expense,eps_diluted,shares_diluted,operating_cash_flow,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-06-30,3103645000.0,1909240000.0,1163118000.0,23557000.0,,,,,,,129345000.0,0.0,,36.0172,8.0135,,,,,,,,,,0.0,,,,,,,,,,0.9824759,110.885,80.65,0.59253,9162.051,22.2879,2.7201,7.1636
2010-09-30,3127159000.0,1940283000.0,1155496000.0,9174000.0,,,,,,,179685000.0,0.0,,41.1439,9.281,,,,,,,,,,0.0,,,,,,,,,,0.9824759,110.885,80.65,0.59253,9162.051,22.2879,2.7201,7.1636
2010-12-31,3159553000.0,1978423000.0,1149833000.0,15797000.0,544674000.0,230474000.0,122790000.0,101882000.0,1.98,61324000.0,256735000.0,0.0,1.113,,8.8507,1.98,230474000.0,0.10678942072457479,0.03886309234249275,0.2254376012073277,0.42314118169767606,0.0729451286305373,0.20044128147304868,0.42314118169767606,0.0,,,,,,,,,,0.9824759,110.885,80.65,0.59253,9162.051,22.2879,2.7201,7.1636
2011-03-31,3217461000.0,1995792000.0,1190416000.0,10001000.0,138481000.0,56754000.0,31186000.0,25044000.0,0.5,,45999000.0,0.0,,2669.6737,9.3673,0.5,56754000.0,0.02619756454886359,0.009692735980327345,0.22520056903113062,0.4098323957799265,0.017639374649762653,0.04767577048695582,0.4098323957799265,0.0,,,,,,,,,,0.9824759,110.885,80.65,0.59253,9162.051,22.2879,2.7201,7.1636
2011-06-30,3220668000.0,1956772000.0,1232565000.0,19848000.0,273929000.0,113707000.0,65943000.0,48949000.0,1.05,,118698000.0,0.0,,946.7107,9.7348,1.05,113707000.0,0.05350062674179455,0.020474944949308654,0.2407302622212325,0.4150966126258994,0.03530540869161304,0.09225233557662274,0.4150966126258994,0.0,,,,,,,,,,0.9824759,110.885,80.65,0.59253,9162.051,22.2879,2.7201,7.1636
2011-09-30,3254848000.0,1931721000.0,1292406000.0,22070000.0,411593000.0,170464000.0,112996000.0,72744000.0,1.8,,172951000.0,0.0,,224.0619,9.4295,1.8,170464000.0,0.08743072997185095,0.03471621409048902,0.27453333754461323,0.414156703345295,0.052372338124545295,0.13189663310136288,0.414156703345295,0.0,1368677000.0,332915000.0,571399000.0,571399000.0,248619000.0,5.33,5.33,0.0,2.298291763702694,0.9824759,110.885,80.65,0.59253,9162.051,22.2879,2.7201,7.1636
2011-12-31,3659908000.0,2333979000.0,1216092000.0,67806000.0,-270944000.0,-113228000.0,-66208000.0,-48272000.0,-1.0700000000000003,62603000.0,-92937000.0,0.0,1.9926,40.0185,10.4567,-1.0700000000000003,-113228000.0,-0.05444324935942346,-0.018090072209465374,0.2443604582496752,0.4179018542577064,-0.030937389683019356,-0.09310808721708555,0.4179018542577064,0.0,553059000.0,143917000.0,227697000.0,227697000.0,98465000.0,2.28,2.28,0.0,2.3124663586045804,0.9824759,110.885,80.65,0.59253,9162.051,22.2879,2.7201,7.1636
2012-06-30,3680929000.0,2332613000.0,1242081000.0,82774000.0,293849000.0,122326000.0,75589000.0,57526000.0,1.18,63732000.0,149895000.0,0.0,,43.754,11.7905,1.18,122326000.0,0.060856739616820484,0.02053530508195078,0.2572375607880238,0.41628863804198757,0.03323237150186814,0.0984847204006824,0.41628863804198757,0.0,708427000.0,188320000.0,293269000.0,293269000.0,130947000.0,2.96,2.96,0.0,2.2396007545037304,0.9824759,110.885,80.65,0.59253,9162.051,22.2879,2.7201,7.1636
2012-09-30,3804339000.0,2410566000.0,1287697000.0,147680000.0,451654000.0,189449000.0,114233000.0,85744000.0,1.77,63891000.0,209155000.0,0.0,,46.4513,11.4336,1.77,189449000.0,0.08871108653666196,0.03002702966270882,0.2529214841449428,0.41945604378572976,0.049798138388823916,0.14712234322204681,0.41945604378572976,0.0,886152000.0,236610000.0,369011000.0,369011000.0,167742000.0,3.6799999999999997,3.6799999999999997,0.0,2.199872423125991,0.9824759,110.885,80.65,0.59253,9162.051,22.2879,2.7201,7.1636
2012-12-31,3898565000.0,2493552000.0,1286812000.0,36988000.0,608018000.0,255262000.0,151925000.0,113336000.0,2.35,64056000.0,296633000.0,0.0,1.6485,44.2551,11.0966,2.35,255262000.0,0.11806308924691408,0.03896946697053916,0.24986924729202095,0.4198263867188142,0.06547588664034074,0.1983677491350718,0.4198263867188142,0.0,1082577000.0,275539000.0,453809000.0,453809000.0,208334000.0,4.2299999999999995,4.2299999999999995,0.0,2.1782762295160656,0.9824759,110.885,80.65,0.59253,9162.051,22.2879,2.7201,7.1636
