report_date,total_assets,total_liabilities,total_equity,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity
2012-09-30,5941231000.0,5249985000.0,691246000.0,430815000.0,638921000.0,182167000.0,141528000.0,125908000.0,40639000.0,1.68,84398000.0,-619891000.0,6358000.0,0.0,1.68,188525000.0,0.20474331858701533,0.023821325917137374,0.22151095362337442,0.28511662631217316,0.030661490859385875,0.26353425553276255,0.2950677783325325,0.0
2012-12-31,7126143000.0,6368461000.0,757682000.0,152649000.0,984315000.0,276583000.0,205287000.0,197308000.0,71296000.0,2.4,85524000.0,-1958116000.0,9620000.0,0.0,2.4,286203000.0,0.27094084325614176,0.02880758918253535,0.20855823593057102,0.2809903333790504,0.038812440334133065,0.36503836701940917,0.29076362749729506,0.0
2013-12-31,14026689000.0,13036791000.0,984908000.0,441902000.0,2086985000.0,346254000.0,217054000.0,538805000.0,129200000.0,2.4,90268000.0,-1833941000.0,26615000.0,0.0,2.4,372869000.0,0.2203799745763056,0.015474357490923197,0.10400362245056864,0.16591111100463107,0.02468536944107052,0.3515597395898906,0.1786639578147423,0.0
