report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,income_tax,eps_diluted,operating_cash_flow,total_debt,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,565566000000.0,529387000000.0,35811000000.0,20177000000.0,318000000.0,9202000000.0,13190000000.0,,835000000.0,358000000.0,0.97,2871000000.0,20495000000.0,0.7923,,0.97,,0.02331685794867499,0.0014763970960064785,0.06330553449583018,,,,,0.5723101840216693,,,,,,,,0.73861635,83.85,65.21,3.73417,46113.258,13.647,1.8316,0.5993
2010-06-30,573907000000.0,534183000000.0,39375000000.0,20647000000.0,879000000.0,10702000000.0,27436000000.0,,2392000000.0,1188000000.0,2.81,3928000000.0,21526000000.0,0.6112,14.8177,2.81,,0.06074920634920635,0.0041679226773675875,0.08718472080478204,,,,,0.5466920634920635,,,,,,,,0.73861635,83.85,65.21,3.73417,46113.258,13.647,1.8316,0.5993
2010-09-30,617255000000.0,570486000000.0,46415000000.0,24512000000.0,2057000000.0,14557000000.0,39880000000.0,,2708000000.0,1259000000.0,3.09,5193000000.0,26569000000.0,0.6642,11.5204,3.09,,0.058343208014650434,0.004387165758074053,0.0679037111334002,,,,,0.5724227081762361,,,,,,,,0.73861635,83.85,65.21,3.73417,46113.258,13.647,1.8316,0.5993
2010-12-31,730906000000.0,681793000000.0,48625000000.0,27586000000.0,306000000.0,13046000000.0,-27789000000.0,,-3145000000.0,-1624000000.0,-3.87,-3996000000.0,27892000000.0,0.8303,15.6934,-3.87,,-0.06467866323907455,-0.004302878892771437,0.11317427759185289,,,,,0.5736143958868894,52717000000.0,2790000000.0,,,2.9999999999999996,2.9999999999999996,,0.73861635,83.85,65.21,3.73417,46113.258,13.647,1.8316,0.5993
2011-03-31,751341000000.0,700992000000.0,49816000000.0,27604000000.0,572000000.0,10692000000.0,15912000000.0,,1006000000.0,428000000.0,0.78,3501000000.0,28176000000.0,0.8493,16.6656,0.78,,0.02019431507949253,0.0013389393098473263,0.06322272498743087,,,,,0.5656014132005781,55439000000.0,2961000000.0,,,2.8099999999999996,2.8099999999999996,,0.73861635,83.85,65.21,3.73417,46113.258,13.647,1.8316,0.5993
2011-06-30,771483000000.0,717650000000.0,53309000000.0,28269000000.0,102000000.0,9628000000.0,33061000000.0,,2243000000.0,947000000.0,1.9,6793000000.0,28371000000.0,0.7919,19.5252,1.9,,0.042075446922658466,0.002907387460255119,0.06784428783158404,,,,,0.5321990658237821,61064000000.0,2812000000.0,,,1.8999999999999997,1.8999999999999997,,0.73861635,83.85,65.21,3.73417,46113.258,13.647,1.8316,0.5993
2011-09-30,785230000000.0,724355000000.0,60348000000.0,24753000000.0,451000000.0,10001000000.0,53517000000.0,8506000000.0,5825000000.0,2681000000.0,5.23,9040000000.0,25204000000.0,0.4432,5.3709,5.23,8506000000.0,0.09652349705044078,0.007418208677712263,0.1088439187547882,0.15894014985892332,0.010832494937788928,0.09942491116513932,0.15894014985892332,0.4176443295552462,74701000000.0,5929000000.0,,,4.04,4.04,,0.73861635,83.85,65.21,3.73417,46113.258,13.647,1.8316,0.5993
2011-12-31,799625000000.0,739349000000.0,59797000000.0,23692000000.0,686000000.0,10461000000.0,-32228000000.0,1520000000.0,-2093000000.0,-981000000.0,-1.62,-9044000000.0,24378000000.0,0.4761,5.2776,-1.62,1520000000.0,-0.03500175594093349,-0.002617476942316711,0.06494352736750651,-0.047163956807744815,0.0019008910426762545,0.018057618057618057,-0.047163956807744815,0.40767931501580346,70262000000.0,6981000000.0,,,6.29,6.29,,0.73861635,83.85,65.21,3.73417,46113.258,13.647,1.8316,0.5993
2012-03-31,819604000000.0,760480000000.0,58666000000.0,23389000000.0,101000000.0,18667000000.0,15916000000.0,-409000000.0,-144000000.0,-275000000.0,-0.16,5758000000.0,23490000000.0,0.5661,7.4628,-0.16,-409000000.0,-0.0024545733474244024,-0.0001756946037354625,-0.009047499371701432,-0.025697411409901984,-0.0004990214786653067,-0.004978333901358391,-0.025697411409901984,0.40040227729860567,70266000000.0,5831000000.0,,,5.35,5.35,,0.73861635,83.85,65.21,3.73417,46113.258,13.647,1.8316,0.5993
2012-06-30,825188000000.0,762364000000.0,62406000000.0,18879000000.0,101000000.0,16035000000.0,34314000000.0,2929000000.0,2151000000.0,763000000.0,1.95,12102000000.0,18980000000.0,0.4495,4.9358,1.95,2929000000.0,0.03446783963080473,0.0026066787204855136,0.0626857842280119,0.08535874570146296,0.0035494941758726496,0.035988990735507334,0.08535874570146296,0.3041374226837163,71519000000.0,5739000000.0,12546000000.0,12546000000.0,5.4,5.4,1.5128327753865773,0.73861635,83.85,65.21,3.73417,46113.258,13.647,1.8316,0.5993
