report_date,total_assets,total_liabilities,total_equity,long_term_debt,cash,revenue,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,roe,roa,net_margin,debt_equity,revenue_ttm,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2022-03-31,261555000000.0,241277000000.0,10993000000.0,6102000000.0,9769000000.0,875000000.0,-870000000.0,,-608000000.0,-1.5,586495913.0,-3993000000.0,133000000.0,6102000000.0,,46.6071,7.6702,-1.5,-0.07914127171836623,-0.003326260251189998,-0.9942857142857143,0.5550805057764031,,,,,,1.5743403,157.28,99.56,6.38654,64301.098,18.4138,3.5998,2.2387
2022-06-30,247850000000.0,239689000000.0,3679000000.0,6092000000.0,12718000000.0,3147000000.0,-2921000000.0,106000000.0,-1100000000.0,-5.03,585630085.0,-20000000.0,271000000.0,6092000000.0,,,5.1847,-5.03,-0.7939657515629247,-0.011785354044785153,-0.9281855735621226,1.6558847512911117,,,,,,1.5743403,157.28,99.56,6.38654,64301.098,18.4138,3.5998,2.2387
2022-09-30,250340000000.0,247454000000.0,-1339000000.0,6081000000.0,10942000000.0,6126000000.0,-3797000000.0,170000000.0,-1300000000.0,-6.55,585187783.0,2324000000.0,433000000.0,6081000000.0,,,4.0063,-6.55,2.835698282300224,-0.015167372373571943,-0.6198171727064969,-4.541448842419716,,,,,,1.5743403,157.28,99.56,6.38654,64301.098,18.4138,3.5998,2.2387
2022-12-31,259333000000.0,252104000000.0,397000000.0,6472000000.0,8980000000.0,820000000.0,4375000000.0,-55000000.0,1939000000.0,7.51,-1172622006.0,5478000000.0,-243000000.0,6472000000.0,0.0783,,3.7507,7.51,11.02015113350126,0.016870201632649913,5.335365853658536,16.302267002518892,10968000000.0,-3213000000.0,,-5.57,-5.57,1.5743403,157.28,99.56,6.38654,64301.098,18.4138,3.5998,2.2387
2023-06-30,281984000000.0,264657000000.0,8229000000.0,6454000000.0,12070000000.0,19003000000.0,1609000000.0,114000000.0,454000000.0,2.67,581531570.0,4622000000.0,345000000.0,6454000000.0,,25.8224,1.7581,2.67,0.19552801069388748,0.005705997503404448,0.08467084144608746,0.7842994288491919,29096000000.0,-734000000.0,335000000.0,-1.4000000000000004,-1.4000000000000004,1.5743403,157.28,99.56,6.38654,64301.098,18.4138,3.5998,2.2387
2023-09-30,283235000000.0,265273000000.0,8442000000.0,7026000000.0,10433000000.0,21598000000.0,2291000000.0,178000000.0,697000000.0,3.75,581613279.0,4258000000.0,586000000.0,7026000000.0,,17.3297,2.0726,3.75,0.27138118929163707,0.00808868960403905,0.1060746365404204,0.8322672352523098,47547000000.0,4478000000.0,407000000.0,7.38,7.38,1.5743403,157.28,99.56,6.38654,64301.098,18.4138,3.5998,2.2387
2023-12-31,313488000000.0,288243000000.0,14044000000.0,8092000000.0,13082000000.0,32644000000.0,5047000000.0,258000000.0,-923000000.0,8.28,588846447.0,6322000000.0,803000000.0,8092000000.0,0.0569,10.4796,1.72,8.28,0.3593705497009399,0.016099499821364775,0.15460727851978925,0.5761891199088579,74065000000.0,13322000000.0,495000000.0,22.21,22.21,1.5743403,157.28,99.56,6.38654,64301.098,18.4138,3.5998,2.2387
2024-09-30,368689000000.0,337148000000.0,17863000000.0,9807000000.0,13689000000.0,20831000000.0,3091000000.0,,1000000000.0,4.94,589907752.0,3257000000.0,779000000.0,9807000000.0,,12.167,2.3968,4.94,0.17303924312825394,0.008383759754155942,0.14838461907733666,0.5490119240888989,94076000000.0,12038000000.0,,19.64,19.64,1.5743403,157.28,99.56,6.38654,64301.098,18.4138,3.5998,2.2387
2024-12-31,377895000000.0,346915000000.0,17253000000.0,10588000000.0,12891000000.0,26114000000.0,4577000000.0,,1062000000.0,7.33,604035992.0,3253000000.0,1075000000.0,10588000000.0,0.0569,20.4174,3.9371,7.33,0.26528719642960646,0.012111830005689411,0.17526997013096424,0.6136903726888078,101187000000.0,15006000000.0,,24.299999999999997,24.299999999999997,1.5743403,157.28,99.56,6.38654,64301.098,18.4138,3.5998,2.2387
2025-03-31,395045000000.0,362701000000.0,17976000000.0,10581000000.0,11254000000.0,5548000000.0,442000000.0,,243000000.0,0.68,592984841.0,1012000000.0,308000000.0,10581000000.0,,21.7488,3.5293,0.68,0.024588340008900755,0.001118859876722905,0.07966834895457822,0.5886181575433912,85137000000.0,13157000000.0,,21.229999999999997,21.229999999999997,1.5743403,157.28,99.56,6.38654,64301.098,18.4138,3.5998,2.2387
