report_date,total_assets,total_liabilities,total_equity,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-26,12060000000.0,5741000000.0,6135000000.0,1245000000.0,823000000.0,-2000000.0,-84000000.0,96000000.0,-22000000.0,,49000000.0,136000000.0,0.0,,,2.3288,,134000000.0,-0.013691931540342298,-0.006965174129353234,-0.10206561360874848,-0.002430133657351154,-0.0001658374792703151,-0.00032599837000814997,0.16281895504252733,0.0,,,,,,,,,,1.1493868,21.0,12.22,8.94411,13116.388,17.1456,1.9179,2.1453
2010-06-18,11957000000.0,5738000000.0,6029000000.0,1171000000.0,1937000000.0,109000000.0,-65000000.0,179000000.0,-16000000.0,,219000000.0,275000000.0,0.0,,,2.4402,,384000000.0,-0.010781224083595952,-0.0054361461905160155,-0.03355704697986577,0.05627258647392876,0.00911599899640378,0.018079283463260907,0.1982447083118224,0.0,,,,,,,,,,1.1493868,21.0,12.22,8.94411,13116.388,17.1456,1.9179,2.1453
2010-09-10,12095000000.0,5812000000.0,6096000000.0,838000000.0,2943000000.0,131000000.0,-124000000.0,268000000.0,-21000000.0,,328000000.0,,0.0,,,2.2088,,131000000.0,-0.020341207349081365,-0.010252170318313353,-0.042133876996262316,0.044512402310567446,0.010830921868540719,0.021489501312335957,0.044512402310567446,0.0,,,,,,,,,,1.1493868,21.0,12.22,8.94411,13116.388,17.1456,1.9179,2.1453
2010-12-31,12411000000.0,5888000000.0,6303000000.0,1113000000.0,-1266000000.0,-15000000.0,143000000.0,-159000000.0,28000000.0,-0.21,-76000000.0,181000000.0,0.0,7.1925,,2.6869,-0.21,166000000.0,0.02268760907504363,0.011522036902747562,-0.11295418641390205,0.011848341232227487,-0.001208605269518975,-0.002379819133745835,-0.13112164296998421,0.0,4437000000.0,-130000000.0,223000000.0,815000000.0,384000000.0,,,0.0,0.5807291666666666,1.1493868,21.0,12.22,8.94411,13116.388,17.1456,1.9179,2.1453
2011-03-25,12493000000.0,5917000000.0,6353000000.0,154000000.0,903000000.0,-3000000.0,-60000000.0,82000000.0,-20000000.0,-0.09,37000000.0,141000000.0,0.0,,,2.6924,-0.09,138000000.0,-0.009444356996694474,-0.004802689506123429,-0.0664451827242525,-0.0033222591362126247,-0.00024013447530617146,-0.00047221784983472373,0.15282392026578073,0.0,4517000000.0,-106000000.0,222000000.0,819000000.0,370000000.0,,,0.0,0.6,1.1493868,21.0,12.22,8.94411,13116.388,17.1456,1.9179,2.1453
2011-06-17,13103000000.0,6275000000.0,6614000000.0,634000000.0,2198000000.0,150000000.0,2000000.0,171000000.0,-13000000.0,,256000000.0,290000000.0,0.0,,,2.3872,,440000000.0,0.0003023888720895071,0.00015263680073265663,0.0009099181073703367,0.06824385805277525,0.011447760054949248,0.022679165406713032,0.20018198362147407,0.0,4778000000.0,-39000000.0,263000000.0,875000000.0,362000000.0,,,0.0,0.7265193370165746,1.1493868,21.0,12.22,8.94411,13116.388,17.1456,1.9179,2.1453
2011-09-09,12805000000.0,5886000000.0,6766000000.0,524000000.0,3340000000.0,204000000.0,-32000000.0,259000000.0,-9000000.0,-0.05,399000000.0,439000000.0,0.0,,,1.5789,-0.05,643000000.0,-0.004729530002955957,-0.0024990238188207733,-0.009580838323353293,0.06107784431137724,0.01593127684498243,0.03015075376884422,0.19251497005988025,0.0,5175000000.0,53000000.0,336000000.0,1387000000.0,353000000.0,,,0.0,0.9518413597733711,1.1493868,21.0,12.22,8.94411,13116.388,17.1456,1.9179,2.1453
2011-12-31,13068000000.0,6197000000.0,6677000000.0,826000000.0,-1443000000.0,-27000000.0,75000000.0,-141000000.0,41000000.0,0.12000000000000001,-31000000.0,-218000000.0,0.0,4.9314,,2.1293,0.12000000000000001,-245000000.0,0.01123258948629624,0.00573921028466483,-0.05197505197505198,0.018711018711018712,-0.002066115702479339,-0.004043732215066646,0.16978516978516978,0.0,4998000000.0,-15000000.0,324000000.0,976000000.0,371000000.0,,,0.0,0.8733153638814016,1.1493868,21.0,12.22,8.94411,13116.388,17.1456,1.9179,2.1453
2012-03-23,13587000000.0,6556000000.0,6822000000.0,1312000000.0,985000000.0,21000000.0,-2000000.0,86000000.0,-13000000.0,,73000000.0,153000000.0,0.0,,270.2395,2.3357,,174000000.0,-0.0002931691586045148,-0.0001471995289615073,-0.0020304568527918783,0.02131979695431472,0.0015455950540958269,0.0030782761653474055,0.1766497461928934,0.0,5080000000.0,43000000.0,348000000.0,1012000000.0,375000000.0,,,0.0,0.928,1.1493868,21.0,12.22,8.94411,13116.388,17.1456,1.9179,2.1453
2012-06-15,12736000000.0,5599000000.0,6941000000.0,465000000.0,2351000000.0,201000000.0,80000000.0,180000000.0,-1000000.0,0.11,302000000.0,311000000.0,0.0,,177.8476,2.2391,0.11,512000000.0,0.011525716755510734,0.00628140703517588,0.034028073160357296,0.0854955338153977,0.015782035175879398,0.028958363348220717,0.2177796682262867,0.0,5233000000.0,121000000.0,399000000.0,1084000000.0,384000000.0,,,0.0,1.0390625,1.1493868,21.0,12.22,8.94411,13116.388,17.1456,1.9179,2.1453
