report_date,total_assets,total_liabilities,total_equity,long_term_debt,revenue,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_pe,eps,roe,roa,net_margin,fcf_margin,debt_equity,revenue_ttm,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,153971000000.0,138561000000.0,15410000000.0,8815000000.0,2296000000.0,495000000.0,217000000.0,207000000.0,0.99,498056000.0,1755000000.0,25000000.0,1730000000.0,8815000000.0,,0.99,0.03212199870214147,0.00321489111585948,0.21559233449477352,0.7534843205574913,0.5720311486048021,,,,,,,1.4278363,137.0499,72.81,1.99991,35900.168,12.1902,1.2943,1.80473
2010-06-30,162075000000.0,146016000000.0,16059000000.0,8546000000.0,4600000000.0,927000000.0,405000000.0,125000000.0,1.86,498295000.0,3383000000.0,79000000.0,3304000000.0,8546000000.0,9.6849,1.86,0.05772464038856716,0.005719574271170754,0.20152173913043478,0.7182608695652174,0.5321626502272869,,,,,,,1.4278363,137.0499,72.81,1.99991,35900.168,12.1902,1.2943,1.80473
2010-09-30,172964000000.0,155395000000.0,17569000000.0,8573000000.0,6910000000.0,1473000000.0,585000000.0,361000000.0,2.93,497715000.0,992000000.0,157000000.0,835000000.0,8573000000.0,9.5891,2.93,0.08384085605327565,0.008516223029069634,0.21316931982633863,0.12083936324167872,0.4879617508110877,,,,,,,1.4278363,137.0499,72.81,1.99991,35900.168,12.1902,1.2943,1.80473
2010-12-31,160505000000.0,142718000000.0,17787000000.0,8550000000.0,-4853000000.0,-1339000000.0,-444000000.0,-163000000.0,-2.6900000000000004,-996142000.0,-5307000000.0,1000000.0,-5308000000.0,8550000000.0,14.951,-2.6900000000000004,-0.07527969865632203,-0.008342419239276035,0.27591180712961055,1.0937564393158872,0.48068814302580537,8953000000.0,1556000000.0,561000000.0,763000000.0,3.09,3.09,1.4278363,137.0499,72.81,1.99991,35900.168,12.1902,1.2943,1.80473
2011-03-31,171796000000.0,152616000000.0,19180000000.0,9531000000.0,2361000000.0,471000000.0,157000000.0,189000000.0,0.93,500980000.0,-1348000000.0,89000000.0,-1437000000.0,9531000000.0,14.7836,0.93,0.024556830031282586,0.002741623786351254,0.19949174078780177,-0.6086404066073697,0.49692387904066737,9018000000.0,1532000000.0,-2606000000.0,703000000.0,3.03,3.03,1.4278363,137.0499,72.81,1.99991,35900.168,12.1902,1.2943,1.80473
2011-06-30,190455000000.0,170621000000.0,19834000000.0,9544000000.0,4852000000.0,984000000.0,304000000.0,391000000.0,1.93,500753000.0,-4374000000.0,192000000.0,-4566000000.0,9544000000.0,14.09,1.93,0.04961177775536957,0.005166574781444435,0.20280296784830998,-0.9410552349546579,0.4811939094484219,9270000000.0,1589000000.0,-10476000000.0,602000000.0,3.0999999999999996,3.0999999999999996,1.4278363,137.0499,72.81,1.99991,35900.168,12.1902,1.2943,1.80473
2011-09-30,208795000000.0,189144000000.0,19651000000.0,8112000000.0,7279000000.0,1539000000.0,454000000.0,465000000.0,3.03,498417000.0,-2113000000.0,209000000.0,-2322000000.0,8112000000.0,9.9936,3.03,0.07831662510813699,0.007370866160588137,0.2114301415029537,-0.31899986261849156,0.4128034196732991,9639000000.0,1655000000.0,-13633000000.0,471000000.0,3.1999999999999993,3.1999999999999993,1.4278363,137.0499,72.81,1.99991,35900.168,12.1902,1.2943,1.80473
2011-12-31,216827000000.0,197429000000.0,19398000000.0,8131000000.0,-4898000000.0,-1074000000.0,-302000000.0,-429000000.0,-2.0999999999999996,-1004078000.0,11209000000.0,-192000000.0,11017000000.0,8131000000.0,10.7153,-2.0999999999999996,-0.055366532632230125,-0.004953257666250052,0.21927317272356064,-2.2492854226214782,0.4191669244251985,9594000000.0,1920000000.0,2692000000.0,613000000.0,3.79,3.79,1.4278363,137.0499,72.81,1.99991,35900.168,12.1902,1.2943,1.80473
2012-03-31,187956000000.0,167797000000.0,20159000000.0,8117000000.0,2421000000.0,427000000.0,140000000.0,159000000.0,0.85,490454000.0,1315000000.0,85000000.0,1230000000.0,8117000000.0,11.9818,0.85,0.021181606230467782,0.002271808295558535,0.17637339942172656,0.5080545229244114,0.4026489409196885,9654000000.0,1876000000.0,5359000000.0,596000000.0,3.71,3.71,1.4278363,137.0499,72.81,1.99991,35900.168,12.1902,1.2943,1.80473
2012-06-30,200777000000.0,180880000000.0,19897000000.0,6392000000.0,4844000000.0,917000000.0,254000000.0,321000000.0,1.83,489145000.0,-1449000000.0,143000000.0,-1592000000.0,6392000000.0,11.7916,1.83,0.046087349851736445,0.004567256209625605,0.1893063583815029,-0.32865400495458297,0.32125446047142786,9646000000.0,1809000000.0,8333000000.0,546000000.0,3.6100000000000003,3.6100000000000003,1.4278363,137.0499,72.81,1.99991,35900.168,12.1902,1.2943,1.80473
