report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,roe,roa,net_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2010-03-31,25142000000.0,7549000000.0,4083000000.0,,5819000000.0,8597000000.0,358000000.0,1749000000.0,5807000000.0,-162000000.0,-24000000.0,-0.38,428800000.0,159000000.0,,8955000000.0,,0.457,44.0213,-0.38,-0.027839835023199862,-0.006443401479595896,-0.02789736524883761,1.5389242137824368,1.848885623316189,,,,,1.1483095,56.64,33.65,6.2484,18001.96,1.4028,0.964
2010-06-30,25047000000.0,7729000000.0,4166000000.0,,5693000000.0,8574000000.0,357000000.0,1871000000.0,11928000000.0,-69000000.0,1000000.0,-0.16,429200000.0,800000000.0,,8931000000.0,,0.4147,49.1548,-0.16,-0.012120147549622344,-0.0027548209366391185,-0.005784708249496982,1.5687686632706832,1.8552568410945751,,,,,1.1483095,56.64,33.65,6.2484,18001.96,1.4028,0.964
2010-09-30,25089000000.0,7808000000.0,4518000000.0,,6388000000.0,8428000000.0,312000000.0,1429000000.0,18648000000.0,328000000.0,171000000.0,0.76,433800000.0,587000000.0,,8740000000.0,,0.386,41.8735,0.76,0.05134627426424546,0.01307345848778349,0.01758901758901759,1.3681903569192235,1.7281983178397522,,,,,1.1483095,56.64,33.65,6.2484,18001.96,1.4028,0.964
2010-12-31,25368000000.0,8028000000.0,4503000000.0,,6834000000.0,8358000000.0,313000000.0,2073000000.0,-11204000000.0,547000000.0,73000000.0,1.26,,85000000.0,,8671000000.0,1.7828,0.4733,17.245,1.26,0.0800409716125256,0.021562598549353516,-0.0488218493395216,1.268803043605502,1.7828114590273152,25179000000.0,644000000.0,1.48,1.48,1.1483095,56.64,33.65,6.2484,18001.96,1.4028,0.964
2011-03-31,25595000000.0,8488000000.0,4497000000.0,,7320000000.0,8156000000.0,375000000.0,2049000000.0,6387000000.0,342000000.0,123000000.0,0.78,433800000.0,514000000.0,,8531000000.0,,0.5123,10.9332,0.78,0.04672131147540984,0.013361984762648955,0.05354626585251292,1.1654371584699454,1.887480542583945,25759000000.0,1148000000.0,2.6399999999999997,2.6399999999999997,1.1483095,56.64,33.65,6.2484,18001.96,1.4028,0.964
2011-06-30,26044000000.0,9416000000.0,4821000000.0,,7706000000.0,7875000000.0,610000000.0,2399000000.0,13035000000.0,566000000.0,241000000.0,1.3,433400000.0,1162000000.0,,8485000000.0,,0.496,9.7809,1.3,0.07344926031663639,0.021732452772231608,0.04342155734560798,1.1010900596937452,1.9531217589711678,26866000000.0,1783000000.0,4.1,4.1,1.1483095,56.64,33.65,6.2484,18001.96,1.4028,0.964
2011-09-30,25834000000.0,9935000000.0,4747000000.0,25834000000.0,7402000000.0,7801000000.0,644000000.0,2722000000.0,19667000000.0,1084000000.0,157000000.0,2.48,436700000.0,2038000000.0,,8445000000.0,,0.3879,7.2383,2.48,0.14644690624155635,0.041960207478516684,0.055117709869324245,1.1409078627398002,2.092900779439646,27885000000.0,2539000000.0,5.82,5.82,1.1483095,56.64,33.65,6.2484,18001.96,1.4028,0.964
2011-12-31,26993000000.0,10456000000.0,4738000000.0,26993000000.0,6620000000.0,9189000000.0,719000000.0,3994000000.0,-13055000000.0,-651000000.0,-210000000.0,-1.4900000000000007,,-1039000000.0,,9908000000.0,2.2068,0.5031,9.9085,-1.4900000000000007,-0.09833836858006043,-0.024117363760975067,0.04986595174262735,1.4966767371601208,2.2068383284086113,26034000000.0,1341000000.0,3.07,3.07,1.1483095,56.64,33.65,6.2484,18001.96,1.4028,0.964
2012-03-31,33849000000.0,9212000000.0,5033000000.0,33849000000.0,7061000000.0,10905000000.0,738000000.0,1288000000.0,6655000000.0,188000000.0,70000000.0,0.43,438600000.0,581000000.0,,11643000000.0,,0.5845,13.2978,0.43,0.02662512392012463,0.005554078407043044,0.028249436513899325,1.6489165840532503,1.8303198887343533,26302000000.0,1187000000.0,2.7199999999999993,2.7199999999999993,1.1483095,56.64,33.65,6.2484,18001.96,1.4028,0.964
2012-06-30,33088000000.0,9281000000.0,5227000000.0,33088000000.0,6675000000.0,10478000000.0,838000000.0,1228000000.0,13732000000.0,322000000.0,127000000.0,0.73,439300000.0,1375000000.0,,11316000000.0,,0.4738,11.8251,0.73,0.04823970037453183,0.009731624758220503,0.0234488785318963,1.6952808988764045,1.775588291563038,26999000000.0,943000000.0,2.1499999999999995,2.1499999999999995,1.1483095,56.64,33.65,6.2484,18001.96,1.4028,0.964
