report_date,total_assets,current_assets,current_liabilities,total_equity,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-05-01,20636000000.0,6441000000.0,5094000000.0,4739000000.0,685000000.0,981000000.0,5574000000.0,2196000000.0,203000000.0,23000000.0,163000000.0,18000000.0,0.0,-149000000.0,36000000.0,287000000.0,-185000000.0,685000000.0,,22.8193,0.4207,0.0,490000000.0,0.00485334458746571,0.0011145570847063385,0.0041263006817366344,0.3939720129171152,0.03641908862576247,0.00983717774762551,0.037426253687315635,-0.033189809831359884,0.087908144958737,0.14454526271365267,1.2644287396937575,,,,,,,,,,,,1.546515,24.41,9.7601,7.90313,4738.035,7.3686,1.1593,0.2095
2010-07-31,20438000000.0,6433000000.0,4760000000.0,4887000000.0,609000000.0,1208000000.0,11111000000.0,4519000000.0,573000000.0,170000000.0,294000000.0,111000000.0,0.0,288000000.0,102000000.0,575000000.0,186000000.0,609000000.0,,14.1624,0.3389,0.0,1148000000.0,0.034786167382852465,0.008317839318915745,0.015300153001530016,0.40671406714067143,0.05157051570515705,0.028036011351404246,0.10425764192139737,0.016740167401674017,0.1033210332103321,0.12461632903621854,1.3514705882352942,,,,,,,,,,,,1.546515,24.41,9.7601,7.90313,4738.035,7.3686,1.1593,0.2095
2010-10-30,21682000000.0,7837000000.0,6482000000.0,4891000000.0,605000000.0,715000000.0,16734000000.0,6765000000.0,750000000.0,180000000.0,460000000.0,114000000.0,0.0,346000000.0,203000000.0,865000000.0,143000000.0,605000000.0,,16.2104,0.4121,0.0,1615000000.0,0.0368022899202617,0.008301817175537312,0.010756543564001434,0.4042667622803872,0.04481893151667264,0.034590904898072136,0.13646288209606988,0.008545476275845584,0.09651009919923509,0.12369658556532406,1.209040419623573,,,,,,,,,,,,1.546515,24.41,9.7601,7.90313,4738.035,7.3686,1.1593,0.2095
2011-01-29,20631000000.0,6899000000.0,5065000000.0,5530000000.0,454000000.0,1464000000.0,-8416000000.0,-3301000000.0,368000000.0,474000000.0,-338000000.0,230000000.0,1.0,1021000000.0,-2000000.0,-577000000.0,1019000000.0,454000000.0,1.3823,11.5744,0.3921,1.0,-209000000.0,0.08571428571428572,0.022975134506325434,-0.0563212927756654,0.3922290874524715,-0.043726235741444866,0.017837235228539576,0.06149732620320856,-0.12107889733840305,0.02483365019011407,0.08209764918625678,1.3620927936821323,25003000000.0,847000000.0,1894000000.0,10179000000.0,1163000000.0,3044000000.0,579000000.0,1.0,1.0,0.14914586070959265,3.2711571675302245,1.546515,24.41,9.7601,7.90313,4738.035,7.3686,1.1593,0.2095
2011-04-30,20417000000.0,6914000000.0,5479000000.0,5688000000.0,741000000.0,1152000000.0,5889000000.0,2303000000.0,330000000.0,131000000.0,117000000.0,83000000.0,0.0,67000000.0,61000000.0,268000000.0,6000000.0,741000000.0,,10.7812,0.4067,0.0,598000000.0,0.023030942334739804,0.006416221775971004,0.022244863304465953,0.391068093054848,0.056036678553234846,0.016163001420384973,0.05132991133924405,0.0010188487009679063,0.10154525386313466,0.13027426160337552,1.2619091075013689,25318000000.0,955000000.0,2021000000.0,10286000000.0,1354000000.0,3152000000.0,533000000.0,1.0,1.0,0.23508883248730963,3.7917448405253285,1.546515,24.41,9.7601,7.90313,4738.035,7.3686,1.1593,0.2095
2011-07-30,20508000000.0,7122000000.0,5438000000.0,5963000000.0,914000000.0,1495000000.0,11828000000.0,4785000000.0,836000000.0,372000000.0,229000000.0,237000000.0,0.0,587000000.0,164000000.0,536000000.0,423000000.0,914000000.0,,11.9121,0.4858,0.0,1372000000.0,0.062384705685057856,0.018139262726740785,0.03145079472438282,0.4045485289144403,0.07067974298275279,0.04076457967622391,0.12156463574232951,0.03576259722691918,0.11599594183293879,0.1532785510649002,1.309672673777124,26035000000.0,1157000000.0,2284000000.0,10552000000.0,1591000000.0,3376000000.0,468000000.0,1.0,1.0,0.2707345971563981,4.880341880341881,1.546515,24.41,9.7601,7.90313,4738.035,7.3686,1.1593,0.2095
2011-10-29,22263000000.0,8951000000.0,7274000000.0,5852000000.0,805000000.0,1097000000.0,17681000000.0,7094000000.0,1127000000.0,511000000.0,338000000.0,281000000.0,1.0,627000000.0,359000000.0,818000000.0,268000000.0,805000000.0,,11.0694,0.5025,1.0,1945000000.0,0.08732057416267942,0.022952881462516284,0.02890108025564165,0.4012216503591426,0.06374073864600419,0.05062210843102906,0.16929547844374343,0.015157513715287597,0.11000509020982976,0.1375598086124402,1.2305471542480066,26982000000.0,1488000000.0,2661000000.0,10881000000.0,1716000000.0,3706000000.0,346000000.0,2.0,2.0,0.2172153264975715,7.690751445086705,1.546515,24.41,9.7601,7.90313,4738.035,7.3686,1.1593,0.2095
2012-01-28,22095000000.0,8777000000.0,6263000000.0,5933000000.0,1103000000.0,2827000000.0,-8993000000.0,-3515000000.0,118000000.0,242000000.0,-237000000.0,111000000.0,1.0,812000000.0,-29000000.0,-537000000.0,783000000.0,1103000000.0,1.4014,11.3179,0.5384,1.0,-419000000.0,0.040788808360020225,0.010952704231726635,-0.026909818747915044,0.39085955743355943,-0.013121316579561882,0.005340574790676624,0.016770892552586698,-0.08706771933726232,0.04659179361725787,0.18590932074835664,1.401405077438927,26405000000.0,1256000000.0,2411000000.0,10667000000.0,1480000000.0,3496000000.0,447000000.0,2.0,2.0,0.3155034324942792,5.3937360178970915,1.546515,24.41,9.7601,7.90313,4738.035,7.3686,1.1593,0.2095
2012-04-28,21277000000.0,8033000000.0,5399000000.0,6033000000.0,313000000.0,1891000000.0,6143000000.0,2386000000.0,391000000.0,181000000.0,113000000.0,98000000.0,0.0,265000000.0,168000000.0,256000000.0,97000000.0,313000000.0,,13.1436,0.6439,0.0,647000000.0,0.030001657550140892,0.008506838370070968,0.029464431059742797,0.38840957187042163,0.06364968256552173,0.01837665084363397,0.06161361487551213,0.015790330457431223,0.10532313202018558,0.05188131940991215,1.487868123726616,26659000000.0,1306000000.0,2472000000.0,10750000000.0,1571000000.0,3545000000.0,443000000.0,2.0,2.0,0.08829337094499294,5.5801354401805865,1.546515,24.41,9.7601,7.90313,4738.035,7.3686,1.1593,0.2095
2012-07-28,20565000000.0,7386000000.0,4854000000.0,5903000000.0,313000000.0,1604000000.0,12261000000.0,4949000000.0,945000000.0,460000000.0,218000000.0,268000000.0,1.0,638000000.0,310000000.0,513000000.0,328000000.0,313000000.0,,11.2693,0.5643,1.0,1458000000.0,0.07792647806200237,0.02236810114271821,0.03751733137590735,0.40363754995514234,0.07707364815267922,0.045951859956236324,0.15202702702702703,0.02675148845934263,0.11891362857841938,0.053023886159579876,1.5216316440049444,27092000000.0,1394000000.0,2581000000.0,10914000000.0,1476000000.0,3631000000.0,432000000.0,3.0,3.0,0.08620214816854861,5.974537037037037,1.546515,24.41,9.7601,7.90313,4738.035,7.3686,1.1593,0.2095
2012-10-27,22270000000.0,9163000000.0,6684000000.0,5563000000.0,123000000.0,1264000000.0,18336000000.0,7352000000.0,1270000000.0,605000000.0,322000000.0,345000000.0,1.0,889000000.0,464000000.0,782000000.0,425000000.0,123000000.0,,11.3511,0.5663,1.0,2052000000.0,0.10875426927916591,0.027166591827570724,0.032995200698080276,0.40095986038394416,0.06926265270506109,0.0570273911091154,0.22335561027084067,0.02317844677137871,0.1119109947643979,0.022110372101384144,1.370885697187313,27747000000.0,1488000000.0,2724000000.0,11172000000.0,1633000000.0,3738000000.0,416000000.0,3.0,3.0,0.03290529695024077,6.548076923076923,1.546515,24.41,9.7601,7.90313,4738.035,7.3686,1.1593,0.2095
2013-02-02,20991000000.0,7876000000.0,5075000000.0,6051000000.0,124000000.0,1836000000.0,-9054000000.0,-3539000000.0,55000000.0,89000000.0,-228000000.0,56000000.0,1.0,469000000.0,-244000000.0,-502000000.0,225000000.0,124000000.0,1.5519,11.4645,0.5528,1.0,-447000000.0,0.014708312675590812,0.0042399123433852605,-0.009829909432295118,0.3908769604594654,-0.006074663132317208,0.002620170549283026,0.008906882591093117,-0.02485089463220676,0.04937044400265076,0.02049248058172203,1.55192118226601,27686000000.0,1335000000.0,2661000000.0,11148000000.0,1075000000.0,3710000000.0,425000000.0,3.0,3.0,0.033423180592991916,6.261176470588235,1.546515,24.41,9.7601,7.90313,4738.035,7.3686,1.1593,0.2095
2013-05-04,21040000000.0,8066000000.0,5201000000.0,5971000000.0,124000000.0,1752000000.0,6387000000.0,2476000000.0,435000000.0,217000000.0,97000000.0,121000000.0,0.0,298000000.0,65000000.0,251000000.0,233000000.0,124000000.0,,13.1346,0.6447,0.0,686000000.0,0.03634232121922626,0.010313688212927757,0.03397526225144826,0.38766243932988886,0.06810709253170502,0.02067490494296578,0.07136997538966366,0.03648035071238453,0.10740566776264286,0.02076704069670072,1.5508556046914055,27930000000.0,1371000000.0,2705000000.0,11238000000.0,1211000000.0,3749000000.0,409000000.0,3.0,3.0,0.033075486796479064,6.613691931540342,1.546515,24.41,9.7601,7.90313,4738.035,7.3686,1.1593,0.2095
2013-08-03,20431000000.0,7515000000.0,5171000000.0,5855000000.0,575000000.0,1424000000.0,12453000000.0,5009000000.0,969000000.0,498000000.0,194000000.0,278000000.0,1.0,664000000.0,206000000.0,504000000.0,458000000.0,575000000.0,,13.8792,0.6836,1.0,1473000000.0,0.08505550811272417,0.024374724683079635,0.0399903637677668,0.4022323938006906,0.07781257528306432,0.04742792814840194,0.15069984447900467,0.0367782863567012,0.11828475066249097,0.0982066609735269,1.453297234577451,28122000000.0,1409000000.0,2729000000.0,11298000000.0,1341000000.0,3764000000.0,385000000.0,3.0,3.0,0.15276301806588735,7.088311688311689,1.546515,24.41,9.7601,7.90313,4738.035,7.3686,1.1593,0.2095
2013-11-02,22446000000.0,9560000000.0,7186000000.0,5442000000.0,465000000.0,1171000000.0,18729000000.0,7468000000.0,1329000000.0,675000000.0,291000000.0,365000000.0,1.0,819000000.0,381000000.0,761000000.0,438000000.0,465000000.0,,12.1801,0.6095,1.0,2090000000.0,0.12403528114663727,0.030072173215717722,0.03604036520903412,0.3987399220460249,0.07095947461156495,0.05920876770916867,0.2249873031995937,0.023386192535639918,0.11159164931389823,0.08544652701212789,1.330364597829112,28515000000.0,1479000000.0,2788000000.0,11414000000.0,1354000000.0,3802000000.0,354000000.0,3.0,3.0,0.12230405049973699,7.875706214689266,1.546515,24.41,9.7601,7.90313,4738.035,7.3686,1.1593,0.2095
2014-02-01,21634000000.0,8688000000.0,5726000000.0,6249000000.0,463000000.0,2273000000.0,-9638000000.0,-3747000000.0,-55000000.0,96000000.0,-192000000.0,40000000.0,1.0,768000000.0,-45000000.0,-496000000.0,723000000.0,463000000.0,1.5173,12.5014,0.6651,1.0,-551000000.0,0.015362457993278924,0.004437459554405103,-0.009960572732932143,0.38877360448225773,0.005706578128242374,-0.0025422945363779235,-0.008194278903456496,-0.07501556339489521,0.057169537248391786,0.07409185469675147,1.517289556409361,27931000000.0,1486000000.0,2678000000.0,11206000000.0,1852000000.0,3698000000.0,390000000.0,3.0,3.0,0.12520281233098973,6.866666666666666,1.546515,24.41,9.7601,7.90313,4738.035,7.3686,1.1593,0.2095
