report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2017-03-31,349003000.0,265173000.0,224559000.0,252273000.0,0.0,,8307000.0,159073000.0,9746000.0,,-38439000.0,2059000.0,,,,-52886000.0,18556000.0,-71442000.0,0.0,1.4013,,,,,,-0.11013945438864423,-0.24164377361337247,0.06126746839501361,,,,-0.4491145574673263,,,1.1808611545295447,,,,,,,,,,,3.6527107,486.89,148.25,3.11276,44887.246,31.9028,26.6804,2.2088
2017-06-30,484883000.0,376863000.0,203837000.0,219453000.0,31239000.0,10279000.0,144433000.0,368438000.0,25785000.0,,-52981000.0,4566000.0,0.0,,,-61291000.0,42576000.0,-103867000.0,10279000.0,,,,,,-1.6959889881238195,-0.109265534159787,-0.1437989566765643,0.06998463784951607,,,,-0.2819117463453824,,0.32904382342584587,1.8488449103940894,,,,,,,,,,,3.6527107,486.89,148.25,3.11276,44887.246,31.9028,26.6804,2.2088
2017-09-30,495172000.0,366207000.0,244413000.0,267696000.0,28161000.0,16363000.0,103454000.0,593817000.0,46201000.0,,-57361000.0,5404000.0,0.0,,,-116014000.0,59408000.0,-175422000.0,16363000.0,,,,,,-2.03689499662654,-0.11584055641272123,-0.09659709977989853,0.07780343102336242,,,,-0.2954142437821753,,0.5810518092397287,1.4983122828982092,,,,,,,,,,,3.6527107,486.89,148.25,3.11276,44887.246,31.9028,26.6804,2.2088
2017-12-31,641137000.0,489718000.0,306031000.0,361593000.0,125736000.0,,172680000.0,-262458000.0,-13641000.0,,85940000.0,-4370000.0,0.0,,,30267000.0,-42050000.0,-11783000.0,0.0,1.6002,,,,,0.683495578036521,0.13404311403023067,-0.32744286704920406,0.05197403013053517,,,,0.044894802215973605,,0.0,1.600223506768922,858870000.0,-62841000.0,,68091000.0,-362514000.0,,7659000.0,,,,3.6527107,486.89,148.25,3.11276,44887.246,31.9028,26.6804,2.2088
2018-03-31,720734000.0,541323000.0,419756000.0,493794000.0,120301000.0,,121497000.0,360422000.0,34234000.0,,-7043000.0,3541000.0,0.0,,,-131449000.0,28011000.0,-159460000.0,0.0,,,2.8312,,,-0.058544816751315454,-0.009771982451223337,-0.01954098251494082,0.09498310314020787,,,,-0.4424258230629651,,0.0,1.2896134897416593,1060219000.0,-31445000.0,,92579000.0,-450532000.0,,9141000.0,,,,3.6527107,486.89,148.25,3.11276,44887.246,31.9028,26.6804,2.2088
2018-06-30,881763000.0,643493000.0,438824000.0,522654000.0,163748000.0,,199192000.0,835708000.0,83269000.0,,-17008000.0,7706000.0,0.0,,,-179485000.0,73425000.0,-252910000.0,0.0,,,4.499,,,-0.10386691745853384,-0.019288629711158214,-0.020351606063361845,0.0996388690786734,,,,-0.3026296266159951,,0.0,1.4664033872349735,1527489000.0,4528000.0,,150063000.0,-599575000.0,,12281000.0,,,,3.6527107,486.89,148.25,3.11276,44887.246,31.9028,26.6804,2.2088
2018-09-30,1212103000.0,935365000.0,457603000.0,905335000.0,109106000.0,,439794000.0,1370629000.0,140575000.0,,-33050000.0,13355000.0,0.0,,,-263875000.0,107228000.0,-371103000.0,0.0,,,4.9215,,,-0.3029164298938647,-0.027266659681561715,-0.024113016724438194,0.10256240018268985,,,,-0.27075379260179083,,0.0,2.0440534699291746,2304301000.0,28839000.0,,244437000.0,-795256000.0,,20232000.0,,,,3.6527107,486.89,148.25,3.11276,44887.246,31.9028,26.6804,2.2088
2018-12-31,991013000.0,662854000.0,329511000.0,763585000.0,73408000.0,,78861000.0,-611292000.0,-61369000.0,,-4653000.0,416000.0,0.0,,,160469000.0,-64996000.0,95473000.0,0.0,2.0116,,2.4098,,,-0.06338546207497821,-0.00469519572397133,0.007611746922910818,0.10039228388397034,,,,-0.15618231548916067,,0.0,2.011629353800025,1955467000.0,-61754000.0,,196709000.0,-688000000.0,,25018000.0,,,,3.6527107,486.89,148.25,3.11276,44887.246,31.9028,26.6804,2.2088
2019-03-31,1338401000.0,876786000.0,630030000.0,1185554000.0,54773000.0,135788000.0,85321000.0,755234000.0,88532000.0,,-28549000.0,15648000.0,,,,-214509000.0,43199000.0,-257708000.0,135788000.0,,,3.6498,,,-0.5212239607105691,-0.021330677427766415,-0.03780152906251572,0.11722459529099591,,,,-0.3412293408400575,,2.479104668358498,1.3916575401171374,2350279000.0,-83260000.0,,251007000.0,-786248000.0,,37125000.0,,,,3.6527107,486.89,148.25,3.11276,44887.246,31.9028,26.6804,2.2088
2019-06-30,1474404000.0,957542000.0,249835000.0,1080587000.0,133748000.0,743132000.0,40200000.0,1741455000.0,226325000.0,,-55159000.0,34963000.0,0.0,,,-294834000.0,88137000.0,-382971000.0,743132000.0,,,3.3505,,,-0.41240990519484405,-0.03741104880344871,-0.03167408862129656,0.12996316298727215,,,,-0.21991438193924046,,5.556210186320543,3.832697580403066,3256026000.0,-121411000.0,,394063000.0,-916309000.0,,64382000.0,,,,3.6527107,486.89,148.25,3.11276,44887.246,31.9028,26.6804,2.2088
