report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2013-03-31,27169000000.0,14923000000.0,6766000000.0,,2957000000.0,,414000000.0,6979000000.0,4329000000.0,1305000000.0,968000000.0,271000000.0,0.0,1605000000.0,,88000000.0,,414000000.0,2.2659,,,0.0,1305000000.0,0.3273588096043287,0.03562884169457838,0.2236082236082236,0.30145530145530147,0.04803268430932313,0.38712548205280334,,0.30145530145530147,0.1400067636117687,2.2055867573159915,,,,,,,,,0.36996782,244.81,164.39,6.55304,372756.53,88.2055,94.4424,6.0948
2013-06-30,27910000000.0,15662000000.0,6805000000.0,,3558000000.0,,410000000.0,8743000000.0,9021000000.0,2758000000.0,2036000000.0,571000000.0,1.0,1605000000.0,,207000000.0,,410000000.0,,,,1.0,2758000000.0,0.5722315907813378,0.07294876388391258,0.22569559915752133,0.30573107194324356,0.09881762809029022,0.6950604838709677,,0.30573107194324356,0.11523327712197864,2.3015429831006613,,,,,,,,,0.36996782,244.81,164.39,6.55304,372756.53,88.2055,94.4424,6.0948
2013-09-30,28252000000.0,16543000000.0,6875000000.0,,3577000000.0,,411000000.0,8975000000.0,13679000000.0,4129000000.0,3000000000.0,893000000.0,1.0,1602000000.0,,340000000.0,,411000000.0,,15.6738,3.768,1.0,4129000000.0,0.8386916410399776,0.10618717258955118,0.2193142773594561,0.3018495504057314,0.14614894520741895,1.035356068204614,,0.3018495504057314,0.11490075482247694,2.4062545454545456,,,,,,,,,0.36996782,244.81,164.39,6.55304,372756.53,88.2055,94.4424,6.0948
2013-12-31,29198000000.0,17848000000.0,6879000000.0,29198000000.0,4492000000.0,14292000000.0,413000000.0,9595000000.0,-8239000000.0,-2528000000.0,-1876000000.0,-531000000.0,0.56,-3208000000.0,6267000000.0,-144000000.0,6123000000.0,14705000000.0,2.5946,20.3521,4.4712,0.56,-2528000000.0,-0.41763134461264473,-0.06425097609425304,0.22769753610875107,0.30683335356232555,-0.08658127268991027,-0.13168724279835392,-0.743172715135332,0.30683335356232555,3.2735975066785397,2.5945631632504726,18790000000.0,4128000000.0,5664000000.0,,5664000000.0,2.56,2.56,2.5962217514124295,0.36996782,244.81,164.39,6.55304,372756.53,88.2055,94.4424,6.0948
2014-03-31,28657000000.0,17329000000.0,6216000000.0,,4697000000.0,,2000000.0,8140000000.0,4563000000.0,1351000000.0,980000000.0,306000000.0,0.0,1609000000.0,,137000000.0,,2000000.0,,19.7414,4.2961,0.0,1351000000.0,0.20864381520119224,0.03419757825313187,0.21477098400175323,0.2960771422309884,0.047143804306103224,0.28750798042136627,,0.2960771422309884,0.0004258037044922291,2.787805662805663,19024000000.0,4140000000.0,5710000000.0,,5710000000.0,2.56,2.56,0.0003502626970227671,0.36996782,244.81,164.39,6.55304,372756.53,88.2055,94.4424,6.0948
2014-06-30,29045000000.0,17794000000.0,6317000000.0,,5218000000.0,,251000000.0,9086000000.0,9489000000.0,2866000000.0,2078000000.0,641000000.0,1.0,1608000000.0,,279000000.0,,251000000.0,,21.5433,4.6648,1.0,2866000000.0,0.39823687236489075,0.07154415562058875,0.21899040994836125,0.3020339340288755,0.09867447064899294,0.5240446151033096,,0.3020339340288755,0.04810272134917593,2.816843438340985,19492000000.0,4182000000.0,5818000000.0,,5818000000.0,2.56,2.56,0.04314197318666208,0.36996782,244.81,164.39,6.55304,372756.53,88.2055,94.4424,6.0948
2014-09-30,28454000000.0,17555000000.0,6635000000.0,,4645000000.0,,301000000.0,7719000000.0,14508000000.0,3826000000.0,2584000000.0,822000000.0,1.0,1609000000.0,,459000000.0,,301000000.0,,24.7916,4.6907,1.0,3826000000.0,0.5562970936490851,0.09081324242637238,0.17810862972153294,0.26371657016818306,0.13446264145638576,0.7735543873837445,,0.26371657016818306,0.06480086114101184,2.6458176337603616,20321000000.0,3766000000.0,5515000000.0,,5515000000.0,2.56,2.56,0.05457842248413418,0.36996782,244.81,164.39,6.55304,372756.53,88.2055,94.4424,6.0948
2014-12-31,27547000000.0,16088000000.0,11400000000.0,,1742000000.0,,425000000.0,8348000000.0,-8600000000.0,-4632000000.0,-3868000000.0,-1174000000.0,-1.0,-3216000000.0,,-263000000.0,,425000000.0,1.4115,58.7796,5.2242,-1.0,-4632000000.0,-2.220436280137773,-0.14041456419936835,0.44976744186046513,0.5386046511627907,-0.1681489817402984,-2.1375173050299954,,0.5386046511627907,0.24397244546498278,1.4112280701754385,19960000000.0,1774000000.0,3411000000.0,,3411000000.0,1.0,1.0,0.12459689240691879,0.36996782,244.81,164.39,6.55304,372756.53,88.2055,94.4424,6.0948
2015-03-31,26699000000.0,15408000000.0,11050000000.0,,1377000000.0,,569000000.0,7906000000.0,5040000000.0,1687000000.0,1022000000.0,374000000.0,0.0,1608000000.0,,145000000.0,,569000000.0,,51.3539,4.5632,0.0,1687000000.0,0.7421931735657226,0.038278587213004235,0.20277777777777778,0.3347222222222222,0.06318588711187685,0.8669064748201439,,0.3347222222222222,0.4132171387073348,1.3943891402714932,20437000000.0,1816000000.0,3747000000.0,,3747000000.0,1.0,1.0,0.151854817187083,0.36996782,244.81,164.39,6.55304,372756.53,88.2055,94.4424,6.0948
2015-06-30,53855000000.0,16877000000.0,11258000000.0,,5504000000.0,,,7400000000.0,10515000000.0,3539000000.0,2388000000.0,686000000.0,1.0,1621000000.0,,260000000.0,,0.0,,53.3676,5.2996,1.0,3539000000.0,0.43386627906976744,0.04434128678859901,0.22710413694721826,0.33656680932001903,0.0657134899266549,0.6429869186046512,,0.33656680932001903,0.0,1.4991117427607035,21463000000.0,2126000000.0,4420000000.0,,4420000000.0,1.0,1.0,0.0,0.36996782,244.81,164.39,6.55304,372756.53,88.2055,94.4424,6.0948
