report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2011-10-01,9477000000.0,6350000000.0,3942000000.0,9477000000.0,4948000000.0,3078000000.0,9628000000.0,2463000000.0,-64000000.0,-169000000.0,,99000000.0,-0.57,296100000.0,132000000.0,,167000000.0,,0.0,,,,-0.57,103000000.0,-0.034155214227970895,-0.01783264746227709,-0.01755297050270046,0.25581636892397175,-0.006647278770253427,-0.006753191938377124,-0.012934518997574777,,0.01069796427087661,0.0,1.610857432775241,,,,,,,,,,,1.2787033,33.615,24.43,0.19578,1054.5106,1.7612,1.3964
2011-12-31,9730000000.0,6612000000.0,4074000000.0,9730000000.0,5088000000.0,3451000000.0,13064000000.0,3317000000.0,-142000000.0,-249000000.0,,101000000.0,,,357000000.0,,221000000.0,,0.0,0.2565,,,,79000000.0,-0.04893867924528302,-0.025590955806783146,-0.019060012247397427,0.2539038579301898,-0.010869565217391304,-0.014594039054470709,-0.02790880503144654,,0.006047152480097979,0.0,1.6229749631811488,,,,,,,,,,,1.2787033,33.615,24.43,0.19578,1054.5106,1.7612,1.3964
2012-03-31,9392000000.0,6299000000.0,3754000000.0,9392000000.0,5091000000.0,3065000000.0,3078000000.0,754000000.0,-70000000.0,-86000000.0,,17000000.0,-0.28,302400000.0,-98000000.0,,49000000.0,,0.0,0.2565,,,-0.28,-21000000.0,-0.016892555490080535,-0.009156729131175469,-0.02794022092267706,0.24496426250812214,-0.022742040285899934,-0.007453151618398637,-0.013749754468670203,,-0.00682261208576998,0.0,1.677943526904635,,,,,,,,,,,1.2787033,33.615,24.43,0.19578,1054.5106,1.7612,1.3964
2013-09-30,60788000.0,39912000.0,42667000.0,57104000.0,3684000.0,28679000.0,,,,,,,,,62092000.0,3697000.0,2261000.0,58395000.0,0.0,,,,,,,,,,,,,,,0.0,0.9354301919516254,,,,,,,,,,,1.2787033,33.615,24.43,0.19578,1054.5106,1.7612,1.3964
2013-12-31,167309000.0,119163000.0,56760000.0,104812000.0,62497000.0,100952000.0,,,,8206000.0,,,,,96944000.0,4795000.0,3043000.0,92149000.0,0.0,2.1092,,,,,0.1313023025105205,0.04904697296618831,,,,,,,,0.0,2.099418604651163,,,,,,,,,,,1.2787033,33.615,24.43,0.19578,1054.5106,1.7612,1.3964
2014-03-31,146162000.0,98821000.0,31618000.0,76124000.0,70038000.0,83298000.0,,,,,,,,,-17076000.0,575000.0,775000.0,-17651000.0,0.0,2.1092,,,,,,,,,,,,,,0.0,3.1254665064203935,,,,,,,,,,,1.2787033,33.615,24.43,0.19578,1054.5106,1.7612,1.3964
2014-06-30,172116000.0,123774000.0,40908000.0,87336000.0,84780000.0,104613000.0,,,,,,,,,,1317000.0,1586000.0,,0.0,,,,,,,,,,,,,,,0.0,3.0256673511293632,,,,,,,,,,,1.2787033,33.615,24.43,0.19578,1054.5106,1.7612,1.3964
2014-09-30,200221000.0,154791000.0,54778000.0,100439000.0,99782000.0,134010000.0,,,,,,,,,,1830000.0,2399000.0,,0.0,,2.019,45.4197,,,,,,,,,,,,0.0,2.825787724999087,,,,,,,,,,,1.2787033,33.615,24.43,0.19578,1054.5106,1.7612,1.3964
2014-12-31,233604000.0,178473000.0,67204000.0,116795000.0,116809000.0,149159000.0,,,,,,,,,,-1156000.0,-1554000.0,,0.0,2.6562,2.1453,24.7988,,,,,,,,,,,,0.0,2.655690137491816,,,,,,,,,,,1.2787033,33.615,24.43,0.19578,1054.5106,1.7612,1.3964
2015-03-31,217329000.0,149089000.0,37879000.0,84869000.0,132460000.0,124060000.0,,,,,,,,,,954000.0,780000.0,,0.0,,2.3,24.6358,,,,,,,,,,,,0.0,3.9359275588056706,,,,,,,,,,,1.2787033,33.615,24.43,0.19578,1054.5106,1.7612,1.3964
