report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage
2010-09-30,32706000000.0,3706000000.0,3474000000.0,32706000000.0,10024000000.0,11363000000.0,0.0,691000000.0,,1687000000.0,731000000.0,587000000.0,456000000.0,2.53,1904000000.0,1643000000.0,,261000000.0,11363000000.0,2.53,1687000000.0,0.07292498004788507,0.02235063902647832,,,0.05158074970953342,0.0788796932716136,,,1.1335794094173983,1.0667818077144502,,,,,,,,,
2010-12-31,33054000000.0,3476000000.0,2955000000.0,33054000000.0,10027000000.0,11864000000.0,0.0,611000000.0,,2054000000.0,856000000.0,779000000.0,539000000.0,2.95,2537000000.0,2221000000.0,,316000000.0,11864000000.0,2.95,2054000000.0,0.08536950234367209,0.025897017002480788,,,0.06214073939613965,0.0938285140011877,,,1.183205345566969,1.176311336717428,,,,,,,,,
2011-03-31,32622000000.0,2793000000.0,2639000000.0,32622000000.0,10050000000.0,11868000000.0,79000000.0,172000000.0,,451000000.0,184000000.0,199000000.0,107000000.0,0.62,446000000.0,501000000.0,,-55000000.0,11947000000.0,0.62,451000000.0,0.018308457711442787,0.005640365397584452,,,0.013825026056035803,0.02050279583579579,,,1.1887562189054726,1.0583554376657824,,,,,,,,,
2011-06-30,33120000000.0,3016000000.0,3457000000.0,33120000000.0,10049000000.0,11418000000.0,314000000.0,52000000.0,,879000000.0,360000000.0,388000000.0,208000000.0,1.22,780000000.0,1004000000.0,,-224000000.0,11732000000.0,1.22,879000000.0,0.03582446014528809,0.010869565217391304,,,0.02653985507246377,0.04035627381662917,,,1.1674793511792219,0.8724327451547584,2131000000.0,5071000000.0,298000000.0,5071000000.0,1953000000.0,7.32,7.32,2.3135476237428514,2.5965181771633383
2011-09-30,33677000000.0,3425000000.0,3548000000.0,33677000000.0,10115000000.0,11717000000.0,45000000.0,103000000.0,,1569000000.0,651000000.0,568000000.0,386000000.0,2.2,1304000000.0,1535000000.0,632000000.0,-231000000.0,11762000000.0,2.2,2201000000.0,0.0643598615916955,0.019330700478071085,,,0.046589660599222024,0.07171915710563606,,,1.1628274839347503,0.9653325817361894,2051000000.0,4953000000.0,-194000000.0,5585000000.0,1934000000.0,6.99,6.99,2.1059982094897047,2.561013443640124
2011-12-31,35059000000.0,3483000000.0,4085000000.0,35059000000.0,10025000000.0,11718000000.0,671000000.0,230000000.0,,-1311000000.0,-620000000.0,-395000000.0,-378000000.0,-2.1,-915000000.0,-974000000.0,238000000.0,-1889000000.0,12389000000.0,-2.1,-1073000000.0,-0.061845386533665836,-0.0176844747425768,,,-0.03739410707664223,-0.05849022932096012,,,1.2358104738154614,0.8526315789473684,575000000.0,1588000000.0,-2399000000.0,2458000000.0,760000000.0,1.9399999999999995,1.9399999999999995,5.040276647681042,2.0894736842105264
2012-03-31,35975000000.0,3835000000.0,4762000000.0,35975000000.0,10011000000.0,11742000000.0,1056000000.0,565000000.0,,364000000.0,150000000.0,194000000.0,76000000.0,0.51,356000000.0,562000000.0,200000000.0,-206000000.0,12798000000.0,0.51,564000000.0,0.014983518130056937,0.004169562195969423,,,0.010118137595552468,0.015958612828269544,,,1.278393766856458,0.8053338933221336,541000000.0,1501000000.0,-2550000000.0,2571000000.0,755000000.0,1.8299999999999998,1.8299999999999998,4.977829638273046,1.9880794701986755
2012-06-30,35724000000.0,3387000000.0,3570000000.0,35724000000.0,9900000000.0,12739000000.0,345000000.0,73000000.0,,639000000.0,213000000.0,397000000.0,118000000.0,0.72,751000000.0,1080000000.0,481000000.0,-329000000.0,13084000000.0,0.72,1120000000.0,0.021515151515151515,0.005962378233120591,,,0.017887134699361772,0.02780194918203968,,,1.3216161616161617,0.9487394957983193,394000000.0,1261000000.0,-2655000000.0,2812000000.0,764000000.0,1.33,1.33,4.652916073968705,1.6505235602094241
2012-09-30,36651000000.0,3026000000.0,3736000000.0,36651000000.0,10150000000.0,12664000000.0,0.0,57000000.0,7178000000.0,1019000000.0,368000000.0,560000000.0,193000000.0,,1450000000.0,1695000000.0,678000000.0,-245000000.0,12664000000.0,,1697000000.0,0.03625615763546798,0.010040653733868107,0.051267762607968795,0.14196154917804402,0.02780278846416196,0.04466555623739809,-0.03413207021454444,0.23641682920033436,1.2476847290640394,0.8099571734475375,111000000.0,711000000.0,-2669000000.0,2308000000.0,756000000.0,,,5.487001733102253,0.9404761904761905
