report_date,total_assets,total_liabilities,total_equity,short_term_debt,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,total_debt,bf_current_ratio,bf_pe,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-09-30,18549911000.0,12268291000.0,6281620000.0,83000000.0,3447433000.0,,308221000.0,42796000.0,46790000.0,5.33,790613000.0,83000000.0,,6.4269,5.33,,0.04906711962837612,0.016615767051389087,0.08940594349476842,,,,,0.01321315202129387,,,,,,0.41183093,393.22,244.68,0.43178,13796.601,10.767,1.537,1.14802
2010-12-31,18407971000.0,12124454000.0,6283517000.0,50000000.0,4705807000.0,,610754000.0,55830000.0,-19516000.0,10.7,918475000.0,50000000.0,5.1091,5.6148,10.7,,0.09719938690386291,0.03317877891050567,0.1297873032191928,,,,,0.007957327082905958,,,,,,0.41183093,393.22,244.68,0.43178,13796.601,10.767,1.537,1.14802
2011-03-31,18792434000.0,12878264000.0,5914170000.0,40000000.0,1206445000.0,,-315894000.0,12998000.0,-25776000.0,-5.81,188106000.0,40000000.0,5.1091,5.6148,-5.81,,-0.053413074023912065,-0.01680963732531933,-0.2618387079394419,,,,,0.006763417351885387,,,,,,0.41183093,393.22,244.68,0.43178,13796.601,10.767,1.537,1.14802
2011-06-30,19003917000.0,12851359000.0,6152558000.0,40000000.0,2383236000.0,,-184582000.0,26114000.0,-16263000.0,-3.4,338746000.0,40000000.0,,5.8037,-3.4,,-0.030000854928958005,-0.009712839726673191,-0.07745015600637117,,,,,0.006501360897369842,11742921000.0,418499000.0,137738000.0,6.82,6.82,0.41183093,393.22,244.68,0.43178,13796.601,10.767,1.537,1.14802
2011-09-30,18735588000.0,12643747000.0,6091841000.0,,1024794000.0,,63054000.0,13085000.0,-53666000.0,1.16,207910000.0,0.0,,6.4287,1.16,,0.010350565617191913,0.003365466832426076,0.06152846328140094,,,,,0.0,9320282000.0,173332000.0,108027000.0,2.6499999999999995,2.6499999999999995,0.41183093,393.22,244.68,0.43178,13796.601,10.767,1.537,1.14802
2011-12-31,18893555000.0,12822180000.0,6071375000.0,,79486000.0,,356936000.0,122000.0,-57756000.0,6.559999999999999,-75242000.0,0.0,9.0714,8.5075,6.559999999999999,,0.058789977558625514,0.018891944898670472,4.490551795284704,,,,,0.0,4693961000.0,-80486000.0,52319000.0,-1.490000000000002,-1.490000000000002,0.41183093,393.22,244.68,0.43178,13796.601,10.767,1.537,1.14802
2012-03-31,19165400000.0,12834402000.0,6330998000.0,,1249124000.0,,304704000.0,13178000.0,38117000.0,5.68,165738000.0,0.0,,9.158,5.68,,0.048128904795104975,0.01589865069343713,0.2439341490516554,,,,,0.0,4736640000.0,540112000.0,52499000.0,9.999999999999996,9.999999999999996,0.41183093,393.22,244.68,0.43178,13796.601,10.767,1.537,1.14802
2012-06-30,18903251000.0,12485900000.0,6417351000.0,,1182055000.0,,214551000.0,13244000.0,24851000.0,4.08,138772000.0,0.0,,8.8822,4.08,,0.03343295387769814,0.01134995244997805,0.18150678267931694,,,,,0.0,3535459000.0,939245000.0,39629000.0,17.479999999999997,17.479999999999997,0.41183093,393.22,244.68,0.43178,13796.601,10.767,1.537,1.14802
2012-09-30,19667473000.0,12882101000.0,6785372000.0,,1218981000.0,,250922000.0,13331000.0,68283000.0,4.82,174926000.0,0.0,,6.9033,4.82,,0.03697984428856664,0.012758222675582166,0.2058457022709952,,,,,0.0,3729646000.0,1127113000.0,39875000.0,21.139999999999997,21.139999999999997,0.41183093,393.22,244.68,0.43178,13796.601,10.767,1.537,1.14802
2012-12-31,19777907000.0,13044440000.0,6733467000.0,,1272650000.0,,58777000.0,13930000.0,-20679000.0,1.209999999999999,184478000.0,0.0,2.5741,6.8582,1.209999999999999,,0.0087290841404584,0.0029718513693081884,0.04618473264448199,,,,,0.0,4922810000.0,828954000.0,53683000.0,15.79,15.79,0.41183093,393.22,244.68,0.43178,13796.601,10.767,1.537,1.14802
2013-03-31,19802071000.0,12985205000.0,6816866000.0,,1367673000.0,,384343000.0,13481000.0,85496000.0,7.0,225672000.0,0.0,,8.5505,7.0,,0.05638118748410193,0.019409232498964375,0.28101965893894226,,,,,0.0,5041359000.0,908593000.0,53986000.0,17.11,17.11,0.41183093,393.22,244.68,0.43178,13796.601,10.767,1.537,1.14802
2013-06-30,19559048000.0,12936248000.0,6622800000.0,,2722216000.0,,659985000.0,30843000.0,132309000.0,13.0,395847000.0,0.0,,6.4674,13.0,,0.09965346983149122,0.03374320672458087,0.24244402354552322,,,,,0.0,6581520000.0,1354027000.0,71585000.0,26.03,26.03,0.41183093,393.22,244.68,0.43178,13796.601,10.767,1.537,1.14802
2013-09-30,20027920000.0,13219202000.0,6717450000.0,,4123714000.0,,894744000.0,38480000.0,204336000.0,17.0,,0.0,,7.3069,17.0,,0.13319697206529263,0.044674833931831165,0.21697528005094438,,,,,0.0,9486253000.0,1997849000.0,96734000.0,38.21,38.21,0.41183093,393.22,244.68,0.43178,13796.601,10.767,1.537,1.14802
2013-12-31,19808036000.0,12746382000.0,6968276000.0,,-2572767000.0,,-679690000.0,-36686000.0,-132435000.0,-12.0,,0.0,,5.8846,-12.0,,-0.09754062554353472,-0.03431385120665168,0.2641863798781623,,,,,0.0,5640836000.0,1259382000.0,46118000.0,25.0,25.0,0.41183093,393.22,244.68,0.43178,13796.601,10.767,1.537,1.14802
2014-03-31,20112395000.0,12759716000.0,7037511000.0,,1283816000.0,,293933000.0,7568000.0,53232000.0,6.0,,0.0,,6.0363,6.0,,0.04176661322447667,0.01461452005094371,0.22895259133707635,,,,,0.0,5556979000.0,1168972000.0,40205000.0,24.0,24.0,0.41183093,393.22,244.68,0.43178,13796.601,10.767,1.537,1.14802
2014-06-30,21191644000.0,13492868000.0,7322868000.0,,2736276000.0,,584117000.0,16546000.0,117092000.0,12.0,,0.0,,6.196,12.0,,0.07976615173180782,0.027563552879616135,0.21347152114772047,,,,,0.0,5571039000.0,1093104000.0,25908000.0,23.0,23.0,0.41183093,393.22,244.68,0.43178,13796.601,10.767,1.537,1.14802
2014-09-30,21487213000.0,13700615000.0,7382187000.0,,4272156000.0,,859033000.0,28970000.0,137948000.0,18.0,,0.0,,6.0206,18.0,,0.11636565153388827,0.039978800414925846,0.20107716103999948,,,,,0.0,5719481000.0,1057393000.0,16398000.0,24.0,24.0,0.41183093,393.22,244.68,0.43178,13796.601,10.767,1.537,1.14802
2014-12-31,20817824000.0,12945152000.0,7451120000.0,,-2501659000.0,,-537927000.0,-14551000.0,-120620000.0,-11.0,,0.0,,6.4261,-11.0,,-0.07219411309977561,-0.025839732337058857,0.2150281073479639,,,,,0.0,5790589000.0,1199156000.0,38533000.0,25.0,25.0,0.41183093,393.22,244.68,0.43178,13796.601,10.767,1.537,1.14802
2015-03-31,21267287000.0,12997062000.0,7666630000.0,,1464986000.0,,322978000.0,8990000.0,41167000.0,7.0,,0.0,,6.2923,7.0,,0.04212776669801464,0.015186610309062928,0.2204649054666734,,,,,0.0,5971759000.0,1228201000.0,39955000.0,26.0,26.0,0.41183093,393.22,244.68,0.43178,13796.601,10.767,1.537,1.14802
2015-06-30,21482896000.0,12996505000.0,7726662000.0,,2900772000.0,,532035000.0,18016000.0,77001000.0,11.0,,0.0,,7.0498,11.0,,0.06885703037094155,0.024765515785208848,0.1834115194162106,,,,,0.0,6136255000.0,1176119000.0,41425000.0,25.0,25.0,0.41183093,393.22,244.68,0.43178,13796.601,10.767,1.537,1.14802
2015-09-30,21682311000.0,13443299000.0,7486320000.0,,4275937000.0,,620588000.0,27006000.0,70868000.0,13.0,,0.0,,7.9721,13.0,,0.08289626946216566,0.02862185677532252,0.14513497275567905,,,,,0.0,6140036000.0,937674000.0,39461000.0,20.0,20.0,0.41183093,393.22,244.68,0.43178,13796.601,10.767,1.537,1.14802
2015-12-31,21426175000.0,13060729000.0,7608585000.0,,-2803806000.0,,-497732000.0,-17821000.0,-55015000.0,-9.0,,0.0,,8.0654,-9.0,,-0.06541715706665563,-0.02323009123186943,0.1775201279974435,,,,,0.0,5837889000.0,977869000.0,36191000.0,22.0,22.0,0.41183093,393.22,244.68,0.43178,13796.601,10.767,1.537,1.14802
2016-03-31,20855854000.0,13015555000.0,7840299000.0,,1242046000.0,,171686000.0,9228000.0,5381000.0,4.0,,0.0,,10.1229,4.0,,0.021897889353454505,0.008232029242245366,0.13822837479449232,,,,,0.0,5614949000.0,826577000.0,36429000.0,19.0,19.0,0.41183093,393.22,244.68,0.43178,13796.601,10.767,1.537,1.14802
2016-06-30,21282175000.0,13296707000.0,7985468000.0,,2669930000.0,,327378000.0,18301000.0,35988000.0,7.0,,0.0,,10.0014,7.0,,0.040996720542866114,0.015382732263032326,0.12261669781604762,,,,,0.0,5384107000.0,621920000.0,36714000.0,15.0,15.0,0.41183093,393.22,244.68,0.43178,13796.601,10.767,1.537,1.14802
2016-09-30,21663082000.0,13621990000.0,8041092000.0,,4180386000.0,,622772000.0,27194000.0,61481000.0,14.0,,0.0,,8.1191,14.0,,0.0774486848303688,0.028748079336079695,0.14897475974706642,,,,,0.0,5288556000.0,624104000.0,36902000.0,16.0,16.0,0.41183093,393.22,244.68,0.43178,13796.601,10.767,1.537,1.14802
2016-12-31,21321504000.0,13246108000.0,8075396000.0,,-2298016000.0,,,-18495000.0,650000.0,-2.0,,0.0,,8.8623,-2.0,,,,,,,,,0.0,5794346000.0,,36228000.0,23.0,23.0,0.41183093,393.22,244.68,0.43178,13796.601,10.767,1.537,1.14802
2017-03-31,22192953000.0,13845077000.0,8347876000.0,,1484778000.0,,,8964000.0,46770000.0,7.0,,0.0,,8.5679,7.0,,,,,,,,,0.0,6037078000.0,,35964000.0,26.0,26.0,0.41183093,393.22,244.68,0.43178,13796.601,10.767,1.537,1.14802
2017-06-30,22521891000.0,13937093000.0,8584798000.0,,3015389000.0,,,17023000.0,76629000.0,13.0,,0.0,,8.6667,13.0,,,,,,,,,0.0,6382537000.0,,34686000.0,32.0,32.0,0.41183093,393.22,244.68,0.43178,13796.601,10.767,1.537,1.14802
2017-09-30,23936269000.0,15966938000.0,7969331000.0,,4740860000.0,,,24289000.0,-188064000.0,-2.0,,0.0,,8.6667,-2.0,,,,,,,,,0.0,6943011000.0,,31781000.0,16.0,16.0,0.41183093,393.22,244.68,0.43178,13796.601,10.767,1.537,1.14802
2017-12-31,23591792000.0,15222560000.0,8369232000.0,,-2632956000.0,,,-18673000.0,881000.0,-7.0,1162693000.0,0.0,,5.9993,-7.0,,,,,,,,,0.0,6608071000.0,,31603000.0,11.0,11.0,0.41183093,393.22,244.68,0.43178,13796.601,10.767,1.537,1.14802
2018-03-31,23513196000.0,15169016000.0,8344180000.0,,1745157000.0,,,7418000.0,7325000.0,5.0,195640000.0,0.0,,8.8706,5.0,,,,,,,,,0.0,6868450000.0,,30057000.0,9.0,9.0,0.41183093,393.22,244.68,0.43178,13796.601,10.767,1.537,1.14802
2018-06-30,23885885000.0,15644536000.0,8241349000.0,,3638096000.0,,,15146000.0,-1807000.0,6.0,132648000.0,0.0,,8.5194,6.0,,,,,,,,,0.0,7491157000.0,,28180000.0,2.0,2.0,0.41183093,393.22,244.68,0.43178,13796.601,10.767,1.537,1.14802
2018-09-30,24410857000.0,16081844000.0,8329013000.0,,5582509000.0,,,23047000.0,-9999000.0,11.0,543629000.0,0.0,,8.769,11.0,,,,,,,,,0.0,8332806000.0,,26938000.0,15.0,15.0,0.41183093,393.22,244.68,0.43178,13796.601,10.767,1.537,1.14802
2018-12-31,24793999000.0,16890195000.0,7903804000.0,,-3588556000.0,,,-14580000.0,-325542000.0,-20.0,-261848000.0,0.0,,8.769,-20.0,,,,,,,,,0.0,7377206000.0,,31031000.0,2.0,2.0,0.41183093,393.22,244.68,0.43178,13796.601,10.767,1.537,1.14802
2019-03-31,25630507000.0,17203878000.0,8426629000.0,,1960083000.0,408791000.0,,7631000.0,59891000.0,8.54,459802000.0,0.0,,12.0126,8.54,408791000.0,,,,0.20855800494162746,0.01594939187117914,0.048511807034580495,0.20855800494162746,0.0,7592132000.0,,31244000.0,5.539999999999999,5.539999999999999,0.41183093,393.22,244.68,0.43178,13796.601,10.767,1.537,1.14802
2019-06-30,26387791000.0,17503631000.0,8884160000.0,,3979058000.0,,,16065000.0,99629000.0,16.93,853511000.0,0.0,,10.7219,16.93,,,,,,,,,0.0,7933094000.0,,32163000.0,16.47,16.47,0.41183093,393.22,244.68,0.43178,13796.601,10.767,1.537,1.14802
2019-09-30,27023741000.0,18040483000.0,8983258000.0,,6017083000.0,,,23972000.0,88092000.0,19.38,1486863000.0,0.0,,10.9468,19.38,,,,,,,,,0.0,8367668000.0,,33088000.0,24.849999999999998,24.849999999999998,0.41183093,393.22,244.68,0.43178,13796.601,10.767,1.537,1.14802
2019-12-31,27324051000.0,18191126000.0,9132925000.0,,-3725055000.0,,,,-158086000.0,-20.149999999999995,-948174000.0,0.0,,11.1839,-20.149999999999995,,,,,,,,,0.0,8231169000.0,,,24.7,24.7,0.41183093,393.22,244.68,0.43178,13796.601,10.767,1.537,1.14802
2020-03-31,27222638000.0,18641694000.0,8580944000.0,,1982016000.0,,,7583000.0,-60234000.0,0.41,505989000.0,0.0,,14.4166,0.41,,,,,,,,,0.0,8253102000.0,,,16.570000000000004,16.570000000000004,0.41183093,393.22,244.68,0.43178,13796.601,10.767,1.537,1.14802
2020-06-30,28584793000.0,19298494000.0,9286299000.0,,4226531000.0,,,14836000.0,-14047000.0,5.13,1104586000.0,0.0,,15.5719,5.13,,,,,,,,,0.0,8500575000.0,,,4.770000000000004,4.770000000000004,0.41183093,393.22,244.68,0.43178,13796.601,10.767,1.537,1.14802
2020-09-30,30153027000.0,20561735000.0,9591292000.0,,6836715000.0,,,21477000.0,15404000.0,11.18,2190608000.0,0.0,,11.8169,11.18,,,,,,,,,0.0,9320207000.0,,,-3.429999999999996,-3.429999999999996,0.41183093,393.22,244.68,0.43178,13796.601,10.767,1.537,1.14802
2020-12-31,32788357000.0,23062181000.0,9726176000.0,,-3447148000.0,,,,130075000.0,-3.9399999999999995,-927604000.0,0.0,,18.1944,-3.9399999999999995,,,,,,,,,0.0,9598114000.0,,,12.78,12.78,0.41183093,393.22,244.68,0.43178,13796.601,10.767,1.537,1.14802
2021-03-31,33595352000.0,23912470000.0,9682882000.0,,2743773000.0,,,,31233000.0,8.52,904366000.0,0.0,,14.7238,8.52,,,,,,,,,0.0,10359871000.0,,,20.89,20.89,0.41183093,393.22,244.68,0.43178,13796.601,10.767,1.537,1.14802
