report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,revenue,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,fcf,total_debt,bf_pe,bf_ps,eps,roe,roa,net_margin,fcf_margin,debt_equity,revenue_ttm,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,,,,,,2561600000.0,229800000.0,33400000.0,131400000.0,0.69,,,,0.0,9.0373,1.0043,0.69,,,0.08970955652717053,,,,,,,,,0.19437465,83.205,66.81,2.30637,12145.634,16.4464,1.1663,0.9289
2010-06-30,,,,,,5072200000.0,439500000.0,67500000.0,229800000.0,1.32,,,,0.0,8.4501,0.8976,1.32,,,0.08664879145144119,,,,,,,,,0.19437465,83.205,66.81,2.30637,12145.634,16.4464,1.1663,0.9289
2010-09-30,,,,,,7600100000.0,660300000.0,102700000.0,335500000.0,2.0,,,,0.0,8.4717,0.902,2.0,,,0.08688043578373969,,,,,,,,,0.19437465,83.205,66.81,2.30637,12145.634,16.4464,1.1663,0.9289
2010-12-31,,,,,,-5040700000.0,-443500000.0,-61800000.0,-251500000.0,-1.2999999999999998,,,,0.0,7.803,0.9279,-1.2999999999999998,,,0.0879838117721745,,,10193200000.0,886100000.0,,141800000.0,2.71,2.71,0.19437465,83.205,66.81,2.30637,12145.634,16.4464,1.1663,0.9289
2011-03-31,,,,,,2563100000.0,225400000.0,37900000.0,104800000.0,0.72,,,,0.0,8.3097,0.9815,0.72,,,0.08794038469041396,,,10194700000.0,881700000.0,,146300000.0,2.74,2.74,0.19437465,83.205,66.81,2.30637,12145.634,16.4464,1.1663,0.9289
2011-06-30,58015800000.0,48933000000.0,9082800000.0,,140400000.0,5127600000.0,455200000.0,73000000.0,213000000.0,1.46,615700000.0,,,140400000.0,7.8734,0.942,1.46,0.05011670410005725,0.007846138465728302,0.0887744753880958,,0.015457788347205707,10250100000.0,897400000.0,,151800000.0,2.88,2.88,0.19437465,83.205,66.81,2.30637,12145.634,16.4464,1.1663,0.9289
2011-09-30,60040900000.0,50580800000.0,9460100000.0,2586500000.0,342400000.0,7673200000.0,660800000.0,108100000.0,300700000.0,2.15,788700000.0,,,2928900000.0,6.5083,0.7622,2.15,0.06985127007114089,0.0110058310251845,0.08611791690559349,,0.3096056067060602,10323200000.0,897900000.0,,157200000.0,3.03,3.03,0.19437465,83.205,66.81,2.30637,12145.634,16.4464,1.1663,0.9289
2011-12-31,60179000000.0,51602000000.0,8577000000.0,2570200000.0,312300000.0,-5085900000.0,-1106000000.0,-75700000.0,-596700000.0,-3.55,-210700000.0,,,2882500000.0,175.4568,0.6117,-3.55,-0.12894951614783723,-0.018378504129347446,0.21746396901236753,,0.3360732190742684,10278000000.0,235400000.0,,143300000.0,0.7800000000000002,0.7800000000000002,0.19437465,83.205,66.81,2.30637,12145.634,16.4464,1.1663,0.9289
2012-03-31,59571800000.0,51391900000.0,8179900000.0,2552800000.0,372200000.0,2611300000.0,213900000.0,35500000.0,96100000.0,0.73,329300000.0,,,2925000000.0,268.1401,0.6792,0.73,0.026149463929876892,0.0035906250944238716,0.0819132232987401,,0.35758383354319734,10326200000.0,223900000.0,,140900000.0,0.7899999999999998,0.7899999999999998,0.19437465,83.205,66.81,2.30637,12145.634,16.4464,1.1663,0.9289
2012-06-30,60678700000.0,52292800000.0,8385900000.0,2540300000.0,467100000.0,5229200000.0,430300000.0,70700000.0,176100000.0,1.5,679100000.0,,,3007400000.0,369.3173,0.5328,1.5,0.0513123218736212,0.007091450541952943,0.08228792167061884,,0.35862578852597815,10427800000.0,199000000.0,,138600000.0,0.8299999999999998,0.8299999999999998,0.19437465,83.205,66.81,2.30637,12145.634,16.4464,1.1663,0.9289
2012-09-30,62119600000.0,53446300000.0,8673300000.0,2781500000.0,458300000.0,7857200000.0,660500000.0,107300000.0,266300000.0,2.32,953800000.0,,,3239800000.0,126.387,0.5211,2.32,0.0761532519340966,0.010632714956310086,0.08406302499618185,,0.3735371773142864,10611800000.0,198700000.0,,137800000.0,0.9999999999999998,0.9999999999999998,0.19437465,83.205,66.81,2.30637,12145.634,16.4464,1.1663,0.9289
2012-12-31,62236100000.0,53623500000.0,8612600000.0,2755400000.0,455800000.0,-5182300000.0,-410300000.0,-68100000.0,-183400000.0,-1.38,-582600000.0,,,3211200000.0,6.4043,0.5447,-1.38,-0.047639504911408864,-0.006592636749410712,0.07917334002276981,,0.37284908157815294,10515400000.0,894400000.0,,145400000.0,3.17,3.17,0.19437465,83.205,66.81,2.30637,12145.634,16.4464,1.1663,0.9289
2013-03-31,61611400000.0,53053600000.0,8557800000.0,2673900000.0,236300000.0,2624800000.0,212600000.0,37100000.0,91200000.0,0.79,265100000.0,,,2910200000.0,8.4005,0.7125,0.79,0.02484283343850055,0.0034506601051104177,0.08099664736360866,,0.34006403514922057,10528900000.0,893100000.0,,147000000.0,3.23,3.23,0.19437465,83.205,66.81,2.30637,12145.634,16.4464,1.1663,0.9289
2013-06-30,59366200000.0,50985600000.0,8380600000.0,,153600000.0,5226700000.0,431200000.0,74400000.0,184100000.0,1.0,448300000.0,,,153600000.0,8.7551,0.7455,1.0,0.05145216332959454,0.007263392300669405,0.08249947385539633,,0.01832804333818581,10526400000.0,894000000.0,,150700000.0,2.73,2.73,0.19437465,83.205,66.81,2.30637,12145.634,16.4464,1.1663,0.9289
2013-09-30,59585800000.0,50915900000.0,8669900000.0,,140500000.0,7767600000.0,636900000.0,111800000.0,262500000.0,2.0,709500000.0,,,140500000.0,9.2144,0.7696,2.0,0.07346105491412819,0.010688788268345814,0.08199443843658273,,0.016205492566234905,10436800000.0,870400000.0,,155200000.0,2.41,2.41,0.19437465,83.205,66.81,2.30637,12145.634,16.4464,1.1663,0.9289
2013-12-31,59403600000.0,50744500000.0,8659100000.0,2612000000.0,76500000.0,-5265300000.0,-422600000.0,-73900000.0,-190700000.0,-0.56,-391400000.0,105500000.0,-496900000.0,2688500000.0,10.6291,0.8808,-0.56,-0.04880414823711471,-0.0071140469601168954,0.08026133363720965,0.09437259035572522,0.31048261366654734,10353800000.0,858100000.0,,149400000.0,3.23,3.23,0.19437465,83.205,66.81,2.30637,12145.634,16.4464,1.1663,0.9289
2014-03-31,61078600000.0,52122900000.0,8955700000.0,,61600000.0,2611100000.0,228900000.0,37900000.0,97600000.0,0.0,346700000.0,,,61600000.0,10.4638,0.8814,0.0,0.02555914110566455,0.0037476301028510806,0.087664202826395,,0.006878300970331744,10340100000.0,874400000.0,,150200000.0,2.44,2.44,0.19437465,83.205,66.81,2.30637,12145.634,16.4464,1.1663,0.9289
2014-06-30,62218100000.0,52974400000.0,9243700000.0,,57400000.0,5264600000.0,471400000.0,90600000.0,201600000.0,1.0,725800000.0,,,57400000.0,9.9281,0.8518,1.0,0.05099689518266495,0.007576573376557626,0.08954146563841507,,0.006209634670099636,10378000000.0,914600000.0,,166400000.0,2.44,2.44,0.19437465,83.205,66.81,2.30637,12145.634,16.4464,1.1663,0.9289
2014-09-30,61960600000.0,52716600000.0,9244000000.0,,70200000.0,7874000000.0,692500000.0,129000000.0,292600000.0,2.0,944000000.0,,,70200000.0,9.6734,0.8365,2.0,0.07491345737775855,0.011176457297056517,0.0879476758953518,,0.007594115101687581,10484400000.0,970200000.0,,183600000.0,2.44,2.44,0.19437465,83.205,66.81,2.30637,12145.634,16.4464,1.1663,0.9289
2014-12-31,62497100000.0,53944700000.0,8552400000.0,,151900000.0,-5240000000.0,-979400000.0,-90000000.0,-478000000.0,-2.0,-792900000.0,114500000.0,-907400000.0,151900000.0,21.8963,0.8355,-2.0,-0.11451756232168749,-0.01567112714029931,0.1869083969465649,0.1731679389312977,0.017761096300453673,10509700000.0,413400000.0,,167500000.0,1.0,1.0,0.19437465,83.205,66.81,2.30637,12145.634,16.4464,1.1663,0.9289
2015-03-31,63014500000.0,54326600000.0,8687900000.0,,151900000.0,2647400000.0,212900000.0,37800000.0,90100000.0,0.0,400100000.0,31400000.0,368700000.0,151900000.0,21.6213,0.7957,0.0,0.024505346516419387,0.0033785874679637226,0.08041852383470575,0.13926871647654301,0.017484087063617215,10546000000.0,397400000.0,,167400000.0,1.0,1.0,0.19437465,83.205,66.81,2.30637,12145.634,16.4464,1.1663,0.9289
