report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage
2011-09-30,9916463000.0,4379088000.0,2380840000.0,9916463000.0,5054930000.0,1224987000.0,1582859000.0,,1358485000.0,800017000.0,56471000.0,465730000.0,5.63,142092000.0,1089203000.0,242730000.0,106380000.0,846473000.0,1224987000.0,,0.4344,6.7605,5.63,1464865000.0,0.1582647039622705,0.08067564009465875,,,0.1369928975684173,0.21632212655039867,,,0.24233510651977377,1.8393037751381864,,,,,,,,,
2011-12-31,10314621000.0,4659124000.0,2629061000.0,10314621000.0,5204010000.0,1214742000.0,1578904000.0,,1731548000.0,1023397000.0,78323000.0,581991000.0,6.42,159294000.0,1338391000.0,334904000.0,,1003487000.0,1214742000.0,2.0735,0.3421,5.1603,6.42,1731548000.0,0.196655463767364,0.09921809051442608,,,0.1678731579182599,0.2697639665779267,,,0.2334242247805058,1.7721627607727626,,,,,,,,,
2012-03-31,9785750000.0,4127601000.0,2118381000.0,9785750000.0,5164313000.0,1285761000.0,1659550000.0,,419564000.0,241696000.0,33315000.0,140406000.0,1.16,209138000.0,253905000.0,55060000.0,56102000.0,198845000.0,1285761000.0,,0.3723,5.692,1.16,475666000.0,0.04680119117489587,0.024698771172367986,,,0.042874996806580995,0.06504793588414645,,,0.24897038579962136,1.9484696095744816,,,,,,,,,
2012-06-30,9382532000.0,3705692000.0,1561685000.0,9382532000.0,5329461000.0,1295163000.0,1372198000.0,,1232701000.0,735195000.0,60257000.0,426124000.0,3.54,207938000.0,429503000.0,116012000.0,113050000.0,313491000.0,1295163000.0,,0.3712,4.9812,3.54,1345751000.0,0.13794922225718512,0.0783578462615422,,,0.13138255217248393,0.18607863631203825,,,0.24301950985287255,2.372880574507663,2800305000.0,4742298000.0,2362296000.0,5017830000.0,228366000.0,16.75,16.75,0.258112171994667,20.766217387877354
2012-09-30,10345936000.0,4631921000.0,2077160000.0,10345936000.0,5764276000.0,1346227000.0,2057408000.0,,2211005000.0,1335568000.0,81360000.0,775746000.0,6.44,207546000.0,1171788000.0,178235000.0,178162000.0,993553000.0,1346227000.0,,0.4239,5.4146,6.44,2389167000.0,0.23169744127449832,0.12909107498828526,,,0.2137075852779294,0.310949169137542,,,0.23354658937219522,2.2299298080070864,3335856000.0,5594818000.0,2509376000.0,5942132000.0,253255000.0,17.560000000000002,17.560000000000002,0.22655622594718527,22.091638862016545
2012-12-31,10328997000.0,4470265000.0,1654444000.0,10328997000.0,6052954000.0,1336238000.0,1757699000.0,,-979124000.0,-585287000.0,-70746000.0,-314314000.0,-2.76,-418438000.0,-192509000.0,-58973000.0,-104446000.0,-251482000.0,1336238000.0,2.7025,0.4707,5.475,-2.76,-1083570000.0,-0.096694440433547,-0.056664456384293654,,,-0.09479371520777864,-0.13250758675644103,,,0.22075799683922925,2.7019741979782936,1727172000.0,2884146000.0,1254407000.0,3127014000.0,104186000.0,8.379999999999999,8.379999999999999,0.42732076031639127,27.682663697617723
2013-03-31,10696172000.0,4763310000.0,1766954000.0,10696172000.0,6285793000.0,1283245000.0,1872442000.0,,549195000.0,333669000.0,21320000.0,186094000.0,1.63,204217000.0,248563000.0,66951000.0,71762000.0,181612000.0,1283245000.0,,0.5259,5.7426,1.63,620957000.0,0.05308303980102431,0.031195178985528656,,,0.05134500454929109,0.07255809787188279,,,0.2041500571208756,2.695774762670675,1819145000.0,3013777000.0,1237174000.0,3272305000.0,92191000.0,8.850000000000001,8.850000000000001,0.3921532375496783,32.690577171307396
2013-12-31,10056739000.0,3896444000.0,1674490000.0,10056739000.0,5999620000.0,997519000.0,940103000.0,,1246074000.0,735842000.0,68050000.0,391576000.0,3.64,201234000.0,869174000.0,373271000.0,303446000.0,495903000.0,997519000.0,2.3274,0.4905,13.4385,3.64,1549520000.0,0.1226481010463996,0.07316904614905488,,,0.12390437894430789,0.17808335664047834,,,0.16626369670079105,2.3269437261494543,1819792000.0,3027150000.0,1419586000.0,3476074000.0,99984000.0,8.950000000000001,8.950000000000001,0.2869671359125266,30.276344215074413
2019-03-31,12123430000.0,3321338000.0,1669285000.0,12123430000.0,6064040000.0,2430934000.0,496139000.0,3897247000.0,389341000.0,253055000.0,36647000.0,87505000.0,1.47,172239000.0,216816000.0,53017000.0,121421000.0,163799000.0,2430934000.0,,0.4798,7.7451,1.47,510762000.0,0.04173043053805714,0.020873218222895666,0.06493173257943363,0.09990154588610883,0.032114756302465554,0.045831923676282,0.04202941204393768,0.1310571282754211,0.40087697310703757,1.9896770174056557,737279000.0,1205486000.0,589832000.0,1597669000.0,55271000.0,3.9800000000000004,3.9800000000000004,1.5215504588247002,21.8104611821751
2021-03-31,11934817000.0,3700276000.0,1757308000.0,11934817000.0,5259187000.0,3126091000.0,1193428000.0,3504293000.0,138062000.0,148217000.0,38386000.0,-28307000.0,0.9,162479000.0,62326000.0,116743000.0,124079000.0,-54417000.0,3126091000.0,,0.5148,39.2118,0.9,262141000.0,0.028182492845377053,0.012418874960546106,0.04229583542243756,0.03939796130061042,0.011568003095481063,0.016464808918678665,-0.015528667266121869,0.07480567406892061,0.5944057513071888,2.1056502331975953,1470783000.0,2322672000.0,786897000.0,2943380000.0,164403000.0,7.64,7.64,1.06207523323526,14.127917373770552
