report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_pe,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,2338700000000.0,2108877000000.0,229823000000.0,511653000000.0,85406000000.0,144794000000.0,31969000000.0,,3182000000.0,6130000000.0,1207000000.0,0.28,10005254000.0,23876000000.0,,597059000000.0,34.3646,0.28,,0.013845437575873608,0.0013605849403514772,0.09953392348837936,,,,,2.5979079552525204,,,,,,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2010-06-30,2363878000000.0,2130704000000.0,233174000000.0,490083000000.0,73358000000.0,151034000000.0,61122000000.0,,6305000000.0,12361000000.0,1879000000.0,0.55,10020926000.0,39351000000.0,,563441000000.0,28.2139,0.55,,0.02703989295547531,0.002667227327298617,0.10315434704361769,,,,,2.4163971969430555,,,,,,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2010-09-30,2339660000000.0,2109165000000.0,230495000000.0,478858000000.0,64818000000.0,131116000000.0,87822000000.0,,-994000000.0,18123000000.0,3266000000.0,-0.21,9706951000.0,77383000000.0,,543676000000.0,28.2139,-0.21,,-0.00431245797088874,-0.00042484805484557586,-0.011318348477602424,,,,,2.3587322935421593,,,,,,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2010-12-31,2264909000000.0,2036661000000.0,228248000000.0,448431000000.0,59962000000.0,108427000000.0,-70693000000.0,,-10731000000.0,-12640000000.0,-5437000000.0,-0.9900000000000001,-19942659000.0,-58016000000.0,,508393000000.0,,-0.9900000000000001,,-0.047014650730784056,-0.004737938698640872,0.15179720764432122,,,,,2.227371105113736,110220000000.0,-2238000000.0,23974000000.0,-0.37,-0.37,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2011-03-31,,,,,,,26877000000.0,,2049000000.0,5743000000.0,731000000.0,0.17,10181351000.0,-576000000.0,,0.0,,0.17,,,,0.07623618707445028,,,,,,105128000000.0,-3371000000.0,23587000000.0,-0.48,-0.48,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2011-06-30,,,,,,,40113000000.0,,-6777000000.0,11545000000.0,-3318000000.0,-0.73,10085479000.0,51203000000.0,,0.0,,-0.73,,,,-0.16894772268341934,,,,,,84119000000.0,-16453000000.0,22771000000.0,-1.76,-1.76,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2011-09-30,2219628000000.0,1989376000000.0,230252000000.0,398965000000.0,33869000000.0,82865000000.0,68566000000.0,,-545000000.0,16908000000.0,-2117000000.0,-0.15,10095859000.0,39845000000.0,,432834000000.0,,-0.15,,-0.002366971839549711,-0.00024553663947292066,-0.007948545926552518,,,,,1.8798273196324027,64863000000.0,-16004000000.0,21556000000.0,-1.7,-1.7,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2011-12-31,2129046000000.0,1898945000000.0,230101000000.0,372265000000.0,35698000000.0,120102000000.0,-42102000000.0,-230000000.0,6719000000.0,-12576000000.0,3028000000.0,0.72,-20107865000.0,-25982000000.0,,407963000000.0,41.184,0.72,-230000000.0,0.029200220772617243,0.003155873569664535,-0.15958861811790415,0.0054629233765616835,-0.00010802960574830229,-0.00036046540785877277,0.0054629233765616835,1.7729736072420372,93454000000.0,1446000000.0,21620000000.0,0.010000000000000009,0.010000000000000009,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2012-03-31,2181449000000.0,1948950000000.0,232499000000.0,354912000000.0,39254000000.0,128792000000.0,22278000000.0,,653000000.0,4615000000.0,66000000.0,0.03,10761917000.0,-15603000000.0,,394166000000.0,2105.02,0.03,,0.0028086142305988413,0.00029934231788137153,0.029311428314929527,,,,,1.6953449262147364,88855000000.0,50000000.0,20492000000.0,-0.13,-0.13,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2012-06-30,2160854000000.0,1924879000000.0,235975000000.0,301848000000.0,39019000000.0,123717000000.0,44246000000.0,,3116000000.0,9059000000.0,750000000.0,0.22,11509945000.0,2753000000.0,,340867000000.0,7.7378,0.22,,0.01320478864286471,0.001442022459638643,0.07042444514758396,,,,,1.4445047144824663,92988000000.0,9943000000.0,18006000000.0,0.82,0.82,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2012-09-30,2166162000000.0,1927556000000.0,238606000000.0,286534000000.0,35291000000.0,106415000000.0,64674000000.0,,3456000000.0,13097000000.0,1520000000.0,0.22,10826503000.0,12051000000.0,,321825000000.0,17.9111,0.22,,0.014484128647225971,0.0015954485398598996,0.05343723907598107,,,,,1.3487716151312206,89096000000.0,13944000000.0,14195000000.0,1.19,1.19,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2012-12-31,2209974000000.0,1973018000000.0,236956000000.0,275585000000.0,30731000000.0,110752000000.0,-47864000000.0,3072000000.0,-3037000000.0,-10027000000.0,-3452000000.0,-0.21999999999999997,-22257511000.0,-13059000000.0,,306316000000.0,30.1177,-0.21999999999999997,3072000000.0,-0.01281672546801938,-0.0013742243121412287,0.06345061006184188,-0.06418184857095102,0.0013900616025346905,0.005654626043676096,-0.06418184857095102,1.2927125711102483,83334000000.0,4188000000.0,16744000000.0,0.25000000000000006,0.25000000000000006,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2013-03-31,2174819000000.0,1937526000000.0,237293000000.0,279641000000.0,42148000000.0,100980000000.0,23197000000.0,,1483000000.0,3437000000.0,501000000.0,0.1,11154778000.0,26468000000.0,,321789000000.0,26.3998,0.1,,0.00624965759630499,0.0006818958267331672,0.06393068069146872,,,,,1.3560829860130725,84253000000.0,5018000000.0,15566000000.0,0.32000000000000006,0.32000000000000006,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2013-06-30,2123320000000.0,1892288000000.0,231032000000.0,262480000000.0,46470000000.0,98828000000.0,45924000000.0,,5495000000.0,6713000000.0,1987000000.0,0.42,11549693000.0,72596000000.0,,308950000000.0,21.3055,0.42,,0.02378458395373801,0.002587928338639489,0.1196542113056354,,,,,1.3372606392188096,85931000000.0,7397000000.0,13220000000.0,0.52,0.52,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2013-09-30,2126653000000.0,1894371000000.0,232282000000.0,255331000000.0,40769000000.0,121233000000.0,67454000000.0,,7992000000.0,9829000000.0,4335000000.0,0.0,11523649000.0,80823000000.0,,296100000000.0,17.0119,0.0,,0.034406454223745275,0.0037580178806791704,0.1184807424318795,,,,,1.274743630586959,88711000000.0,11933000000.0,9952000000.0,0.3000000000000001,0.3000000000000001,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2013-12-31,2102273000000.0,1869588000000.0,232685000000.0,249674000000.0,45999000000.0,131322000000.0,-47633000000.0,16172000000.0,-3539000000.0,-7224000000.0,-2082000000.0,0.38,-22736702000.0,-87070000000.0,,295673000000.0,14.5134,0.38,16172000000.0,-0.015209403270515934,-0.0016834159978271139,0.07429723091134298,-0.33951252283081057,0.007692626029064732,0.03060803470374254,-0.33951252283081057,1.2707007327502846,88942000000.0,11431000000.0,12755000000.0,0.9,0.9,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2014-03-31,2149851000000.0,1917963000000.0,231888000000.0,254785000000.0,51409000000.0,151645000000.0,22566000000.0,,-276000000.0,2850000000.0,-405000000.0,0.0,10560518000.0,22723000000.0,,306194000000.0,18.8297,0.0,,-0.0011902297660939763,-0.00012838099012443187,-0.012230789683594789,,,,,1.3204391775339819,88311000000.0,9672000000.0,12168000000.0,0.8,0.8,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2014-06-30,2170557000000.0,1933146000000.0,237411000000.0,257071000000.0,45873000000.0,152899000000.0,44313000000.0,,2015000000.0,5778000000.0,99000000.0,0.0,10599641000.0,,,302944000000.0,20.4636,0.0,,0.008487391064440991,0.0009283331421381701,0.045471983390878525,,,,,1.2760318603603034,86700000000.0,6192000000.0,11233000000.0,0.38000000000000006,0.38000000000000006,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2014-09-30,2123613000000.0,1884932000000.0,238681000000.0,250115000000.0,,128659000000.0,65522000000.0,,1783000000.0,8417000000.0,762000000.0,0.0,10587841000.0,,,250115000000.0,34.5287,0.0,,0.0074702217604250025,0.0008396068398526474,0.027212234058789413,,,,,1.047904944256141,84768000000.0,-17000000.0,9821000000.0,0.38000000000000006,0.38000000000000006,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2014-12-31,2104534000000.0,1861063000000.0,243471000000.0,243139000000.0,,138589000000.0,-48154000000.0,,1311000000.0,-6111000000.0,1566000000.0,0.0,-21163465000.0,,,243139000000.0,34.267,0.0,,0.0053846248629200195,0.0006229407555306781,-0.027225152635295093,,,,,0.998636387906568,84247000000.0,4833000000.0,10934000000.0,0.0,0.0,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2015-03-31,2143545000000.0,1893357000000.0,250188000000.0,237858000000.0,,162543000000.0,21202000000.0,,3357000000.0,2512000000.0,1385000000.0,0.0,11266511000.0,,,237858000000.0,18.3212,0.0,,0.013417909731881625,0.0015660972827722301,0.15833411942269598,,,,,0.9507170607703007,82883000000.0,8466000000.0,10596000000.0,0.0,0.0,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2015-06-30,2149034000000.0,1897375000000.0,251659000000.0,243414000000.0,,163514000000.0,43319000000.0,,8677000000.0,5156000000.0,3584000000.0,0.0,11252417000.0,,,243414000000.0,15.7156,0.0,,0.03447919605497916,0.004037628069169683,0.2003047161753503,,,,,0.9672374125304479,81889000000.0,15128000000.0,9974000000.0,0.0,0.0,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2015-09-30,2153006000000.0,1897101000000.0,255905000000.0,237288000000.0,,170426000000.0,64001000000.0,,13185000000.0,7652000000.0,5145000000.0,1.0,11234125000.0,,,237288000000.0,10.0358,1.0,,0.051523026122975324,0.006123995938701518,0.20601240605615537,,,,,0.9272503468083859,80368000000.0,26530000000.0,9209000000.0,1.0,1.0,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2015-12-31,2144316000000.0,1888111000000.0,256205000000.0,236764000000.0,,159353000000.0,-46015000000.0,,-9331000000.0,-4771000000.0,-3848000000.0,0.0,-22539061000.0,,,236764000000.0,11.0785,0.0,,-0.03642005425342987,-0.004351504162632747,0.20278170161903727,,,,,0.9241193575457154,82507000000.0,15888000000.0,10549000000.0,1.0,1.0,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2016-03-31,2185498000000.0,1922722000000.0,262776000000.0,232849000000.0,,179610000000.0,19512000000.0,,2680000000.0,2524000000.0,1019000000.0,0.0,11100067000.0,,,232849000000.0,8.6252,0.0,,0.010198800499284563,0.001226265134994404,0.13735137351373514,,,,,0.886112125917131,80817000000.0,15211000000.0,10561000000.0,1.0,1.0,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2016-06-30,2186609000000.0,1919540000000.0,267069000000.0,229617000000.0,,171207000000.0,39910000000.0,,6912000000.0,4979000000.0,2716000000.0,0.0,11079939000.0,,,229617000000.0,8.4646,0.0,,0.025880952113498758,0.003161058973049137,0.17318967677273867,,,,,0.8597665771766847,77408000000.0,13446000000.0,10384000000.0,1.0,1.0,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2016-09-30,2195314000000.0,1925231000000.0,270083000000.0,225136000000.0,,143434000000.0,63711000000.0,,13210000000.0,7388000000.0,5888000000.0,1.0,11046807000.0,,,225136000000.0,9.705,1.0,,0.04891089035592762,0.006017362436535275,0.20734253111707554,,,,,0.833580788128094,77118000000.0,13471000000.0,10120000000.0,1.0,1.0,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2016-12-31,2187702000000.0,1920862000000.0,266840000000.0,216823000000.0,,147738000000.0,-39432000000.0,,-4896000000.0,-4930000000.0,-2376000000.0,0.0,-22191156000.0,,,216823000000.0,12.7676,0.0,,-0.01834807375206116,-0.0022379647685105194,0.1241631162507608,,,,,0.8125580872432918,83701000000.0,17906000000.0,9961000000.0,1.0,1.0,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2017-03-31,2247701000000.0,1979548000000.0,268153000000.0,221385000000.0,,168025000000.0,22248000000.0,,4856000000.0,2652000000.0,1709000000.0,0.0,10914815000.0,,,221385000000.0,12.0514,0.0,,0.018109064601179177,0.002160429701281443,0.21826681049982022,,,,,0.825592105999187,86437000000.0,20082000000.0,10089000000.0,1.0,1.0,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2017-06-30,2254529000000.0,1983542000000.0,270987000000.0,223923000000.0,,158704000000.0,45077000000.0,,10125000000.0,5812000000.0,4817000000.0,0.0,10868431000.0,,,223923000000.0,12.1191,0.0,,0.03736341595722304,0.004490960196120786,0.22461565765246133,,,,,0.8263237719890623,91604000000.0,23295000000.0,10922000000.0,1.0,1.0,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2017-09-30,2283896000000.0,2011437000000.0,272459000000.0,228666000000.0,,172381000000.0,66916000000.0,,15712000000.0,9308000000.0,7096000000.0,1.0,10820425000.0,,,228666000000.0,13.2524,1.0,,0.057667392158086174,0.006879472620469584,0.23480184111423277,,,,,0.8392675595227171,94809000000.0,25797000000.0,12842000000.0,1.0,1.0,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2017-12-31,2281234000000.0,2014088000000.0,267146000000.0,227402000000.0,,157434000000.0,-46889000000.0,,-12461000000.0,-4860000000.0,-2641000000.0,0.0,-21825243000.0,,,227402000000.0,16.9309,0.0,,-0.046644905781857114,-0.005462394475972215,0.2657552944187336,,,,,0.8512274187148601,87352000000.0,18232000000.0,12912000000.0,1.0,1.0,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2018-03-31,2328478000000.0,2062254000000.0,266224000000.0,232256000000.0,,204241000000.0,23125000000.0,,6918000000.0,3991000000.0,1476000000.0,0.0,10472700000.0,40354000000.0,,232256000000.0,15.2082,0.0,,0.025985636156018992,0.002971039451521552,0.29915675675675674,,,,,0.8724081976080293,88229000000.0,20294000000.0,14251000000.0,1.0,1.0,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2018-06-30,2291670000000.0,2027454000000.0,264216000000.0,226595000000.0,,171199000000.0,45734000000.0,,13702000000.0,8710000000.0,3190000000.0,1.0,10389900000.0,33836000000.0,,226595000000.0,13.3933,1.0,,0.051859084991067915,0.005979045848660584,0.29960204661739626,,,,,0.8576127108123657,88886000000.0,23871000000.0,17149000000.0,2.0,2.0,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2018-09-30,2338833000000.0,2076675000000.0,262158000000.0,234100000000.0,,184858000000.0,68511000000.0,,20869000000.0,13805000000.0,5017000000.0,1.0,10317900000.0,53442000000.0,,234100000000.0,12.6273,1.0,,0.07960466588850998,0.00892282604187644,0.30460801915020946,,,,,0.8929729399827585,90481000000.0,29028000000.0,21646000000.0,2.0,2.0,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
