report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,cash,shares_outstanding,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2011-03-31,704478000.0,539373000.0,58880000.0,423240000.0,281238000.0,22485000.0,,11299000.0,-33867000.0,-36034000.0,2585000.0,148000.0,,,-14870000.0,3765000.0,3856000.0,-18635000.0,0.0,,7.8574,,,-30011000.0,-0.12812635561339505,-0.05114992945131005,-3.1891317815735905,-2.9973448977785644,-0.048073893010143684,-0.12042113796855332,-1.649260996548367,-2.6560757589167183,0.0,9.160546875,,,,,,,,,,,1.1798584,78.808,6.48,0.95368,2208.6892,9.5739,39.9893
2011-06-30,670854000.0,389095000.0,61274000.0,419578000.0,251276000.0,11626000.0,,28630000.0,-68131000.0,-72415000.0,5155000.0,208000.0,,,-49658000.0,6845000.0,7649000.0,-56503000.0,0.0,,7.4183,,,-60482000.0,-0.2881890829207724,-0.10794450059178301,-2.5293398533007334,-2.3797066014669928,-0.10155861036827685,-0.2711401009248794,-1.9735592036325533,-2.112539294446385,0.0,6.350083232692496,,,,,,,,,,,1.1798584,78.808,6.48,0.95368,2208.6892,9.5739,39.9893
2011-09-30,648093000.0,297620000.0,279042000.0,417296000.0,230797000.0,43008000.0,,55698000.0,-89469000.0,-96483000.0,7698000.0,300000.0,,,-71528000.0,8294000.0,11424000.0,-79822000.0,0.0,,5.4944,,,-78045000.0,-0.41804269552897133,-0.1488721526077276,-1.7322525045782613,-1.6063233868361522,-0.1380496317658114,-0.38765235250024915,-1.4331214765341664,-1.4012172788969084,0.0,1.0665777911568868,,,,,,,,,,,1.1798584,78.808,6.48,0.95368,2208.6892,9.5739,39.9893
2011-12-31,606550000.0,276706000.0,275532000.0,408739000.0,197811000.0,15312000.0,,-24147000.0,67530000.0,70954000.0,-5215000.0,362000.0,-1.19,,22314000.0,-9182000.0,-7978000.0,13132000.0,0.0,1.0044,9.2181,,-1.19,59552000.0,0.35869592692014096,0.11697963894155469,-2.938418851203048,-2.7966206982233817,0.11133459731267002,0.3413864749685306,-0.5438356731685096,-2.466227688739802,0.0,1.0042608481047572,71480000.0,-133978000.0,-123937000.0,-141828000.0,-108986000.0,10223000.0,,,-0.0,-12.123349310378558,1.1798584,78.808,6.48,0.95368,2208.6892,9.5739,39.9893
2012-03-31,694789000.0,420654000.0,270753000.0,532302000.0,162487000.0,148485000.0,,17949000.0,-37932000.0,-41097000.0,4333000.0,124000.0,-0.36,,-34618000.0,1516000.0,3480000.0,-36134000.0,0.0,,11.4091,,-0.36,-34452000.0,-0.2529248493725652,-0.059150331971289126,-2.2896540197225472,-2.113321076383085,-0.0545949921486955,-0.23344636801713367,-2.01314836481141,-1.9194384088250043,0.0,1.5536448349602774,78130000.0,-139041000.0,-128002000.0,-159327000.0,-113427000.0,11971000.0,,,-0.0,-10.692673962075014,1.1798584,78.808,6.48,0.95368,2208.6892,9.5739,39.9893
2012-06-30,668443000.0,468291000.0,276861000.0,536159000.0,132284000.0,136154000.0,,41633000.0,-64920000.0,-75382000.0,12264000.0,217000.0,-0.66,,-55209000.0,3172000.0,6952000.0,-58381000.0,0.0,,11.1085,,-0.66,-57968000.0,-0.5698497172749539,-0.11277251762678343,-1.8106309898397905,-1.559339946676915,-0.09712122050795655,-0.49076229929545523,-1.4022770398481974,-1.3923570244757764,0.0,1.6914299955573375,91133000.0,-142008000.0,-124791000.0,-161205000.0,-110913000.0,19080000.0,,,-0.0,-6.540408805031446,1.1798584,78.808,6.48,0.95368,2208.6892,9.5739,39.9893
2012-09-30,541452000.0,346945000.0,69470000.0,446120000.0,95332000.0,10338000.0,,60045000.0,-97820000.0,-118929000.0,23448000.0,439000.0,-1.04,,-82380000.0,5744000.0,10595000.0,-88124000.0,0.0,,16.1904,,-1.04,-87225000.0,-1.2475244409012713,-0.21964827907182907,-1.9806645016237823,-1.6291114997085518,-0.18066236711656805,-1.026098267108631,-1.4676326088766758,-1.452660504621534,0.0,4.994170145386498,95480000.0,-164454000.0,-133142000.0,-169507000.0,-120093000.0,34830000.0,-3.25,-3.25,-0.0,-3.822624174562159,1.1798584,78.808,6.48,0.95368,2208.6892,9.5739,39.9893
2012-12-31,497790000.0,314631000.0,78537000.0,450772000.0,47018000.0,25437000.0,,-38436000.0,59471000.0,63553000.0,-24556000.0,-374000.0,0.56,,42451000.0,151000.0,-6519000.0,42300000.0,0.0,4.0076,10.5228,,0.56,52952000.0,1.3516738270449615,0.12767030273810243,-1.653475908002914,-1.5472733895306483,0.11947005765483437,1.2648560125909227,-1.1005307524196066,-1.3776667707357686,0.0,4.006149967531227,81191000.0,-171855000.0,-141201000.0,-140339000.0,-126693000.0,15489000.0,-1.5,-1.5,-0.0,-9.116211504938988,1.1798584,78.808,6.48,0.95368,2208.6892,9.5739,39.9893
2013-03-31,447901000.0,267036000.0,83221000.0,450521000.0,-2620000.0,28531000.0,,23004000.0,-45404000.0,-55063000.0,4645000.0,212000.0,-0.48,,-38111000.0,316000.0,3628000.0,-38427000.0,0.0,,14.4312,,-0.48,-41776000.0,21.01641221374046,-0.12293564872594613,-2.393627195270388,-1.9737436967483917,-0.10137061538152405,17.329770992366413,-1.6704486176317161,-1.8160319944357504,-0.0,3.2087574049819154,86246000.0,-185821000.0,-148673000.0,-142632000.0,-134017000.0,15801000.0,-1.62,-1.62,-0.0,-9.409088032403012,1.1798584,78.808,6.48,0.95368,2208.6892,9.5739,39.9893
2013-06-30,412809000.0,234423000.0,90277000.0,453358000.0,-40549000.0,41432000.0,,56866000.0,-77711000.0,-97811000.0,9301000.0,417000.0,,,-72448000.0,794000.0,7281000.0,-73242000.0,0.0,,14.3325,,,-70430000.0,2.4121679942785272,-0.2369400860930842,-1.7200260260964373,-1.3665635001582668,-0.1882492872006182,1.916471429628351,-1.287975240037984,-1.238525656807231,-0.0,2.596707910098918,101479000.0,-208250000.0,-161464000.0,-157493000.0,-146479000.0,12838000.0,,,-0.0,-12.577036921638884,1.1798584,78.808,6.48,0.95368,2208.6892,9.5739,39.9893
