report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_pe,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,2002213000000.0,1848434000000.0,151421000000.0,439274000000.0,96694000000.0,25421000000.0,,4428000000.0,6291000000.0,1036000000.0,0.15,29333500000.0,,278000000.0,,535968000000.0,,0.15,,0.02924297158254139,0.002211552916697674,0.17418669603870815,,,,,,3.5395883001697253,,,,,,,1.128949,125.16,55.51,16.95501,201609.12,14.0926,0.9835,1.09533
2010-06-30,1937656000000.0,1780326000000.0,154806000000.0,413297000000.0,92752000000.0,47492000000.0,,7125000000.0,12670000000.0,1848000000.0,0.24,29543100000.0,,528000000.0,,506049000000.0,,0.24,,0.04602534785473431,0.0036771232871056574,0.15002526741345912,,,,,,3.2689236851284833,,,,,,,1.128949,125.16,55.51,16.95501,201609.12,14.0926,0.9835,1.09533
2010-09-30,1983280000000.0,1818097000000.0,162913000000.0,387330000000.0,87013000000.0,68230000000.0,,9293000000.0,18795000000.0,2546000000.0,0.31,29621500000.0,,805000000.0,,474343000000.0,,0.31,,0.057042716050898334,0.00468567221975717,0.13620108456690605,,,,,,2.911633816822476,,,,,,,1.128949,125.16,55.51,16.95501,201609.12,14.0926,0.9835,1.09533
2010-12-31,1913902000000.0,1748113000000.0,163468000000.0,381183000000.0,78790000000.0,-54542000000.0,,-10244000000.0,-12892000000.0,-3197000000.0,-0.35,-58820000000.0,,752000000.0,,459973000000.0,,-0.35,,-0.06266669929282795,-0.005352416163419025,0.18781856184225001,,,,,,2.8138412410991753,86601000000.0,10602000000.0,,24864000000.0,0.35,0.35,1.128949,125.16,55.51,16.95501,201609.12,14.0926,0.9835,1.09533
2011-03-31,1947815000000.0,1774422000000.0,171037000000.0,376541000000.0,78622000000.0,19726000000.0,,2999000000.0,5976000000.0,1185000000.0,0.1,29965800000.0,,688000000.0,,455163000000.0,,0.1,,0.01753421774235984,0.00153967394234052,0.15203285004562506,,,,,,2.6611961154603976,80906000000.0,9173000000.0,,24549000000.0,0.3,0.3,1.128949,125.16,55.51,16.95501,201609.12,14.0926,0.9835,1.09533
2011-06-30,1956626000000.0,1777981000000.0,176364000000.0,352458000000.0,72889000000.0,40348000000.0,,6340000000.0,12491000000.0,2152000000.0,2.08,2996800000.0,,1530000000.0,,425347000000.0,,2.08,,0.035948379487877345,0.003240271773961912,0.15713294339248537,,,,,,2.4117563675126443,73762000000.0,8388000000.0,,24370000000.0,2.14,2.14,1.128949,125.16,55.51,16.95501,201609.12,14.0926,0.9835,1.09533
2011-09-30,1935992000000.0,1756650000000.0,177372000000.0,333824000000.0,65818000000.0,61179000000.0,,10111000000.0,18522000000.0,3430000000.0,3.32,2997400000.0,30820000000.0,2447000000.0,28373000000.0,399642000000.0,,3.32,,0.057004487743274025,0.0052226455481220995,0.16526912829565701,,,,0.4637702479609016,,2.25312901698126,66711000000.0,9206000000.0,,24097000000.0,5.15,5.15,1.128949,125.16,55.51,16.95501,201609.12,14.0926,0.9835,1.09533
2011-12-31,1873878000000.0,1694305000000.0,177806000000.0,323505000000.0,54441000000.0,-42900000000.0,,-8383000000.0,-12755000000.0,-3246000000.0,-1.87,-32961200000.0,13921000000.0,-1217000000.0,12704000000.0,377946000000.0,,-1.87,,-0.047146890431144055,-0.004473610341761844,0.1954079254079254,,,,-0.29613053613053614,,2.125608809601476,78353000000.0,11067000000.0,,24234000000.0,3.6299999999999994,3.6299999999999994,1.128949,125.16,55.51,16.95501,201609.12,14.0926,0.9835,1.09533
2012-03-31,1944423000000.0,1760700000000.0,181820000000.0,311079000000.0,55611000000.0,19406000000.0,,2931000000.0,5590000000.0,1006000000.0,0.95,3014500000.0,5498000000.0,844000000.0,4654000000.0,366690000000.0,,0.95,,0.016120338796612035,0.0015073880529082406,0.15103576213542202,,,,0.23982273523652478,,2.0167748322516776,78033000000.0,10999000000.0,,23848000000.0,4.4799999999999995,4.4799999999999995,1.128949,125.16,55.51,16.95501,201609.12,14.0926,0.9835,1.09533
2012-06-30,1916451000000.0,1730612000000.0,183911000000.0,288334000000.0,58698000000.0,38048000000.0,,5877000000.0,11031000000.0,1721000000.0,1.91,3014800000.0,4133000000.0,1774000000.0,2359000000.0,347032000000.0,,1.91,,0.03195567421198297,0.003066605929397621,0.15446278385197645,,,,0.06200063078216989,,1.8869561907661858,75733000000.0,10536000000.0,48090000000.0,22388000000.0,4.31,4.31,1.128949,125.16,55.51,16.95501,201609.12,14.0926,0.9835,1.09533
