report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2009-06-30,,,,,,,406475000.0,,199172000.0,7288000.0,,0.8,168528000.0,,,0.0,,15.7377,6.6921,0.8,,,,0.4899981548680731,,,,,,,,,,,,,,,0.95281696,312.9499,256.54,1.49687,48718.836,27.3034,4.9544,10.099
2010-03-31,9744471000.0,922914000.0,8676023000.0,,,719982000.0,398056000.0,,123961000.0,7339000.0,,0.0,169310000.0,233122000.0,,0.0,,19.926,9.656,0.0,,0.014287767563548414,0.012721162595691443,0.31141598167092066,,,,,0.0,,,,,,,,,,0.95281696,312.9499,256.54,1.49687,48718.836,27.3034,4.9544,10.099
2010-09-30,9651410000.0,883147000.0,8672076000.0,,,513479000.0,1228484000.0,,488353000.0,22455000.0,,1.64,169640000.0,821714000.0,,0.0,,23.2108,10.1429,1.64,,0.056313274929786133,0.05059913525588489,0.3975249168894345,,,,,0.0,,,,,,,,,,0.95281696,312.9499,256.54,1.49687,48718.836,27.3034,4.9544,10.099
2010-12-31,9495333000.0,774186000.0,8676598000.0,,,456252000.0,1646722000.0,,672038000.0,30225000.0,,2.35,169772000.0,1093221000.0,,0.0,2.2136,27.7189,10.7048,2.35,,0.07745408972502818,0.07077561155569795,0.40810652921379564,,,,,0.0,3679737000.0,1483524000.0,,,67307000.0,4.79,4.79,,,0.95281696,312.9499,256.54,1.49687,48718.836,27.3034,4.9544,10.099
2011-03-31,9435521000.0,672651000.0,8717565000.0,,,145105000.0,419818000.0,,206108000.0,6984000.0,,0.87,170382000.0,264819000.0,,0.0,,26.816,11.5628,0.87,,0.02364284063267667,0.021843838829885494,0.4909460766332077,,,,,0.0,3693080000.0,1490460000.0,,,67003000.0,4.86,4.86,,,0.95281696,312.9499,256.54,1.49687,48718.836,27.3034,4.9544,10.099
2011-06-30,9272336000.0,677388000.0,8553194000.0,,,144487000.0,854662000.0,,412552000.0,12917000.0,,1.64,170392000.0,582464000.0,,0.0,,24.7285,11.834,1.64,,0.04823367738414445,0.044492779381592726,0.4827077838958559,,,,,0.0,4149686000.0,1779051000.0,,,72581000.0,6.5,6.5,,,0.95281696,312.9499,256.54,1.49687,48718.836,27.3034,4.9544,10.099
2011-09-30,9085543000.0,663313000.0,8385762000.0,,,160733000.0,1307387000.0,,603691000.0,18779000.0,,2.33,170538000.0,908793000.0,,0.0,,25.7359,11.3984,2.33,,0.07198999923918661,0.06644523062628177,0.46175386476995717,,,,,0.0,4228589000.0,1894389000.0,,,68905000.0,7.1899999999999995,7.1899999999999995,,,0.95281696,312.9499,256.54,1.49687,48718.836,27.3034,4.9544,10.099
2011-12-31,8932562000.0,609280000.0,8288209000.0,,,139008000.0,-829765000.0,,-398509000.0,-14458000.0,,-1.5499999999999998,-340562000.0,-552624000.0,,0.0,0.6588,28.0717,13.3219,-1.5499999999999998,,-0.04808143713557416,-0.04461306845673167,0.48026730459828987,,,,,0.0,1752102000.0,823842000.0,,,24222000.0,3.29,3.29,,,0.95281696,312.9499,256.54,1.49687,48718.836,27.3034,4.9544,10.099
2012-03-31,9406312000.0,1062379000.0,8321727000.0,,,620079000.0,442619000.0,,205852000.0,5334000.0,,0.73,171415000.0,279490000.0,,0.0,,28.8866,13.5461,0.73,,0.024736692275533673,0.021884453758284864,0.46507718828156946,,,,,0.0,1774903000.0,823586000.0,,,22572000.0,3.15,3.15,,,0.95281696,312.9499,256.54,1.49687,48718.836,27.3034,4.9544,10.099
2012-06-30,9178947000.0,1011178000.0,8137608000.0,,,438475000.0,900059000.0,,403995000.0,10401000.0,,1.5,171487000.0,605777000.0,,0.0,,30.3602,13.7783,1.5,,0.04964542406073136,0.04401321850970487,0.44885390846600054,,,,,0.0,1820300000.0,815029000.0,,,20056000.0,3.0100000000000002,3.0100000000000002,,,0.95281696,312.9499,256.54,1.49687,48718.836,27.3034,4.9544,10.099
