report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2018-06-30,26659300000.0,2937300000.0,3077900000.0,,10938100000.0,6641100000.0,1280100000.0,,250400000.0,162300000.0,102200000.0,-35800000.0,1.0,162000000.0,397200000.0,435200000.0,217700000.0,-38000000.0,6641100000.0,,43.477,1.0,468100000.0,0.014838043170203234,0.006087931791157308,,,0.00939259470428706,0.014244106671520889,,,0.6071529790365786,0.9543195035576204,,,,,,,,,,,0.5966467,85.23,61.94,2.10692,18666.625,21.817,1.6327,13.7214
2018-09-30,26075200000.0,2319000000.0,2659200000.0,,10688900000.0,6639800000.0,679700000.0,,783500000.0,517300000.0,191300000.0,28300000.0,2.0,198000000.0,1191600000.0,698300000.0,411600000.0,493300000.0,6639800000.0,,27.1738,2.0,1195100000.0,0.04839599958835802,0.01983877400748604,,,0.030047708167147327,0.04521400912936343,,,0.6211864644631346,0.8720667870036101,,,,,,,,,,,0.5966467,85.23,61.94,2.10692,18666.625,21.817,1.6327,13.7214
2018-12-31,25598100000.0,1681000000.0,2867200000.0,25598100000.0,10028200000.0,6636300000.0,160300000.0,4275900000.0,933600000.0,535800000.0,279600000.0,59000000.0,2.5,214100000.0,1497800000.0,1069700000.0,618800000.0,428100000.0,6636300000.0,0.5863,27.914,2.5,1552400000.0,0.05342932929139826,0.020931240990542267,0.12530695292219182,0.21833999859678666,0.03647145686593927,0.056023283026793484,0.10011927313548025,0.3630580696461564,0.66176382601065,0.5862862723214286,,,,,,,,,,,0.5966467,85.23,61.94,2.10692,18666.625,21.817,1.6327,13.7214
2019-03-31,26060700000.0,1927600000.0,3335400000.0,26060700000.0,9422900000.0,7125900000.0,133600000.0,1216900000.0,209600000.0,99500000.0,91100000.0,9300000.0,0.39,253000000.0,362100000.0,309000000.0,213600000.0,53100000.0,7125900000.0,,25.2474,0.39,423200000.0,0.010559381931252587,0.003818009493221594,0.08176514093187608,0.17224094009368066,0.008042761706324082,0.012665570917528764,0.04363546717067959,0.34776892102884377,0.7562321578282695,0.5779216885530971,,1314900000.0,2177100000.0,936500000.0,3638800000.0,664200000.0,5.89,5.89,1.9583104320105529,3.2777777777777777,0.5966467,85.23,61.94,2.10692,18666.625,21.817,1.6327,13.7214
2019-06-30,25718400000.0,1539400000.0,3482800000.0,25718400000.0,8883100000.0,7122500000.0,107000000.0,2438600000.0,481300000.0,239200000.0,186500000.0,33700000.0,0.96,248200000.0,633700000.0,572400000.0,429000000.0,61300000.0,7122500000.0,,23.9677,0.96,910300000.0,0.02692753655818352,0.00930073410476546,0.09808906749774461,0.19736734191749364,0.0187142279457509,0.030070725246163842,0.025137373903059132,0.37328795210366605,0.8018034244801927,0.44200068910072354,,1391800000.0,2408000000.0,1035800000.0,4081000000.0,748500000.0,5.85,5.85,1.7452830188679245,3.2171008684034734,0.5966467,85.23,61.94,2.10692,18666.625,21.817,1.6327,13.7214
2019-09-30,25907500000.0,1512300000.0,2075100000.0,25907500000.0,8619300000.0,8749200000.0,50100000.0,4016200000.0,1020000000.0,606000000.0,277300000.0,99200000.0,2.49,243800000.0,1447300000.0,849100000.0,645100000.0,598200000.0,8749200000.0,,25.0964,2.49,1665100000.0,0.07030733354216699,0.02339090996815594,0.1508888999551815,0.2539714157661471,0.039370838560262474,0.058727005786337334,0.14894676559932274,0.4145958866590309,1.0150708294177022,0.7287841549804829,11947600000.0,1480500000.0,2644500000.0,1140700000.0,4551000000.0,834500000.0,6.34,6.34,1.9224785761371128,3.168963451168364,0.5966467,85.23,61.94,2.10692,18666.625,21.817,1.6327,13.7214
2019-12-31,25975900000.0,1467700000.0,2335900000.0,,8571900000.0,8746700000.0,23200000.0,-2523900000.0,-525100000.0,-274800000.0,-180900000.0,-45200000.0,-1.0500000000000003,-505100000.0,-694100000.0,-520400000.0,-426000000.0,-1214500000.0,8746700000.0,0.6284,22.1439,-1.0500000000000003,-951100000.0,-0.03205823679697617,-0.010579036722500471,0.10887911565434447,0.20805103213281034,-0.020214891495578594,-0.030320002771586616,0.4811997305756963,0.3768374341297199,1.0203922117616864,0.6283231302709876,5147800000.0,669900000.0,1185800000.0,-501900000.0,2047500000.0,374000000.0,2.79,2.79,4.2718925518925515,3.1705882352941175,0.5966467,85.23,61.94,2.10692,18666.625,21.817,1.6327,13.7214
2020-03-31,26184700000.0,1732800000.0,2397700000.0,,8529200000.0,6212100000.0,304400000.0,1116700000.0,197500000.0,69400000.0,96200000.0,10100000.0,0.0,227500000.0,320600000.0,354400000.0,218500000.0,-33800000.0,6212100000.0,,19.5023,0.0,416000000.0,0.008136753740092857,0.0026504027160899305,0.062147398585116864,0.1768603922270977,0.007542572571005205,0.013397732900083439,-0.030267753201396973,0.37252619324796277,0.7283332551704732,0.72269258038954,5047600000.0,639800000.0,1173700000.0,-588800000.0,2040300000.0,379100000.0,2.4,2.4,3.044699308925158,3.0960168820891587,0.5966467,85.23,61.94,2.10692,18666.625,21.817,1.6327,13.7214
2020-06-30,26250400000.0,1790400000.0,2086100000.0,,8547800000.0,6852700000.0,176200000.0,2301400000.0,469200000.0,202800000.0,195700000.0,43800000.0,0.0,227600000.0,522500000.0,635600000.0,440100000.0,-113100000.0,6852700000.0,,21.2208,0.0,909300000.0,0.023725403027679635,0.0077255965623380975,0.08812027461545147,0.20387590162509778,0.017874013348368026,0.030466543294048895,-0.04914399930477101,0.3951073259754932,0.8016916633519736,0.8582522410239203,4910400000.0,603400000.0,1161600000.0,-763200000.0,2039300000.0,388300000.0,1.44,1.44,3.36031971755014,2.991501416430595,0.5966467,85.23,61.94,2.10692,18666.625,21.817,1.6327,13.7214
2020-09-30,26881200000.0,1914700000.0,2098200000.0,26881200000.0,8802100000.0,,361600000.0,3819000000.0,990900000.0,567300000.0,290500000.0,93800000.0,2.49,227500000.0,1421700000.0,1058100000.0,658100000.0,363600000.0,0.0,,18.2627,2.49,1649000000.0,0.06445052885106962,0.02110396857283157,0.14854673998428908,0.25946582875098195,0.0368621936520691,0.11257540814123902,0.09520816967792615,0.4317884262896046,0.0,0.912544085406539,4713200000.0,564700000.0,1132500000.0,-997800000.0,2023200000.0,401500000.0,1.44,1.44,0.0,2.820672478206725,0.5966467,85.23,61.94,2.10692,18666.625,21.817,1.6327,13.7214
