report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,cash,shares_outstanding,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,4646000000.0,2585000000.0,1574000000.0,1917000000.0,2729000000.0,1273000000.0,,3654000000.0,1788000000.0,-686000000.0,-677000000.0,-29000000.0,,,,,0.0,1.6423,,1.6681,,-686000000.0,-0.24807621839501648,-0.14571674558760223,-0.18527640941434045,0.48932676518883417,-0.18773946360153257,-0.14765389582436506,-0.25137412971784534,-0.18773946360153257,0.0,1.642312579415502,,,,,,,,,0.73278,204.885,131.15,2.52842,50951.715,74.929,5.898,6.974
2010-06-30,4245000000.0,2228000000.0,1165000000.0,1493000000.0,2752000000.0,1057000000.0,,815000000.0,593000000.0,98000000.0,96000000.0,-3000000.0,0.29,332000000.0,,11000000.0,0.0,,,1.2412,0.29,98000000.0,0.03488372093023256,0.022614840989399292,0.11779141104294479,0.7276073619631902,0.12024539877300613,0.02308598351001178,0.03561046511627907,0.12024539877300613,0.0,1.9124463519313304,,,,,,,,,0.73278,204.885,131.15,2.52842,50951.715,74.929,5.898,6.974
2010-09-30,4494000000.0,2485000000.0,1568000000.0,1856000000.0,2638000000.0,1056000000.0,,1446000000.0,861000000.0,-154000000.0,-105000000.0,-20000000.0,,,,,0.0,,,1.4811,,-154000000.0,-0.03980288097043214,-0.02336448598130841,-0.07261410788381743,0.5954356846473029,-0.10650069156293222,-0.03426791277258567,-0.058377558756633814,-0.10650069156293222,0.0,1.5848214285714286,,,,,,,,,0.73278,204.885,131.15,2.52842,50951.715,74.929,5.898,6.974
2010-12-31,4727000000.0,2714000000.0,2008000000.0,2369000000.0,2358000000.0,1353000000.0,,2499000000.0,1328000000.0,-457000000.0,-427000000.0,-1000000.0,,,,,0.0,,,1.5628,,-457000000.0,-0.18108566581849025,-0.09033213454622382,-0.17086834733893558,0.5314125650260104,-0.18287314925970388,-0.0966786545377618,-0.19380831212892283,-0.18287314925970388,0.0,1.3515936254980079,8414000000.0,-1113000000.0,-1199000000.0,4570000000.0,-1199000000.0,,,-0.0,0.73278,204.885,131.15,2.52842,50951.715,74.929,5.898,6.974
2011-03-31,4928000000.0,3032000000.0,2001000000.0,2364000000.0,2564000000.0,1579000000.0,,-1171000000.0,-692000000.0,201000000.0,160000000.0,21000000.0,,,,,0.0,1.5152,,1.8192,,201000000.0,0.062402496099843996,0.032467532467532464,-0.13663535439795046,0.5909479077711358,-0.17164816396242527,0.040787337662337664,0.07839313572542901,-0.17164816396242527,0.0,1.5152423788105946,3589000000.0,-276000000.0,-312000000.0,2090000000.0,-312000000.0,,,-0.0,0.73278,204.885,131.15,2.52842,50951.715,74.929,5.898,6.974
2011-06-30,4355000000.0,2354000000.0,1225000000.0,1605000000.0,2750000000.0,1173000000.0,,999000000.0,759000000.0,227000000.0,221000000.0,9000000.0,0.66,337000000.0,,,0.0,,,2.0726,0.66,227000000.0,0.08036363636363636,0.050746268656716415,0.22122122122122123,0.7597597597597597,0.22722722722722724,0.0521239954075775,0.08254545454545455,0.22722722722722724,0.0,1.9216326530612244,3773000000.0,-151000000.0,-183000000.0,2256000000.0,-183000000.0,,,-0.0,0.73278,204.885,131.15,2.52842,50951.715,74.929,5.898,6.974
2011-09-30,5435000000.0,2568000000.0,1854000000.0,2895000000.0,2540000000.0,930000000.0,,1714000000.0,1042000000.0,-147000000.0,-119000000.0,-31000000.0,-0.36,,-485000000.0,,0.0,,,1.7493,-0.36,-147000000.0,-0.046850393700787404,-0.021895124195032197,-0.06942823803967328,0.6079346557759626,-0.08576429404900816,-0.02704691812327507,-0.0578740157480315,-0.08576429404900816,0.0,1.3851132686084142,4041000000.0,-165000000.0,-176000000.0,2437000000.0,-176000000.0,,,-0.0,0.73278,204.885,131.15,2.52842,50951.715,74.929,5.898,6.974
2011-12-31,5696000000.0,2806000000.0,2397000000.0,3431000000.0,2265000000.0,1242000000.0,,2775000000.0,1551000000.0,-330000000.0,-324000000.0,-19000000.0,-0.98,,-10000000.0,,0.0,,,1.8265,-0.98,-330000000.0,-0.14304635761589404,-0.05688202247191011,-0.11675675675675676,0.5589189189189189,-0.11891891891891893,-0.05793539325842697,-0.1456953642384106,-0.11891891891891893,0.0,1.1706299541093033,4317000000.0,-62000000.0,-49000000.0,2660000000.0,-49000000.0,,,-0.0,0.73278,204.885,131.15,2.52842,50951.715,74.929,5.898,6.974
2012-03-31,5491000000.0,2609000000.0,2120000000.0,3033000000.0,2458000000.0,1293000000.0,,-1345000000.0,-807000000.0,285000000.0,298000000.0,-17000000.0,0.9099999999999999,-1000000.0,772000000.0,,0.0,1.2307,72.8618,1.3366,0.9099999999999999,285000000.0,0.12123677786818551,0.05427062465853214,-0.22156133828996283,0.6,-0.21189591078066913,0.05190311418685121,0.11594792514239219,-0.21189591078066913,0.0,1.2306603773584905,4143000000.0,76000000.0,35000000.0,2545000000.0,35000000.0,0.22999999999999998,0.22999999999999998,0.0,0.73278,204.885,131.15,2.52842,50951.715,74.929,5.898,6.974
2012-06-30,4825000000.0,1951000000.0,1336000000.0,2273000000.0,2552000000.0,919000000.0,,955000000.0,750000000.0,215000000.0,201000000.0,9000000.0,0.63,320000000.0,-244000000.0,,0.0,,69.7043,0.9523,0.63,215000000.0,0.07876175548589341,0.0416580310880829,0.21047120418848167,0.7853403141361257,0.225130890052356,0.04455958549222798,0.08424764890282131,0.225130890052356,0.0,1.4603293413173652,4099000000.0,56000000.0,23000000.0,2536000000.0,23000000.0,0.19999999999999996,0.19999999999999996,0.0,0.73278,204.885,131.15,2.52842,50951.715,74.929,5.898,6.974
