report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2023-09-30,12736453000.0,500976000.0,399454000.0,3764903000.0,4164954000.0,2719463000.0,188592000.0,1060973000.0,383787000.0,-21886000.0,172439000.0,17700000.0,0.0,83161406.0,247655000.0,61900000.0,2719463000.0,,,,0.0,445687000.0,-0.005254799932964445,-0.0017183748096899507,-0.02062823464876109,0.36173116563757984,0.03013295773948995,0.055747204156866154,0.42007383788277364,0.6529395042538285,1.2541519173672062,,,,,,,,,,0.73888457,226.94,133.07,1.79598,39554.9,172.8927,10.9092,9.1154
2023-12-31,12690739000.0,492430000.0,472140000.0,3840193000.0,4108980000.0,2713948000.0,235839000.0,1674968000.0,446663000.0,-35227000.0,239042000.0,31446000.0,0.0,82808019.0,468381000.0,164616000.0,2713948000.0,1.043,,,0.0,611279000.0,-0.008573173877702008,-0.002775803678572225,-0.021031446570919564,0.2666695721948121,0.035195980312888,0.06546500270851459,0.36494965873974905,0.6604918982326514,1.0429745414495701,,,,,,,,,,0.73888457,226.94,133.07,1.79598,39554.9,172.8927,10.9092,9.1154
2024-03-31,12722266000.0,581760000.0,590491000.0,4091884000.0,4034777000.0,2708361000.0,245812000.0,629711000.0,-210345000.0,-103840000.0,64466000.0,-25500000.0,-1.0,82351654.0,59337000.0,107161000.0,2708361000.0,,219.0082,5.6994,-1.0,-103184000.0,-0.02573624267214768,-0.008162067983801,-0.16490104190652538,-0.33403418393517026,-0.016533611229320313,-0.0311939337442004,-0.16385929418415748,0.6712541981874092,0.9852139998746806,,,,,,,,,,0.73888457,226.94,133.07,1.79598,39554.9,172.8927,10.9092,9.1154
2024-06-30,12719812000.0,749166000.0,753188000.0,4091668000.0,3991620000.0,2702820000.0,277532000.0,1480872000.0,44603000.0,-44733000.0,130224000.0,14100000.0,-0.55,81618084.0,290040000.0,210980000.0,2702820000.0,,,5.2663,-0.55,255583000.0,-0.011206728095359778,-0.0035167972608400187,-0.03020720224300277,0.030119416127794976,0.003506576983999449,0.006662693220045291,0.17258952833195576,0.6771235738872938,0.9946600317583392,4846524000.0,-205686000.0,664708000.0,1209365000.0,606171000.0,-1.55,-1.55,2.2349084023433785,1.096568460055001,0.73888457,226.94,133.07,1.79598,39554.9,172.8927,10.9092,9.1154
2024-09-30,12770403000.0,893817000.0,763433000.0,4094551000.0,4044561000.0,2697327000.0,457410000.0,2162145000.0,180976000.0,-21597000.0,192868000.0,31800000.0,-0.27,81399221.0,526572000.0,309128000.0,2697327000.0,,,5.6927,-0.27,490104000.0,-0.005339763697469268,-0.0016911760733001144,-0.009988691785241045,0.08370206438513605,0.01417151831465303,0.026843519204116116,0.22667489923201264,0.6669022917443945,1.1707864344349799,5947696000.0,-205397000.0,461897000.0,1253782000.0,626600000.0,-1.82,-1.82,2.151352467972901,0.7371481008617938,0.73888457,226.94,133.07,1.79598,39554.9,172.8927,10.9092,9.1154
2024-12-31,12699936000.0,869567000.0,670657000.0,3981405000.0,4091023000.0,2732761000.0,525556000.0,-1468387000.0,267668000.0,179578000.0,-138443000.0,5306000.0,1.84,-73494419.0,-292539000.0,-234427000.0,2732761000.0,1.2966,2579.4685,6.4902,1.84,33241000.0,0.043895622195230875,0.014140071257052004,-0.12229609769086759,-0.18228709461470308,0.021076326683851006,0.03922574337054045,-0.022637765112330743,0.6679896446438947,1.2965897619796707,2804341000.0,9408000.0,282902000.0,675744000.0,249115000.0,0.020000000000000018,0.020000000000000018,4.044077342899086,1.135628123557393,0.73888457,226.94,133.07,1.79598,39554.9,172.8927,10.9092,9.1154
2025-03-31,15010070000.0,1519228000.0,1219300000.0,4815200000.0,4162000000.0,2728516000.0,470860000.0,1268800000.0,237364000.0,58408000.0,44765000.0,21200000.0,0.69,181520718.0,162824000.0,100535000.0,2728516000.0,,176.0042,7.9811,0.69,337899000.0,0.014033637674195099,0.0038912543379211423,0.04603404791929382,0.18707755359394704,0.015813650436007295,0.034447928137747594,0.2663138398486759,0.6555780874579529,1.2459837611744444,3443430000.0,171656000.0,730611000.0,1116827000.0,229414000.0,1.71,1.71,2.4430963792959877,3.1846835851342985,0.73888457,226.94,133.07,1.79598,39554.9,172.8927,10.9092,9.1154
2025-06-30,15341705000.0,1912889000.0,1476466000.0,4978987000.0,4265329000.0,2722300000.0,535061000.0,2577242000.0,605669000.0,156773000.0,92972000.0,67700000.0,1.87,190448612.0,559045000.0,199932000.0,2722300000.0,,170.7284,9.2314,1.87,805601000.0,0.03675519520299606,0.010218746873310366,0.06082975521895111,0.23500664664009047,0.03947859771778951,0.08667732645794446,0.31258259798652976,0.6382391604492877,1.29558621735956,4539800000.0,373162000.0,1291677000.0,1666845000.0,192162000.0,4.13,4.13,1.633205247038567,6.721812845411684,0.73888457,226.94,133.07,1.79598,39554.9,172.8927,10.9092,9.1154
2025-09-30,15546959000.0,2212297000.0,1519491000.0,6097637000.0,3821025000.0,3701067000.0,861410000.0,3697156000.0,777632000.0,197778000.0,143814000.0,80400000.0,2.33,193368167.0,975820000.0,329063000.0,3701067000.0,,175.0469,9.229,2.33,1106695000.0,0.051760456945453115,0.012721330261435694,0.053494632090179586,0.21033248258932,0.05001827045404828,0.10337975127132186,0.2993368416155553,0.9686058060337214,1.4559461030042298,6074811000.0,592537000.0,1888333000.0,2283436000.0,143108000.0,6.73,6.73,1.6208323771719462,13.195160298515805,0.73888457,226.94,133.07,1.79598,39554.9,172.8927,10.9092,9.1154
2025-12-31,15495821000.0,2329061000.0,1847163000.0,6245742000.0,3737381000.0,3724063000.0,831100000.0,-2808047000.0,-785650000.0,-217556000.0,-78827000.0,-95529000.0,-2.630000000000001,-371326425.0,-411964000.0,-144540000.0,3724063000.0,1.2609,,,-2.630000000000001,-930190000.0,-0.05821081661195367,-0.014039656240221153,0.07747591119379411,0.27978520302544796,-0.050700766355006296,-0.10529463197740277,0.3312587004419798,0.9964365420598007,1.2608854768095723,4735151000.0,195403000.0,835015000.0,1320005000.0,202724000.0,2.26,2.26,2.821249161934993,4.118974566405556,0.73888457,226.94,133.07,1.79598,39554.9,172.8927,10.9092,9.1154
