report_date,total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,108696000000.0,82025000000.0,26671000000.0,6119000000.0,,,,210000000.0,1.25,515100000.0,531000000.0,,0.0,,7.5659,1.0888,1.25,,,,,,,,,0.0,,,,,,,,,0.52643424,313.12,230.43,1.34771,64900.56,10.3213,1.967,1.3291
2010-06-30,107023000000.0,80737000000.0,26286000000.0,12298000000.0,,,,421000000.0,2.6,502600000.0,1051000000.0,,0.0,,6.8972,0.9727,2.6,,,,,,,,,0.0,,,,,,,,,0.52643424,313.12,230.43,1.34771,64900.56,10.3213,1.967,1.3291
2010-09-30,108154000000.0,80859000000.0,27295000000.0,18780000000.0,,,,787000000.0,4.68,492300000.0,2392000000.0,,0.0,,6.7886,0.9703,4.68,,,,,,,,,0.0,,,,,,,,,0.52643424,313.12,230.43,1.34771,64900.56,10.3213,1.967,1.3291
2010-12-31,105181000000.0,79706000000.0,25475000000.0,-12085000000.0,,,,-328000000.0,-1.9099999999999993,-1027500000.0,-920000000.0,,0.0,0.98,7.9519,1.0184,-1.9099999999999993,,,,,,,,,0.0,25112000000.0,,,,,6.62,6.62,,0.52643424,313.12,230.43,1.34771,64900.56,10.3213,1.967,1.3291
2011-03-31,105252000000.0,80009000000.0,25243000000.0,6278000000.0,,,,130000000.0,1.92,434400000.0,633000000.0,,0.0,,7.3557,0.992,1.92,,,,,,,,,0.0,25271000000.0,,,,,7.29,7.29,,0.52643424,313.12,230.43,1.34771,64900.56,10.3213,1.967,1.3291
2011-06-30,106468000000.0,81460000000.0,25008000000.0,12666000000.0,,,,-233000000.0,1.1,429100000.0,901000000.0,,0.0,,10.3007,0.9597,1.1,,,,,,,,,0.0,25639000000.0,,,,,5.789999999999999,5.789999999999999,,0.52643424,313.12,230.43,1.34771,64900.56,10.3213,1.967,1.3291
2011-09-30,106933000000.0,81761000000.0,25172000000.0,19073000000.0,574000000.0,,,-234000000.0,1.88,425600000.0,1818000000.0,,0.0,,11.9889,0.8032,1.88,574000000.0,,,,0.030094898547685208,0.005367847156630788,0.022803114571746386,0.030094898547685208,0.0,25932000000.0,,,,,2.9899999999999998,2.9899999999999998,,0.52643424,313.12,230.43,1.34771,64900.56,10.3213,1.967,1.3291
2011-12-31,104602000000.0,80125000000.0,24477000000.0,-12571000000.0,778000000.0,,,263000000.0,-1.5400000000000005,-868600000.0,-1183000000.0,,0.0,0.9368,17.0754,0.9569,-1.5400000000000005,778000000.0,,,,-0.0618884734706865,0.007437716296055525,0.03178494096498754,-0.0618884734706865,0.0,25446000000.0,,,,,3.359999999999998,3.359999999999998,,0.52643424,313.12,230.43,1.34771,64900.56,10.3213,1.967,1.3291
2012-03-31,104866000000.0,79994000000.0,24872000000.0,6392000000.0,1077000000.0,,,271000000.0,2.02,395800000.0,814000000.0,,0.0,,16.6356,0.9066,2.02,1077000000.0,,,,0.1684918648310388,0.010270249651936757,0.04330170472820843,0.1684918648310388,0.0,25560000000.0,,,,,3.4599999999999986,3.4599999999999986,,0.52643424,313.12,230.43,1.34771,64900.56,10.3213,1.967,1.3291
2012-06-30,104330000000.0,79281000000.0,25049000000.0,12751000000.0,1685000000.0,,,380000000.0,3.29,393500000.0,1265000000.0,,0.0,,11.0228,0.974,3.29,1685000000.0,,,,0.13214649831385775,0.01615067574043899,0.067268154417342,0.13214649831385775,0.0,25645000000.0,,4114000000.0,4114000000.0,,5.649999999999999,5.649999999999999,0.0,0.52643424,313.12,230.43,1.34771,64900.56,10.3213,1.967,1.3291
2012-09-30,105445000000.0,79540000000.0,25905000000.0,19263000000.0,2855000000.0,,,686000000.0,5.5,391500000.0,2766000000.0,,0.0,,9.4671,1.0292,5.5,2855000000.0,,,,0.1482115973628199,0.027075726682156576,0.11021038409573441,0.1482115973628199,0.0,25835000000.0,,6395000000.0,6395000000.0,,9.27,9.27,0.0,0.52643424,313.12,230.43,1.34771,64900.56,10.3213,1.967,1.3291
2012-12-31,104938000000.0,79533000000.0,25405000000.0,-12666000000.0,-2451000000.0,,,-644000000.0,-4.510000000000001,-791000000.0,-1615000000.0,,0.0,0.889,10.9603,1.053,-4.510000000000001,-2451000000.0,,,,0.19351018474656562,-0.023356648687796605,-0.0964770714426294,0.19351018474656562,0.0,25740000000.0,,3166000000.0,3166000000.0,,6.299999999999999,6.299999999999999,0.0,0.52643424,313.12,230.43,1.34771,64900.56,10.3213,1.967,1.3291
2013-03-31,103897000000.0,78301000000.0,25596000000.0,6328000000.0,1220000000.0,,,324000000.0,2.33,381900000.0,530000000.0,,0.0,,12.3288,1.2304,2.33,1220000000.0,,,,0.19279393173198484,0.011742398721811024,0.047663697452726986,0.19279393173198484,0.0,25676000000.0,,3309000000.0,3309000000.0,,6.6099999999999985,6.6099999999999985,0.0,0.52643424,313.12,230.43,1.34771,64900.56,10.3213,1.967,1.3291
2013-06-30,101900000000.0,77010000000.0,24890000000.0,13002000000.0,,,,576000000.0,4.0,380800000.0,,,0.0,,10.2146,1.1744,4.0,,,,,,,,,0.0,25927000000.0,,,,,7.3199999999999985,7.3199999999999985,,0.52643424,313.12,230.43,1.34771,64900.56,10.3213,1.967,1.3291
2013-09-30,102685000000.0,77874000000.0,24811000000.0,19454000000.0,,,,889000000.0,7.0,378100000.0,,,0.0,,10.3261,1.1898,7.0,,,,,,,,,0.0,26118000000.0,,,,,8.819999999999999,8.819999999999999,,0.52643424,313.12,230.43,1.34771,64900.56,10.3213,1.967,1.3291
