report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2010-03-31,16829500000.0,7851000000.0,9235100000.0,,3921800000.0,12000000.0,900400000.0,2920000000.0,291000000.0,163400000.0,29800000.0,90700000.0,0.52,,-277900000.0,-25200000.0,-303100000.0,12000000.0,,1.013,15.2108,0.52,291000000.0,0.04166454179203427,0.009709141685730414,0.05595890410958904,0.09965753424657534,0.01729106628242075,0.07397427423864965,-0.10380136986301369,0.09965753424657534,0.0030598194706512316,0.8501261491483579,,,,,,,,,,,0.716414,87.165,66.3346,4.6628,23535.908,2.109,1.3627
2010-06-30,16329200000.0,7454800000.0,9219600000.0,,3767300000.0,35700000.0,533700000.0,5961200000.0,706400000.0,406700000.0,59700000.0,223900000.0,1.3,,,63100000.0,,35700000.0,,0.8727,13.1294,1.3,706400000.0,0.10795529955140286,0.024906302819489013,0.06822451855331141,0.11849963094678924,0.043259927001935185,0.18574809361030764,,0.11849963094678924,0.009476282748918324,0.8085817172111588,,,,,,,,,,,0.716414,87.165,66.3346,4.6628,23535.908,2.109,1.3627
2010-09-30,18282700000.0,9132300000.0,9784200000.0,,4117200000.0,61500000.0,1689300000.0,8955700000.0,1020600000.0,581200000.0,95900000.0,320800000.0,1.88,,,98100000.0,,61500000.0,,0.9735,14.6721,1.88,1020600000.0,0.1411638977946177,0.031789615319400305,0.06489721629800016,0.11396094107663277,0.05582326461627659,0.24423863881111352,,0.11396094107663277,0.01493733605362868,0.9333721714601092,,,,,,,,,,,0.716414,87.165,66.3346,4.6628,23535.908,2.109,1.3627
2011-03-31,19168500000.0,9165900000.0,10396900000.0,,3524600000.0,62500000.0,1512200000.0,3151300000.0,322100000.0,201900000.0,41900000.0,73900000.0,0.69,,-176900000.0,39100000.0,-216000000.0,62500000.0,,1.0909,16.0873,0.69,322100000.0,0.05728309595415083,0.010532905548164958,0.06406879700441087,0.102211785612287,0.016803610089469703,0.08979398399821582,-0.06854314092596706,0.102211785612287,0.01773250865346422,0.8815993228750878,20988200000.0,1353200000.0,2340100000.0,,2340100000.0,227300000.0,4.39,4.39,0.026708260330755094,10.295204575450946,0.716414,87.165,66.3346,4.6628,23535.908,2.109,1.3627
2011-06-30,19156700000.0,9034400000.0,10354800000.0,,3554300000.0,63900000.0,986300000.0,6638800000.0,810300000.0,477000000.0,78800000.0,231900000.0,1.65,,-262600000.0,81100000.0,-343700000.0,63900000.0,,1.0241,15.0749,1.65,810300000.0,0.13420364066060828,0.024899904472064603,0.07185033439778273,0.12205519069711393,0.042298516967953774,0.2239511359239401,-0.051771404470687475,0.12205519069711393,0.017978223560194694,0.8724842585081315,24707000000.0,1666800000.0,2859400000.0,,2859400000.0,276300000.0,5.52,5.52,0.022347345596978388,10.348896127397756,0.716414,87.165,66.3346,4.6628,23535.908,2.109,1.3627
2011-09-30,18936000000.0,8974700000.0,10200900000.0,18936000000.0,3446800000.0,16400000.0,900600000.0,10019600000.0,1183700000.0,680700000.0,118600000.0,349000000.0,2.37,,500000.0,114200000.0,-113700000.0,16400000.0,,0.7567,11.1042,2.37,1183700000.0,0.19748752466055472,0.03594740177439797,0.06793684378617909,0.11813844864066429,0.06251056189269118,0.3417937167937168,-0.011347758393548645,0.11813844864066429,0.004758036439596147,0.8797949200560735,28765400000.0,1940800000.0,3336700000.0,,3336700000.0,335200000.0,6.59,6.59,0.0049150358138280335,9.954355608591886,0.716414,87.165,66.3346,4.6628,23535.908,2.109,1.3627
2011-12-31,20505400000.0,10421500000.0,11671000000.0,20505400000.0,3504300000.0,9500000.0,1781200000.0,-5937200000.0,-645000000.0,-407000000.0,-81200000.0,-149000000.0,-1.38,,1754300000.0,-48900000.0,1705400000.0,9500000.0,0.893,0.8949,13.032,-1.38,-645000000.0,-0.11614302428445053,-0.019848430169613858,0.06855083204204002,0.10863706797817153,-0.031455128892877,-0.18356195571745687,-0.28723977632554065,0.10863706797817153,0.0027109551122906144,0.8929397652300574,13872500000.0,952600000.0,1671100000.0,1032000000.0,1671100000.0,158100000.0,3.33,3.33,0.005684878223924361,10.56989247311828,0.716414,87.165,66.3346,4.6628,23535.908,2.109,1.3627
2012-03-31,19823500000.0,9620500000.0,10867200000.0,19823500000.0,3579000000.0,11700000.0,1502700000.0,3307300000.0,362500000.0,204600000.0,38500000.0,109300000.0,0.72,,-500000.0,45600000.0,-46100000.0,11700000.0,,0.9866,14.4883,0.72,362500000.0,0.05716680637049455,0.01032108356243852,0.061863151210957576,0.10960602303994195,0.018286377279491513,0.10095524549530732,-0.013938862516251928,0.10960602303994195,0.0032690695725062866,0.885278636631331,14028500000.0,955300000.0,1711500000.0,1201900000.0,1711500000.0,154700000.0,3.3599999999999994,3.3599999999999994,0.006836108676599474,11.063348416289593,0.716414,87.165,66.3346,4.6628,23535.908,2.109,1.3627
2012-06-30,20106500000.0,9857500000.0,10689800000.0,20106500000.0,3269900000.0,12400000.0,1665300000.0,6868200000.0,868900000.0,487300000.0,82500000.0,271200000.0,1.74,,157300000.0,112800000.0,44500000.0,12400000.0,,0.9502,13.9158,1.74,868900000.0,0.14902596409676136,0.024235943600328252,0.07095017617425235,0.12651058501499665,0.04321488075995325,0.26472290771714957,0.0064791357269735885,0.12651058501499665,0.0037921648980091135,0.9221407322868529,14257900000.0,965600000.0,1770100000.0,1590100000.0,1770100000.0,158400000.0,3.45,3.45,0.0070052539404553416,11.174873737373737,0.716414,87.165,66.3346,4.6628,23535.908,2.109,1.3627
2012-09-30,20798000000.0,10397100000.0,10702200000.0,20798000000.0,3358600000.0,11100000.0,1956300000.0,10274800000.0,1256200000.0,691200000.0,130300000.0,389900000.0,2.49,,300100000.0,158700000.0,141400000.0,11100000.0,,0.9716,14.253,2.49,1256200000.0,0.20580003572917288,0.033233964804308104,0.06727138241133647,0.12226028730486238,0.06040003846523704,0.372792830222275,0.013761825047689493,0.12226028730486238,0.0033049484904424465,0.971491842798677,14513100000.0,976100000.0,1842600000.0,1845200000.0,1842600000.0,170100000.0,3.5700000000000003,3.5700000000000003,0.006024096385542169,10.832451499118166,0.716414,87.165,66.3346,4.6628,23535.908,2.109,1.3627
