report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,27197800000.0,12252400000.0,5657600000.0,,10462300000.0,6661300000.0,20100000.0,4725200000.0,5485500000.0,,1248100000.0,459700000.0,,,958000000.0,-299400000.0,6681400000.0,,9.7957,1.8751,,,0.11929499249686971,0.04588974108199928,0.22752711694467231,,,,,0.6386167477514505,2.1656532805429864,,,,,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2010-09-30,29904300000.0,14184300000.0,6097400000.0,,12405500000.0,6982000000.0,155100000.0,5908800000.0,5654800000.0,,1302900000.0,368400000.0,,,,,7137100000.0,,8.748,1.8457,,,0.10502599653379549,0.043568985062348894,0.23040602673834618,,,,,0.5753173995405264,2.3262866139666087,,,,,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2010-12-31,31001400000.0,14840000000.0,7101400000.0,,12412800000.0,6770500000.0,156000000.0,5993200000.0,23076000000.0,,5069500000.0,1455700000.0,,,6856800000.0,1328200000.0,6926500000.0,2.1424,7.9704,1.751,,,0.408409061613818,0.16352487307024843,0.21968712081816605,,,,,0.5580126965712813,2.0897287858732083,,,,,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2011-03-31,31695300000.0,15354300000.0,7651800000.0,,13934200000.0,5132400000.0,1539900000.0,6506400000.0,5839200000.0,,1055900000.0,218000000.0,,,1176100000.0,340900000.0,6672300000.0,,8.3479,1.7378,,,0.07577758321252745,0.033314087577653466,0.1808295656939307,,,,,0.47884342122260337,2.006625891946993,40055500000.0,8676400000.0,,,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2011-06-30,32779300000.0,14950300000.0,8620500000.0,,14277000000.0,5200100000.0,1528500000.0,6113500000.0,6252800000.0,,1197300000.0,334000000.0,,,,,6728600000.0,,9.1938,1.8153,,,0.08386215591510822,0.03652610031330748,0.19148221596724668,,,,,0.47128948658681796,1.7342729540049882,40822800000.0,8625600000.0,,,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2011-09-30,33042200000.0,14572700000.0,8219300000.0,33042200000.0,15057900000.0,5451300000.0,1628700000.0,6597700000.0,18239900000.0,,3489500000.0,818200000.0,3.13,,5289800000.0,1054700000.0,7080000000.0,,9.1863,1.7522,3.13,,0.23173882148241123,0.10560737481160455,0.19131135587366158,,,,,0.47018508556970096,1.7729855340479117,53407900000.0,10812200000.0,,,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2011-12-31,33659800000.0,14248200000.0,8930900000.0,33659800000.0,13535600000.0,5464700000.0,1522300000.0,5922500000.0,-6045400000.0,,-1395000000.0,-368400000.0,0.77,,768600000.0,-22000000.0,6987000000.0,1.5954,11.1311,1.9927,0.77,,-0.10306155619255888,-0.04144409651869589,0.2307539616898799,,,,,0.5161943319838057,1.5953823242898253,24286500000.0,4347700000.0,,,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2012-03-31,32238200000.0,12602600000.0,6553700000.0,32238200000.0,14822600000.0,5403200000.0,10600000.0,4122200000.0,5602000000.0,,1011100000.0,324200000.0,0.91,,852500000.0,385900000.0,5413800000.0,,10.9167,1.9532,0.91,,0.06821340385627353,0.031363413590088776,0.18048911103177437,,,,,0.36523956660774765,1.9229748081236553,24049300000.0,4302900000.0,,,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2012-06-30,31812600000.0,12307300000.0,6609700000.0,31812600000.0,14307900000.0,5500200000.0,9100000.0,4345800000.0,11202700000.0,2521000000.0,1934700000.0,586300000.0,1.73,,2158500000.0,747900000.0,5509300000.0,,12.3812,2.1321,1.73,3268900000.0,0.13521900488541294,0.06081552592369061,0.17269943852821196,0.22503503619663118,0.07924533046654471,0.12721272430010294,0.29179572781561586,0.3850530126713214,1.8620058399019623,28999200000.0,5040300000.0,6.54,6.54,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2012-09-30,34321000000.0,14038900000.0,6960700000.0,34321000000.0,16056900000.0,5510900000.0,9100000.0,5319200000.0,16646000000.0,4395700000.0,3261300000.0,1134400000.0,2.92,,3702800000.0,1117600000.0,5520000000.0,,13.4,2.4326,2.92,5513300000.0,0.2031089438185453,0.09502345502753416,0.19592094196804036,0.26406944611318034,0.12807610500859531,0.20372249952495494,0.3312086987864953,0.34377744147375894,2.0168804861580014,27405300000.0,4812100000.0,6.33,6.33,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2012-12-31,34398900000.0,13038700000.0,8389500000.0,34398900000.0,14773900000.0,5519400000.0,11900000.0,4018800000.0,-10847300000.0,,-2118500000.0,-725300000.0,-1.9000000000000004,,-1409000000.0,-789200000.0,5531300000.0,1.5542,13.9983,2.5321,-1.9000000000000004,,-0.14339477050744895,-0.06158627165403545,0.1953020567330119,,,,,0.37439674019723973,1.5541689016031945,22603400000.0,4088600000.0,3.66,3.66,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2013-03-31,32300100000.0,12326100000.0,7593600000.0,32300100000.0,14955600000.0,4431600000.0,1028000000.0,3936600000.0,5602000000.0,1951100000.0,1548000000.0,403100000.0,1.42,,379400000.0,381500000.0,5459600000.0,,13.8258,2.8293,1.42,2332600000.0,0.10350637888148921,0.047925548218116974,0.27632988218493393,0.34828632631203144,0.06040538574183981,0.09557094713742702,0.4163870046411996,0.36505389285618767,1.6232221871049304,22603400000.0,4625500000.0,4.17,4.17,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2013-06-30,33226000000.0,12639300000.0,8408500000.0,,15236400000.0,4290800000.0,1023200000.0,3786500000.0,11531700000.0,,2754200000.0,711800000.0,2.0,,2016600000.0,745400000.0,5314000000.0,,11.5133,2.4641,2.0,,0.1807644850489617,0.08289291518690182,0.23883729198643738,,,,,0.3487700506681368,1.5031575191770232,22932400000.0,5445000000.0,4.4399999999999995,4.4399999999999995,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2013-09-30,33965600000.0,13202200000.0,8076100000.0,,16896100000.0,4263800000.0,1019100000.0,4368900000.0,17304300000.0,,3957300000.0,1022100000.0,3.0,,4008200000.0,1094400000.0,5282900000.0,,11.8513,2.4376,3.0,,0.2342138126549914,0.1165090562215889,0.22868882300930982,,,,,0.31266978770248754,1.63472468146754,23590700000.0,6141000000.0,4.52,4.52,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
