report_date,total_assets,total_liabilities,total_equity,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-09-30,10341798000.0,6244060000.0,1959469000.0,132986000.0,,,,,,,,480642000.0,,0.0,,59.8814,6.8707,,,,,,,,,,0.0,,,,,,,,,,1.0900613,184.79,129.95,1.92665,62431.492,47.709,2.3432,10.2134
2011-03-31,11074690000.0,6996544000.0,1943795000.0,88736000.0,501482000.0,149330000.0,76656000.0,72164000.0,856000.0,0.66,190074683.0,128978000.0,,0.0,,46.5917,5.7912,0.66,149330000.0,0.03943625742426542,0.006921728734619209,0.1528589261429124,0.29777738782249413,0.013483898872112899,0.07682394491188628,0.29777738782249413,0.0,,,,,,,,,,1.0900613,184.79,129.95,1.92665,62431.492,47.709,2.3432,10.2134
2011-06-30,5658405000.0,3524591000.0,2071152000.0,27900000.0,518622000.0,151385000.0,74205000.0,75416000.0,661000.0,0.66,95012965.0,189723000.0,,0.0,,45.9966,6.1218,0.66,151385000.0,0.035827887088924426,0.01311411961497984,0.14308108796001712,0.2918985311074347,0.02675400576664272,0.07309217285838993,0.2918985311074347,0.0,,,,,,,,,,1.0900613,184.79,129.95,1.92665,62431.492,47.709,2.3432,10.2134
2011-09-30,5826412000.0,3249532000.0,2516343000.0,38732000.0,792098000.0,223011000.0,110549000.0,112494000.0,1122000.0,0.97,97316650.0,280098000.0,,0.0,,38.0832,5.3829,0.97,223011000.0,0.04393240508150121,0.01897376979176893,0.13956480132508856,0.28154470785180624,0.03827587201179731,0.08862504038598872,0.28154470785180624,0.0,,,,,,,,,,1.0900613,184.79,129.95,1.92665,62431.492,47.709,2.3432,10.2134
2011-12-31,6098566000.0,3518155000.0,2522917000.0,40631000.0,-749492000.0,-219416000.0,-105145000.0,-110724000.0,-2681000.0,-0.97,-283234549.0,-197843000.0,,0.0,0.2683,45.043,6.6206,-0.97,-219416000.0,-0.04167596476618137,-0.017240938279589006,0.14028835531266512,0.2927529580035544,-0.03597829391368397,-0.08696917100324743,0.2927529580035544,0.0,1062710000.0,156265000.0,304310000.0,304310000.0,149350000.0,1.32,1.32,0.0,2.0375627720120524,1.0900613,184.79,129.95,1.92665,62431.492,47.709,2.3432,10.2134
2012-03-31,6418061000.0,3785077000.0,2564703000.0,26243000.0,283148000.0,85916000.0,48042000.0,38030000.0,721000.0,0.36,107584856.0,70537000.0,,0.0,,49.8256,7.5846,0.36,85916000.0,0.018731993529075296,0.007485438359030866,0.16967098478534196,0.3034314210236343,0.013386597603232502,0.03349939544656828,0.3034314210236343,0.0,844376000.0,127651000.0,240896000.0,240896000.0,115216000.0,1.02,1.02,0.0,2.0908207193445354,1.0900613,184.79,129.95,1.92665,62431.492,47.709,2.3432,10.2134
2012-06-30,6717113000.0,3978929000.0,2687964000.0,47777000.0,586852000.0,174365000.0,100376000.0,75711000.0,1927000.0,0.75,108809574.0,231200000.0,,0.0,,52.6403,8.4856,0.75,174365000.0,0.0373427620310391,0.014943324609843545,0.17104142100563685,0.2971192055237096,0.025958324655249956,0.06486880032619484,0.2971192055237096,0.0,912606000.0,153822000.0,263876000.0,263876000.0,115511000.0,1.1099999999999999,1.1099999999999999,0.0,2.2844231285332133,1.0900613,184.79,129.95,1.92665,62431.492,47.709,2.3432,10.2134
2012-09-30,8512598000.0,4985042000.0,3479443000.0,76115000.0,929331000.0,271440000.0,-155768000.0,116758000.0,2637000.0,1.12,113275221.0,356536000.0,,0.0,,43.8208,7.3552,1.12,271440000.0,-0.04476808500670941,-0.018298526489797826,-0.16761304637421973,0.29208107767845903,0.03188685757274101,0.07801248648131325,0.29208107767845903,0.0,1049839000.0,-112495000.0,312305000.0,312305000.0,119775000.0,1.26,1.26,0.0,2.6074305990398665,1.0900613,184.79,129.95,1.92665,62431.492,47.709,2.3432,10.2134
2012-12-31,8819214000.0,5320830000.0,3468305000.0,56281000.0,-520264000.0,-165643000.0,217684000.0,-73391000.0,-2638000.0,-0.75,-213663074.0,-115325000.0,,0.0,0.2506,39.8219,6.5477,-0.75,-165643000.0,0.06276379960816594,0.024682925258418722,-0.41841065305306535,0.31838259037719313,-0.018782059262877623,-0.04775906386549049,0.31838259037719313,0.0,1279067000.0,210334000.0,366078000.0,366078000.0,157108000.0,1.48,1.48,0.0,2.330104132189322,1.0900613,184.79,129.95,1.92665,62431.492,47.709,2.3432,10.2134
2013-03-31,8971492000.0,5589544000.0,3345627000.0,42130000.0,358370000.0,98586000.0,50711000.0,48078000.0,1203000.0,0.0,126738339.0,89041000.0,,0.0,,40.091,6.3054,0.0,98586000.0,0.015157398000434598,0.005652460036747511,0.14150459022797668,0.2750955716159277,0.0109888076587484,0.02946712230622242,0.2750955716159277,0.0,1354289000.0,213003000.0,378748000.0,378748000.0,167156000.0,1.12,1.12,0.0,2.26583550695159,1.0900613,184.79,129.95,1.92665,62431.492,47.709,2.3432,10.2134
