report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_pe,eps,ebitda,roe,roa,roi,roic,debt_equity,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,68439222000.0,60523535000.0,7915687000.0,10065894000.0,,,150955000.0,120052000.0,68723000.0,1.15,118256000.0,653599000.0,,10065894000.0,20.1944,1.15,,0.019070359906853317,0.0022056796612912985,,,1.2716387093122807,,,,,0.618969,239.0,150.75,1.25372,31313.84,10.9835,1.0614,2.1162
2010-09-30,68246837000.0,60015064000.0,8231773000.0,8991508000.0,69580000.0,,531719000.0,353641000.0,254309000.0,4.1,118766000.0,1249403000.0,,9061088000.0,14.5768,4.1,,0.06459349644359727,0.007791115652729811,,,1.100745610939466,,,,,0.618969,239.0,150.75,1.25372,31313.84,10.9835,1.0614,2.1162
2010-12-31,68021263000.0,59663568000.0,8357695000.0,7840151000.0,80877000.0,,736161000.0,462269000.0,356628000.0,5.69,,1675647000.0,,7921028000.0,14.1163,5.69,,0.0880818216027266,0.010822512954515414,,,0.9477526997575288,,,,,0.618969,239.0,150.75,1.25372,31313.84,10.9835,1.0614,2.1162
2011-03-31,67881208000.0,59373690000.0,8507518000.0,7305420000.0,63480000.0,,206273000.0,98679000.0,102380000.0,1.59,119852000.0,770653000.0,,7368900000.0,13.451,1.59,,0.024245966920081744,0.0030387349618174147,,,0.8661633157872837,1625108000.0,1034641000.0,12.530000000000001,12.530000000000001,0.618969,239.0,150.75,1.25372,31313.84,10.9835,1.0614,2.1162
2011-06-30,77727154000.0,68482960000.0,9244194000.0,7128916000.0,115053000.0,,528631000.0,200730000.0,227985000.0,4.02,121332000.0,863178000.0,,7243969000.0,11.9306,4.02,,0.05718519105072871,0.006801110973392902,,,0.7836236452848133,2002784000.0,1115319000.0,15.399999999999999,15.399999999999999,0.618969,239.0,150.75,1.25372,31313.84,10.9835,1.0614,2.1162
2011-09-30,77863891000.0,68488765000.0,9375126000.0,6748857000.0,142927000.0,,711739000.0,304362000.0,309959000.0,5.32,122521000.0,1285497000.0,,6891784000.0,9.5826,5.32,,0.07591780633134958,0.009140809569868529,,,0.7351137467379105,2182804000.0,1066040000.0,16.62,16.62,0.618969,239.0,150.75,1.25372,31313.84,10.9835,1.0614,2.1162
2011-12-31,77924287000.0,68653078000.0,9271209000.0,6686226000.0,50023000.0,,-587164000.0,-201440000.0,-275203000.0,-4.58,,-1147082000.0,,6736249000.0,11.4067,-4.58,,-0.06333197752310406,-0.0075350577157029365,,,0.7265771918203979,859479000.0,402331000.0,6.349999999999999,6.349999999999999,0.618969,239.0,150.75,1.25372,31313.84,10.9835,1.0614,2.1162
2012-03-31,79186887000.0,69758199000.0,9428688000.0,6476526000.0,50004000.0,,206463000.0,93706000.0,101954000.0,1.5,125616000.0,539012000.0,,6526530000.0,12.7943,1.5,,0.021897320178586883,0.0026072877444973937,,,0.6921991691739084,859669000.0,397358000.0,6.26,6.26,0.618969,239.0,150.75,1.25372,31313.84,10.9835,1.0614,2.1162
2012-06-30,80807578000.0,71177671000.0,9629907000.0,5687868000.0,0.0,,439843000.0,183109000.0,220815000.0,3.2,125756000.0,644628000.0,,5687868000.0,13.7021,3.2,,0.04567468823946067,0.005443090993272933,,,0.5906462025022672,770881000.0,379737000.0,5.44,5.44,0.618969,239.0,150.75,1.25372,31313.84,10.9835,1.0614,2.1162
2012-09-30,81085233000.0,71139706000.0,9945527000.0,4969536000.0,,,733305000.0,265238000.0,373781000.0,5.37,125936000.0,473776000.0,,4969536000.0,13.7537,5.37,,0.07373214109217138,0.009043631902741156,,,0.4996754822544849,792447000.0,340613000.0,5.49,5.49,0.618969,239.0,150.75,1.25372,31313.84,10.9835,1.0614,2.1162
2012-12-31,83008803000.0,72806210000.0,10202593000.0,4607758000.0,,,-350113000.0,-198884000.0,-173522000.0,-2.5300000000000002,,-1157435000.0,,4607758000.0,12.2435,-2.5300000000000002,,-0.034316080235681265,-0.00421778157673229,,,0.4516261699354272,1029498000.0,343169000.0,7.54,7.54,0.618969,239.0,150.75,1.25372,31313.84,10.9835,1.0614,2.1162
2013-03-31,82811957000.0,72389000000.0,10422957000.0,5394563000.0,,,274113000.0,73925000.0,141223000.0,1.98,128636000.0,698398000.0,,5394563000.0,12.0516,1.98,,0.02629896679032639,0.0033100654776217885,,,0.5175655046835558,1097148000.0,323388000.0,8.02,8.02,0.618969,239.0,150.75,1.25372,31313.84,10.9835,1.0614,2.1162
