report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,shares_outstanding,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_pe,eps,ebitda,roe,roa,roi,roic,debt_equity,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,163700000000.0,147172000000.0,16528000000.0,21428000000.0,7020000000.0,691869000.0,,188000000.0,465000000.0,48000000.0,0.27,698675000.0,637000000.0,263000000.0,374000000.0,28448000000.0,30.724,0.27,,0.011374636979670862,0.001148442272449603,,,1.7212003872216843,,,,,,0.9149515,56.195,33.56,11.13888,54776.03,10.3215,0.9657,1.76233
2010-09-30,157230000000.0,140443000000.0,16787000000.0,22111000000.0,5820000000.0,693560000.0,,608000000.0,1372000000.0,100000000.0,0.87,700551000.0,2344000000.0,370000000.0,1974000000.0,27931000000.0,21.0421,0.87,,0.03621850241258116,0.0038669465114799973,,,1.663847024483231,,,,,,0.9149515,56.195,33.56,11.13888,54776.03,10.3215,0.9657,1.76233
2010-12-31,157081000000.0,140583000000.0,16498000000.0,21730000000.0,5673000000.0,694381000.0,,816000000.0,1795000000.0,115000000.0,1.16,701039000.0,2898000000.0,428000000.0,2470000000.0,27403000000.0,22.3507,1.16,,0.04946054067159656,0.005194772123936059,,,1.6609892108134319,,,,,,0.9149515,56.195,33.56,11.13888,54776.03,10.3215,0.9657,1.76233
2011-03-31,157039000000.0,140369000000.0,16670000000.0,22591000000.0,5186000000.0,696285000.0,,225000000.0,391000000.0,53000000.0,0.32,704101000.0,2031000000.0,48000000.0,1983000000.0,27777000000.0,22.3958,0.32,,0.013497300539892022,0.0014327651093040583,,,1.6662867426514698,1837000000.0,6801000000.0,4023000000.0,2.6199999999999997,2.6199999999999997,0.9149515,56.195,33.56,11.13888,54776.03,10.3215,0.9657,1.76233
2011-06-30,159310000000.0,142261000000.0,17049000000.0,23380000000.0,4842000000.0,696894000.0,,532000000.0,727000000.0,144000000.0,0.76,704583000.0,3853000000.0,104000000.0,3749000000.0,28222000000.0,16.8407,0.76,,0.031204176198017478,0.0033394011675349946,,,1.6553463546249048,2181000000.0,10176000000.0,4285000000.0,3.11,3.11,0.9149515,56.195,33.56,11.13888,54776.03,10.3215,0.9657,1.76233
2011-09-30,167677000000.0,150136000000.0,17541000000.0,22153000000.0,3953000000.0,697101000.0,,898000000.0,1061000000.0,212000000.0,1.27,704910000.0,4348000000.0,176000000.0,4172000000.0,26106000000.0,13.0536,1.27,,0.05119434467818254,0.005355534748355469,,,1.4882845903882334,2471000000.0,12374000000.0,3974000000.0,3.51,3.51,0.9149515,56.195,33.56,11.13888,54776.03,10.3215,0.9657,1.76233
2011-12-31,174579000000.0,157099000000.0,17480000000.0,21803000000.0,3566000000.0,697143000.0,,-366000000.0,-801000000.0,-113000000.0,-0.52,-1408426000.0,-5667000000.0,-104000000.0,-5771000000.0,25369000000.0,6.2422,-0.52,,-0.02093821510297483,-0.002096472084271304,,,1.4513157894736841,1289000000.0,4133000000.0,1378000000.0,1.83,1.83,0.9149515,56.195,33.56,11.13888,54776.03,10.3215,0.9657,1.76233
2012-03-31,174752000000.0,156870000000.0,17882000000.0,22768000000.0,3436000000.0,698454000.0,,431000000.0,307000000.0,189000000.0,0.61,707369000.0,1873000000.0,21000000.0,1852000000.0,26204000000.0,7.0748,0.61,,0.024102449390448494,0.002466352316425563,,,1.4653841852141818,1495000000.0,4002000000.0,1294000000.0,2.12,2.12,0.9149515,56.195,33.56,11.13888,54776.03,10.3215,0.9657,1.76233
2012-06-30,178529000000.0,159603000000.0,18926000000.0,22561000000.0,3196000000.0,698795000.0,,941000000.0,573000000.0,380000000.0,1.33,707990000.0,2635000000.0,61000000.0,2574000000.0,25757000000.0,6.9109,1.33,,0.049719961957096055,0.005270852354519434,,,1.3609320511465708,1904000000.0,2827000000.0,1140000000.0,2.6900000000000004,2.6900000000000004,0.9149515,56.195,33.56,11.13888,54776.03,10.3215,0.9657,1.76233
2012-09-30,182021000000.0,161489000000.0,20532000000.0,19221000000.0,3093000000.0,699541000.0,,1410000000.0,810000000.0,557000000.0,1.99,708439000.0,2670000000.0,117000000.0,2553000000.0,22314000000.0,6.7814,1.99,,0.06867329047340737,0.007746358936606215,,,1.086791350087668,2416000000.0,1208000000.0,889000000.0,3.41,3.41,0.9149515,56.195,33.56,11.13888,54776.03,10.3215,0.9657,1.76233
