report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage
2012-10-26,6142503000.0,3156077000.0,,6142503000.0,2577189000.0,1306625000.0,,263873000.0,,1172559000.0,762021000.0,73259000.0,337870000.0,7.13,106889000.0,442861000.0,241527000.0,152840000.0,201334000.0,1306625000.0,7.13,1325399000.0,0.295679129470132,0.12405708226760329,,,0.19089270286070678,0.3019091542488904,,,0.5069961884828781,,,,,,,,,,
2013-01-25,6176798000.0,3136781000.0,,3464249000.0,2712549000.0,1294200000.0,60724000.0,269895000.0,,221152000.0,142137000.0,16954000.0,63860000.0,1.33,107237000.0,90494000.0,54588000.0,20095000.0,35906000.0,1354924000.0,1.33,241247000.0,0.05239979075032377,0.023011437317522768,,,0.03580366396958424,0.05437085876169307,,,0.49950212880947037,,,,,,,,,,
2013-04-26,6188502000.0,3111607000.0,,3311489000.0,2877013000.0,1309775000.0,59872000.0,234875000.0,,499785000.0,323693000.0,33982000.0,145529000.0,3.02,107325000.0,90903000.0,87001000.0,48873000.0,3902000.0,1369647000.0,3.02,548658000.0,0.11251009293319147,0.0523055498729741,,,0.08076025506657346,0.11768896026524374,,,0.4760656277882651,,,,,,,,,,
2014-01-31,5523676000.0,2587834000.0,1243513000.0,5523676000.0,2725039000.0,1243874000.0,58356000.0,290899000.0,839312000.0,85245000.0,48861000.0,16403000.0,22564000.0,0.48,102667000.0,64906000.0,26655000.0,32766000.0,38251000.0,1302230000.0,0.48,118011000.0,0.017930385583472385,0.008845739684948936,0.058215538441008824,0.10156532969861029,0.015432657527342299,0.021166949612752464,0.04557423222830127,0.14060444745219894,0.47787572948497253,2.0810671058525325,1276712000.0,1978741000.0,279393000.0,2233315000.0,140598000.0,11.96,11.96,0.583092846284559,14.073749270971138
