report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2011-01-01,3233108000.0,2520762000.0,1149679000.0,,700002000.0,1240329000.0,53400000.0,548519000.0,,1662451000.0,128047000.0,60955000.0,28359000.0,26661000.0,7724000.0,0.34,82825000.0,-2259000.0,33219000.0,25131000.0,-35478000.0,1293729000.0,,10.6488,0.1498,0.34,86086000.0,0.04051274139216745,0.008771436029974872,0.017058547891035586,0.07702302203192755,0.03666574232864608,0.01885337576103242,0.03057333210949722,-0.021340779367331728,0.05178257885495573,1.8481790052028422,2.192578972043501,,,,,,,,,,,,1.545387,230.56,76.94,1.25448,11966.767,51.9896,2.5713,1.2851
2011-04-02,3262749000.0,2576016000.0,1149942000.0,,731196000.0,1239993000.0,61900000.0,654745000.0,,1569058000.0,116831000.0,44634000.0,13065000.0,26269000.0,7923000.0,0.16,83940000.0,,,,,1301893000.0,,9.2463,0.1335,0.16,44634000.0,0.017867986148720726,0.00400429208621319,0.008326652042180723,0.07445932527669467,0.028446367183367346,0.013679875466975853,0.02195378559423616,,0.028446367183367346,1.7804979786541502,2.2401268933563605,,,,,,,,,,,,1.545387,230.56,76.94,1.25448,11966.767,51.9896,2.5713,1.2851
2011-10-01,3353973000.0,2629246000.0,1265885000.0,3353973000.0,770517000.0,1182308000.0,,640288000.0,,6602411000.0,510351000.0,211997000.0,68917000.0,99114000.0,30621000.0,0.83,83158000.0,234908000.0,107574000.0,104571000.0,127334000.0,1182308000.0,2.0769,7.1423,0.0746,0.83,316568000.0,0.08944254312364296,0.02054786964593931,0.01043815660673048,0.07729767201708589,0.03210902805051064,0.0632077240931874,0.10855913868370182,0.019285985074240303,0.04794733317874334,1.5344346717853077,2.07700225533915,,,,,,,,,,,,1.545387,230.56,76.94,1.25448,11966.767,51.9896,2.5713,1.2851
2011-12-31,3239121000.0,2516802000.0,1137030000.0,3239121000.0,784598000.0,1184620000.0,,604469000.0,,1502366000.0,109025000.0,39688000.0,8575000.0,21863000.0,8016000.0,0.1,82668000.0,-13251000.0,24259000.0,25494000.0,-37510000.0,1184620000.0,,15.9068,0.1215,0.1,65182000.0,0.010929163724608016,0.00264732314723655,0.0057076637783336414,0.07256886803881345,0.026416998254752837,0.012252706830031974,0.020154193187346448,-0.024967284935894448,0.04338623211654151,1.5098432573113876,2.21348777077122,11336286000.0,118916000.0,357274000.0,864254000.0,,512470000.0,173907000.0,1.43,1.43,2.311588971061721,2.0543968902919376,1.545387,230.56,76.94,1.25448,11966.767,51.9896,2.5713,1.2851
2012-03-31,3030756000.0,2324261000.0,1072825000.0,3030756000.0,792703000.0,1033053000.0,,464419000.0,,2965448000.0,215373000.0,69896000.0,7136000.0,42230000.0,14897000.0,0.09,83511000.0,46723000.0,40655000.0,50511000.0,6068000.0,1033053000.0,,27.1919,0.1489,0.09,120407000.0,0.00900211050040179,0.002354528045147811,0.0024063817676115043,0.07262747483685433,0.023570131730517616,0.02306223265746236,0.03828331934825902,0.0020462338236920696,0.04060330850515673,1.3032030911955677,2.166486612448442,12639283000.0,97693000.0,366215000.0,951580000.0,,546791000.0,189476000.0,1.18,1.18,1.8893013966945322,1.932777766049526,1.545387,230.56,76.94,1.25448,11966.767,51.9896,2.5713,1.2851
2012-06-30,3032921000.0,2334895000.0,1157454000.0,3032921000.0,805752000.0,940016000.0,,394862000.0,,4514750000.0,320625000.0,105290000.0,16084000.0,58361000.0,18746000.0,0.19,83469000.0,94342000.0,56076000.0,75074000.0,38266000.0,940016000.0,,19.1595,0.1055,0.19,180364000.0,0.019961476980510134,0.005303138459590606,0.0035625449914170218,0.07101722133008473,0.02332133562212747,0.03471570805833716,0.06031156488147337,0.008475773852372779,0.039949941857245694,1.1666319165202197,2.017268072856459,15584975000.0,100712000.0,426871000.0,1155374000.0,134158000.0,682521000.0,221568000.0,1.21,1.21,1.3772704429607294,1.9265913850375505,1.545387,230.56,76.94,1.25448,11966.767,51.9896,2.5713,1.2851
2012-09-29,3167786000.0,2326299000.0,1219547000.0,3167786000.0,963781000.0,837364000.0,,409618000.0,,-2889230000.0,-209241000.0,-77384000.0,148439000.0,-50710000.0,-171950000.0,1.7800000000000002,-166153000.0,87599000.0,-42359000.0,-51602000.0,45240000.0,837364000.0,1.9076,3.7145,0.1099,1.7800000000000002,-128986000.0,0.15401735456498936,0.04685891029255133,-0.05137666437078391,0.0724210256711996,0.026783606704900615,-0.024428417828729593,-0.04296378137240477,-0.01565815113369306,0.04464372860589153,0.8688322347089225,1.9075107396434905,6093334000.0,180234000.0,137490000.0,435782000.0,52064000.0,236967000.0,71744000.0,2.16,2.16,3.5336734650816357,1.9163971900089205,1.545387,230.56,76.94,1.25448,11966.767,51.9896,2.5713,1.2851
2012-12-29,3079352000.0,2248761000.0,1211283000.0,3079352000.0,986346000.0,734929000.0,162641000.0,490693000.0,,1494945000.0,96928000.0,31462000.0,621000.0,13084000.0,3033000.0,0.01,84011000.0,97084000.0,27391000.0,24830000.0,69693000.0,897570000.0,,5.2533,0.1487,0.01,56292000.0,0.0006295965107578882,0.00020166580501352233,0.00041539989765509766,0.06483716792256572,0.02104559030599788,0.010217084633390402,0.016700319971803414,0.04661910638852934,0.03765489700289977,0.9099950727229593,1.8565116492182256,6085913000.0,172280000.0,129264000.0,423685000.0,159267000.0,228077000.0,62965000.0,2.07,2.07,3.9353814720467213,2.0529500516159773,1.545387,230.56,76.94,1.25448,11966.767,51.9896,2.5713,1.2851
2013-03-30,2964828000.0,2156347000.0,1232481000.0,2964828000.0,1014506000.0,574046000.0,170216000.0,411942000.0,,2922587000.0,197232000.0,77260000.0,21812000.0,23500000.0,15993000.0,0.26,84369000.0,161753000.0,43513000.0,48961000.0,118240000.0,744262000.0,,4.7037,0.1515,0.26,126221000.0,0.02150011926987125,0.007356919187217606,0.007463250880127777,0.06748541617409508,0.026435483357723825,0.026058847258593077,0.04392847720677201,0.040457307173404934,0.04318810697508748,0.7336201067317493,1.7495985739333912,6043052000.0,186956000.0,136628000.0,405544000.0,271439000.0,233891000.0,44235000.0,2.24,2.24,3.1820890927825354,3.0886854300892956,1.545387,230.56,76.94,1.25448,11966.767,51.9896,2.5713,1.2851
2013-06-29,2979046000.0,2188658000.0,1250570000.0,,1039180000.0,561155000.0,113865000.0,416394000.0,,4411801000.0,311483000.0,112941000.0,40550000.0,32444000.0,24345000.0,0.0,84819000.0,,53545000.0,72593000.0,,675020000.0,,5.8884,0.2012,0.0,185534000.0,0.039021151292365136,0.013611740134257746,0.009191257719919825,0.07060223251230054,0.025599749399394942,0.03791180129477692,0.06588554427721387,,0.04205402736886818,0.649569853153448,1.7501283414762867,5940103000.0,211422000.0,144279000.0,396402000.0,,239061000.0,18318000.0,2.0500000000000003,2.0500000000000003,2.8236307887944916,7.8763511300360305,1.545387,230.56,76.94,1.25448,11966.767,51.9896,2.5713,1.2851
